Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,56.125000,56.125000,48.312500,52.656250,29.067724,26767000
2000-01-08,54.062500,69.875000,53.968750,69.000000,38.089947,33453800
2000-01-15,68.125000,68.617188,59.500000,64.250000,35.467804,17879500
2000-01-22,65.000000,66.000000,54.375000,56.312500,31.086082,14792700
2000-01-29,55.375000,67.875000,54.875000,65.937500,36.399342,22075900
2000-02-05,65.625000,71.687500,65.000000,68.500000,37.813919,14346800
2000-02-12,68.000000,74.125000,65.000000,68.000000,37.537922,13980100
2000-02-19,67.937500,74.750000,65.125000,68.625000,37.882935,11357600
2000-02-26,67.875000,83.250000,64.343750,83.250000,45.956348,17823800
2000-03-04,85.000000,91.500000,77.125000,91.125000,50.303555,18918200
2000-03-11,86.250000,87.500000,70.375000,80.000000,44.162251,22834600
2000-03-18,79.875000,91.687500,74.000000,89.312500,49.303009,18538900
2000-03-25,89.437500,91.000000,75.937500,84.250000,46.508377,14286800
2000-04-01,84.125000,97.750000,66.562500,97.437500,53.788242,26542900
2000-04-08,97.312500,97.625000,54.625000,57.625000,31.810629,42456200
2000-04-15,57.000000,72.187500,56.000000,65.125000,35.950840,22494900
2000-04-22,63.125000,75.500000,59.125000,74.875000,41.333118,23609200
2000-04-29,76.281250,77.250000,60.062500,63.625000,35.122780,27839300
2000-05-06,63.312500,63.500000,45.875000,51.812500,28.601954,40184600
2000-05-13,52.562500,59.125000,50.250000,52.375000,28.912479,23135700
2000-05-20,52.562500,53.500000,40.000000,45.437500,25.082783,31559600
2000-05-27,47.000000,62.250000,46.750000,61.500000,33.949726,22815200
2000-06-03,59.625000,61.687500,54.437500,57.937500,31.983133,23146400
2000-06-10,58.875000,58.875000,51.000000,54.875000,30.292542,23731900
2000-06-17,54.250000,66.125000,53.812500,59.187500,32.673164,25104200
2000-06-24,59.812500,66.125000,57.125000,58.562500,32.328159,25197900
2000-07-01,58.125000,59.875000,48.875000,53.750000,29.671509,29515300
2000-07-08,54.062500,63.125000,52.562500,62.000000,34.225742,27860700
2000-07-15,63.687500,64.750000,50.250000,50.437500,27.842932,25419300
2000-07-22,51.125000,55.812500,47.562500,50.937500,28.118929,31613400
2000-07-29,51.437500,54.500000,41.000000,45.000000,24.841263,40734300
2000-08-05,46.250000,48.437500,41.500000,44.687500,24.668755,25914600
2000-08-12,45.625000,58.000000,44.812500,55.062500,30.396048,28754300
2000-08-19,56.125000,61.125000,52.000000,59.312500,32.742168,24609200
2000-08-26,59.312500,67.375000,59.250000,66.812500,36.882378,19655000
2000-09-02,65.812500,66.875000,55.687500,55.750000,30.775572,18753100
2000-09-09,55.250000,57.625000,48.000000,49.875000,27.532398,24608100
2000-09-16,50.250000,54.312500,41.500000,43.375000,23.944208,42387500
2000-09-23,44.875000,46.250000,39.750000,41.187500,22.736664,38040600
2000-09-30,41.500000,41.875000,34.500000,35.312500,19.493490,33057800
2000-10-07,35.312500,39.375000,31.500000,34.562500,19.079468,48209900
2000-10-14,34.125000,35.937500,25.500000,34.437500,19.010460,49549400
2000-10-21,34.250000,37.125000,30.187500,31.125000,17.181871,32214500
2000-10-28,31.000000,34.625000,29.875000,32.187500,17.768404,31401200
2000-11-04,32.687500,33.000000,25.875000,26.250000,14.490740,22168100
2000-11-11,25.812500,33.125000,25.562500,29.812500,16.457336,24873100
2000-11-18,29.250000,32.937500,27.625000,32.812500,18.113426,16953000
2000-11-25,33.562500,34.125000,26.500000,27.750000,15.318780,29943900
2000-12-02,27.937500,36.000000,26.812500,35.937500,19.838514,25100100
2000-12-09,35.375000,37.312500,29.750000,30.375000,16.767855,27581800
2000-12-16,31.125000,34.687500,28.437500,31.812500,17.561390,34924800
2000-12-23,31.500000,35.375000,30.125000,33.687500,18.596449,14639300
2000-12-30,33.500000,42.750000,33.500000,37.187500,20.528542,30206600
2001-01-06,37.000000,43.625000,35.500000,39.937500,22.046621,41062400
2001-01-13,39.625000,46.937500,36.250000,44.937500,24.806761,45989900
2001-01-20,44.312500,46.000000,41.500000,43.062500,23.771708,33305600
2001-01-27,42.750000,48.687500,40.812500,42.062500,23.219679,28873700
2001-02-03,41.875000,42.000000,35.812500,35.875000,19.804007,33406700
2001-02-10,36.187500,46.625000,36.125000,41.687500,23.012676,44526400
2001-02-17,42.500000,44.375000,38.687500,43.375000,23.944208,37385100
2001-02-24,43.437500,43.500000,31.875000,39.875000,22.012123,46815700
2001-03-03,41.187500,46.250000,40.375000,41.687500,23.012676,39373900
2001-03-10,40.437500,46.562500,37.875000,38.562500,21.287584,51692200
2001-03-17,39.062500,47.812500,37.875000,44.937500,24.806761,63373700
2001-03-24,44.687500,47.625000,38.750000,39.375000,21.736107,59699200
2001-03-31,39.000000,39.937500,31.750000,36.000000,19.873009,56170800
2001-04-07,35.750000,44.900002,31.750000,44.040001,24.311321,44610700
2001-04-14,43.000000,53.500000,41.419998,52.110001,28.766195,59225200
2001-04-21,50.529999,54.099998,48.000000,52.639999,29.058767,44942000
2001-04-28,53.000000,56.669998,48.480000,50.820000,28.054060,40862100
2001-05-05,51.139999,53.450001,48.549999,50.830002,28.059595,33631100
2001-05-12,50.580002,55.950001,48.250000,55.459999,30.615484,31746400
2001-05-19,55.500000,61.000000,53.900002,56.610001,31.250313,34997500
2001-05-26,56.299999,56.299999,48.500000,52.730000,29.108446,25847900
2001-06-02,53.000000,60.799999,51.029999,58.750000,32.431656,33182300
2001-06-09,58.160000,60.000000,52.000000,54.639999,30.162811,35451400
2001-06-16,55.599998,58.290001,51.000000,54.599998,30.140741,43213600
2001-06-23,55.189999,59.880001,54.099998,58.470001,32.277084,28312300
2001-06-30,58.299999,59.110001,51.549999,51.660000,28.517765,21274000
2001-07-07,51.860001,52.619999,45.450001,50.700001,27.987820,42739100
2001-07-14,50.060001,52.200001,45.000000,51.169998,28.247271,47551600
2001-07-21,51.349998,54.110001,47.080002,53.910000,29.759842,29246000
2001-07-28,54.250000,59.700001,54.060001,58.459999,32.271564,50732200
2001-08-04,57.250000,58.950001,48.919998,52.529999,28.998028,48899200
2001-08-11,52.700001,54.340000,47.349998,47.980000,26.486311,32290900
2001-08-18,47.820000,51.759998,45.740002,51.570000,28.468090,31467700
2001-08-25,51.150002,53.160000,47.290001,49.139999,27.126663,24832100
2001-09-01,49.000000,50.450001,42.529999,44.320000,24.465889,43888000
2001-09-08,44.200001,45.139999,42.310001,44.200001,24.399639,10545700
2001-09-15,42.189999,43.599998,30.459999,33.910000,18.719267,58437900
2001-09-22,35.000000,36.290001,29.900000,31.580000,17.433052,52489100
2001-09-29,31.430000,34.939999,28.610001,33.410000,18.443258,50990200
2001-10-06,32.959999,39.189999,31.670000,39.169998,21.622938,57176900
2001-10-13,37.599998,39.820000,33.459999,36.509998,20.154547,50887600
2001-10-20,35.889999,46.009998,35.299999,44.160000,24.377560,53841300
2001-10-27,44.080002,46.000000,39.330002,45.020000,24.852306,45982900
2001-11-03,45.790001,50.150002,45.250000,47.230000,26.072290,44834800
2001-11-10,47.150002,51.900002,45.150002,49.980000,27.590363,45356900
2001-11-17,50.200001,50.209999,44.520000,47.630001,26.293091,32951300
2001-11-24,48.060001,53.240002,47.990002,50.230000,27.728371,61719300
2001-12-01,49.830002,57.599998,49.209999,55.299999,30.527159,48302800
2001-12-08,54.790001,57.169998,51.349998,52.849998,29.174679,40732500
2001-12-15,52.700001,56.340000,49.250000,50.029999,27.617977,40577800
2001-12-22,50.150002,52.349998,49.500000,51.310001,28.324549,8731400
2001-12-29,51.500000,56.480000,49.419998,55.490002,30.632044,24237400
2002-01-05,56.099998,60.299999,55.020000,56.840000,31.377285,44992900
2002-01-12,56.730000,57.660000,48.750000,49.919998,27.557251,58884800
2002-01-19,50.200001,54.639999,47.849998,54.389999,30.024811,38834900
2002-01-26,54.490002,57.799999,52.360001,56.680000,31.288960,47344300
