Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,0.150000,0.218000,0.150000,0.210000,0.210000,407600
2000-01-08,0.210000,0.218000,0.190000,0.210000,0.210000,296800
2000-01-15,0.200000,0.210000,0.200000,0.210000,0.210000,28200
2000-01-22,0.200000,0.218000,0.170000,0.190000,0.190000,166300
2000-01-29,0.190000,0.190000,0.170000,0.170000,0.170000,27100
2000-02-05,0.170000,0.190000,0.170000,0.170000,0.170000,30500
2000-02-12,0.190000,0.250000,0.175000,0.235000,0.235000,462700
2000-02-19,0.250000,0.625000,0.225000,0.390000,0.390000,1140900
2000-02-26,0.400000,0.430000,0.320000,0.320000,0.320000,378500
2000-03-04,0.340000,0.650000,0.330000,0.650000,0.650000,1254400
2000-03-11,0.640000,0.650000,0.490000,0.490000,0.490000,451000
2000-03-18,0.470000,0.530000,0.450000,0.500000,0.500000,185000
2000-03-25,0.520000,0.520000,0.400000,0.400000,0.400000,120300
2000-04-01,0.400000,0.400000,0.380000,0.380000,0.380000,56900
2000-04-08,0.380000,0.380000,0.350000,0.350000,0.350000,36700
2000-04-15,0.340000,0.370000,0.330000,0.330000,0.330000,52600
2000-04-22,0.340000,0.340000,0.250000,0.250000,0.250000,149400
2000-04-29,0.270000,0.312000,0.265000,0.310000,0.310000,301200
2000-05-06,0.350000,0.375000,0.325000,0.325000,0.325000,154100
2000-05-13,0.340000,0.340000,0.330000,0.330000,0.330000,29800
2000-05-20,0.325000,0.340000,0.270000,0.270000,0.270000,31500
2000-05-27,0.260000,0.280000,0.260000,0.270000,0.270000,11100
2000-06-03,0.270000,0.280000,0.250000,0.250000,0.250000,32000
2000-06-10,0.250000,0.280000,0.250000,0.280000,0.280000,30800
2000-06-17,0.280000,0.281000,0.260000,0.260000,0.260000,9500
2000-06-24,0.260000,0.260000,0.215000,0.235000,0.235000,194600
2000-07-01,0.260000,0.260000,0.215000,0.235000,0.235000,172500
2000-07-08,0.225000,0.230000,0.187000,0.200000,0.200000,220200
2000-07-15,0.187000,0.203000,0.180000,0.180000,0.180000,95600
2000-07-22,0.180000,0.200000,0.180000,0.190000,0.190000,54600
2000-07-29,0.200000,0.250000,0.200000,0.250000,0.250000,88500
2000-08-05,0.270000,0.343000,0.270000,0.343000,0.343000,105600
2000-08-12,0.330000,0.340000,0.290000,0.340000,0.340000,26300
2000-08-19,0.290000,0.350000,0.290000,0.350000,0.350000,51000
2000-08-26,0.420000,0.600000,0.375000,0.510000,0.510000,325700
2000-09-02,0.465000,0.520000,0.465000,0.490000,0.490000,68300
2000-09-09,0.490000,0.510000,0.490000,0.490000,0.490000,90700
2000-09-16,0.490000,0.490000,0.430000,0.430000,0.430000,82500
2000-09-23,0.430000,0.440000,0.330000,0.330000,0.330000,155900
2000-09-30,0.390000,0.390000,0.330000,0.330000,0.330000,44100
2000-10-07,0.330000,0.340000,0.320000,0.330000,0.330000,35000
2000-10-14,0.330000,0.380000,0.310000,0.310000,0.310000,67300
2000-10-21,0.310000,0.310000,0.260000,0.260000,0.260000,60900
2000-10-28,0.260000,0.260000,0.200000,0.218000,0.218000,127800
2000-11-04,0.218000,0.220000,0.190000,0.220000,0.220000,77200
2000-11-11,0.210000,0.250000,0.210000,0.250000,0.250000,43700
2000-11-18,0.210000,0.210000,0.170000,0.170000,0.170000,60400
2000-11-25,0.170000,0.170000,0.160000,0.160000,0.160000,17500
2000-12-02,0.160000,0.200000,0.160000,0.200000,0.200000,16600
2000-12-09,0.170000,0.190000,0.170000,0.170000,0.170000,52100
2000-12-16,0.165000,0.187000,0.150000,0.187000,0.187000,46300
2000-12-23,0.187000,0.187000,0.130000,0.160000,0.160000,209400
2000-12-30,0.180000,0.220000,0.150000,0.200000,0.200000,205500
2001-01-06,0.160000,0.160000,0.150000,0.150000,0.150000,30000
2001-01-13,0.160000,0.180000,0.160000,0.180000,0.180000,24800
2001-01-20,0.160000,0.160000,0.150000,0.150000,0.150000,18000
2001-01-27,0.150000,0.180000,0.150000,0.150000,0.150000,2000
2001-02-03,0.150000,0.180000,0.150000,0.180000,0.180000,1100
2001-02-10,0.180000,0.180000,0.150000,0.150000,0.150000,12000
2001-02-17,0.150000,0.180000,0.150000,0.180000,0.180000,30000
2001-02-24,0.160000,0.180000,0.150000,0.180000,0.180000,46900
2001-03-03,0.180000,0.260000,0.150000,0.240000,0.240000,141000
2001-03-10,0.240000,0.240000,0.200000,0.220000,0.220000,47200
2001-03-17,0.220000,0.220000,0.200000,0.210000,0.210000,38300
