Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,7.010122,7.090698,6.284937,6.526665,3.596430,40645
2000-01-08,6.526665,6.687818,6.043209,6.607241,3.640829,38784
2000-01-15,6.526665,6.607241,6.043209,6.365513,3.507629,53210
2000-01-22,6.043209,6.284937,5.801480,6.043209,3.330028,32114
2000-01-29,6.446089,6.768394,6.043209,6.043209,3.330028,25752
2000-02-05,6.284937,6.607241,6.043209,6.446089,3.552029,89821
2000-02-12,6.446089,8.299340,6.446089,6.768394,3.729630,120228
2000-02-19,6.929546,6.929546,6.284937,6.607241,3.640829,11015
2000-02-26,6.607241,6.929546,6.526665,6.607241,3.640829,51815
2000-03-04,6.607241,6.607241,6.123785,6.123785,3.374428,52125
2000-03-11,6.365513,6.365513,5.801480,5.882056,3.241227,79583
2000-03-18,5.882056,6.929546,5.882056,6.607241,3.640829,151254
2000-03-25,6.848970,7.010122,6.607241,7.010122,3.862833,25443
2000-04-01,6.929546,7.090698,6.607241,6.929546,3.818431,47936
2000-04-08,6.687818,6.848970,6.607241,6.687818,3.685230,65156
2000-04-15,6.687818,7.010122,6.687818,6.768394,3.729630,13186
2000-04-22,6.929546,7.090698,6.768394,6.768394,3.729630,21563
2000-04-29,6.768394,7.413003,6.768394,7.090698,3.934683,51039
2000-05-06,6.848970,7.251850,6.848970,7.090698,3.934683,64691
2000-05-13,6.768394,7.251850,6.768394,7.090698,3.934683,119298
2000-05-20,7.090698,7.251850,6.929546,7.251850,4.024108,9152
2000-05-27,6.929546,7.654731,6.929546,7.493579,4.158245,30251
2000-06-03,7.090698,7.413003,7.090698,7.090698,3.934683,12721
2000-06-10,7.090698,7.654731,7.090698,7.332426,4.068820,74929
2000-06-17,7.413003,7.413003,7.251850,7.332426,4.068820,8841
2000-06-24,7.251850,7.735307,7.251850,7.413003,4.113532,98509
2000-07-01,7.614443,7.614443,7.332426,7.332426,4.068820,15049
2000-07-08,7.332426,7.413003,7.251850,7.332426,4.068820,31802
2000-07-15,7.332426,7.574155,7.251850,7.574155,4.202957,81289
2000-07-22,7.413003,7.654731,7.332426,7.413003,4.113532,14273
2000-07-29,7.413003,7.614443,7.413003,7.574155,4.230548,55693
2000-08-05,7.413003,7.493579,7.413003,7.413003,4.140535,11170
2000-08-12,7.533867,7.614443,7.413003,7.614443,4.253051,69966
2000-08-19,7.654731,7.654731,7.413003,7.413003,4.140535,24355
2000-08-26,7.413003,7.574155,7.413003,7.574155,4.230548,57399
2000-09-02,7.413003,7.493579,7.413003,7.413003,4.140535,72603
2000-09-09,7.413003,7.533867,7.413003,7.453291,4.163042,23891
2000-09-16,7.453291,7.493579,7.211562,7.211562,4.028022,22029
2000-09-23,7.171274,7.493579,7.090698,7.090698,3.960513,98044
2000-09-30,7.110842,7.251850,7.090698,7.090698,3.960513,27303
2000-10-07,7.130986,7.211562,7.090698,7.171274,4.005518,28699
2000-10-14,7.211562,7.493579,7.090698,7.171274,4.005518,36922
2000-10-21,7.171274,7.332426,6.852999,6.852999,3.827747,31737
2000-10-28,6.852999,7.445233,6.852999,7.318326,4.118752,6353
2000-11-04,7.276023,7.402931,7.149116,7.149116,4.023520,122333
2000-11-11,7.149116,7.699048,7.106813,7.699048,4.333025,82885
2000-11-18,7.487535,7.487535,7.191418,7.276023,4.094944,21128
2000-11-25,7.191418,7.402931,7.191418,7.402931,4.166369,9751
2000-12-02,7.191418,7.445233,6.599184,6.852999,3.856868,62053
2000-12-09,6.937603,7.149116,6.852999,6.852999,3.856868,13296
2000-12-16,6.852999,7.106813,6.345369,6.429974,3.618789,89091
