Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,5.312500,6.125000,5.312500,6.062500,4.228055,76800
2000-01-08,6.250000,6.750000,6.125000,6.312500,4.402406,119700
2000-01-15,6.250000,6.375000,6.125000,6.250000,4.358818,51300
2000-01-22,6.125000,6.250000,6.125000,6.250000,4.358818,89600
2000-01-29,6.250000,6.500000,6.000000,6.500000,4.533170,23900
2000-02-05,6.500000,7.625000,6.500000,6.500000,4.578416,20000
2000-02-12,7.125000,7.125000,6.093750,6.453125,4.545399,23400
2000-02-19,6.453125,7.750000,6.093750,7.250000,5.106696,17600
2000-02-26,7.250000,7.250000,6.000000,6.500000,4.578416,49300
2000-03-04,6.500000,6.625000,6.250000,6.375000,4.490369,90100
2000-03-11,6.375000,7.125000,6.250000,7.000000,4.930602,72100
2000-03-18,7.093750,7.250000,6.625000,6.812500,4.798531,63900
2000-03-25,6.750000,7.312500,6.437500,7.312500,5.150718,152700
2000-04-01,7.125000,7.687500,7.125000,7.375000,5.194741,171300
2000-04-08,7.375000,7.500000,7.375000,7.375000,5.194741,141900
2000-04-15,7.500000,7.750000,7.375000,7.750000,5.458883,30700
2000-04-22,8.000000,8.562500,8.000000,8.375000,5.899114,785600
2000-04-29,8.468750,8.531250,8.437500,8.500000,5.987160,121100
2000-05-06,8.500000,8.562500,8.468750,8.500000,5.987160,941100
2000-05-13,8.562500,8.625000,8.437500,8.500000,5.987160,388600
2000-05-20,8.562500,8.562500,8.437500,8.500000,6.031866,510800
2000-05-27,8.500000,8.562500,6.750000,7.500000,5.322236,292300
2000-06-03,7.250000,7.500000,7.125000,7.437500,5.277882,12100
2000-06-10,7.562500,8.562500,7.562500,8.500000,6.031866,27500
2000-06-17,8.375000,8.703125,8.187500,8.656250,6.142748,36600
2000-06-24,8.375000,8.625000,7.500000,8.000000,5.677052,17100
2000-07-01,8.000000,8.125000,8.000000,8.125000,5.765753,8100
2000-07-08,8.125000,8.125000,8.000000,8.031250,5.699228,8400
2000-07-15,8.000000,8.078125,7.250000,7.562500,5.366588,176300
2000-07-22,7.250000,7.312500,6.187500,7.000000,4.967421,262200
2000-07-29,6.875000,7.500000,6.812500,7.000000,4.967421,81600
2000-08-05,6.750000,7.062500,6.500000,6.500000,4.612603,19900
2000-08-12,6.500000,6.625000,6.437500,6.500000,4.612603,131500
2000-08-19,6.562500,6.750000,6.562500,6.750000,4.790011,10500
2000-08-26,6.750000,7.437500,6.500000,7.125000,5.105608,29600
2000-09-02,7.062500,7.062500,6.687500,6.937500,4.971252,13800
2000-09-09,6.937500,7.000000,6.750000,7.000000,5.016037,29400
2000-09-16,7.000000,7.000000,6.625000,6.625000,4.747320,5800
2000-09-23,6.750000,6.937500,6.500000,6.500000,4.657749,8500
2000-09-30,6.750000,7.000000,6.500000,6.500000,4.657749,37900
2000-10-07,6.500000,6.625000,6.500000,6.625000,4.747320,35500
2000-10-14,6.875000,7.062500,6.500000,6.500000,4.657749,69700
2000-10-21,6.625000,7.000000,6.625000,6.750000,4.836891,45400
2000-10-28,7.062500,7.937500,7.062500,7.937500,5.687829,36700
2000-11-04,7.875000,7.875000,6.625000,6.625000,4.787201,20000
2000-11-11,6.718750,7.062500,6.625000,6.750000,4.877526,10300
2000-11-18,6.750000,6.812500,6.625000,6.750000,4.877526,6200
2000-11-25,6.625000,7.000000,6.625000,6.656250,4.809782,34300
2000-12-02,6.656250,7.125000,6.656250,7.000000,5.058173,30700
2000-12-09,7.000000,7.875000,6.812500,7.281250,5.261404,39500
2000-12-16,7.500000,7.937500,6.562500,7.250000,5.238823,53200
2000-12-23,7.250000,7.250000,6.500000,7.250000,5.238823,22800
2000-12-30,6.812500,7.250000,6.812500,7.250000,5.238823,2700
2001-01-06,7.125000,7.468750,7.000000,7.468750,5.396891,5900
2001-01-13,7.406250,7.437500,7.125000,7.375000,5.329149,17600
