Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,10.031250,10.062500,9.156250,9.312500,6.044872,767200
2000-01-08,9.250000,9.812500,9.250000,9.656250,6.268005,1427600
2000-01-15,9.625000,9.968750,9.375000,9.906250,6.430284,526000
2000-01-22,9.875000,10.062500,9.750000,9.906250,6.430284,975000
2000-01-29,9.750000,10.031250,9.312500,9.906250,6.430284,809200
2000-02-05,9.875000,10.062500,9.437500,9.937500,6.450570,1229000
2000-02-12,10.000000,10.062500,9.500000,9.593750,6.227435,1730000
2000-02-19,9.718750,10.000000,9.625000,9.664063,6.273079,506800
2000-02-26,9.656250,10.062500,9.625000,9.687500,6.288289,2378400
2000-03-04,9.687500,9.875000,9.187500,9.250000,6.004301,1922800
2000-03-11,9.312500,9.500000,9.062500,9.375000,6.085440,1731800
2000-03-18,9.359375,9.562500,9.312500,9.468750,6.146295,1369600
2000-03-25,9.375000,12.187500,9.281250,12.093750,7.850219,2373600
2000-04-01,11.250000,11.468750,9.750000,10.125000,6.620744,1809600
2000-04-08,10.062500,10.343750,9.687500,9.718750,6.355093,669600
2000-04-15,9.812500,10.242188,9.625000,9.718750,6.355093,441800
2000-04-22,9.875000,10.156250,9.406250,9.523438,6.227380,878800
2000-04-29,9.468750,9.500000,7.000000,7.750000,5.067730,1492200
2000-05-06,7.812500,8.125000,7.500000,7.875000,5.149466,1243200
2000-05-13,7.875000,8.062500,7.000000,7.062500,4.618174,1241400
2000-05-20,7.250000,7.625000,7.062500,7.218750,4.720345,440800
2000-05-27,7.156250,7.562500,6.937500,7.062500,4.618174,380000
2000-06-03,7.390625,7.406250,6.875000,7.187500,4.699910,778800
2000-06-10,7.250000,7.625000,7.031250,7.500000,4.904254,1088400
2000-06-17,7.531250,7.562500,6.906250,6.968750,4.556869,748200
2000-06-24,6.968750,7.375000,6.968750,7.125000,4.659043,1021400
2000-07-01,7.250000,7.562500,7.125000,7.343750,4.849940,620200
2000-07-08,7.343750,8.437500,7.250000,8.062500,5.324617,1383200
2000-07-15,8.156250,8.156250,7.312500,7.468750,4.932493,805800
2000-07-22,7.500000,7.625000,7.156250,7.156250,4.726114,454200
2000-07-29,7.437500,8.187500,7.156250,7.500000,4.953131,638000
2000-08-05,7.500000,8.000000,7.500000,8.000000,5.283339,180000
2000-08-12,7.812500,7.968750,7.687500,7.750000,5.118236,1024200
2000-08-19,7.843750,7.906250,7.593750,7.593750,5.015045,662000
2000-08-26,7.640625,7.812500,7.250000,7.375000,4.870579,493800
2000-09-02,7.421875,7.781250,7.281250,7.406250,4.891217,347800
2000-09-09,7.593750,7.656250,7.375000,7.375000,4.870579,530000
2000-09-16,7.500000,7.656250,5.507813,7.437500,4.911854,540000
2000-09-23,7.437500,7.468750,6.500000,6.656250,4.395905,1031000
2000-09-30,6.625000,7.250000,6.562500,6.875000,4.540369,677600
2000-10-07,6.843750,7.125000,6.218750,7.062500,4.664198,474400
2000-10-14,6.937500,7.875000,6.000000,7.625000,5.035682,649600
2000-10-21,7.750000,8.125000,7.375000,7.937500,5.242063,877000
2000-10-28,7.812500,9.156250,7.562500,8.937500,5.902483,1308000
2000-11-04,8.750000,9.062500,8.156250,8.406250,5.551634,659600
2000-11-11,8.445313,8.968750,7.968750,8.812500,5.819928,785000
2000-11-18,8.500000,9.250000,8.500000,9.000000,5.943758,343000
2000-11-25,9.179688,9.250000,8.382813,9.031250,5.964395,629400
2000-12-02,9.031250,9.562500,8.468750,9.375000,6.191412,1206000
2000-12-09,9.250000,9.406250,9.062500,9.187500,6.067586,1189200
2000-12-16,9.250000,10.000000,9.156250,10.000000,6.654532,527600
2000-12-23,10.000000,10.000000,9.250000,9.812500,6.529762,475000
2000-12-30,9.750000,9.812500,8.937500,9.218750,6.181006,951400
2001-01-06,9.156250,9.718750,9.093750,9.468750,6.348625,379600
2001-01-13,9.187500,10.218750,9.187500,9.312500,6.243864,789000
2001-01-20,9.593750,9.968750,9.218750,9.281250,6.222909,567400
2001-01-27,9.281250,9.875000,9.218750,9.500000,6.369581,649400
2001-02-03,9.406250,10.000000,9.406250,9.781250,6.558152,293000
2001-02-10,9.593750,10.187500,9.414063,9.843750,6.600058,645200
2001-02-17,9.906250,10.250000,9.625000,10.156250,6.809580,372400
2001-02-24,9.937500,11.000000,9.937500,10.937500,7.333397,843600
2001-03-03,10.687500,11.000000,10.468750,10.812500,7.249589,575800
2001-03-10,10.625000,10.875000,10.312500,10.312500,6.914343,707000
2001-03-17,10.312500,10.812500,10.281250,10.593750,7.102917,654400
2001-03-24,10.593750,11.125000,8.968750,10.750000,7.207680,881600
2001-03-31,10.625000,10.625000,9.562500,9.687500,6.543917,425000
2001-04-07,9.875000,10.285000,9.475000,9.965000,6.731370,333000
2001-04-14,9.965000,10.050000,9.300000,9.875000,6.670573,476400
2001-04-21,10.000000,10.250000,9.550000,9.995000,6.751634,1283400
2001-04-28,10.015000,11.110000,9.980000,11.110000,7.504818,1667400
2001-05-05,11.100000,11.175000,10.750000,11.000000,7.430512,579400
2001-05-12,10.970000,11.995000,10.625000,11.865000,8.014824,1185600
2001-05-19,11.665000,13.200000,11.450000,12.700000,8.578863,2090000
2001-05-26,12.695000,12.700000,11.725000,12.000000,8.106016,591200
2001-06-02,12.095000,12.625000,11.875000,12.000000,8.106016,558400
2001-06-09,12.000000,12.495000,10.925000,11.660000,7.876339,897400
2001-06-16,11.250000,12.350000,11.250000,11.750000,7.937139,421800
2001-06-23,12.025000,12.880000,11.355000,12.750000,8.612638,799000
2001-06-30,12.600000,12.750000,11.515000,11.760000,7.991863,622600
