Date,Open,High,Low,Close,Adj Close,Volume
2015-05-04,185.500000,272.720001,180.600006,269.779999,269.779999,282700
2015-05-11,282.940002,308.000000,254.800003,281.820007,281.820007,102664
2015-05-18,275.940002,389.480011,264.600006,345.940002,345.940002,38958
2015-05-25,352.799988,375.899994,309.820007,320.459991,320.459991,47914
2015-06-01,338.380005,396.059998,317.660004,362.179993,362.179993,56657
2015-06-08,360.079987,377.859985,284.059998,311.220001,311.220001,37000
2015-06-15,308.000000,325.640015,302.540009,305.480011,305.480011,46243
2015-06-22,302.399994,321.440002,262.500000,275.239990,275.239990,104785
2015-06-29,276.079987,276.079987,226.240005,230.860001,230.860001,19050
2015-07-06,231.000000,260.820007,206.639999,257.040009,257.040009,34757
2015-07-13,259.700012,274.959991,231.839996,237.720001,237.720001,42049
2015-07-20,240.940002,256.760010,214.563995,247.940002,247.940002,39636
2015-07-27,245.979996,272.859985,239.595993,262.500000,262.500000,29906
2015-08-03,261.380005,294.000000,255.500000,259.279999,259.279999,21800
2015-08-10,260.260010,260.260010,198.380005,200.619995,200.619995,19257
2015-08-17,200.339996,237.860001,193.227997,196.559998,196.559998,26978
2015-08-24,177.660004,222.039993,168.699997,207.059998,207.059998,30329
2015-08-31,203.839996,216.300003,189.839996,201.740005,201.740005,20893
2015-09-07,205.100006,259.700012,204.399994,237.440002,237.440002,21328
2015-09-14,237.580002,275.351990,237.160004,250.179993,250.179993,46078
2015-09-21,250.039993,252.559998,185.779999,185.779999,185.779999,51515
2015-09-28,185.360001,185.360001,134.190002,155.259995,155.259995,54306
2015-10-05,156.520004,170.520004,141.679993,162.259995,162.259995,34258
2015-10-12,163.240005,168.559998,145.740005,159.880005,159.880005,18100
2015-10-19,159.460007,168.979996,129.500000,151.479996,151.479996,29814
2015-10-26,151.479996,180.740005,147.839996,174.440002,174.440002,27972
2015-11-02,175.839996,185.639999,160.720001,169.820007,169.820007,37264
2015-11-09,175.000000,175.559998,133.279999,143.220001,143.220001,23979
2015-11-16,143.500000,144.199997,117.040001,122.220001,122.220001,24250
2015-11-23,121.239998,125.160004,113.680000,122.360001,122.360001,22315
2015-11-30,121.800003,132.005997,115.080002,122.500000,122.500000,21678
2015-12-07,123.620003,123.620003,103.180000,106.540001,106.540001,21550
2015-12-14,106.540001,150.360001,106.260002,140.979996,140.979996,150964
2015-12-21,142.800003,153.020004,132.440002,143.919998,143.919998,18000
2015-12-28,143.500000,146.160004,133.139999,137.619995,137.619995,12793
2016-01-04,134.820007,134.820007,101.500000,104.019997,104.019997,35400
2016-01-11,105.419998,126.559998,79.239998,83.160004,83.160004,49607
2016-01-18,85.120003,88.760002,76.720001,80.220001,80.220001,42207
2016-01-25,79.800003,95.339996,71.820000,73.919998,73.919998,55586
2016-02-01,74.199997,86.660004,59.556000,60.060001,60.060001,52021
2016-02-08,59.639999,59.639999,49.000000,57.540001,57.540001,57685
2016-02-15,57.820000,64.820000,52.080002,60.759998,60.759998,11814
2016-02-22,61.320000,64.540001,55.299999,64.120003,64.120003,59279
2016-02-29,64.540001,79.660004,61.599998,78.820000,78.820000,35036
2016-03-07,78.680000,89.739998,68.040001,71.400002,71.400002,35464
2016-03-14,71.540001,82.739998,68.459999,74.199997,74.199997,35937
2016-03-21,77.279999,84.139999,65.940002,70.139999,70.139999,29392
2016-03-28,70.980003,76.650002,51.282001,53.340000,53.340000,144636
2016-04-04,54.040001,54.180000,42.419998,44.799999,44.799999,554200
2016-04-11,46.759998,61.040001,46.480000,58.660000,58.660000,535057
2016-04-18,59.220001,60.200001,53.060001,58.520000,58.520000,165543
2016-04-25,58.660000,58.799999,48.020000,49.840000,49.840000,110000
2016-05-02,50.400002,51.967999,42.840000,43.400002,43.400002,102749
2016-05-09,43.680000,45.919998,39.340000,40.740002,40.740002,68256
2016-05-16,41.439999,44.660000,40.459999,44.099998,44.099998,58386
2016-05-23,44.240002,47.459999,43.400002,45.220001,45.220001,57129
2016-05-30,45.779999,49.980000,45.500000,48.580002,48.580002,43427
2016-06-06,48.299999,49.700001,42.419998,42.980000,42.980000,81349
2016-06-13,42.419998,44.464001,38.779999,39.200001,39.200001,77736
2016-06-20,39.340000,41.439999,36.959999,40.040001,40.040001,95036
2016-06-27,39.340000,41.160000,34.720001,41.160000,41.160000,45922
2016-07-04,41.160000,41.160000,37.939999,39.900002,39.900002,28493
2016-07-11,40.459999,40.459999,36.764000,37.799999,37.799999,43007
2016-07-18,37.799999,47.459999,36.680000,40.599998,40.599998,158950
2016-07-25,40.740002,48.020000,39.900002,47.740002,47.740002,148664
2016-08-01,48.860001,52.080002,42.139999,46.340000,46.340000,150072
2016-08-08,47.740002,48.608002,41.020000,47.880001,47.880001,72249
2016-08-15,47.740002,53.900002,44.660000,46.759998,46.759998,124864
2016-08-22,46.619999,47.880001,39.270000,41.720001,41.720001,58073
2016-08-29,41.580002,43.259998,39.480000,40.599998,40.599998,39193
2016-09-05,41.160000,44.660000,41.020000,43.119999,43.119999,36386
2016-09-12,42.419998,47.180000,41.439999,44.939999,44.939999,74108
2016-09-19,45.360001,49.000000,43.540001,46.200001,46.200001,44358
2016-09-26,45.919998,47.880001,44.099998,44.520000,44.520000,22829
2016-10-03,44.520000,47.320000,39.759998,40.599998,40.599998,49306
2016-10-10,40.880001,43.512001,37.939999,38.919998,38.919998,52900
2016-10-17,38.500000,42.000000,37.099998,40.599998,40.599998,17544
2016-10-24,44.099998,45.500000,39.200001,39.200001,39.200001,39750
2016-10-31,38.500000,39.900002,35.700001,37.799999,37.799999,28392
2016-11-07,38.500000,44.799999,36.400002,44.099998,44.099998,47700
2016-11-14,44.799999,53.200001,41.299999,52.500000,52.500000,94693
2016-11-21,52.500000,53.200001,44.099998,44.099998,44.099998,28207
2016-11-28,43.400002,44.799999,40.599998,42.700001,42.700001,24593
2016-12-05,42.000000,51.632000,42.000000,50.400002,50.400002,34314
2016-12-12,49.700001,51.099998,30.799999,33.599998,33.599998,195664
2016-12-19,32.900002,35.700001,29.400000,34.299999,34.299999,126557
2016-12-26,33.599998,35.700001,29.750000,30.100000,30.100000,50572
2017-01-02,31.500000,35.700001,31.500000,34.299999,34.299999,27871
2017-01-09,35.000000,36.400002,32.200001,35.000000,35.000000,33886
2017-01-16,35.000000,48.299999,34.299999,42.000000,42.000000,279164
2017-01-23,41.299999,44.099998,40.599998,42.000000,42.000000,32064
2017-01-30,41.299999,47.599998,41.299999,45.500000,45.500000,39129
2017-02-06,45.500000,48.299999,45.500000,47.599998,47.599998,37022
2017-02-13,47.950001,49.700001,46.200001,49.700001,49.700001,34721
2017-02-20,50.400002,53.200001,46.900002,47.250000,47.250000,19535
2017-02-27,46.900002,62.299999,46.549999,48.299999,48.299999,367607
2017-03-06,47.599998,51.799999,46.200001,50.400002,50.400002,24585
2017-03-13,51.099998,56.000000,47.599998,53.200001,53.200001,22293
2017-03-20,52.500000,53.200001,47.599998,49.700001,49.700001,20086
2017-03-27,47.599998,49.700001,47.599998,49.000000,49.000000,14543
2017-04-03,49.700001,49.700001,45.500000,45.500000,45.500000,15793
2017-04-10,45.500000,46.886002,43.400002,44.099998,44.099998,7079
2017-04-17,44.799999,44.799999,42.000000,42.700001,42.700001,14943
2017-04-24,44.099998,49.700001,42.000000,46.200001,46.200001,20386
2017-05-01,46.200001,46.242001,42.000000,44.099998,44.099998,9629
2017-05-08,46.200001,47.599998,42.700001,45.500000,45.500000,8951
2017-05-15,45.500000,48.299999,45.500000,47.599998,47.599998,12486
2017-05-22,47.599998,50.400002,44.799999,46.200001,46.200001,8814
2017-05-29,45.500000,50.400002,44.099998,49.000000,49.000000,5600
2017-06-05,48.678001,50.400002,47.599998,47.599998,47.599998,6321
2017-06-12,46.900002,49.700001,46.200001,49.700001,49.700001,6036
2017-06-19,49.700001,52.500000,48.650002,51.099998,51.099998,9687
2017-06-26,50.400002,52.500000,47.599998,47.599998,47.599998,7293
2017-07-03,47.599998,49.000000,43.638000,49.000000,49.000000,10115
2017-07-10,48.299999,50.400002,44.799999,46.200001,46.200001,10956
2017-07-17,45.933998,50.400002,45.500000,45.500000,45.500000,15001
2017-07-24,46.200001,49.700001,44.799999,49.000000,49.000000,9522
2017-07-31,49.000000,49.000000,46.200001,46.549999,46.549999,7764
2017-08-07,46.633999,46.900002,42.000000,42.700001,42.700001,10143
