Date,Open,High,Low,Close,Adj Close,Volume
2017-08-14,90.000000,90.000000,90.000000,90.000000,90.000000,100
2017-08-21,90.000000,90.000000,90.000000,90.000000,90.000000,0
2017-08-28,90.000000,90.000000,90.000000,90.000000,90.000000,0
2017-09-04,90.000000,90.000000,90.000000,90.000000,90.000000,0
2017-09-11,90.000000,90.000000,90.000000,90.000000,90.000000,0
2017-09-18,90.000000,90.000000,90.000000,90.000000,90.000000,0
2017-09-25,90.000000,90.000000,90.000000,90.000000,90.000000,0
2017-10-02,90.000000,90.000000,90.000000,90.000000,90.000000,0
2017-10-09,90.000000,90.000000,90.000000,90.000000,90.000000,0
2017-10-16,90.000000,90.000000,90.000000,90.000000,90.000000,0
2017-10-23,90.000000,90.000000,90.000000,90.000000,90.000000,0
2017-10-30,90.000000,90.000000,30.000000,30.000000,30.000000,0
2017-11-06,30.000000,30.000000,30.000000,30.000000,30.000000,0
2017-11-13,30.000000,30.000000,30.000000,30.000000,30.000000,0
2017-11-20,30.000000,30.000000,30.000000,30.000000,30.000000,0
2017-11-27,30.000000,30.000000,30.000000,30.000000,30.000000,0
2017-12-04,30.000000,30.000000,30.000000,30.000000,30.000000,0
2017-12-11,30.000000,30.000000,7.000000,7.250000,7.250000,5500
2017-12-18,7.000000,7.500000,3.990000,4.000000,4.000000,61500
2017-12-25,4.005000,4.500000,4.000000,4.400000,4.400000,149600
2018-01-01,4.000000,4.200000,4.000000,4.000000,4.000000,52100
2018-01-08,4.150000,4.523000,4.000000,4.240000,4.240000,78600
2018-01-15,4.050000,4.350000,3.993000,4.239000,4.239000,515500
2018-01-22,4.200000,4.280000,4.000000,4.000000,4.000000,59000
2018-01-29,4.000000,4.100000,3.750000,4.000000,4.000000,81900
2018-02-05,4.080000,4.080000,3.820000,3.980000,3.980000,10700
2018-02-12,3.900000,4.050000,3.670000,4.050000,4.050000,48900
2018-02-19,4.000000,4.190000,3.810000,4.000000,4.000000,12800
2018-02-26,3.910000,4.400000,3.900000,4.020000,4.020000,124500
2018-03-05,4.000000,4.240000,3.750000,3.900000,3.900000,98700
2018-03-12,4.030000,4.030000,3.860000,3.860000,3.860000,36800
2018-03-19,3.940000,4.000000,3.430000,3.950000,3.950000,32300
2018-03-26,3.960000,3.960000,3.751000,3.800000,3.800000,29800
2018-04-02,3.451000,3.900000,3.441000,3.820000,3.820000,39300
2018-04-09,3.470000,3.820000,3.440000,3.820000,3.820000,38400
2018-04-16,3.800000,3.830000,3.700000,3.700000,3.700000,31700
2018-04-23,3.700000,3.800000,3.510000,3.800000,3.800000,28800
2018-04-30,3.800000,3.850000,3.580000,3.850000,3.850000,52000
2018-05-07,3.600000,4.000000,3.500000,3.830000,3.830000,57400
2018-05-14,3.860000,10.250000,3.600000,4.940000,4.940000,1513200
2018-05-21,5.020000,5.750000,3.531000,3.845000,3.845000,739200
2018-05-28,3.790000,4.500000,3.780000,4.450000,4.450000,319300
2018-06-04,4.450000,5.800000,4.240000,5.220000,5.220000,484500
2018-06-11,5.310000,8.690000,5.310000,8.320000,8.320000,2668000
2018-06-18,8.290000,11.110000,7.250000,7.900000,7.900000,3462600
2018-06-25,7.890000,8.030000,5.350000,5.770000,5.770000,1454200
2018-07-02,5.780000,6.210000,5.657000,5.950000,5.950000,303700
2018-07-09,5.801000,6.010000,5.380000,5.540000,5.540000,314400
2018-07-16,5.530000,5.540000,4.910000,4.970000,4.970000,214300
2018-07-23,5.110000,5.850000,4.760000,4.960000,4.960000,262200
2018-07-30,5.960000,5.960000,4.551000,4.710000,4.710000,206100
2018-08-06,4.940000,5.050000,4.480000,4.650000,4.650000,124000
2018-08-13,4.600000,4.960000,4.161000,4.460000,4.460000,164700
2018-08-20,4.440000,4.620000,4.210000,4.460000,4.460000,217300
2018-08-27,4.550000,5.110000,4.250000,5.070000,5.070000,186600
2018-09-03,5.260000,5.630000,4.820000,4.890000,4.890000,273200
2018-09-10,5.000000,5.210000,4.720000,4.850000,4.850000,122000
2018-09-17,4.820000,4.940000,3.510000,3.510000,3.510000,445600
2018-09-24,3.690000,4.230000,3.450000,3.920000,3.920000,458600
2018-10-01,3.940000,3.990000,3.360000,3.450000,3.450000,304800
2018-10-08,3.450000,3.680000,2.640000,2.830000,2.830000,407000
2018-10-15,2.940000,3.200000,2.760000,2.770000,2.770000,191400
2018-10-22,2.790000,3.000000,2.520000,2.940000,2.940000,184500
2018-10-29,2.970000,3.185000,2.790000,3.110000,3.110000,113600
2018-11-05,3.130000,4.050000,3.050000,4.050000,4.050000,239900
2018-11-12,4.090000,4.604000,3.400000,4.050000,4.050000,280900
2018-11-19,4.070000,4.350000,3.790000,4.350000,4.350000,90100
2018-11-26,4.350000,5.480000,4.300000,5.090000,5.090000,659200
2018-12-03,5.160000,5.750000,4.502000,4.850000,4.850000,387700
2018-12-10,4.840000,5.740000,4.445000,5.460000,5.460000,417000
2018-12-17,5.460000,5.600000,3.710000,4.630000,4.630000,2812500
2018-12-24,4.500000,5.630000,3.950000,4.900000,4.900000,1278100
2018-12-31,4.890000,6.000000,4.700000,6.000000,6.000000,402300
2019-01-07,6.000000,7.000000,5.610000,6.210000,6.210000,482600
2019-01-14,6.190000,7.150000,6.050000,6.590000,6.590000,408800
2019-01-21,6.570000,6.840000,6.012000,6.430000,6.430000,210800
2019-01-28,6.340000,6.800000,5.530000,5.820000,5.820000,315000
2019-02-04,5.810000,6.150000,5.110000,5.540000,5.540000,200600
2019-02-11,5.520000,6.130000,5.330000,5.780000,5.780000,280300
2019-02-18,5.770000,6.430000,5.600000,6.180000,6.180000,383500
2019-02-25,6.360000,7.233000,5.702000,5.990000,5.990000,832800
2019-03-04,6.100000,6.240000,5.000000,5.290000,5.290000,406000
2019-03-11,5.300000,6.340000,5.180000,6.220000,6.220000,697700
2019-03-18,6.280000,6.600000,5.550000,5.730000,5.730000,309700
