Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,4.958333,5.062500,4.958333,5.062500,2.865873,40200
2000-01-08,5.041667,5.500000,5.041667,5.416667,3.084798,41400
2000-01-15,5.125000,5.166667,5.104167,5.104167,2.906830,28200
2000-01-22,5.166667,5.958333,5.166667,5.166667,2.942424,83700
2000-01-29,5.541667,5.583333,5.125000,5.125000,2.918693,47700
2000-02-05,5.041667,5.333333,5.041667,5.041667,2.871235,10200
2000-02-12,5.041667,5.125000,4.229167,4.979167,2.835641,61500
2000-02-19,4.958333,5.208333,4.916667,5.000000,2.847507,39900
2000-02-26,5.000000,5.000000,4.583333,4.666667,2.657673,33300
2000-03-04,4.666667,4.666667,4.416667,4.416667,2.515298,30600
2000-03-11,4.583333,4.666667,4.416667,4.583333,2.610214,15300
2000-03-18,4.583333,4.583333,4.416667,4.416667,2.515298,19800
2000-03-25,4.333333,4.500000,4.291667,4.416667,2.515298,77100
2000-04-01,4.416667,4.729167,4.333333,4.416667,2.515298,15600
2000-04-08,4.375000,4.458333,4.291667,4.416667,2.540460,33900
2000-04-15,4.333333,4.500000,4.250000,4.270833,2.456576,26100
2000-04-22,4.270833,4.291667,4.000000,4.000000,2.300793,47700
2000-04-29,4.041667,4.791667,4.041667,4.708333,2.708225,122700
2000-05-06,4.708333,4.708333,3.750000,4.500000,2.588392,198900
2000-05-13,3.833333,4.333333,3.833333,4.333333,2.492527,7800
2000-05-20,4.333333,4.333333,4.083333,4.333333,2.492527,54900
2000-05-27,4.083333,4.333333,4.083333,4.333333,2.492527,19800
2000-06-03,4.416667,4.500000,4.166667,4.333333,2.492527,26400
2000-06-10,4.500000,4.500000,4.166667,4.166667,2.396661,17100
2000-06-17,4.333333,4.416667,4.166667,4.166667,2.396661,63900
2000-06-24,4.166667,4.333333,3.833333,3.833333,2.204927,24000
2000-07-01,3.833333,4.000000,3.833333,4.000000,2.300793,21300
2000-07-08,4.000000,4.333333,4.000000,4.104167,2.387701,18600
2000-07-15,4.104167,4.312500,4.000000,4.312500,2.508904,35700
2000-07-22,4.333333,4.625000,4.291667,4.625000,2.690708,127800
2000-07-29,4.625000,4.666667,4.500000,4.666667,2.714950,2100
2000-08-05,4.666667,4.666667,4.583333,4.645833,2.702830,14700
2000-08-12,4.500000,4.666667,4.500000,4.666667,2.714950,31800
2000-08-19,4.666667,4.666667,4.541667,4.541667,2.642228,30600
2000-08-26,4.541667,4.666667,4.416667,4.500000,2.617986,34200
2000-09-02,4.500000,4.625000,4.500000,4.625000,2.690708,5100
2000-09-09,4.437500,4.625000,3.833333,4.083333,2.375581,79200
2000-09-16,4.166667,4.416667,4.083333,4.125000,2.399822,18300
2000-09-23,4.125000,4.333333,3.437500,3.520833,2.048332,978000
2000-09-30,3.666667,4.020833,3.520833,4.000000,2.327099,278100
2000-10-07,4.125000,4.375000,4.125000,4.375000,2.576422,377100
2000-10-14,4.375000,4.375000,4.083333,4.291667,2.527347,16500
2000-10-21,4.291667,4.291667,3.708333,4.041667,2.380123,87300
2000-10-28,4.104167,4.125000,3.770833,4.000000,2.355585,28200
2000-11-04,4.000000,4.166667,3.895833,3.895833,2.294242,47700
2000-11-11,3.895833,4.000000,3.645833,3.729167,2.196092,61800
2000-11-18,3.604167,3.875000,3.604167,3.875000,2.281974,173700
2000-11-25,3.916667,4.000000,3.708333,3.750000,2.208362,70200
2000-12-02,3.729167,3.916667,3.729167,3.750000,2.208362,6600
2000-12-09,3.671875,3.911458,3.666667,3.895833,2.294242,76200
2000-12-16,3.671875,3.916667,3.625000,3.833333,2.257436,103800
2000-12-23,3.916667,4.166667,3.583333,4.166667,2.453736,203400
2000-12-30,4.208333,4.583333,4.166667,4.541667,2.674572,332700
2001-01-06,4.505208,4.791667,4.500000,4.666667,2.748184,918000
2001-01-13,4.666667,5.020833,4.541667,4.916667,2.923299,401400
2001-01-20,4.958333,5.041667,4.791667,5.000000,2.972847,412800
2001-01-27,5.000000,5.000000,4.833333,4.916667,2.923299,70500
2001-02-03,4.916667,4.916667,4.791667,4.916667,2.923299,37200
2001-02-10,4.953125,5.333333,4.953125,5.250000,3.121489,91800
2001-02-17,5.250000,5.416667,5.125000,5.291667,3.146264,30300
2001-02-24,5.166667,5.250000,5.000000,5.083333,3.022394,38400
2001-03-03,5.083333,5.166667,5.041667,5.083333,3.022394,18300
2001-03-10,5.041667,5.083333,4.812500,4.812500,2.861365,43200
2001-03-17,4.750000,4.750000,3.875000,4.166667,2.477373,93300
2001-03-24,4.291667,5.458333,4.125000,5.458333,3.245358,306900
2001-03-31,5.244792,5.244792,4.916667,4.916667,2.923299,29100
2001-04-07,4.833333,5.000000,4.833333,4.900000,2.943163,3000
2001-04-14,5.000000,5.033333,4.876667,4.876667,2.929148,45600
2001-04-21,4.866667,5.026667,4.866667,4.963333,2.981202,33600
2001-04-28,4.916667,5.000000,4.866667,5.000000,3.003227,38700
2001-05-05,5.000000,5.000000,4.666667,4.700000,2.823034,36600
2001-05-12,4.700000,4.833333,4.666667,4.666667,2.803012,34500
2001-05-19,4.700000,4.700000,4.450000,4.500000,2.702905,37200
2001-05-26,4.506667,4.570000,4.506667,4.536667,2.724928,5100
2001-06-02,4.666667,4.826667,4.633333,4.733333,2.843054,23400
2001-06-09,4.833333,4.850000,4.750000,4.850000,2.913131,47400
2001-06-16,4.833333,5.023333,4.716667,5.023333,3.017241,138300
2001-06-23,4.933333,5.290000,4.933333,5.083333,3.053280,134400
2001-06-30,5.050000,5.066667,5.033333,5.033333,3.023249,127800
2001-07-07,5.066667,5.163333,5.066667,5.130000,3.112186,129000
2001-07-14,5.133333,5.150000,5.066667,5.100000,3.093986,51300
2001-07-21,5.100000,5.190000,5.066667,5.116667,3.104097,116400
2001-07-28,5.116667,5.216667,5.093333,5.183333,3.144540,94500
2001-08-04,5.166667,5.666667,5.100000,5.600000,3.397318,157500
2001-08-11,5.466667,5.633333,5.083333,5.280000,3.203186,128400
2001-08-18,5.300000,5.546667,5.300000,5.533333,3.356873,159300
2001-08-25,5.476667,5.533333,5.416667,5.483333,3.326541,338100
2001-09-01,5.543333,5.626667,5.483333,5.600000,3.397318,24300
2001-09-08,5.500000,5.500000,5.500000,5.500000,3.336652,15000
2001-09-15,5.486667,5.603333,5.220000,5.413333,3.284074,193500
2001-09-22,5.216667,5.330000,5.166667,5.203333,3.156675,93300
2001-09-29,5.220000,5.413333,5.203333,5.400000,3.275986,24300
2001-10-06,5.216667,5.333333,5.216667,5.283333,3.235541,13800
2001-10-13,5.333333,5.400000,5.210000,5.333333,3.266162,34500
2001-10-20,5.400000,5.446667,5.226667,5.400000,3.306988,120900
