Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,3.453125,4.125000,3.406250,4.031250,3.189654,2103200
2000-01-08,4.562500,5.187500,4.406250,4.968750,3.931433,778400
2000-01-15,4.750000,5.171875,4.687500,5.125000,4.055064,234400
2000-01-22,5.281250,6.218750,5.125000,5.750000,4.549583,1290400
2000-01-29,5.843750,7.812500,5.593750,7.781250,6.156774,661600
2000-02-05,8.640625,9.390625,7.187500,7.500000,5.934240,1485600
2000-02-12,7.562500,7.906250,7.375000,7.406250,5.860062,588000
2000-02-19,7.781250,8.531250,7.531250,8.234375,6.515301,491200
2000-02-26,7.781250,9.250000,7.687500,9.218750,7.294170,349600
2000-03-04,9.000000,9.500000,7.750000,8.625000,6.824376,464000
2000-03-11,8.187500,9.500000,7.718750,8.218750,6.502938,470400
2000-03-18,8.437500,9.062500,7.984375,8.750000,6.923279,256800
2000-03-25,8.625000,8.625000,7.812500,8.187500,6.478212,112000
2000-04-01,8.000000,8.000000,6.687500,7.750000,6.132048,220800
2000-04-08,7.625000,7.750000,6.343750,6.343750,5.019378,178400
2000-04-15,6.062500,7.250000,6.007813,7.125000,5.637527,122400
2000-04-22,7.000000,8.375000,6.843750,8.140625,6.441123,795200
2000-04-29,8.250000,8.750000,7.773438,8.000000,6.329856,324800
2000-05-06,8.281250,8.281250,7.500000,7.859375,6.218589,276000
2000-05-13,8.031250,8.074219,6.875000,7.125000,5.637527,93600
2000-05-20,7.000000,7.062500,6.656250,7.000000,5.538624,87200
2000-05-27,6.937500,8.125000,6.875000,8.093750,6.404034,206400
2000-06-03,7.750000,8.000000,7.406250,7.406250,5.860062,172000
2000-06-10,7.375000,7.750000,7.250000,7.695313,6.088778,308800
2000-06-17,7.625000,8.250000,7.625000,8.125000,6.428760,140000
2000-06-24,8.031250,9.125000,8.000000,9.125000,7.219992,1309600
2000-07-01,9.125000,9.750000,9.000000,9.562500,7.566155,408000
2000-07-08,9.140625,9.625000,8.187500,8.968750,7.096362,1322800
2000-07-15,9.000000,9.218750,8.125000,9.187500,7.269444,282800
2000-07-22,9.250000,9.468750,8.062500,8.312500,6.577116,1557200
2000-07-29,8.718750,8.843750,7.750000,8.031250,6.354582,713600
2000-08-05,7.968750,8.375000,7.500000,7.609375,6.020781,251600
2000-08-12,7.625000,8.406250,7.375000,8.375000,6.626568,220400
2000-08-19,8.375000,8.687500,8.093750,8.250000,6.527664,1406800
2000-08-26,8.312500,8.500000,8.062500,8.437500,6.676020,1085600
2000-09-02,8.125000,8.375000,7.343750,7.531250,5.958966,235600
2000-09-09,7.890625,8.093750,7.250000,7.328125,5.798246,338400
2000-09-16,7.437500,7.593750,6.281250,6.500000,5.143008,543200
2000-09-23,6.625000,7.859375,6.574219,7.687500,6.082596,1970400
2000-09-30,7.562500,7.566406,6.640625,6.640625,5.254275,552800
2000-10-07,6.531250,7.031250,5.968750,6.937500,5.489172,382400
2000-10-14,6.937500,7.156250,5.750000,6.500000,5.143008,274400
2000-10-21,7.375000,8.312500,7.000000,7.750000,6.132048,2485200
2000-10-28,7.437500,8.031250,7.250000,7.875000,6.230952,1005200
2000-11-04,7.875000,8.031250,7.125000,7.312500,5.785884,4141200
2000-11-11,6.750000,8.000000,6.625000,7.750000,6.132048,604800
2000-11-18,7.750000,7.750000,6.953125,7.687500,6.082596,314400
2000-11-25,7.906250,8.000000,6.750000,7.125000,5.637527,166400
2000-12-02,6.812500,7.625000,6.500000,6.843750,5.414994,801200
2000-12-09,7.000000,7.156250,4.906250,5.109375,4.042700,1952800
2000-12-16,5.437500,5.750000,4.656250,5.734375,4.537221,2468800
2000-12-23,5.625000,6.359375,5.531250,6.062500,4.796844,446000
2000-12-30,6.250000,6.515625,5.437500,6.250000,4.945199,374400
2001-01-06,6.187500,7.000000,5.750000,6.875000,5.439719,1071600
2001-01-13,6.734375,7.625000,6.375000,7.265625,5.748795,1271600
2001-01-20,6.906250,7.531250,6.496094,7.500000,5.934240,1228000
2001-01-27,7.406250,7.875000,7.312500,7.656250,6.057870,203600
2001-02-03,7.843750,8.140625,7.593750,7.781250,6.156774,409200
2001-02-10,7.656250,7.656250,7.000000,7.000000,5.538624,412400
2001-02-17,7.109375,7.218750,6.250000,6.531250,5.167734,538000
2001-02-24,6.843750,7.125000,6.500000,6.843750,5.414994,403200
2001-03-03,6.843750,7.503906,6.781250,6.906250,5.464446,592000
2001-03-10,6.500000,6.609375,5.500000,5.500000,4.351777,689600
2001-03-17,5.437500,5.765625,5.000000,5.687500,4.500132,1211600
2001-03-24,5.921875,6.000000,5.500000,5.593750,4.425954,1035600
2001-03-31,5.500000,5.781250,5.156250,5.687500,4.500132,762400
2001-04-07,5.600000,6.372500,5.600000,5.995000,4.743435,656800
2001-04-14,5.962500,6.792500,5.885000,6.650000,5.261693,338000
2001-04-21,6.750000,7.287500,6.450000,7.237500,5.726542,887200
2001-04-28,7.262500,8.125000,7.262500,7.595000,6.009407,575200
2001-05-05,7.675000,7.837500,7.375000,7.500000,5.934240,228800
2001-05-12,7.225000,7.625000,6.875000,7.625000,6.033144,497600
2001-05-19,7.595000,7.875000,7.412500,7.750000,6.132048,147200
