Date,Open,High,Low,Close,Adj Close,Volume
2000-07-31,51.000000,59.250000,45.375000,48.000000,48.000000,902600
2000-08-07,48.750000,50.625000,47.437500,48.000000,48.000000,503849
2000-08-14,48.000000,48.937500,39.375000,41.250000,41.250000,274550
2000-08-21,41.625000,61.500000,40.125000,60.000000,60.000000,124799
2000-08-28,59.437500,74.250000,57.750000,60.750000,60.750000,290984
2000-09-04,62.625000,66.000000,61.125000,61.875000,61.875000,157817
2000-09-11,61.875000,62.625000,59.250000,60.000000,60.000000,125334
2000-09-18,60.000000,60.750000,45.000000,45.000000,45.000000,82916
2000-09-25,48.000000,60.000000,39.000000,57.000000,57.000000,27483
2000-10-02,54.750000,57.750000,40.125000,48.750000,48.750000,18185
2000-10-09,48.375000,48.375000,38.625000,43.500000,43.500000,16083
2000-10-16,44.625000,48.000000,39.000000,42.000000,42.000000,23283
2000-10-23,43.500000,43.500000,33.937500,33.937500,33.937500,64484
2000-10-30,33.187500,36.750000,23.250000,36.750000,36.750000,197267
2000-11-06,37.406250,38.250000,30.750000,30.750000,30.750000,37083
2000-11-13,31.500000,33.750000,28.500000,32.250000,32.250000,29450
2000-11-20,31.593750,33.750000,30.750000,33.000000,33.000000,14168
2000-11-27,32.250000,33.375000,30.375000,30.750000,30.750000,46151
2000-12-04,31.781250,36.750000,30.750000,36.750000,36.750000,218284
2000-12-11,39.375000,54.000000,39.375000,45.000000,45.000000,181467
2000-12-18,45.000000,46.500000,33.750000,36.000000,36.000000,24867
2000-12-25,36.187500,39.750000,36.000000,38.250000,38.250000,49449
2001-01-01,39.375000,45.000000,39.000000,43.500000,43.500000,31651
2001-01-08,44.156250,53.250000,43.500000,51.750000,51.750000,40483
2001-01-15,52.125000,56.156250,51.000000,54.750000,54.750000,38717
2001-01-22,56.156250,56.250000,50.250000,52.125000,52.125000,67084
2001-01-29,52.031250,54.000000,47.250000,48.000000,48.000000,16800
2001-02-05,47.625000,55.500000,46.125000,54.000000,54.000000,152333
2001-02-12,54.750000,60.000000,47.625000,47.625000,47.625000,411099
2001-02-19,48.000000,49.500000,45.000000,46.125000,46.125000,34616
2001-02-26,45.750000,54.000000,45.750000,50.250000,50.250000,103517
2001-03-05,49.968750,51.750000,49.875000,50.250000,50.250000,26849
2001-03-12,49.875000,49.875000,35.625000,36.562500,36.562500,45232
2001-03-19,36.562500,36.562500,24.000000,30.562500,30.562500,221350
2001-03-26,30.375000,33.000000,22.687500,30.187500,30.187500,121051
2001-04-02,30.375000,34.500000,27.187500,34.500000,34.500000,29717
2001-04-09,34.500000,40.799999,33.419998,40.320000,40.320000,63550
2001-04-16,40.259998,46.680000,39.840000,46.020000,46.020000,102700
2001-04-23,45.660000,49.439999,44.160000,44.520000,44.520000,247534
2001-04-30,45.240002,45.540001,38.700001,40.320000,40.320000,263318
2001-05-07,40.380001,48.000000,39.959999,47.400002,47.400002,246717
2001-05-14,48.000000,52.380001,47.099998,49.799999,49.799999,163183
2001-05-21,49.200001,58.500000,48.000000,54.720001,54.720001,381067
2001-05-28,54.779999,60.599998,51.599998,56.939999,56.939999,232584
2001-06-04,57.900002,58.200001,48.900002,53.939999,53.939999,210967
2001-06-11,53.939999,53.939999,44.220001,46.500000,46.500000,127950
2001-06-18,43.799999,49.740002,43.799999,46.200001,46.200001,187650
2001-06-25,48.180000,64.500000,45.299999,61.799999,61.799999,274750
2001-07-02,61.740002,62.700001,52.619999,54.000000,54.000000,55834
2001-07-09,54.000000,62.520000,48.959999,59.400002,59.400002,156467
2001-07-16,59.160000,60.000000,43.380001,48.419998,48.419998,878500
2001-07-23,48.419998,48.720001,40.500000,47.639999,47.639999,182933
2001-07-30,47.759998,51.599998,46.980000,49.799999,49.799999,119651
2001-08-06,49.799999,49.860001,46.200001,46.919998,46.919998,68401
2001-08-13,46.200001,47.939999,42.000000,45.540001,45.540001,75083
2001-08-20,45.599998,46.380001,41.880001,45.599998,45.599998,54300
2001-08-27,45.000000,50.700001,44.459999,47.939999,47.939999,152466
2001-09-03,46.860001,49.799999,43.020000,43.560001,43.560001,47817
