Date,Open,High,Low,Close,Adj Close,Volume
2006-06-05,6.000000,6.360000,5.820000,6.060000,6.060000,416100
2006-06-12,6.660000,6.660000,5.900000,5.910000,5.910000,174800
2006-06-19,5.920000,6.260000,5.920000,6.150000,6.150000,55100
2006-06-26,6.140000,6.240000,5.800000,6.000000,6.000000,38400
2006-07-03,6.000000,6.000000,5.760000,5.930000,5.930000,48100
2006-07-10,5.950000,6.440000,5.590000,5.800000,5.800000,58800
2006-07-17,5.860000,5.860000,4.120000,4.440000,4.440000,152000
2006-07-24,4.490000,4.670000,3.910000,4.440000,4.440000,48500
2006-07-31,4.560000,5.700000,4.300000,5.400000,5.400000,67100
2006-08-07,5.040000,5.450000,4.950000,5.270000,5.270000,19600
2006-08-14,5.000000,5.690000,5.000000,5.510000,5.510000,8700
2006-08-21,5.600000,5.600000,4.750000,5.540000,5.540000,12600
2006-08-28,5.540000,5.540000,4.850000,5.080000,5.080000,9800
2006-09-04,5.000000,5.200000,3.370000,3.600000,3.600000,190800
2006-09-11,3.760000,3.760000,3.070000,3.250000,3.250000,209200
2006-09-18,3.250000,3.640000,3.050000,3.440000,3.440000,47000
2006-09-25,3.250000,3.750000,3.170000,3.670000,3.670000,87200
2006-10-02,3.700000,3.750000,3.550000,3.660000,3.660000,26500
2006-10-09,3.710000,3.900000,3.460000,3.560000,3.560000,18100
2006-10-16,3.790000,3.940000,3.550000,3.870000,3.870000,31100
2006-10-23,3.870000,3.970000,3.710000,3.900000,3.900000,31800
2006-10-30,3.890000,4.150000,3.800000,4.080000,4.080000,44400
2006-11-06,4.080000,4.200000,3.650000,3.800000,3.800000,26100
2006-11-13,3.660000,3.890000,3.300000,3.670000,3.670000,963000
2006-11-20,3.590000,4.090000,3.520000,3.950000,3.950000,100000
2006-11-27,3.990000,4.020000,3.450000,3.520000,3.520000,206200
2006-12-04,3.420000,3.540000,3.360000,3.400000,3.400000,127000
2006-12-11,3.370000,3.450000,3.230000,3.370000,3.370000,145900
2006-12-18,3.420000,4.000000,3.240000,3.420000,3.420000,127300
2006-12-25,3.270000,3.580000,3.270000,3.580000,3.580000,72400
2007-01-01,3.670000,3.990000,3.550000,3.550000,3.550000,176000
2007-01-08,3.580000,4.050000,3.580000,3.780000,3.780000,98200
2007-01-15,3.840000,4.520000,3.740000,4.250000,4.250000,96000
2007-01-22,4.610000,4.810000,4.000000,4.590000,4.590000,147200
2007-01-29,4.610000,4.980000,4.450000,4.490000,4.490000,101100
2007-02-05,4.430000,4.520000,3.850000,3.960000,3.960000,34400
2007-02-12,3.930000,4.100000,3.840000,3.950000,3.950000,79500
2007-02-19,3.930000,3.990000,3.740000,3.780000,3.780000,55600
2007-02-26,3.850000,3.990000,3.380000,3.440000,3.440000,125800
2007-03-05,3.300000,3.500000,3.010000,3.090000,3.090000,202700
2007-03-12,3.120000,3.120000,2.900000,3.030000,3.030000,99500
2007-03-19,3.070000,3.190000,3.020000,3.150000,3.150000,59400
2007-03-26,3.180000,3.480000,3.170000,3.390000,3.390000,86300
2007-04-02,3.400000,3.400000,2.910000,3.060000,3.060000,46100
2007-04-09,3.070000,3.310000,2.940000,3.010000,3.010000,99200
2007-04-16,3.000000,3.030000,2.870000,3.000000,3.000000,78500
2007-04-23,2.980000,3.020000,2.890000,2.980000,2.980000,29800
2007-04-30,2.870000,3.260000,2.870000,3.130000,3.130000,129900
2007-05-07,3.150000,3.180000,2.900000,3.070000,3.070000,78600
2007-05-14,3.180000,3.180000,2.910000,3.000000,3.000000,28700
2007-05-21,3.890000,5.910000,3.750000,4.010000,4.010000,8931400
2007-05-28,4.010000,4.150000,3.580000,3.760000,3.760000,512800
2007-06-04,3.770000,3.940000,3.540000,3.730000,3.730000,275500
2007-06-11,3.690000,5.390000,3.610000,4.570000,4.570000,3456600
2007-06-18,4.530000,5.330000,4.350000,4.950000,4.950000,1476800
2007-06-25,4.900000,5.030000,4.210000,4.370000,4.370000,481400
2007-07-02,4.370000,4.450000,4.000000,4.300000,4.300000,288900
2007-07-09,4.260000,4.560000,4.010000,4.340000,4.340000,336100
2007-07-16,4.400000,6.000000,4.100000,4.750000,4.750000,1758900
2007-07-23,4.730000,5.330000,4.580000,4.860000,4.860000,1187300
2007-07-30,4.900000,5.210000,4.150000,4.200000,4.200000,573500
2007-08-06,4.310000,4.400000,3.850000,4.030000,4.030000,381000
2007-08-13,4.100000,4.250000,3.510000,3.780000,3.780000,334700
2007-08-20,3.910000,3.910000,3.500000,3.570000,3.570000,211800
2007-08-27,3.610000,3.640000,3.350000,3.580000,3.580000,135500
2007-09-03,3.590000,3.960000,3.590000,3.870000,3.870000,243000
2007-09-10,3.830000,3.980000,3.500000,3.830000,3.830000,218500
2007-09-17,3.790000,4.300000,3.660000,4.180000,4.180000,361200
2007-09-24,4.230000,4.480000,4.040000,4.330000,4.330000,237200
2007-10-01,4.370000,5.000000,4.050000,4.690000,4.690000,221600
2007-10-08,4.740000,4.980000,4.080000,4.550000,4.550000,258000
2007-10-15,4.580000,4.900000,4.410000,4.750000,4.750000,208200
2007-10-22,4.890000,5.850000,4.380000,5.530000,5.530000,540000
2007-10-29,5.580000,7.440000,5.570000,6.450000,6.450000,1463100
2007-11-05,6.380000,7.200000,5.010000,5.910000,5.910000,622400
2007-11-12,5.930000,7.150000,5.580000,6.880000,6.880000,373100
2007-11-19,6.880000,8.440000,6.880000,8.250000,8.250000,579900
2007-11-26,8.520000,9.490000,7.700000,9.130000,9.130000,631700
2007-12-03,9.140000,9.500000,7.180000,7.630000,7.630000,999300
2007-12-10,7.950000,10.450000,7.000000,8.810000,8.810000,970400
2007-12-17,8.820000,9.400000,8.260000,9.130000,9.130000,363400
2007-12-24,9.180000,9.900000,8.610000,8.620000,8.620000,253100
2007-12-31,8.650000,9.040000,8.100000,8.250000,8.250000,298200
2008-01-07,8.320000,8.350000,6.150000,6.640000,6.640000,576300
2008-01-14,6.700000,7.200000,6.400000,6.470000,6.470000,211900
2008-01-21,6.010000,6.250000,5.550000,5.870000,5.870000,281100
2008-01-28,5.910000,6.250000,5.760000,6.110000,6.110000,282400
2008-02-04,6.150000,6.930000,6.070000,6.550000,6.550000,179200
2008-02-11,6.540000,7.800000,6.240000,7.130000,7.130000,335100
2008-02-18,7.130000,7.240000,6.540000,6.800000,6.800000,99200
2008-02-25,6.850000,7.000000,6.500000,6.730000,6.730000,127900
2008-03-03,6.920000,7.070000,4.790000,5.160000,5.160000,331000
2008-03-10,5.200000,5.670000,4.800000,5.050000,5.050000,186000
2008-03-17,5.000000,5.190000,4.530000,4.930000,4.930000,207500
2008-03-24,5.040000,7.900000,4.810000,7.550000,7.550000,1321000
2008-03-31,7.500000,8.240000,7.280000,8.040000,8.040000,553400
2008-04-07,8.120000,8.500000,7.260000,7.260000,7.260000,349100
2008-04-14,7.310000,7.480000,6.760000,7.170000,7.170000,154000
2008-04-21,7.210000,7.590000,7.010000,7.350000,7.350000,87700
2008-04-28,7.310000,7.480000,6.830000,6.990000,6.990000,117800
2008-05-05,7.010000,7.650000,6.940000,7.570000,7.570000,277500
2008-05-12,7.600000,8.490000,7.280000,7.980000,7.980000,368700
2008-05-19,7.930000,8.250000,7.600000,7.790000,7.790000,133600
2008-05-26,8.020000,8.050000,7.750000,7.830000,7.830000,52500
2008-06-02,7.850000,7.920000,7.480000,7.680000,7.680000,89800
2008-06-09,7.640000,7.830000,6.360000,6.490000,6.490000,140000
2008-06-16,6.500000,6.550000,6.000000,6.230000,6.230000,158100
2008-06-23,6.300000,6.300000,3.750000,3.860000,3.860000,1182400
2008-06-30,4.210000,4.890000,4.080000,4.650000,4.650000,447600
2008-07-07,4.630000,4.930000,4.500000,4.870000,4.870000,159400
2008-07-14,4.980000,5.630000,4.670000,5.600000,5.600000,197100
2008-07-21,5.590000,6.120000,5.000000,5.250000,5.250000,264200
2008-07-28,5.280000,5.700000,5.210000,5.440000,5.440000,77900
2008-08-04,5.400000,5.730000,4.880000,4.920000,4.920000,119600
2008-08-11,4.980000,5.330000,4.780000,5.310000,5.310000,119200
2008-08-18,5.430000,5.960000,5.300000,5.790000,5.790000,152800
2008-08-25,5.630000,6.300000,5.600000,6.180000,6.180000,138900
2008-09-01,6.200000,6.380000,5.800000,5.990000,5.990000,99800
2008-09-08,5.980000,5.990000,4.610000,4.850000,4.850000,210200
2008-09-15,4.930000,5.130000,3.940000,4.150000,4.150000,330100
2008-09-22,4.180000,4.410000,4.020000,4.220000,4.220000,73100
2008-09-29,4.010000,4.430000,3.030000,3.340000,3.340000,191400
2008-10-06,3.300000,3.900000,2.310000,3.040000,3.040000,308600
2008-10-13,3.270000,3.700000,3.030000,3.390000,3.390000,48800
2008-10-20,3.490000,3.500000,2.950000,3.160000,3.160000,61400
2008-10-27,2.900000,3.000000,2.320000,2.630000,2.630000,139100
2008-11-03,2.660000,3.090000,2.490000,2.570000,2.570000,128900
2008-11-10,2.600000,3.030000,2.450000,2.450000,2.450000,146500
2008-11-17,2.520000,2.740000,2.250000,2.280000,2.280000,75100
2008-11-24,2.390000,2.500000,2.150000,2.210000,2.210000,57000
2008-12-01,2.140000,2.400000,2.000000,2.230000,2.230000,76800
2008-12-08,2.240000,2.590000,2.080000,2.130000,2.130000,126900
2008-12-15,2.120000,2.250000,2.000000,2.000000,2.000000,196300
2008-12-22,2.000000,2.310000,1.980000,2.010000,2.010000,73300
2008-12-29,1.960000,2.240000,1.480000,2.080000,2.080000,59000
2009-01-05,2.160000,2.400000,2.040000,2.200000,2.200000,68900
2009-01-12,2.150000,2.150000,1.870000,1.910000,1.910000,75900
2009-01-19,1.880000,2.140000,1.800000,1.800000,1.800000,104000
2009-01-26,1.790000,1.810000,1.020000,1.330000,1.330000,153000
2009-02-02,1.250000,1.490000,1.100000,1.360000,1.360000,87100
2009-02-09,1.470000,1.850000,1.450000,1.800000,1.800000,42400
2009-02-16,1.850000,1.980000,1.560000,1.790000,1.790000,21600
2009-02-23,1.730000,1.950000,1.480000,1.670000,1.670000,25700
2009-03-02,1.650000,1.750000,1.000000,1.070000,1.070000,108900
2009-03-09,1.180000,1.240000,1.000000,1.200000,1.200000,58000
2009-03-16,1.200000,1.200000,1.030000,1.090000,1.090000,43800
2009-03-23,1.160000,1.430000,1.000000,1.040000,1.040000,63400
2009-03-30,1.080000,1.220000,1.000000,1.130000,1.130000,74700
2009-04-06,1.120000,1.730000,1.120000,1.680000,1.680000,56400
2009-04-13,1.730000,1.800000,1.520000,1.800000,1.800000,51000
