Date,Open,High,Low,Close,Adj Close,Volume
2004-11-15,9.060000,9.930000,8.500000,9.840000,8.719673,3906200
2004-11-22,9.900000,11.000000,8.760000,9.800000,8.684226,1618900
2004-11-29,10.000000,11.350000,9.310000,11.140000,9.871661,1160900
2004-12-06,11.390000,11.680000,10.150000,10.410000,9.224776,594000
2004-12-13,10.100000,10.970000,9.320000,9.500000,8.418386,825600
2004-12-20,9.900000,9.900000,9.000000,9.770000,8.657645,335000
2004-12-27,9.720000,9.790000,9.220000,9.300000,8.241156,296600
2005-01-03,9.310000,9.450000,8.100000,8.250000,7.310701,320900
2005-01-10,8.160000,8.160000,6.060000,6.280000,5.564996,696700
2005-01-17,6.430000,7.790000,6.190000,7.660000,6.787875,472900
2005-01-24,7.490000,8.370000,7.240000,7.620000,6.752429,403500
2005-01-31,7.700000,7.800000,7.150000,7.570000,6.708123,528000
2005-02-07,7.650000,7.720000,6.900000,7.170000,6.353664,337300
2005-02-14,7.170000,7.610000,6.250000,6.480000,5.742224,290300
2005-02-21,6.350000,6.820000,6.160000,6.530000,5.786530,518400
2005-02-28,6.960000,6.960000,6.200000,6.620000,5.866284,454900
2005-03-07,6.780000,8.360000,6.780000,8.280000,7.337287,1027100
2005-03-14,8.340000,8.750000,7.630000,8.680000,7.691743,331800
2005-03-21,8.700000,9.240000,8.020000,9.200000,8.152538,210700
2005-03-28,9.160000,9.290000,8.070000,8.860000,7.851251,371500
2005-04-04,8.860000,9.100000,8.480000,8.480000,7.514515,97900
2005-04-11,8.540000,8.740000,7.620000,7.830000,6.938519,498800
2005-04-18,7.690000,8.420000,7.110000,7.260000,6.433417,275000
2005-04-25,7.350000,8.240000,7.350000,8.050000,7.133473,207900
2005-05-02,7.970000,7.980000,6.350000,7.020000,6.220742,238700
2005-05-09,6.830000,6.920000,5.850000,6.320000,5.600441,1136300
2005-05-16,6.420000,6.700000,6.150000,6.460000,5.724504,501800
2005-05-23,6.410000,7.500000,6.390000,7.410000,6.566338,487400
2005-05-30,7.450000,7.530000,7.310000,7.490000,6.637232,98600
2005-06-06,7.450000,9.040000,7.240000,8.780000,7.780361,527800
2005-06-13,8.780000,9.830000,8.780000,9.360000,8.294323,409400
2005-06-20,9.500000,9.500000,8.300000,9.230000,8.179125,953400
2005-06-27,9.450000,9.620000,8.760000,9.240000,8.187984,569000
2005-07-04,9.260000,9.400000,8.770000,9.280000,8.223431,264900
2005-07-11,9.400000,10.250000,9.000000,10.150000,8.994379,601900
2005-07-18,10.100000,10.680000,7.630000,9.890000,8.763982,899300
2005-07-25,9.970000,9.980000,8.650000,9.150000,8.108232,415700
2005-08-01,9.210000,9.370000,7.800000,8.170000,7.239809,254500
2005-08-08,8.180000,8.220000,7.550000,7.710000,6.832183,176900
2005-08-15,7.710000,7.830000,6.810000,7.000000,6.203021,285500
2005-08-22,7.090000,7.210000,6.810000,7.000000,6.203021,252400
2005-08-29,6.920000,8.800000,6.810000,8.420000,7.461347,428300
2005-09-05,8.440000,8.500000,7.900000,8.100000,7.177780,126400
2005-09-12,8.100000,8.790000,7.710000,8.320000,7.372732,484800
2005-09-19,8.200000,8.550000,8.100000,8.470000,7.505654,326100
2005-09-26,8.500000,8.690000,8.280000,8.490000,7.523377,281100
2005-10-03,8.480000,10.180000,8.470000,10.030000,8.888041,1146100
2005-10-10,9.900000,11.000000,9.530000,10.930000,9.685575,1032200
2005-10-17,10.760000,11.230000,9.870000,11.050000,9.791911,589800
2005-10-24,11.110000,13.000000,11.000000,12.860000,11.395832,1592200
2005-10-31,12.860000,13.110000,10.960000,12.840000,11.378112,1234400
2005-11-07,12.950000,17.330000,12.660000,16.320000,14.461902,2403400
2005-11-14,16.059999,17.480000,13.780000,15.050000,13.336493,4938100
2005-11-21,15.050000,15.140000,12.500000,12.850000,11.386975,1307600
2005-11-28,13.000000,14.990000,13.000000,14.440000,12.795939,620400
2005-12-05,14.290000,14.710000,13.940000,14.190000,12.574408,281600
2005-12-12,14.190000,14.900000,13.410000,14.750000,13.070649,556700
2005-12-19,14.700000,15.140000,14.130000,14.250000,12.627575,560200
2005-12-26,14.240000,15.000000,13.850000,14.990000,13.283324,359100
2006-01-02,14.750000,16.000000,14.540000,15.140000,13.416246,538500
2006-01-09,15.250000,16.590000,14.820000,16.000000,14.178329,933700
2006-01-16,16.040001,17.500000,15.900000,16.650000,14.754325,432800
2006-01-23,16.770000,18.000000,16.459999,17.530001,15.534134,427900
2006-01-30,17.510000,18.549999,16.889999,18.200001,16.127850,500900
2006-02-06,18.100000,19.860001,17.690001,19.330000,17.129196,642500
2006-02-13,19.200001,19.389999,17.549999,18.100000,16.039234,419200
2006-02-20,17.860001,18.250000,17.620001,18.020000,15.968346,334800
2006-02-27,18.000000,18.000000,16.040001,16.840000,14.922694,1159500
2006-03-06,16.809999,17.549999,14.850000,15.600000,13.823873,1375500
2006-03-13,15.780000,16.730000,13.310000,14.100000,12.494653,2358400
2006-03-20,14.180000,14.630000,13.960000,14.370000,12.733912,410000
2006-03-27,14.400000,19.010000,14.300000,18.639999,16.517757,1641700
2006-04-03,18.600000,20.000000,18.110001,19.020000,16.854488,1321000
2006-04-10,18.770000,18.910000,17.100000,17.420000,15.436661,1277800
2006-04-17,17.320000,18.750000,17.160000,18.379999,16.287354,1060900
2006-04-24,18.379999,19.219999,17.980000,18.270000,16.189878,1129900
2006-05-01,18.250000,19.350000,16.750000,18.500000,16.393694,1335100
