Date,Open,High,Low,Close,Adj Close,Volume
2002-07-15,180000.000000,180000.000000,124500.000000,132000.000000,132000.000000,2
2002-07-22,139200.000000,139200.000000,102000.000000,126000.000000,126000.000000,11
2002-07-29,127500.000000,136500.000000,125400.000000,136500.000000,136500.000000,3
2002-08-05,135000.000000,135600.000000,126900.000000,134400.000000,134400.000000,3
2002-08-12,136500.000000,144000.000000,109500.000000,133500.000000,133500.000000,11
2002-08-19,133800.000000,187500.000000,129000.000000,165000.000000,165000.000000,13
2002-08-26,156900.000000,164700.000000,136800.000000,153000.000000,153000.000000,10
2002-09-02,153900.000000,172200.000000,144000.000000,168300.000000,168300.000000,7
2002-09-09,171900.000000,177900.000000,156000.000000,166500.000000,166500.000000,11
2002-09-16,166800.000000,179700.000000,163500.000000,174000.000000,174000.000000,5
2002-09-23,179700.000000,203400.000000,172500.000000,195000.000000,195000.000000,5
2002-09-30,195000.000000,282000.000000,195000.000000,237000.000000,237000.000000,26
2002-10-07,232500.000000,235200.000000,165900.000000,180000.000000,180000.000000,26
2002-10-14,178500.000000,183300.000000,154500.000000,159600.000000,159600.000000,16
2002-10-21,160500.000000,194700.000000,160500.000000,194700.000000,194700.000000,19
2002-10-28,195900.000000,280500.000000,195000.000000,261000.000000,261000.000000,21
2002-11-04,258000.000000,370500.000000,258000.000000,355500.000000,355500.000000,15
2002-11-11,355500.000000,612000.000000,336000.000000,390300.000000,390300.000000,17
2002-11-18,414000.000000,450000.000000,339000.000000,367500.000000,367500.000000,7
2002-11-25,345000.000000,367500.000000,231000.000000,255000.000000,255000.000000,11
2002-12-02,255000.000000,315000.000000,231000.000000,299700.000000,299700.000000,13
2002-12-09,297000.000000,300000.000000,270000.000000,270000.000000,270000.000000,7
2002-12-16,270000.000000,276000.000000,169500.000000,179700.000000,179700.000000,13
2002-12-23,179700.000000,209700.000000,179700.000000,186000.000000,186000.000000,7
2002-12-30,184500.000000,187500.000000,157500.000000,180000.000000,180000.000000,12
2003-01-06,186000.000000,209700.000000,168000.000000,204000.000000,204000.000000,9
2003-01-13,193500.000000,304500.000000,193500.000000,280500.000000,280500.000000,12
2003-01-20,279000.000000,285000.000000,216000.000000,232500.000000,232500.000000,15
2003-01-27,232500.000000,249000.000000,202500.000000,220500.000000,220500.000000,13
2003-02-03,222000.000000,246000.000000,217500.000000,234600.000000,234600.000000,10
2003-02-10,234600.000000,234600.000000,217500.000000,222000.000000,222000.000000,3
2003-02-17,219000.000000,303000.000000,217500.000000,298200.000000,298200.000000,9
2003-02-24,306000.000000,307500.000000,273000.000000,298200.000000,298200.000000,12
2003-03-03,298500.000000,307200.000000,273000.000000,291000.000000,291000.000000,7
2003-03-10,288300.000000,288300.000000,237000.000000,240000.000000,240000.000000,11
2003-03-17,240000.000000,254700.000000,216000.000000,251700.000000,251700.000000,10
2003-03-24,251700.000000,259500.000000,190500.000000,193500.000000,193500.000000,7
2003-03-31,193500.000000,193500.000000,121800.000000,144000.000000,144000.000000,11
2003-04-07,145500.000000,172200.000000,137400.000000,138000.000000,138000.000000,10
2003-04-14,136800.000000,138600.000000,48300.000000,51000.000000,51000.000000,46
2003-04-21,55200.000000,101700.000000,54300.000000,83400.000000,83400.000000,24
2003-04-28,84000.000000,91200.000000,78000.000000,85800.000000,85800.000000,15
2003-05-05,85500.000000,90000.000000,69000.000000,75000.000000,75000.000000,9
2003-05-12,72000.000000,82500.000000,59100.000000,72000.000000,72000.000000,13
2003-05-19,72000.000000,74400.000000,61500.000000,66600.000000,66600.000000,9
2003-05-26,66900.000000,66900.000000,58500.000000,58500.000000,58500.000000,14
2003-06-02,58800.000000,62700.000000,51000.000000,61800.000000,61800.000000,11
2003-06-09,61500.000000,75600.000000,58500.000000,67500.000000,67500.000000,14
2003-06-16,70500.000000,74100.000000,57000.000000,65100.000000,65100.000000,9
2003-06-23,65700.000000,65700.000000,50700.000000,56100.000000,56100.000000,12
2003-06-30,54000.000000,61200.000000,54000.000000,58200.000000,58200.000000,7
2003-07-07,59400.000000,59400.000000,53400.000000,57000.000000,57000.000000,8
2003-07-14,58500.000000,58500.000000,39600.000000,43200.000000,43200.000000,16
2003-07-21,46500.000000,47700.000000,40800.000000,40800.000000,40800.000000,5
2003-07-28,40800.000000,45300.000000,40800.000000,45300.000000,45300.000000,9
2003-08-04,43200.000000,47700.000000,40200.000000,41700.000000,41700.000000,8
2003-08-11,42600.000000,45300.000000,40500.000000,43800.000000,43800.000000,4
2003-08-18,42900.000000,44400.000000,40500.000000,44100.000000,44100.000000,6
2003-08-25,44100.000000,48000.000000,41700.000000,43500.000000,43500.000000,2
2003-09-01,42000.000000,49500.000000,39600.000000,41700.000000,41700.000000,8
2003-09-08,42000.000000,43500.000000,39300.000000,41700.000000,41700.000000,13
2003-09-15,40500.000000,42000.000000,39600.000000,40800.000000,40800.000000,9
2003-09-22,42300.000000,48000.000000,39900.000000,42000.000000,42000.000000,17
2003-09-29,42000.000000,43500.000000,39900.000000,40800.000000,40800.000000,6
2003-10-06,40500.000000,40800.000000,34500.000000,37500.000000,37500.000000,11
2003-10-13,36600.000000,36600.000000,30300.000000,33600.000000,33600.000000,10
2003-10-20,32100.000000,35700.000000,32100.000000,35700.000000,35700.000000,6
2003-10-27,36300.000000,41700.000000,34200.000000,39300.000000,39300.000000,23
2003-11-03,42900.000000,45000.000000,37200.000000,37500.000000,37500.000000,15
2003-11-10,40200.000000,42000.000000,37800.000000,41100.000000,41100.000000,9
2003-11-17,40800.000000,42000.000000,36000.000000,37500.000000,37500.000000,14
2003-11-24,39000.000000,39000.000000,36000.000000,36300.000000,36300.000000,6
2003-12-01,36600.000000,36600.000000,31200.000000,31500.000000,31500.000000,10
2003-12-08,32100.000000,33600.000000,25500.000000,29700.000000,29700.000000,15
2003-12-15,29700.000000,30300.000000,24900.000000,29100.000000,29100.000000,12
2003-12-22,28200.000000,38700.000000,28200.000000,33600.000000,33600.000000,9
2003-12-29,33600.000000,34500.000000,29400.000000,32400.000000,32400.000000,9
2004-01-05,34200.000000,35400.000000,29700.000000,30900.000000,30900.000000,18
2004-01-12,32100.000000,33000.000000,30600.000000,30900.000000,30900.000000,12
2004-01-19,31500.000000,31800.000000,29700.000000,30000.000000,30000.000000,9
2004-01-26,29700.000000,30900.000000,24600.000000,30000.000000,30000.000000,15
2004-02-02,30000.000000,30000.000000,24300.000000,26700.000000,26700.000000,12
2004-02-09,27000.000000,30000.000000,24900.000000,26100.000000,26100.000000,11
2004-02-16,26100.000000,28200.000000,24600.000000,24600.000000,24600.000000,12
2004-02-23,25800.000000,26100.000000,23100.000000,24900.000000,24900.000000,11
2004-03-01,24900.000000,31200.000000,22500.000000,30000.000000,30000.000000,16
2004-03-08,34500.000000,45000.000000,31500.000000,38700.000000,38700.000000,53
2004-03-15,39000.000000,39000.000000,31200.000000,33000.000000,33000.000000,11
2004-03-22,32700.000000,33600.000000,29100.000000,33000.000000,33000.000000,14
2004-03-29,32700.000000,38100.000000,27000.000000,36600.000000,36600.000000,24
2004-04-05,36900.000000,36900.000000,33900.000000,34500.000000,34500.000000,10
2004-04-12,33900.000000,35400.000000,28500.000000,30600.000000,30600.000000,8
2004-04-19,30900.000000,31500.000000,27600.000000,31500.000000,31500.000000,13
2004-04-26,33000.000000,33000.000000,26400.000000,27000.000000,27000.000000,7
2004-05-03,27600.000000,28200.000000,21000.000000,23400.000000,23400.000000,11
2004-05-10,21900.000000,28500.000000,20400.000000,25500.000000,25500.000000,17
2004-05-17,23100.000000,27000.000000,19500.000000,22500.000000,22500.000000,15
2004-05-24,22800.000000,22800.000000,18000.000000,20700.000000,20700.000000,18
2004-05-31,20700.000000,22200.000000,19500.000000,21000.000000,21000.000000,2
2004-06-07,19500.000000,20400.000000,18600.000000,18900.000000,18900.000000,2
2004-06-14,18600.000000,21600.000000,14700.000000,17100.000000,17100.000000,10
2004-06-21,16800.000000,37500.000000,16800.000000,35700.000000,35700.000000,37
2004-06-28,36000.000000,36600.000000,27000.000000,30300.000000,30300.000000,16
2004-07-05,30300.000000,32700.000000,27600.000000,30300.000000,30300.000000,4
2004-07-12,30000.000000,30000.000000,27000.000000,29400.000000,29400.000000,0
2004-07-19,27000.000000,30000.000000,25500.000000,27000.000000,27000.000000,0
2004-07-26,25500.000000,27600.000000,22800.000000,24600.000000,24600.000000,3
2004-08-02,21300.000000,21600.000000,19500.000000,19500.000000,19500.000000,2
2004-08-09,19500.000000,21000.000000,12300.000000,14100.000000,14100.000000,13
2004-08-16,14100.000000,18000.000000,13200.000000,16200.000000,16200.000000,4
2004-08-23,16200.000000,16200.000000,13800.000000,15000.000000,15000.000000,3
2004-08-30,13800.000000,15600.000000,12000.000000,12300.000000,12300.000000,16
2004-09-06,12000.000000,12300.000000,8700.000000,9600.000000,9600.000000,30
2004-09-13,11100.000000,14100.000000,10800.000000,12300.000000,12300.000000,7
2004-09-20,12300.000000,13800.000000,10800.000000,11700.000000,11700.000000,1
2004-09-27,13800.000000,13800.000000,11400.000000,12900.000000,12900.000000,4
2004-10-04,13200.000000,13200.000000,12000.000000,12000.000000,12000.000000,1
2004-10-11,12000.000000,14700.000000,10200.000000,10200.000000,10200.000000,5
2004-10-18,10200.000000,11400.000000,9000.000000,9300.000000,9300.000000,6
2004-10-25,9300.000000,9900.000000,7800.000000,8400.000000,8400.000000,9
2004-11-01,7800.000000,8700.000000,7500.000000,8100.000000,8100.000000,7
2004-11-08,8700.000000,8700.000000,6600.000000,8400.000000,8400.000000,3
2004-11-15,7200.000000,15300.000000,6600.000000,13500.000000,13500.000000,9
2004-11-22,12000.000000,15300.000000,11400.000000,13200.000000,13200.000000,4
2004-11-29,13200.000000,13500.000000,10800.000000,11100.000000,11100.000000,1
2004-12-06,11100.000000,12600.000000,9600.000000,10500.000000,10500.000000,2
2004-12-13,10500.000000,10800.000000,7200.000000,7500.000000,7500.000000,7
2004-12-20,7500.000000,9000.000000,7200.000000,7800.000000,7800.000000,11
2004-12-27,7800.000000,10800.000000,7500.000000,10800.000000,10800.000000,4
2005-01-03,10800.000000,11700.000000,9300.000000,11100.000000,11100.000000,1
2005-01-10,9300.000000,15000.000000,9000.000000,12000.000000,12000.000000,4
2005-01-17,13800.000000,14400.000000,9300.000000,14100.000000,14100.000000,2
2005-01-24,14100.000000,14100.000000,10500.000000,13500.000000,13500.000000,0
2005-01-31,11100.000000,16500.000000,11100.000000,11100.000000,11100.000000,2
2005-02-07,11100.000000,15300.000000,11100.000000,12000.000000,12000.000000,1
2005-02-14,10500.000000,11400.000000,8400.000000,9600.000000,9600.000000,10
2005-02-21,9000.000000,9000.000000,7500.000000,9000.000000,9000.000000,2
2005-02-28,9000.000000,13200.000000,7500.000000,10500.000000,10500.000000,1
2005-03-07,9000.000000,12300.000000,8400.000000,9000.000000,9000.000000,3
2005-03-14,9000.000000,10200.000000,9000.000000,10200.000000,10200.000000,0
2005-03-21,11700.000000,11700.000000,9000.000000,10800.000000,10800.000000,0
2005-03-28,9000.000000,13500.000000,9000.000000,9000.000000,9000.000000,4
2005-04-04,9300.000000,11400.000000,9300.000000,9600.000000,9600.000000,1
2005-04-11,9600.000000,11400.000000,9000.000000,9000.000000,9000.000000,1
2005-04-18,9000.000000,9300.000000,8100.000000,8100.000000,8100.000000,4
2005-04-25,8100.000000,9000.000000,7500.000000,7800.000000,7800.000000,0
2005-05-02,8400.000000,8700.000000,5100.000000,5700.000000,5700.000000,18
2005-05-09,5400.000000,6000.000000,3600.000000,5700.000000,5700.000000,21
2005-05-16,6000.000000,6000.000000,5100.000000,5400.000000,5400.000000,1
2005-05-23,5100.000000,5700.000000,5100.000000,5100.000000,5100.000000,1
2005-05-30,5700.000000,5700.000000,5100.000000,5700.000000,5700.000000,0
2005-06-06,5700.000000,5700.000000,4800.000000,5100.000000,5100.000000,5
2005-06-13,5100.000000,5100.000000,4800.000000,5100.000000,5100.000000,2
2005-06-20,4800.000000,5400.000000,4800.000000,5400.000000,5400.000000,1
2005-06-27,5100.000000,9000.000000,5100.000000,7800.000000,7800.000000,6
2005-07-04,6600.000000,6600.000000,5400.000000,6000.000000,6000.000000,1
2005-07-11,5400.000000,6000.000000,5400.000000,6000.000000,6000.000000,1
2005-07-18,6000.000000,6000.000000,5100.000000,5100.000000,5100.000000,2
2005-07-25,5100.000000,5700.000000,4800.000000,5100.000000,5100.000000,0
2005-08-01,4800.000000,5100.000000,4200.000000,4500.000000,4500.000000,7
2005-08-08,4200.000000,4800.000000,3600.000000,3600.000000,3600.000000,4
2005-08-15,4200.000000,4500.000000,3600.000000,3900.000000,3900.000000,4
2005-08-22,3900.000000,4800.000000,3600.000000,4500.000000,4500.000000,3
2005-08-29,4500.000000,4500.000000,3600.000000,4500.000000,4500.000000,1
2005-09-05,4500.000000,4500.000000,3900.000000,3900.000000,3900.000000,2
2005-09-12,4200.000000,4500.000000,4200.000000,4200.000000,4200.000000,1
2005-09-19,4200.000000,4200.000000,3900.000000,4200.000000,4200.000000,1
2005-09-26,4200.000000,4200.000000,3600.000000,3600.000000,3600.000000,2
2005-10-03,3600.000000,3600.000000,2400.000000,3000.000000,3000.000000,3
2005-10-10,3000.000000,3000.000000,2400.000000,2700.000000,2700.000000,2
2005-10-17,2700.000000,2700.000000,2400.000000,2700.000000,2700.000000,4
2005-10-24,2700.000000,3000.000000,2400.000000,3000.000000,3000.000000,5
2005-10-31,2700.000000,5700.000000,2700.000000,4500.000000,4500.000000,10
2005-11-07,4500.000000,6000.000000,3600.000000,3600.000000,3600.000000,4
2005-11-14,3600.000000,4500.000000,3600.000000,3600.000000,3600.000000,3
2005-11-21,3600.000000,3900.000000,3600.000000,3600.000000,3600.000000,0
2005-11-28,3600.000000,3600.000000,2400.000000,3000.000000,3000.000000,17
2005-12-05,3000.000000,5400.000000,3000.000000,4800.000000,4800.000000,13
2005-12-12,4500.000000,6900.000000,4500.000000,5400.000000,5400.000000,23
2005-12-19,5400.000000,5700.000000,4800.000000,5700.000000,5700.000000,15
2005-12-26,5400.000000,6600.000000,5400.000000,5700.000000,5700.000000,6
2006-01-02,5400.000000,9900.000000,5400.000000,9900.000000,9900.000000,17
2006-01-09,9000.000000,10500.000000,8400.000000,9000.000000,9000.000000,9
2006-01-16,9000.000000,9000.000000,6300.000000,7200.000000,7200.000000,6
2006-01-23,6600.000000,8700.000000,6300.000000,7800.000000,7800.000000,6
2006-01-30,7500.000000,8100.000000,6600.000000,6600.000000,6600.000000,7
2006-02-06,7500.000000,7500.000000,6600.000000,7200.000000,7200.000000,1
2006-02-13,7500.000000,8100.000000,6900.000000,6900.000000,6900.000000,2
2006-02-20,6900.000000,6900.000000,5100.000000,5400.000000,5400.000000,46
2006-02-27,5400.000000,6000.000000,4500.000000,5400.000000,5400.000000,26
2006-03-06,5400.000000,5400.000000,3900.000000,4200.000000,4200.000000,7
2006-03-13,4200.000000,4500.000000,4200.000000,4200.000000,4200.000000,18
2006-03-20,4800.000000,4800.000000,3900.000000,4500.000000,4500.000000,11
2006-03-27,4200.000000,4500.000000,4200.000000,4500.000000,4500.000000,7
2006-04-03,3900.000000,4800.000000,3900.000000,4800.000000,4800.000000,19
2006-04-10,4800.000000,5100.000000,4500.000000,5100.000000,5100.000000,1
2006-04-17,4500.000000,4800.000000,4500.000000,4500.000000,4500.000000,11
2006-04-24,4500.000000,4500.000000,4500.000000,4500.000000,4500.000000,2
2006-05-01,4500.000000,4500.000000,4500.000000,4500.000000,4500.000000,5
2006-05-08,4500.000000,4500.000000,4200.000000,4200.000000,4200.000000,9
