Date,Open,High,Low,Close,Adj Close,Volume
2015-05-25,3.750000,3.750000,3.500000,3.500000,3.500000,2500
2015-06-01,3.500000,3.500000,3.500000,3.500000,3.500000,0
2015-06-08,4.000000,4.000000,4.000000,4.000000,4.000000,400
2015-06-15,4.000000,4.000000,4.000000,4.000000,4.000000,0
2015-06-22,4.000000,4.000000,4.000000,4.000000,4.000000,0
2015-06-29,4.000000,4.000000,4.000000,4.000000,4.000000,0
2015-07-06,4.000000,4.000000,4.000000,4.000000,4.000000,1000
2015-07-13,4.250000,4.250000,3.500000,3.500000,3.500000,300
2015-07-20,3.500000,3.500000,3.500000,3.500000,3.500000,0
2015-07-27,3.500000,4.000000,3.500000,4.000000,4.000000,2500
2015-08-03,4.000000,4.000000,4.000000,4.000000,4.000000,0
2015-08-10,4.000000,4.200000,4.000000,4.200000,4.200000,4000
2015-08-17,4.200000,4.200000,4.200000,4.200000,4.200000,0
2015-08-24,4.200000,4.200000,4.200000,4.200000,4.200000,0
2015-08-31,4.200000,4.200000,4.200000,4.200000,4.200000,0
2015-09-07,4.200000,4.200000,4.200000,4.200000,4.200000,0
2015-09-14,4.200000,4.200000,4.200000,4.200000,4.200000,0
2015-09-21,4.200000,4.200000,4.200000,4.200000,4.200000,0
2015-09-28,4.200000,4.200000,4.200000,4.200000,4.200000,0
2015-10-05,4.200000,4.200000,4.200000,4.200000,4.200000,0
2015-10-12,4.200000,4.200000,4.200000,4.200000,4.200000,0
2015-10-19,4.200000,4.200000,4.200000,4.200000,4.200000,0
2015-10-26,4.200000,4.650000,4.200000,4.650000,4.650000,5100
2015-11-02,4.700000,4.750000,4.700000,4.750000,4.750000,6100
2015-11-09,4.800000,4.850000,4.800000,4.850000,4.850000,3000
2015-11-16,4.850000,4.850000,4.850000,4.850000,4.850000,100
2015-11-23,4.850000,4.850000,4.820000,4.850000,4.850000,4000
2015-11-30,4.850000,4.850000,4.850000,4.850000,4.850000,500
2015-12-07,4.860000,4.860000,4.850000,4.860000,4.860000,3300
2015-12-14,4.860000,4.860000,4.860000,4.860000,4.860000,6100
2015-12-21,4.860000,4.860000,4.860000,4.860000,4.860000,1600
2015-12-28,4.860000,4.860000,4.850000,4.860000,4.860000,4200
2016-01-04,4.830000,4.830000,4.750000,4.750000,4.750000,3100
2016-01-11,4.550000,4.550000,4.150000,4.150000,4.150000,900
2016-01-18,4.150000,4.400000,3.300000,4.400000,4.400000,12300
2016-01-25,4.500000,4.800000,4.500000,4.800000,4.800000,1900
2016-02-01,4.800000,4.800000,4.800000,4.800000,4.800000,0
2016-02-08,4.800000,4.800000,4.800000,4.800000,4.800000,0
2016-02-15,4.800000,4.800000,4.800000,4.800000,4.800000,0
2016-02-22,4.800000,4.800000,4.800000,4.800000,4.800000,0
2016-02-29,4.850000,4.900000,4.850000,4.900000,4.900000,1000
2016-03-07,4.900000,4.900000,4.900000,4.900000,4.900000,0
2016-03-14,4.900000,4.900000,4.900000,4.900000,4.900000,0
2016-03-21,4.900000,4.900000,4.900000,4.900000,4.900000,0
2016-03-28,4.900000,4.950000,4.900000,4.950000,4.950000,2600
2016-04-04,4.950000,4.950000,4.850000,4.850000,4.850000,300
2016-04-11,4.850000,4.850000,4.850000,4.850000,4.850000,0
2016-04-18,4.990000,4.990000,4.900000,4.900000,4.900000,700
2016-04-25,4.900000,4.900000,4.900000,4.900000,4.900000,500
2016-05-02,4.900000,4.900000,4.900000,4.900000,4.900000,100
2016-05-09,4.800000,4.940000,4.750000,4.750000,4.750000,1300
2016-05-16,4.890000,4.950000,4.876000,4.950000,4.950000,1300
2016-05-23,4.950000,5.200000,4.925000,5.100000,5.100000,4200
2016-05-30,5.100000,5.100000,5.045000,5.100000,5.100000,7300
2016-06-06,5.120000,5.500000,5.120000,5.500000,5.500000,2300
2016-06-13,5.500000,5.750000,5.250000,5.300000,5.300000,1100
2016-06-20,5.300000,5.300000,5.300000,5.300000,5.300000,200
2016-06-27,5.300000,5.335000,5.226000,5.335000,5.335000,2100
2016-07-04,5.350000,5.400000,5.350000,5.360000,5.360000,1200
2016-07-11,5.360000,5.450000,5.200000,5.450000,5.450000,10900
2016-07-18,5.450000,5.450000,5.313000,5.420000,5.420000,1700
2016-07-25,5.420000,5.500000,5.350000,5.480000,5.480000,4100
2016-08-01,5.480000,5.500000,5.480000,5.500000,5.500000,700
2016-08-08,5.500000,5.500000,5.487000,5.500000,5.500000,600
2016-08-15,5.500000,5.500000,5.500000,5.500000,5.500000,200
2016-08-22,5.397000,5.400000,5.397000,5.400000,5.400000,400
2016-08-29,5.385000,8.500000,5.200000,5.520000,5.520000,3500
2016-09-05,5.520000,5.520000,5.520000,5.520000,5.520000,400
2016-09-12,5.520000,6.000000,5.300000,5.500000,5.500000,1500
2016-09-19,5.520000,6.000000,5.520000,5.560000,5.560000,2700
2016-09-26,5.520000,5.520000,4.750000,5.500000,5.500000,800
2016-10-03,5.500000,5.500000,5.500000,5.500000,5.500000,200
2016-10-10,5.500000,5.500000,5.500000,5.500000,5.500000,0
2016-10-17,5.500000,5.650000,5.500000,5.650000,5.650000,1200
2016-10-24,7.000000,7.000000,5.600000,6.000000,6.000000,2100
2016-10-31,6.000000,6.000000,6.000000,6.000000,6.000000,500
2016-11-07,6.000000,6.050000,5.900000,6.000000,6.000000,2800
2016-11-14,6.000000,6.050000,6.000000,6.000000,6.000000,1600
2016-11-21,6.000000,6.000000,6.000000,6.000000,6.000000,0
2016-11-28,5.850000,6.000000,5.250000,5.890000,5.890000,9200
2016-12-05,5.890000,5.900000,5.850000,5.900000,5.900000,1200
2016-12-12,5.900000,5.900000,5.900000,5.900000,5.900000,0
2016-12-19,5.900000,5.990000,5.900000,5.900000,5.900000,400
2016-12-26,6.000000,6.000000,5.950000,5.960000,5.960000,500
2017-01-02,5.900000,6.000000,5.900000,6.000000,6.000000,3700
2017-01-09,6.000000,6.000000,5.950000,5.950000,5.950000,100
2017-01-16,5.950000,5.950000,5.950000,5.950000,5.950000,100
2017-01-23,5.950000,6.000000,5.950000,6.000000,6.000000,1700
2017-01-30,6.000000,6.000000,5.970000,5.980000,5.980000,900
2017-02-06,5.980000,6.000000,5.970000,6.000000,6.000000,1300
2017-02-13,6.000000,6.000000,6.000000,6.000000,6.000000,0
2017-02-20,5.970000,6.000000,5.970000,6.000000,6.000000,400
