Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,15.000000,16.500000,14.000000,15.000000,12.856356,19000
2002-07-08,14.000000,15.500000,13.750000,15.000000,12.856356,3200
2002-07-15,14.750000,14.750000,10.050000,10.500000,8.999450,63100
2002-07-22,10.500000,10.500000,10.000000,10.150000,8.699467,8200
2002-07-29,10.500000,12.000000,10.450000,11.800000,10.113664,22300
2002-08-05,11.900000,12.150000,11.850000,12.150000,10.413642,58700
2002-08-12,12.150000,12.200000,12.000000,12.150000,10.413642,41300
2002-08-19,12.150000,12.150000,11.000000,11.100000,9.513701,64400
2002-08-26,11.000000,11.000000,10.000000,10.000000,8.570902,73200
2002-09-02,9.950000,10.000000,8.900000,9.700000,8.313776,130600
2002-09-09,9.750000,10.100000,9.700000,9.940000,8.519474,71400
2002-09-16,9.940000,10.000000,9.400000,9.400000,8.056648,25500
2002-09-23,9.750000,9.750000,9.300000,9.490000,8.133789,17400
2002-09-30,9.300000,9.550000,9.300000,9.550000,8.185211,14400
2002-10-07,9.400000,9.500000,8.950000,9.000000,7.713812,46200
2002-10-14,8.950000,9.000000,8.000000,8.250000,7.070995,74100
2002-10-21,8.250000,8.250000,6.350000,7.200000,6.171049,68400
2002-10-28,7.500000,7.750000,7.000000,7.500000,6.428178,40500
2002-11-04,7.700000,7.700000,7.500000,7.500000,6.428178,7900
2002-11-11,7.700000,8.500000,7.670000,8.400000,7.199557,63600
2002-11-18,8.450000,8.500000,8.210000,8.400000,7.199557,34900
2002-11-25,8.400000,11.000000,8.400000,10.000000,8.570902,423300
2002-12-02,10.000000,10.750000,10.000000,10.700000,9.170867,149500
2002-12-09,10.500000,11.200000,10.450000,11.000000,9.427993,44600
2002-12-16,11.200000,11.200000,10.500000,10.500000,8.999450,49200
2002-12-23,10.650000,11.100000,10.500000,10.500000,8.999450,25500
2002-12-30,10.800000,10.800000,10.000000,10.250000,8.785177,41200
2003-01-06,10.450000,10.450000,9.100000,9.250000,7.928084,151300
2003-01-13,9.250000,10.010000,9.100000,9.500000,8.142359,44200
2003-01-20,9.500000,9.750000,9.200000,9.200000,7.885229,60600
2003-01-27,9.200000,9.290000,9.100000,9.100000,7.799521,94800
2003-02-03,9.100000,9.250000,9.080000,9.190000,7.876661,35300
2003-02-10,9.200000,9.200000,7.700000,8.000000,6.856723,51200
2003-02-17,8.000000,8.250000,7.900000,7.950000,6.813868,10900
2003-02-24,8.000000,8.000000,7.750000,7.750000,6.642450,11400
2003-03-03,7.750000,7.900000,7.660000,7.720000,6.616736,14800
2003-03-10,7.660000,7.720000,6.750000,7.000000,5.999632,42500
2003-03-17,7.000000,7.200000,6.900000,7.000000,5.999632,32600
