Date,Open,High,Low,Close,Adj Close,Volume
2004-09-20,1080.000000,1081.800049,963.000000,1045.800049,1045.800049,5601
2004-09-27,1063.800049,1128.599976,856.799988,954.000000,954.000000,1066
2004-10-04,963.000000,972.000000,873.000000,900.000000,900.000000,593
2004-10-11,909.000000,910.799988,783.000000,828.000000,828.000000,601
2004-10-18,837.000000,925.200012,793.799988,873.000000,873.000000,437
2004-10-25,882.000000,896.400024,799.200012,837.000000,837.000000,314
2004-11-01,838.799988,864.000000,702.000000,774.000000,774.000000,833
2004-11-08,772.200012,1026.000000,772.200012,973.799988,973.799988,619
2004-11-15,963.000000,963.000000,808.200012,864.000000,864.000000,975
2004-11-22,855.000000,855.000000,781.200012,829.799988,829.799988,166
2004-11-29,873.000000,970.200012,811.799988,907.200012,907.200012,763
2004-12-06,925.200012,925.200012,828.000000,864.000000,864.000000,473
2004-12-13,847.799988,882.000000,846.000000,880.200012,880.200012,257
2004-12-20,883.799988,900.000000,810.000000,831.599976,831.599976,560
2004-12-27,828.000000,873.000000,810.000000,853.200012,853.200012,265
2005-01-03,864.000000,864.000000,729.000000,745.200012,745.200012,343
2005-01-10,739.799988,747.000000,676.799988,696.599976,696.599976,464
2005-01-17,694.799988,781.200012,694.799988,774.000000,774.000000,213
2005-01-24,774.000000,774.000000,720.000000,757.799988,757.799988,160
2005-01-31,756.000000,828.000000,693.000000,813.599976,813.599976,294
2005-02-07,810.000000,921.599976,738.000000,900.000000,900.000000,1016
2005-02-14,918.000000,1006.200012,901.799988,934.200012,934.200012,845
2005-02-21,936.000000,1018.799988,882.000000,1008.000000,1008.000000,616
2005-02-28,999.000000,1062.000000,921.599976,977.400024,977.400024,641
2005-03-07,959.400024,991.799988,837.000000,883.799988,883.799988,517
2005-03-14,891.000000,918.000000,781.200012,801.000000,801.000000,227
2005-03-21,801.000000,801.000000,729.000000,732.599976,732.599976,110
2005-03-28,727.200012,727.200012,594.000000,639.000000,639.000000,448
2005-04-04,621.000000,666.000000,540.000000,631.799988,631.799988,362
2005-04-11,648.000000,702.000000,594.000000,601.200012,601.200012,123
2005-04-18,630.000000,693.000000,594.000000,601.200012,601.200012,298
2005-04-25,595.799988,675.000000,540.000000,556.200012,556.200012,578
2005-05-02,561.599976,561.599976,516.599976,523.799988,523.799988,280
2005-05-09,527.400024,552.599976,504.000000,509.399994,509.399994,295
2005-05-16,523.799988,558.000000,378.000000,471.600006,471.600006,756
2005-05-23,489.600006,489.600006,396.000000,466.200012,466.200012,389
2005-05-30,466.200012,495.000000,466.200012,486.000000,486.000000,176
2005-06-06,486.000000,504.000000,432.000000,466.200012,466.200012,192
2005-06-13,453.600006,747.000000,370.799988,727.200012,727.200012,1545
2005-06-20,720.000000,720.000000,585.000000,660.599976,660.599976,1161
2005-06-27,657.000000,657.000000,540.000000,556.200012,556.200012,507
2005-07-04,550.799988,675.000000,549.000000,639.000000,639.000000,758
2005-07-11,639.000000,657.000000,585.000000,585.000000,585.000000,684
2005-07-18,576.000000,612.000000,522.000000,552.599976,552.599976,859
2005-07-25,549.000000,558.000000,532.799988,534.599976,534.599976,178
2005-08-01,522.000000,572.400024,518.400024,558.000000,558.000000,181
2005-08-08,567.000000,597.599976,523.799988,523.799988,523.799988,358
2005-08-15,514.799988,540.000000,482.399994,531.000000,531.000000,232
2005-08-22,531.000000,567.000000,495.000000,540.000000,540.000000,132
2005-08-29,532.799988,639.000000,495.000000,576.000000,576.000000,576
2005-09-05,585.000000,592.200012,541.799988,579.599976,579.599976,142
2005-09-12,577.799988,577.799988,531.000000,574.200012,574.200012,192
2005-09-19,585.000000,594.000000,549.000000,550.799988,550.799988,213
2005-09-26,550.799988,570.599976,504.000000,520.200012,520.200012,384
2005-10-03,520.200012,563.400024,520.200012,529.200012,529.200012,117
2005-10-10,538.200012,549.000000,450.000000,453.600006,453.600006,396
2005-10-17,468.000000,513.000000,450.000000,496.799988,496.799988,323
2005-10-24,509.399994,518.400024,486.000000,502.200012,502.200012,59
2005-10-31,486.000000,504.000000,432.000000,477.000000,477.000000,419
2005-11-07,477.000000,486.000000,406.799988,432.000000,432.000000,155
2005-11-14,423.000000,459.000000,356.399994,365.399994,365.399994,497
2005-11-21,365.399994,387.000000,324.000000,352.799988,352.799988,352
2005-11-28,347.399994,347.399994,286.200012,331.200012,331.200012,334
2005-12-05,313.200012,327.600006,282.600006,288.000000,288.000000,363
2005-12-12,284.399994,318.600006,252.000000,264.600006,264.600006,547
2005-12-19,261.000000,280.799988,189.000000,270.000000,270.000000,935
2005-12-26,271.799988,277.200012,228.600006,259.200012,259.200012,383
2006-01-02,259.200012,279.000000,253.800003,273.600006,273.600006,339
2006-01-09,271.799988,315.000000,216.000000,270.000000,270.000000,1054
2006-01-16,270.000000,315.000000,253.800003,297.000000,297.000000,820
2006-01-23,297.000000,343.799988,259.200012,338.399994,338.399994,745
2006-01-30,342.000000,567.000000,342.000000,462.600006,462.600006,1476
2006-02-06,460.799988,495.000000,423.000000,453.600006,453.600006,205
2006-02-13,450.000000,450.000000,370.799988,394.200012,394.200012,254
2006-02-20,397.799988,475.200012,378.000000,460.799988,460.799988,174
2006-02-27,469.799988,504.000000,459.000000,500.399994,500.399994,257
2006-03-06,482.399994,500.399994,378.000000,388.799988,388.799988,164
2006-03-13,387.000000,424.799988,378.000000,412.200012,412.200012,95
2006-03-20,414.000000,504.000000,414.000000,468.000000,468.000000,191
2006-03-27,468.000000,468.000000,415.799988,415.799988,415.799988,795
2006-04-03,417.600006,432.000000,405.000000,405.000000,405.000000,105
2006-04-10,397.799988,441.000000,379.799988,381.600006,381.600006,182
2006-04-17,396.000000,412.200012,379.799988,405.000000,405.000000,64
2006-04-24,405.000000,405.000000,378.000000,392.399994,392.399994,103
2006-05-01,387.000000,388.799988,378.000000,378.000000,378.000000,50
2006-05-08,378.000000,378.000000,315.000000,333.000000,333.000000,242
2006-05-15,333.000000,333.000000,244.800003,270.000000,270.000000,202
2006-05-22,270.000000,360.000000,219.600006,315.000000,315.000000,335
2006-05-29,304.200012,327.600006,259.200012,270.000000,270.000000,462
2006-06-05,252.000000,297.000000,217.800003,250.199997,250.199997,213
2006-06-12,248.399994,268.200012,216.000000,250.199997,250.199997,278
2006-06-19,261.000000,288.000000,248.399994,280.799988,280.799988,110
2006-06-26,288.000000,309.600006,270.000000,304.200012,304.200012,387
2006-07-03,315.000000,334.799988,284.399994,315.000000,315.000000,75
2006-07-10,311.399994,315.000000,273.600006,273.600006,273.600006,53
2006-07-17,275.399994,275.399994,199.800003,248.399994,248.399994,97
2006-07-24,235.800003,235.800003,180.000000,198.000000,198.000000,356
2006-07-31,207.000000,266.399994,207.000000,246.600006,246.600006,170
2006-08-07,252.000000,252.000000,171.000000,210.600006,210.600006,77
2006-08-14,207.000000,225.000000,176.399994,180.000000,180.000000,394
2006-08-21,185.399994,189.000000,169.199997,187.199997,187.199997,195
2006-08-28,189.000000,216.000000,181.800003,216.000000,216.000000,227
2006-09-04,210.600006,221.399994,196.199997,203.399994,203.399994,75
2006-09-11,185.399994,207.000000,185.399994,199.800003,199.800003,65
2006-09-18,194.399994,194.399994,174.600006,180.000000,180.000000,419
2006-09-25,180.000000,205.199997,172.800003,180.000000,180.000000,138
2006-10-02,171.000000,266.399994,171.000000,250.199997,250.199997,397
2006-10-09,255.600006,261.000000,207.000000,230.399994,230.399994,309
2006-10-16,219.600006,225.000000,178.199997,198.000000,198.000000,357
2006-10-23,203.399994,261.000000,189.000000,235.800003,235.800003,1261
2006-10-30,234.000000,234.000000,198.000000,210.600006,210.600006,165
2006-11-06,208.800003,239.399994,201.600006,214.199997,214.199997,189
2006-11-13,207.000000,216.000000,185.399994,194.399994,194.399994,227
2006-11-20,194.399994,203.399994,185.399994,196.199997,196.199997,73
2006-11-27,185.399994,239.399994,185.399994,230.399994,230.399994,223
2006-12-04,225.000000,239.399994,201.600006,234.000000,234.000000,119
2006-12-11,230.399994,246.600006,216.000000,244.800003,244.800003,559
2006-12-18,262.799988,270.000000,207.000000,212.399994,212.399994,302
2006-12-25,208.800003,261.000000,203.399994,261.000000,261.000000,316
2007-01-01,268.200012,306.000000,261.000000,304.200012,304.200012,379
2007-01-08,302.399994,302.399994,257.399994,262.799988,262.799988,228
2007-01-15,252.000000,356.399994,252.000000,356.399994,356.399994,384
2007-01-22,369.000000,387.000000,288.000000,315.000000,315.000000,381
2007-01-29,333.000000,466.200012,333.000000,379.799988,379.799988,1061
2007-02-05,396.000000,403.200012,304.200012,334.799988,334.799988,585
2007-02-12,343.799988,354.600006,311.399994,316.799988,316.799988,140
2007-02-19,324.000000,342.000000,264.600006,298.799988,298.799988,158
2007-02-26,293.399994,358.200012,288.000000,358.200012,358.200012,276
2007-03-05,342.000000,342.000000,275.399994,282.600006,282.600006,101
2007-03-12,288.000000,399.600006,288.000000,306.000000,306.000000,750
2007-03-19,315.000000,342.000000,297.000000,315.000000,315.000000,134
2007-03-26,307.799988,325.799988,298.799988,325.799988,325.799988,78
2007-04-02,315.000000,316.799988,291.600006,297.000000,297.000000,61
2007-04-09,279.000000,331.200012,252.000000,288.000000,288.000000,304
2007-04-16,289.799988,298.799988,277.200012,289.799988,289.799988,179
2007-04-23,282.600006,306.000000,270.000000,270.000000,270.000000,190
2007-04-30,261.000000,313.200012,253.800003,266.399994,266.399994,110
2007-05-07,243.000000,261.000000,189.000000,216.000000,216.000000,319
2007-05-14,219.600006,264.600006,207.000000,234.000000,234.000000,84
2007-05-21,223.199997,244.800003,223.199997,243.000000,243.000000,181
2007-05-28,226.800003,306.000000,212.399994,261.000000,261.000000,112
2007-06-04,261.000000,261.000000,234.000000,252.000000,252.000000,39
2007-06-11,261.000000,268.200012,212.399994,257.399994,257.399994,91
2007-06-18,252.000000,252.000000,243.000000,252.000000,252.000000,83
2007-06-25,243.000000,243.000000,198.000000,223.199997,223.199997,63
2007-07-02,261.000000,261.000000,252.000000,252.000000,252.000000,89
2007-07-09,252.000000,261.000000,207.000000,234.000000,234.000000,128
2007-07-16,221.399994,239.399994,217.800003,217.800003,217.800003,55
2007-07-23,216.000000,219.600006,183.600006,189.000000,189.000000,136
2007-07-30,180.000000,181.800003,169.199997,171.000000,171.000000,126
2007-08-06,180.000000,180.000000,131.399994,131.399994,131.399994,416
2007-08-13,131.399994,153.000000,81.000000,142.199997,142.199997,175
2007-08-20,144.000000,198.000000,144.000000,171.000000,171.000000,57
2007-08-27,180.000000,189.000000,162.000000,162.000000,162.000000,34
2007-09-03,158.399994,158.399994,149.399994,149.399994,149.399994,5
2007-09-10,151.199997,180.000000,135.000000,136.800003,136.800003,115
2007-09-17,135.000000,145.800003,135.000000,135.000000,135.000000,104
2007-09-24,140.399994,243.000000,118.800003,237.600006,237.600006,262
2007-10-01,243.000000,270.000000,180.000000,270.000000,270.000000,180
2007-10-08,261.000000,270.000000,216.000000,216.000000,216.000000,81
2007-10-15,207.000000,338.399994,198.000000,237.600006,237.600006,254
2007-10-22,243.000000,293.399994,243.000000,243.000000,243.000000,64
2007-10-29,243.000000,261.000000,180.000000,180.000000,180.000000,107
2007-11-05,192.600006,225.000000,136.800003,183.600006,183.600006,125
2007-11-12,183.600006,183.600006,151.199997,151.199997,151.199997,33
2007-11-19,151.199997,187.199997,138.600006,144.000000,144.000000,138
2007-11-26,142.199997,185.399994,95.400002,144.000000,144.000000,151
2007-12-03,144.000000,144.000000,99.000000,135.000000,135.000000,288
2007-12-10,126.000000,135.000000,99.000000,135.000000,135.000000,510
2007-12-17,126.000000,171.000000,90.000000,120.599998,120.599998,1056
2007-12-24,113.400002,129.600006,81.000000,97.199997,97.199997,1642
2007-12-31,93.599998,97.199997,59.400002,72.000000,72.000000,1849
2008-01-07,72.000000,88.199997,59.400002,88.199997,88.199997,576
2008-01-14,102.599998,156.600006,102.599998,156.600006,156.600006,543
2008-01-21,154.800003,154.800003,117.000000,126.000000,126.000000,13746
2008-01-28,124.199997,288.000000,117.000000,196.199997,196.199997,259
2008-02-04,198.000000,198.000000,153.000000,160.199997,160.199997,7079
2008-02-11,160.199997,171.000000,144.000000,169.199997,169.199997,80
2008-02-18,165.600006,171.000000,162.000000,167.399994,167.399994,50
2008-02-25,167.399994,198.000000,149.399994,180.000000,180.000000,224
2008-03-03,171.000000,194.399994,151.199997,162.000000,162.000000,333
2008-03-10,163.800003,172.800003,145.800003,145.800003,145.800003,121
2008-03-17,154.800003,160.199997,122.400002,154.800003,154.800003,104
