Date,Open,High,Low,Close,Adj Close,Volume
2019-07-29,25.190001,25.590000,25.049999,25.346001,22.930655,435300
2019-08-05,25.299999,25.379999,25.150000,25.280001,22.870943,174800
2019-08-12,25.469999,25.600000,25.350000,25.586000,23.147781,136400
2019-08-19,25.600000,25.799999,25.530001,25.705000,23.255442,119400
2019-08-26,25.607000,25.997999,25.607000,25.969999,23.495188,47900
2019-09-02,25.990000,25.990000,25.750000,25.799999,23.341387,15200
2019-09-09,25.750000,25.790001,25.260000,25.730000,23.278057,122300
2019-09-16,25.730000,25.799999,25.500000,25.719999,23.269014,25800
2019-09-23,25.690001,25.740000,25.520000,25.660999,23.215635,29500
2019-09-30,25.667000,25.830000,25.559999,25.750000,23.296150,27700
2019-10-07,25.920000,26.020000,25.700001,25.900000,23.431858,112000
2019-10-14,25.830000,25.990000,25.639999,25.768999,23.647390,15400
2019-10-21,25.750000,25.990000,25.750000,25.950001,23.813490,79900
2019-10-28,25.950001,26.049999,25.660000,25.799999,23.675838,12400
2019-11-04,25.855000,25.950001,25.732000,25.884001,23.752924,5400
2019-11-11,25.884001,25.884001,25.600000,25.750999,23.630873,16500
2019-11-18,25.760000,25.874001,25.700001,25.799999,23.675838,7200
2019-11-25,25.790001,25.900000,25.730000,25.750000,23.629951,2900
2019-12-02,25.709999,25.950001,25.700001,25.950001,23.813490,7200
2019-12-09,26.150000,26.150000,25.790001,26.070000,23.923609,9800
2019-12-16,25.770000,25.974001,25.681999,25.837000,23.709793,13000
2019-12-23,25.740000,25.930000,25.719999,25.879999,23.749250,7900
2019-12-30,25.879999,26.350000,25.879999,26.170000,24.015375,8800
2020-01-06,26.194000,26.500000,26.010000,26.450001,24.272324,13100
2020-01-13,26.480000,26.500000,25.850000,26.250000,24.088791,32900
2020-01-20,26.240000,26.240000,25.900000,26.100000,24.280695,14300
2020-01-27,25.933001,26.350000,25.900000,25.930000,24.122545,27400
2020-02-03,26.090000,26.229000,25.940001,26.120001,24.299299,11300
2020-02-10,26.014999,26.087000,25.750000,26.059999,24.243483,41300
2020-02-17,26.049999,26.129999,25.940001,26.129999,24.308601,8600
2020-02-24,26.014999,27.740000,25.600000,26.136999,24.315115,55300
2020-03-02,26.100000,26.900000,25.750000,26.754000,24.889111,102700
2020-03-09,26.500000,26.649000,16.309999,24.150000,22.466619,46400
2020-03-16,23.230000,23.500000,14.180000,18.000000,16.745306,179200
2020-03-23,16.799999,22.000000,14.200000,20.500000,19.071043,96000
2020-03-30,19.500000,21.860001,17.500000,19.500000,18.140747,111500
2020-04-06,20.150000,23.157000,19.860001,22.700001,21.117695,22500
2020-04-13,23.021000,24.000000,21.160000,23.000000,21.396780,23100
2020-04-20,22.771999,23.250000,22.000000,23.000000,21.721701,14200
2020-04-27,23.260000,23.900000,22.299999,23.780001,22.458351,15700
2020-05-04,23.516001,24.900000,23.516001,24.200001,22.855009,9300
2020-05-11,24.150000,24.290001,22.900000,24.000000,22.666124,20100
2020-05-18,24.135000,24.299999,23.700001,24.000000,22.666124,7600
2020-05-25,24.500000,24.500000,24.250000,24.250000,22.902227,2700
2020-06-01,24.250000,24.750000,24.099001,24.750000,23.374439,9700
2020-06-08,24.825001,24.940001,23.910000,24.230000,22.883341,11200
2020-06-15,24.219999,24.700001,23.900000,24.700001,23.327217,17800
2020-06-22,24.240000,25.000000,24.160000,24.900000,23.516102,7600
2020-06-29,24.700001,24.700001,24.209999,24.570000,23.204445,3800
2020-07-06,24.549999,24.559999,24.350000,24.350000,22.996670,6000
2020-07-13,24.400000,24.889999,23.480000,24.750000,23.374439,8200
2020-07-20,24.500000,24.700001,24.110001,24.405001,23.392653,12100
2020-07-27,24.700001,24.700001,23.530001,24.430000,23.416615,8200
2020-08-03,24.500000,24.940001,24.419001,24.790001,23.761681,16100
2020-08-10,24.799999,25.980000,24.799999,25.400000,24.346376,27900
2020-08-17,25.000000,25.000000,24.520000,24.990000,23.953384,27300
2020-08-24,24.980000,25.000000,24.750000,25.000000,23.962971,27300
2020-08-31,24.900000,26.205000,24.900000,25.573000,24.512201,20800
2020-09-07,26.000000,26.000000,25.000000,25.160000,24.116333,23300
2020-09-14,25.090000,25.250000,24.952000,25.250000,24.202600,36000
2020-09-21,25.200001,25.610001,25.000000,25.290001,24.240942,14200
2020-09-28,25.174999,25.250000,25.100000,25.183001,24.138380,5300
2020-10-05,25.150000,25.350000,25.020000,25.330000,24.279282,33300
2020-10-12,25.330000,25.389999,24.950001,25.100000,24.058823,22900
2020-10-19,25.193001,25.500000,25.120001,25.200001,24.503195,10600
2020-10-26,25.180000,25.340000,25.110001,25.110001,24.415684,5800
2020-11-02,25.200001,25.780001,25.110001,25.110001,24.415684,29800
2020-11-09,25.200001,26.000000,24.875999,25.658001,24.948530,29200
2020-11-16,25.450001,25.924999,25.250000,25.650000,24.940750,27100
2020-11-23,25.500000,25.660000,25.299999,25.500000,24.794899,12800
2020-11-30,25.480000,25.490000,25.139999,25.440001,24.736557,8700
2020-12-07,25.190001,25.360001,24.879999,25.080000,24.386511,67000
2020-12-14,25.150000,25.389999,25.080000,25.211000,24.513891,70100
2020-12-21,25.129999,25.379999,25.100000,25.350000,24.649048,26200
2020-12-28,25.336000,25.440001,25.200001,25.370001,24.668495,12400
