Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,1.515152,1.657197,1.515152,1.628788,1.477521,27720
2000-01-08,1.628788,1.628788,1.553030,1.628788,1.477521,28710
2000-01-15,1.628788,1.742424,1.628788,1.704545,1.546242,79200
2000-01-22,1.723485,1.742424,1.666667,1.704545,1.546242,41250
2000-01-29,1.666667,1.723485,1.628788,1.628788,1.477521,54450
2000-02-05,1.553030,1.590909,1.515152,1.515152,1.374439,48840
2000-02-12,1.515152,1.628788,1.477273,1.609848,1.460340,48180
2000-02-19,1.590909,1.666667,1.515152,1.666667,1.511882,67320
2000-02-26,1.666667,1.666667,1.590909,1.590909,1.443160,19800
2000-03-04,1.647727,1.647727,1.515152,1.515152,1.374439,88440
2000-03-11,1.515152,1.571970,1.486742,1.571970,1.425980,38610
2000-03-18,1.553030,1.590909,1.212121,1.250000,1.133911,130020
2000-03-25,1.250000,1.553030,1.250000,1.477273,1.340077,43890
2000-04-01,1.515152,1.553030,1.477273,1.534091,1.391618,83820
2000-04-08,1.590909,1.666667,1.515152,1.590909,1.443160,303930
2000-04-15,1.515152,1.704545,1.515152,1.666667,1.511882,161040
2000-04-22,1.666667,1.742424,1.515152,1.515152,1.374439,245190
2000-04-29,1.515152,1.780303,1.515152,1.666667,1.511882,443520
2000-05-06,1.666667,1.666667,1.590909,1.590909,1.443160,47190
2000-05-13,1.515152,1.666667,1.515152,1.666667,1.511882,25080
2000-05-20,1.647727,1.647727,1.515152,1.515152,1.374439,5940
2000-05-27,1.515152,1.590909,1.496212,1.590909,1.443160,15180
2000-06-03,1.628788,1.628788,1.439394,1.515152,1.374439,76560
2000-06-10,1.515152,1.553030,1.515152,1.515152,1.374439,17820
2000-06-17,1.458333,1.515152,1.363636,1.505682,1.365848,132990
2000-06-24,1.505682,1.505682,1.363636,1.401515,1.271355,120450
2000-07-01,1.401515,1.515152,1.401515,1.439394,1.305716,35640
2000-07-08,1.363636,1.515152,1.363636,1.515152,1.374439,7260
2000-07-15,1.515152,1.553030,1.401515,1.401515,1.271355,32010
2000-07-22,1.401515,1.439394,1.401515,1.401515,1.271355,21780
2000-07-29,1.401515,1.401515,1.401515,1.401515,1.271355,0
2000-08-05,1.553030,1.553030,1.401515,1.401515,1.271355,42240
2000-08-12,1.401515,1.590909,1.401515,1.515152,1.374439,46530
2000-08-19,1.515152,1.553030,1.401515,1.515152,1.374439,82830
2000-08-26,1.515152,1.515152,1.401515,1.420455,1.288536,22440
2000-09-02,1.420455,1.420455,1.420455,1.420455,1.288536,5610
2000-09-09,1.515152,1.553030,1.420455,1.553030,1.408799,37950
2000-09-16,1.553030,1.553030,1.477273,1.553030,1.408799,44220
2000-09-23,1.439394,1.515152,1.401515,1.401515,1.271355,101970
2000-09-30,1.401515,1.439394,1.401515,1.439394,1.305716,78540
2000-10-07,1.439394,1.515152,1.439394,1.439394,1.305716,39270
2000-10-14,1.401515,1.439394,0.918561,1.439394,1.305716,143880
2000-10-21,1.439394,1.439394,1.439394,1.439394,1.305716,12870
2000-10-28,1.439394,1.439394,1.363636,1.401515,1.271355,29700
2000-11-04,1.363636,1.401515,1.363636,1.363636,1.236994,22440
2000-11-11,1.439394,1.439394,1.401515,1.420455,1.288536,43230
2000-11-18,1.401515,1.477273,1.363636,1.439394,1.305716,104940
2000-11-25,1.401515,1.515152,1.401515,1.515152,1.374439,11550
2000-12-02,1.515152,1.515152,1.401515,1.401515,1.271355,14520
2000-12-09,1.401515,1.496212,1.401515,1.401515,1.271355,91410
2000-12-16,1.401515,1.439394,1.363636,1.363636,1.236994,78540
2000-12-23,1.401515,1.515152,1.373106,1.515152,1.374439,85140
2000-12-30,1.515152,1.515152,1.306818,1.401515,1.271355,50820
2001-01-06,1.401515,1.401515,1.401515,1.401515,1.271355,3630
2001-01-13,1.401515,1.458333,1.401515,1.458333,1.322896,18810
2001-01-20,1.458333,1.458333,1.363636,1.363636,1.236994,66660
2001-01-27,1.363636,1.496212,1.363636,1.439394,1.305716,43230
2001-02-03,1.439394,1.515152,1.420455,1.439394,1.305716,9240
2001-02-10,1.496212,1.496212,1.325758,1.401515,1.271355,49500
2001-02-17,1.401515,1.429924,1.401515,1.401515,1.271355,20790
2001-02-24,1.401515,1.439394,1.401515,1.439394,1.305716,15510
2001-03-03,1.439394,1.647727,1.439394,1.647727,1.494701,72600
2001-03-10,1.647727,1.647727,1.515152,1.515152,1.374439,61380
2001-03-17,1.590909,1.590909,1.515152,1.515152,1.374439,19470
2001-03-24,1.590909,1.590909,1.515152,1.534091,1.391618,27720
2001-03-31,1.534091,1.553030,1.439394,1.553030,1.408799,29040
2001-04-07,1.554545,1.575758,1.554545,1.575758,1.429416,660
2001-04-14,1.454545,1.587879,1.454545,1.554545,1.410173,12540
2001-04-21,1.515152,1.648485,1.500000,1.590909,1.443160,268620
2001-04-28,1.575758,1.863636,1.575758,1.742424,1.580604,131340
2001-05-05,1.742424,2.333333,1.742424,2.121212,1.924213,149490
2001-05-12,1.969697,2.333333,1.969697,2.272727,2.061657,42900
2001-05-19,2.257576,2.257576,2.072727,2.196970,1.992936,26400
2001-05-26,1.833333,2.121212,1.833333,2.121212,1.924213,13200
2001-06-02,2.045455,2.227273,1.909091,1.969697,1.786770,39600
2001-06-09,1.912121,2.000000,1.848485,2.000000,1.814258,60390
2001-06-16,2.000000,2.045455,1.893939,2.045455,1.855492,46530
2001-06-23,2.015152,2.121212,1.909091,2.045455,1.855492,36300
2001-06-30,2.045455,2.045455,2.045455,2.045455,1.855492,0
2001-07-07,2.090909,2.106061,1.893939,2.075758,1.882980,11880
2001-07-14,2.075758,2.075758,1.939394,1.969697,1.786770,40920
2001-07-21,2.075758,2.090909,1.893939,2.078788,1.885729,65670
2001-07-28,2.075758,2.075758,2.045455,2.075758,1.882980,16830
2001-08-04,2.009091,2.727273,2.009091,2.696970,2.446500,292050
2001-08-11,2.896970,3.469697,2.727273,3.103030,2.814849,791340
2001-08-18,2.984848,3.181818,2.809091,3.166667,2.872576,141240
2001-08-25,3.151515,3.151515,2.424242,2.572727,2.333796,206580
2001-09-01,2.572727,3.127273,2.572727,2.924242,2.652665,75240
2001-09-08,2.939394,3.057576,2.939394,3.015152,2.735132,4950
2001-09-15,2.333333,3.309091,2.181818,2.424242,2.199101,133980
2001-09-22,2.424242,2.787879,2.424242,2.424242,2.199101,50985
