Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,7.468750,7.476563,5.890625,6.484375,2.570292,60991200
2000-01-08,6.687500,7.125000,6.390625,6.609375,2.619840,28987200
2000-01-15,6.746094,7.656250,6.710938,7.285156,2.887708,39744000
2000-01-22,7.250000,7.710938,6.203125,6.257813,2.480487,42968000
2000-01-29,6.281250,7.375000,5.812500,7.328125,2.904740,39465600
2000-02-05,7.468750,8.671875,7.312500,8.218750,3.257768,63908000
2000-02-12,8.312500,8.445313,7.734375,8.000000,3.171059,22397600
2000-02-19,8.148438,9.000000,7.640625,8.968750,3.555055,32018400
2000-02-26,9.039063,9.343750,8.500000,9.062500,3.592215,37969600
2000-03-04,9.273438,10.203125,9.257813,10.101563,4.004082,43982400
2000-03-11,9.960938,10.031250,7.890625,8.921875,3.536474,38171200
2000-03-18,8.937500,9.500000,8.250000,9.164063,3.632472,21239200
2000-03-25,9.250000,9.515625,8.375000,9.390625,3.722278,37031200
2000-04-01,9.421875,9.546875,6.546875,8.328125,3.301122,52437600
2000-04-08,8.484375,8.484375,6.140625,6.570313,2.604356,32596000
2000-04-15,6.453125,8.421875,6.312500,7.437500,2.948094,34964000
2000-04-22,7.218750,7.820313,6.531250,7.804688,3.093642,29245600
2000-04-29,7.804688,8.000000,7.000000,7.562500,2.997642,31984800
2000-05-06,7.539063,7.625000,6.796875,7.070313,2.802548,30288800
2000-05-13,7.187500,8.367188,7.000000,7.789063,3.087447,32086400
2000-05-20,7.734375,8.468750,7.187500,7.812500,3.096737,21822400
2000-05-27,7.937500,9.007813,7.812500,8.742188,3.465250,25944000
2000-06-03,8.753906,9.140625,8.562500,8.937500,3.542668,24839200
2000-06-10,9.000000,9.125000,8.500000,8.648438,3.428089,24840000
2000-06-17,8.593750,8.640625,6.953125,7.328125,2.904740,54248800
2000-06-24,7.316406,7.437500,6.500000,6.742188,2.672485,46017600
2000-07-01,6.703125,6.875000,5.937500,6.351563,2.517648,44427200
2000-07-08,6.308594,6.687500,6.062500,6.546875,2.595066,44140000
2000-07-15,6.789063,8.062500,5.781250,7.562500,2.997642,57993600
2000-07-22,7.484375,8.125000,6.062500,6.132813,2.430939,60435200
2000-07-29,6.234375,7.203125,5.859375,6.882813,2.728226,61293600
2000-08-05,6.882813,6.882813,5.984375,6.046875,2.396875,34117600
2000-08-12,6.007813,6.349609,5.343750,6.304688,2.499067,72216000
2000-08-19,6.753906,6.781250,6.015625,6.156250,2.440229,36806400
2000-08-26,6.156250,6.531250,5.945313,6.515625,2.582679,39764000
