Date,Open,High,Low,Close,Adj Close,Volume
2016-09-19,144.000000,222.399994,137.699997,201.399994,201.399994,329340
2016-09-26,202.500000,237.899994,191.800003,201.800003,201.800003,186090
2016-10-03,203.800003,208.899994,184.000000,186.199997,186.199997,106840
2016-10-10,185.100006,195.000000,175.000000,189.699997,189.699997,43960
2016-10-17,192.800003,217.210007,192.399994,205.899994,205.899994,31070
2016-10-24,204.399994,218.800003,200.600006,209.100006,209.100006,30870
2016-10-31,209.500000,212.500000,200.800003,202.000000,202.000000,25690
2016-11-07,207.600006,221.000000,203.500000,219.800003,219.800003,27230
2016-11-14,223.699997,223.800003,190.000000,217.300003,217.300003,26690
2016-11-21,218.699997,238.000000,218.699997,232.899994,232.899994,42270
2016-11-28,233.600006,297.899994,231.899994,268.899994,268.899994,123430
2016-12-05,268.899994,308.989990,266.510010,282.899994,282.899994,45540
2016-12-12,287.600006,289.000000,256.000000,273.299988,273.299988,104390
2016-12-19,272.899994,288.200012,250.399994,271.200012,271.200012,51560
2016-12-26,271.200012,285.910004,250.100006,270.200012,270.200012,31950
2017-01-02,273.700012,277.649994,250.899994,259.299988,259.299988,36420
2017-01-09,261.200012,261.399994,223.800003,226.899994,226.899994,32060
2017-01-16,235.000000,237.600006,211.600006,218.399994,218.399994,39130
2017-01-23,221.800003,221.800003,35.200001,48.599998,48.599998,875250
2017-01-30,50.900002,50.900002,38.000000,44.599998,44.599998,295130
2017-02-06,44.799999,45.299999,40.599998,41.700001,41.700001,80040
2017-02-13,42.099998,79.800003,42.000000,56.400002,56.400002,745560
2017-02-20,56.000000,59.400002,48.099998,51.000000,51.000000,69090
2017-02-27,50.400002,65.000000,50.070000,63.900002,63.900002,152510
2017-03-06,71.900002,81.900002,54.500000,68.800003,68.800003,284910
2017-03-13,71.900002,73.300003,62.099998,65.500000,65.500000,61460
2017-03-20,66.000000,66.800003,58.099998,60.299999,60.299999,41340
2017-03-27,58.700001,66.000000,58.299999,63.799999,63.799999,38060
