Date,Open,High,Low,Close,Adj Close,Volume
2003-07-28,11.879653,11.941687,9.962779,10.700993,10.700993,17276771
2003-08-04,10.669975,10.862283,10.086849,10.843672,10.843672,3633931
2003-08-11,10.862283,11.414392,10.428040,10.825062,10.825062,1935205
2003-08-18,10.794045,10.856079,10.397022,10.514888,10.514888,1583307
2003-08-25,10.607940,12.220844,10.452854,12.096774,12.096774,2033055
2003-09-01,12.003722,12.996278,11.786600,12.717122,12.717122,2775704
2003-09-08,12.723325,13.014888,10.545906,11.017370,11.017370,4788609
2003-09-15,11.104218,11.277916,10.638958,10.669975,10.669975,1479815
2003-09-22,10.651365,10.825062,8.852357,10.248139,10.248139,3047970
2003-09-29,10.142680,10.694789,9.739454,10.074442,10.074442,2283559
2003-10-06,10.062035,11.352357,9.838710,10.719603,10.719603,3619908
2003-10-13,11.197270,11.197270,10.483871,10.732010,10.732010,2457011
2003-10-20,10.825062,11.619107,10.545906,10.856079,10.856079,1938269
2003-10-27,10.831266,11.358561,8.542184,8.945409,8.945409,7573176
2003-11-03,9.032258,9.243176,8.343672,8.808933,8.808933,4716067
2003-11-10,8.839950,8.995037,8.337469,8.839950,8.839950,3025886
2003-11-17,9.150124,9.243176,8.442928,8.653846,8.653846,2940610
2003-11-24,8.684864,8.839950,7.977667,8.368486,8.368486,2716380
2003-12-01,8.591811,10.229529,8.473945,9.931762,9.931762,9586886
2003-12-08,9.987593,10.235732,8.995037,9.243176,9.243176,3299280
2003-12-15,9.392060,9.832506,9.218362,9.361042,9.361042,2238101
2003-12-22,9.435484,9.832506,9.379653,9.677419,9.677419,678652
2003-12-29,9.739454,9.956576,9.212159,9.429280,9.429280,1227376
2004-01-05,9.348635,10.490074,9.236973,10.000000,10.000000,4407208
2004-01-12,10.111663,12.009926,10.031017,12.003722,12.003722,5159851
2004-01-19,12.158809,12.462779,10.750620,11.333747,11.333747,5414708
2004-01-26,11.383375,11.625310,10.390819,10.471464,10.471464,5431956
2004-02-02,10.533499,10.651365,10.055831,10.521092,10.521092,2519716
2004-02-09,10.483871,11.631514,10.130273,11.178660,11.178660,6310496
2004-02-16,11.215881,11.215881,9.702233,9.987593,9.987593,3447907
2004-02-23,10.012407,10.111663,8.976427,9.336228,9.336228,4124786
2004-03-01,9.447891,9.553350,9.174938,9.181141,9.181141,2156049
