Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,3.718750,3.937500,3.625000,3.937500,3.470887,25600
2000-01-08,3.937500,4.750000,3.937500,4.687500,4.132009,124400
2000-01-15,4.812500,4.812500,4.625000,4.625000,4.076916,25400
2000-01-22,4.562500,4.625000,4.468750,4.562500,4.021822,110600
2000-01-29,4.500000,4.562500,4.000000,4.093750,3.608621,22200
2000-02-05,4.062500,4.062500,3.562500,3.656250,3.222967,23800
2000-02-12,3.593750,3.687500,3.500000,3.562500,3.140327,34200
2000-02-19,3.500000,3.687500,3.500000,3.687500,3.250514,31200
2000-02-26,3.687500,3.875000,3.687500,3.875000,3.415795,44600
2000-03-04,3.812500,3.812500,3.625000,3.687500,3.250514,42800
2000-03-11,3.687500,4.062500,3.656250,3.687500,3.250514,40000
2000-03-18,3.656250,3.812500,3.562500,3.750000,3.305607,33800
2000-03-25,3.750000,3.750000,3.562500,3.562500,3.140327,5000
2000-04-01,3.593750,3.593750,3.437500,3.437500,3.030140,36400
2000-04-08,3.437500,3.625000,3.250000,3.312500,2.919953,34200
2000-04-15,3.343750,3.562500,3.343750,3.531250,3.112780,18800
2000-04-22,3.531250,3.625000,3.437500,3.437500,3.030140,38600
2000-04-29,3.437500,3.437500,3.250000,3.375000,2.975046,32600
2000-05-06,3.312500,3.437500,3.312500,3.312500,2.919953,1400
2000-05-13,3.375000,3.437500,3.312500,3.375000,2.975046,14000
2000-05-20,3.312500,3.375000,3.250000,3.312500,2.919953,11200
2000-05-27,3.312500,3.375000,3.187500,3.312500,2.919953,8400
2000-06-03,3.062500,3.250000,3.062500,3.250000,2.864860,32800
2000-06-10,3.250000,3.250000,3.000000,3.187500,2.809766,50800
2000-06-17,3.187500,3.187500,3.125000,3.187500,2.809766,18000
2000-06-24,3.187500,3.187500,2.875000,3.125000,2.754673,41800
2000-07-01,3.125000,3.187500,3.062500,3.187500,2.809766,4800
2000-07-08,3.125000,3.875000,3.125000,3.812500,3.360701,15400
2000-07-15,4.000000,4.000000,3.812500,3.812500,3.360701,34800
2000-07-22,3.812500,3.968750,3.812500,3.875000,3.415795,34000
2000-07-29,3.875000,4.062500,3.812500,3.968750,3.498434,36200
2000-08-05,3.968750,3.968750,3.906250,3.906250,3.443341,1800
2000-08-12,3.906250,4.000000,3.875000,3.937500,3.470887,20600
2000-08-19,3.968750,4.437500,3.968750,4.187500,3.691262,50600
2000-08-26,4.125000,4.125000,4.000000,4.000000,3.525981,8800
2000-09-02,4.000000,4.000000,3.843750,3.843750,3.388247,4600
2000-09-09,3.843750,3.906250,3.718750,3.718750,3.278060,30000
2000-09-16,3.656250,3.750000,3.625000,3.625000,3.195420,10200
2000-09-23,3.687500,3.718750,3.500000,3.500000,3.085234,7200
2000-09-30,3.500000,3.562500,3.500000,3.500000,3.085234,2200
2000-10-07,3.500000,3.500000,3.375000,3.500000,3.085234,24000
2000-10-14,3.500000,3.500000,3.406250,3.406250,3.002594,1000
2000-10-21,3.468750,3.500000,3.375000,3.437500,3.030140,12600
2000-10-28,3.500000,3.500000,3.375000,3.375000,2.975046,7000
2000-11-04,3.375000,3.500000,3.375000,3.500000,3.085234,2800
2000-11-11,3.468750,3.468750,3.375000,3.375000,2.975046,23200
2000-11-18,3.375000,3.500000,3.375000,3.437500,3.030140,17800
2000-11-25,3.437500,3.437500,3.125000,3.125000,2.754673,5000
