Date,Open,High,Low,Close,Adj Close,Volume
2020-06-15,3.560000,3.760000,3.250000,3.250000,3.250000,629700
2020-06-22,3.450000,4.490000,3.030000,3.500000,3.500000,819000
2020-06-29,3.608000,3.980000,3.500000,3.825000,3.825000,286300
2020-07-06,4.110000,4.110000,2.680000,2.995000,2.995000,627600
2020-07-13,3.250000,3.840000,2.927000,3.840000,3.840000,668200
2020-07-20,3.730000,4.250000,3.500000,3.690000,3.690000,318200
2020-07-27,3.750000,3.880000,2.900000,3.000000,3.000000,542800
2020-08-03,3.600000,3.625000,2.800000,2.850000,2.850000,205900
2020-08-10,2.800000,2.960000,2.620000,2.800000,2.800000,466500
2020-08-17,2.940000,2.950000,2.700000,2.850000,2.850000,390500
2020-08-24,2.700000,3.180000,2.600000,2.940000,2.940000,512800
2020-08-31,3.000000,3.850000,2.710000,3.670000,3.670000,327400
2020-09-07,3.900000,4.350000,3.450000,3.861000,3.861000,1564300
2020-09-14,3.750000,5.850000,3.700000,4.770000,4.770000,5257200
2020-09-21,4.700000,5.600000,3.600000,5.000000,5.000000,2270600
2020-09-28,5.400000,6.010000,4.920000,5.200000,5.200000,2137800
2020-10-05,5.500000,5.970000,3.720000,5.880000,5.880000,3157300
2020-10-12,6.750000,7.890000,6.250000,6.670000,6.670000,4657100
2020-10-19,7.020000,7.300000,5.560000,6.120000,6.120000,1641800
2020-10-26,5.900000,6.040000,4.210000,4.300000,4.300000,1170700
2020-11-02,4.450000,6.850000,3.890000,6.690000,6.690000,1768100
2020-11-09,7.000000,7.000000,5.000000,5.840000,5.840000,910000
2020-11-16,6.350000,6.490000,5.490000,5.820000,5.820000,865000
2020-11-23,5.900000,6.480000,5.240000,6.090000,6.090000,1185100
2020-11-30,6.570000,8.320000,6.200000,8.149000,8.149000,1830400
2020-12-07,8.550000,11.800000,8.550000,10.000000,10.000000,2141600
2020-12-14,11.000000,13.400000,10.240000,13.230000,13.230000,1966500
2020-12-21,13.400000,14.500000,11.200000,11.750000,11.750000,888300
2020-12-28,11.500000,11.770000,7.750000,8.200000,8.200000,1020900
