Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,18.781250,19.000000,17.750000,19.000000,7.822148,82400
2000-01-08,18.875000,20.312500,18.875000,19.750000,8.130914,238800
2000-01-15,19.625000,19.937500,18.312500,18.625000,7.667762,190400
2000-01-22,18.937500,19.875000,18.031250,18.750000,7.719224,155200
2000-01-29,19.500000,20.875000,17.812500,20.796875,8.561905,253600
2000-02-05,20.843750,21.312500,19.562500,19.968750,8.220966,200000
2000-02-12,19.500000,19.875000,19.125000,19.242188,8.024812,92200
2000-02-19,19.187500,19.187500,18.250000,18.500000,7.715293,67000
2000-02-26,18.906250,19.312500,18.250000,18.687500,7.793482,126200
2000-03-04,18.875000,19.000000,18.437500,18.500000,7.715293,139400
2000-03-11,18.531250,21.250000,18.500000,21.000000,8.757893,157800
2000-03-18,21.000000,21.000000,19.625000,20.375000,8.497246,209100
2000-03-25,20.375000,20.750000,19.500000,19.937500,8.314786,253600
2000-04-01,19.937500,20.500000,19.250000,19.250000,8.028069,282800
2000-04-08,19.000000,21.562500,19.000000,21.500000,8.966412,318400
2000-04-15,21.312500,22.875000,20.750000,22.500000,9.383460,223300
2000-04-22,22.437500,26.109375,21.875000,26.000000,10.843107,192900
2000-04-29,27.500000,27.500000,21.000000,22.500000,9.383460,201700
2000-05-06,21.500000,22.625000,20.500000,21.125000,8.810023,101800
2000-05-13,21.000000,22.750000,20.000000,20.625000,8.702959,130300
2000-05-20,20.875000,21.250000,20.000000,20.250000,8.544720,93400
2000-05-27,20.125000,21.375000,20.125000,21.187500,8.940315,103000
2000-06-03,20.875000,21.625000,20.125000,21.500000,9.072171,120900
2000-06-10,21.750000,22.875000,20.875000,21.500000,9.072171,205400
2000-06-17,21.968750,22.000000,20.625000,20.812500,8.782077,93300
2000-06-24,20.812500,21.500000,20.750000,21.000000,8.861193,64400
2000-07-01,20.875000,21.500000,20.750000,21.125000,8.913939,98500
2000-07-08,21.125000,22.437500,21.125000,21.937500,9.256783,88300
2000-07-15,22.406250,22.500000,20.750000,20.812500,8.782077,64000
2000-07-22,20.812500,22.000000,20.750000,20.781250,8.768887,153900
2000-07-29,21.375000,21.937500,20.812500,21.125000,8.913939,182300
2000-08-05,21.625000,21.875000,20.750000,21.000000,8.861193,125600
2000-08-12,20.906250,21.125000,20.812500,20.812500,8.890352,163600
2000-08-19,20.875000,21.125000,20.812500,20.937500,8.943746,74700
2000-08-26,20.875000,21.000000,20.750000,21.000000,8.970444,67500
2000-09-02,20.875000,21.750000,20.875000,21.562500,9.210720,111300
2000-09-09,21.593750,23.000000,21.187500,22.062500,9.424303,203900
2000-09-16,22.062500,22.750000,21.875000,22.250000,9.504397,108600
2000-09-23,22.125000,23.875000,21.625000,23.125000,9.878163,143000
2000-09-30,23.125000,23.312500,22.187500,22.375000,9.557795,143000
2000-10-07,22.687500,23.437500,22.250000,23.375000,9.984956,133800
2000-10-14,22.625000,23.500000,22.437500,23.312500,9.958262,100100
2000-10-21,23.062500,23.750000,21.437500,22.750000,9.717978,97300
2000-10-28,22.500000,24.000000,21.187500,23.875000,10.198536,90300
2000-11-04,22.625000,24.125000,22.125000,23.375000,9.984956,77700
