Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,1.226563,1.226563,1.171875,1.191406,0.784507,395200
2000-01-08,1.179688,1.250000,1.164063,1.210938,0.801532,772800
2000-01-15,1.210938,1.218750,1.152344,1.156250,0.765333,1115200
2000-01-22,1.160156,1.187500,1.125000,1.128906,0.747234,296000
2000-01-29,1.128906,1.136719,1.101563,1.113281,0.736892,166400
2000-02-05,1.113281,1.123047,1.070313,1.074219,0.711036,340800
2000-02-12,1.070313,1.093750,1.070313,1.082031,0.716207,276800
2000-02-19,1.097656,1.097656,1.062500,1.093750,0.723964,84800
2000-02-26,1.093750,1.093750,1.015625,1.015625,0.672252,507200
2000-03-04,1.015625,1.046875,0.921875,0.921875,0.610198,1078400
2000-03-11,1.000000,1.000000,0.906250,0.968750,0.641225,449600
2000-03-18,0.953125,1.078125,0.953125,1.078125,0.713622,249600
2000-03-25,1.078125,1.078125,0.859375,0.902344,0.597271,1905600
2000-04-01,0.925781,1.000000,0.925781,0.960938,0.636055,347200
2000-04-08,0.953125,1.062500,0.953125,1.007813,0.671540,580800
2000-04-15,1.027344,1.085938,1.015625,1.078125,0.718391,174400
2000-04-22,1.062500,1.171875,1.039063,1.109375,0.739214,416000
2000-04-29,1.093750,1.148438,1.042969,1.140625,0.760037,372800
2000-05-06,1.054688,1.179688,1.054688,1.179688,0.786066,412800
2000-05-13,1.132813,1.164063,1.046875,1.046875,0.697568,337600
2000-05-20,1.042969,1.085938,1.023438,1.062500,0.707980,360000
2000-05-27,1.023438,1.062500,1.023438,1.062500,0.707980,105600
2000-06-03,1.093750,1.093750,1.054688,1.066406,0.710583,185600
2000-06-10,1.066406,1.093750,1.054688,1.093750,0.728803,384000
2000-06-17,1.093750,1.093750,1.023438,1.046875,0.697568,222400
2000-06-24,1.031250,1.039063,1.003906,1.039063,0.692363,132800
2000-07-01,1.027344,1.039063,1.015625,1.023438,0.681951,232000
2000-07-08,1.023438,1.031250,0.992188,1.015625,0.681322,460800
2000-07-15,0.984375,1.015625,0.976563,0.981445,0.658393,606400
2000-07-22,0.978516,0.978516,0.929688,0.929688,0.623672,91200
2000-07-29,0.929688,0.937500,0.914063,0.921875,0.618431,214400
2000-08-05,0.933594,0.933594,0.921875,0.925781,0.621051,94400
2000-08-12,0.921875,0.925781,0.914063,0.925781,0.621051,145600
2000-08-19,0.914063,0.929688,0.914063,0.917969,0.615811,137600
2000-08-26,0.917969,0.945313,0.917969,0.929688,0.623672,552000
2000-09-02,0.945313,0.976563,0.929688,0.976563,0.655118,180800
2000-09-09,0.960938,1.007813,0.960938,1.000000,0.670840,220800
2000-09-16,0.976563,1.000000,0.964844,0.968750,0.649876,1564800
2000-09-23,0.937500,0.937500,0.718750,0.742188,0.497889,2406400
2000-09-30,0.734375,0.781250,0.722656,0.750000,0.503130,1035200
2000-10-07,0.750000,0.757813,0.718750,0.750000,0.507785,316800
2000-10-14,0.753906,0.753906,0.718750,0.734375,0.497206,691200
2000-10-21,0.746094,0.750000,0.718750,0.718750,0.486627,478400
2000-10-28,0.734375,0.734375,0.718750,0.718750,0.486627,710400
2000-11-04,0.726563,0.750000,0.710938,0.718750,0.486627,284800
2000-11-11,0.722656,0.750000,0.722656,0.722656,0.489272,40000
2000-11-18,0.723633,0.726563,0.703125,0.718750,0.486627,745600
2000-11-25,0.708984,0.708984,0.636719,0.640625,0.433733,1136000
2000-12-02,0.679688,0.750000,0.640625,0.734375,0.497206,1345600
2000-12-09,0.718750,0.765625,0.718750,0.738281,0.499850,1364800
2000-12-16,0.746094,0.765625,0.726563,0.750000,0.507785,825600
2000-12-23,0.738281,0.816406,0.738281,0.816406,0.552745,1003200
2000-12-30,0.781250,0.898438,0.781250,0.890625,0.602994,737600
2001-01-06,0.890625,0.968750,0.867188,0.937500,0.639945,1000000
2001-01-13,0.914063,0.937500,0.851563,0.859375,0.586617,1129600
2001-01-20,0.859375,0.890625,0.835938,0.859375,0.586617,516800
2001-01-27,0.851563,0.906250,0.843750,0.906250,0.618614,1147200
2001-02-03,0.890625,0.914063,0.890625,0.890625,0.607948,476800
2001-02-10,0.890625,0.906250,0.882813,0.886719,0.605282,216000
2001-02-17,0.886719,0.902344,0.867188,0.867188,0.591950,675200
2001-02-24,0.863281,0.871094,0.843750,0.871094,0.594616,396800
2001-03-03,0.875000,0.890625,0.851563,0.867188,0.591950,2142400
2001-03-10,0.863281,0.882813,0.851563,0.878906,0.599949,128000
2001-03-17,0.875000,0.875000,0.796875,0.796875,0.543954,336000
