Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,4.497354,4.550265,4.325397,4.365079,1.691879,3215836
2000-01-08,4.345238,4.603175,4.232804,4.537037,1.758528,1907484
2000-01-15,4.537037,4.576720,4.232804,4.246032,1.645736,901058
2000-01-22,4.232804,4.338624,3.994709,4.179894,1.620102,3274426
2000-01-29,4.219577,4.431217,4.100529,4.325397,1.700764,4799656
2000-02-05,4.325397,4.338624,3.955026,4.021164,1.581138,2471648
2000-02-12,3.968254,4.179894,3.941799,4.021164,1.581138,2256661
2000-02-19,3.994709,4.047619,3.849206,3.968254,1.560333,1974107
2000-02-26,4.021164,4.232804,3.809524,3.968254,1.560333,3592892
2000-03-04,3.941799,4.047619,3.650794,3.677249,1.445909,2899261
2000-03-11,3.624339,4.470899,3.465608,4.378307,1.721567,3715740
2000-03-18,4.338624,4.497354,4.153439,4.219577,1.659155,2560951
2000-03-25,4.206349,4.497354,4.193122,4.431217,1.742373,3370817
2000-04-01,4.424603,4.735450,4.365079,4.417989,1.737170,7949814
2000-04-08,4.365079,4.497354,4.074074,4.153439,1.633149,1796919
2000-04-15,4.179894,4.417989,4.100529,4.232804,1.664355,2040256
2000-04-22,4.239418,4.338624,4.021164,4.312169,1.695563,1014460
2000-04-29,4.338624,4.391534,4.074074,4.169974,1.639650,1936779
2000-05-06,4.232804,4.365079,4.153439,4.325397,1.726179,1263939
2000-05-13,4.325397,4.470899,4.246032,4.351852,1.736737,1574371
2000-05-20,4.298942,4.510582,4.113757,4.378307,1.747294,2676714
2000-05-27,4.325397,4.854497,4.298942,4.854497,1.937333,7202791
2000-06-03,4.814815,4.828042,4.537037,4.576720,1.826478,860897
2000-06-10,4.629630,4.656085,4.246032,4.285714,1.710344,4351726
2000-06-17,4.232804,4.246032,4.087302,4.140212,1.652276,2824607
2000-06-24,4.126984,4.338624,3.835979,3.888889,1.551978,6064540
2000-07-01,3.941799,4.365079,3.935185,4.325397,1.726179,1473728
2000-07-08,4.285714,4.338624,4.140212,4.193122,1.673391,1106596
2000-07-15,4.206349,4.404762,4.126984,4.246032,1.694507,1638632
2000-07-22,4.179894,4.285714,4.021164,4.100529,1.636440,1583821
2000-07-29,4.074074,4.391534,4.047619,4.312169,1.746942,1424117
2000-08-05,4.312169,4.484127,4.219577,4.484127,1.816606,2024191
2000-08-12,4.470899,4.484127,4.351852,4.351852,1.763017,2829332
2000-08-19,4.365079,4.537037,4.259259,4.431217,1.795170,878851
2000-08-26,4.431217,4.603175,4.431217,4.576720,1.854116,1309772
2000-09-02,4.537037,4.576720,4.404762,4.537037,1.838040,963902
2000-09-09,4.530423,4.735450,4.444444,4.457672,1.805889,1868740
