Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,59.375000,90.625000,59.375000,68.750000,68.750000,5104
2000-01-08,87.500000,93.750000,68.750000,68.750000,68.750000,5550
2000-01-15,70.312500,79.687500,68.750000,73.437500,73.437500,910
2000-01-22,68.750000,76.562500,64.062500,64.062500,64.062500,1400
2000-01-29,73.437500,73.437500,59.375000,64.062500,64.062500,1434
2000-02-05,64.062500,87.500000,59.375000,82.812500,82.812500,10608
2000-02-12,87.500000,87.500000,64.062500,71.875000,71.875000,5072
2000-02-19,73.437500,87.500000,67.187500,71.875000,71.875000,4812
2000-02-26,67.187500,75.000000,61.718750,67.187500,67.187500,2930
2000-03-04,67.187500,93.750000,67.187500,93.750000,93.750000,5756
2000-03-11,93.750000,107.812500,53.125000,78.125000,78.125000,9134
2000-03-18,78.125000,100.000000,70.312500,89.062500,89.062500,4348
2000-03-25,90.625000,101.562500,81.250000,100.000000,100.000000,9936
2000-04-01,103.125000,103.125000,79.687500,96.875000,96.875000,5842
2000-04-08,100.000000,100.000000,53.125000,59.375000,59.375000,3372
2000-04-15,67.187500,71.875000,50.781250,56.250000,56.250000,2406
2000-04-22,67.187500,75.000000,53.125000,70.312500,70.312500,2706
2000-04-29,65.625000,70.312500,62.500000,62.500000,62.500000,454
2000-05-06,67.187500,67.187500,46.875000,46.875000,46.875000,1858
2000-05-13,57.812500,57.812500,37.500000,43.750000,43.750000,1826
2000-05-20,37.500000,46.875000,25.000000,28.125000,28.125000,3982
2000-05-27,34.375000,35.937500,26.562500,31.250000,31.250000,1394
2000-06-03,29.687500,45.312500,26.562500,40.625000,40.625000,3674
2000-06-10,37.500000,40.625000,31.250000,37.500000,37.500000,1560
2000-06-17,37.500000,39.062500,25.000000,28.125000,28.125000,3362
2000-06-24,23.437500,39.062500,18.750000,29.687500,29.687500,5040
2000-07-01,29.687500,29.687500,26.562500,28.125000,28.125000,346
2000-07-08,28.125000,29.687500,26.562500,29.687500,29.687500,512
2000-07-15,26.562500,29.687500,26.562500,26.562500,26.562500,598
