Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,5.562500,5.617188,4.625000,5.125000,4.746013,897400
2000-01-08,4.875000,6.000000,4.812500,5.375000,4.977524,876800
2000-01-15,5.281250,7.250000,5.281250,7.125000,6.598116,1683400
2000-01-22,6.859375,8.781250,6.187500,6.812500,6.308722,2626200
2000-01-29,6.062500,7.328125,5.593750,6.937500,6.424480,925600
2000-02-05,7.187500,8.750000,7.156250,8.000000,7.408410,1185600
2000-02-12,7.968750,10.000000,7.812500,9.781250,9.057940,911600
2000-02-19,9.781250,9.796875,8.500000,9.750000,9.028999,486000
2000-02-26,9.750000,13.031250,9.562500,12.875000,11.922911,1205400
2000-03-04,12.875000,13.000000,11.125000,12.250000,11.344128,863200
2000-03-11,11.281250,11.625000,8.500000,9.125000,8.450219,1191400
2000-03-18,9.187500,9.187500,6.593750,8.937500,8.276582,2203400
2000-03-25,8.875000,9.000000,5.781250,6.000000,5.556307,2473600
2000-04-01,7.000000,7.000000,5.125000,5.531250,5.122221,1681200
2000-04-08,5.687500,5.687500,3.968750,4.187500,3.877838,1150600
2000-04-15,3.937500,4.562500,3.812500,4.156250,3.848901,843000
2000-04-22,4.250000,4.875000,3.750000,4.437500,4.109352,613600
2000-04-29,4.500000,4.937500,4.000000,4.843750,4.485559,606400
2000-05-06,4.750000,4.789063,3.781250,4.125000,3.819959,523200
2000-05-13,4.171875,4.250000,3.125000,3.218750,2.980728,780400
2000-05-20,3.250000,3.312500,2.718750,3.156250,2.922849,1114000
2000-05-27,3.281250,3.625000,2.875000,3.406250,3.154361,348000
2000-06-03,3.375000,4.437500,3.250000,4.437500,4.109352,690600
2000-06-10,4.500000,4.500000,3.093750,3.437500,3.183301,608200
2000-06-17,3.406250,4.375000,3.156250,3.187500,2.951788,690400
2000-06-24,3.250000,3.500000,2.125000,2.500000,2.315129,2756000
2000-07-01,2.632813,2.937500,2.250000,2.312500,2.141493,822600
2000-07-08,2.531250,2.960938,2.250000,2.554688,2.365772,856800
2000-07-15,2.562500,2.750000,2.312500,2.312500,2.141493,630000
2000-07-22,2.296875,2.500000,2.156250,2.453125,2.271719,683600
2000-07-29,2.390625,2.500000,2.187500,2.281250,2.112555,326800
2000-08-05,2.281250,2.312500,1.937500,2.312500,2.141493,351000
2000-08-12,2.343750,2.500000,1.968750,2.062500,1.909980,507200
2000-08-19,2.015625,3.500000,2.007813,2.500000,2.315129,1987000
2000-08-26,2.476563,2.562500,2.000000,2.250000,2.083615,1652200
2000-09-02,2.312500,3.062500,2.125000,2.937500,2.720275,1564600
2000-09-09,2.937500,3.937500,2.750000,3.937500,3.646327,1291000
2000-09-16,4.218750,4.500000,3.000000,3.140625,2.908379,1041800
