Date,Open,High,Low,Close,Adj Close,Volume
2018-10-15,5.000000,5.690000,4.970000,5.000000,5.000000,1857400
2018-10-22,5.000000,5.250000,4.800000,5.000000,5.000000,286700
2018-10-29,5.000000,6.000000,5.000000,5.060000,5.060000,684000
2018-11-05,5.080000,5.250000,4.810000,5.010000,5.010000,162800
2018-11-12,5.010000,5.190000,2.790000,3.150000,3.150000,288100
2018-11-19,3.110000,3.190000,2.550000,3.070000,3.070000,191500
2018-11-26,3.080000,3.240000,2.850000,2.850000,2.850000,263900
2018-12-03,2.850000,4.090000,2.760000,4.090000,4.090000,233300
2018-12-10,4.050000,4.350000,3.510000,4.120000,4.120000,117300
2018-12-17,4.120000,4.900000,3.010000,3.010000,3.010000,355000
2018-12-24,2.880000,3.440000,2.640000,3.050000,3.050000,149900
2018-12-31,3.260000,3.270000,3.010000,3.230000,3.230000,126900
2019-01-07,3.250000,3.990000,3.170000,3.750000,3.750000,112000
2019-01-14,3.750000,3.970000,3.300000,3.780000,3.780000,27100
2019-01-21,3.800000,3.800000,3.400000,3.800000,3.800000,198500
2019-01-28,3.810000,3.810000,3.200000,3.200000,3.200000,127800
2019-02-04,3.210000,3.490000,3.030000,3.170000,3.170000,75700
2019-02-11,3.060000,3.180000,2.900000,3.000000,3.000000,33400
2019-02-18,3.060000,3.150000,2.960000,3.070000,3.070000,14900
2019-02-25,3.090000,3.200000,3.000000,3.050000,3.050000,64200
2019-03-04,3.110000,3.180000,2.780000,2.800000,2.800000,51100
2019-03-11,2.850000,3.950000,2.560000,3.720000,3.720000,1046300
2019-03-18,7.000000,8.880000,5.460000,6.750000,6.750000,7974400
2019-03-25,6.750000,9.600000,6.290000,9.510000,9.510000,1141700
2019-04-01,9.580000,13.400000,9.450000,10.730000,10.730000,2490300
2019-04-08,10.760000,16.650000,10.600000,14.660000,14.660000,13198800
2019-04-15,14.480000,14.550000,12.680000,12.820000,12.820000,1701800
2019-04-22,12.820000,13.960000,12.500000,13.730000,13.730000,1531700
2019-04-29,13.820000,14.000000,13.000000,13.250000,13.250000,565400
2019-05-06,13.130000,13.640000,12.740000,13.380000,13.380000,795700
2019-05-13,13.190000,14.000000,10.150000,10.750000,10.750000,1606500
2019-05-20,10.570000,11.080000,9.540000,10.520000,10.520000,806300
2019-05-27,10.560000,11.950000,10.510000,10.680000,10.680000,485700
2019-06-03,10.700000,11.510000,10.310000,10.750000,10.750000,503800
2019-06-10,10.830000,12.530000,10.210000,11.620000,11.620000,424500
2019-06-17,11.550000,14.080000,11.420000,12.540000,12.540000,1472300
2019-06-24,12.500000,13.190000,11.430000,13.120000,13.120000,2224900
2019-07-01,13.290000,14.080000,12.800000,12.920000,12.920000,680700
2019-07-08,12.800000,12.950000,10.800000,11.220000,11.220000,740900
2019-07-15,11.230000,11.550000,9.970000,10.030000,10.030000,385600
2019-07-22,10.000000,10.260000,8.350000,8.580000,8.580000,459300
2019-07-29,8.560000,8.650000,7.080000,7.680000,7.680000,911400
2019-08-05,7.460000,8.460000,7.000000,7.940000,7.940000,493600
2019-08-12,7.900000,8.210000,6.740000,7.390000,7.390000,829800
2019-08-19,7.480000,8.880000,7.360000,7.550000,7.550000,330500
2019-08-26,7.630000,9.820000,7.410000,8.640000,8.640000,450900
2019-09-02,8.510000,8.630000,4.940000,5.050000,5.050000,1100800
2019-09-09,5.070000,5.860000,4.800000,5.370000,5.370000,1462300
2019-09-16,5.150000,5.300000,4.540000,4.750000,4.750000,901900
2019-09-23,4.690000,5.240000,3.850000,4.530000,4.530000,10714600
2019-09-30,4.520000,4.640000,3.720000,4.260000,4.260000,1298900
2019-10-07,4.190000,4.350000,3.720000,4.160000,4.160000,871500
2019-10-14,4.180000,4.460000,3.900000,4.000000,4.000000,1076200
2019-10-21,4.040000,4.400000,3.790000,4.270000,4.270000,885900
2019-10-28,4.280000,4.400000,3.910000,4.290000,4.290000,618800
2019-11-04,4.340000,4.340000,3.910000,3.960000,3.960000,812500
2019-11-11,3.970000,4.060000,3.260000,3.540000,3.540000,1164800
2019-11-18,3.510000,3.840000,3.170000,3.470000,3.470000,1854900
2019-11-25,3.510000,3.750000,3.060000,3.260000,3.260000,945600
2019-12-02,3.380000,3.560000,3.170000,3.340000,3.340000,1162200
2019-12-09,3.400000,3.960000,3.170000,3.370000,3.370000,1313600
2019-12-16,3.400000,7.000000,3.350000,6.210000,6.210000,7783200
2019-12-23,6.190000,7.490000,5.460000,6.190000,6.190000,3168200
2019-12-30,6.090000,6.600000,5.200000,5.300000,5.300000,1953100
2020-01-06,5.210000,8.490000,5.040000,6.790000,6.790000,7583200
2020-01-13,6.700000,6.700000,5.210000,5.850000,5.850000,3081100
2020-01-20,5.830000,5.940000,5.170000,5.290000,5.290000,1489800
2020-01-27,5.100000,5.580000,4.700000,4.980000,4.980000,1402000
2020-02-03,5.030000,5.890000,5.000000,5.520000,5.520000,1571300
2020-02-10,5.590000,5.760000,4.760000,4.760000,4.760000,1093400
2020-02-17,4.760000,5.080000,4.570000,4.890000,4.890000,948700
2020-02-24,4.710000,4.820000,4.060000,4.210000,4.210000,1109300
2020-03-02,4.210000,4.820000,3.910000,3.990000,3.990000,1952300
2020-03-09,3.600000,3.800000,2.600000,3.090000,3.090000,1385100
2020-03-16,2.710000,3.120000,2.600000,2.860000,2.860000,2098000
2020-03-23,2.920000,3.500000,2.710000,3.350000,3.350000,1437400
2020-03-30,3.420000,3.690000,2.840000,2.850000,2.850000,1027100
2020-04-06,2.960000,3.500000,2.930000,3.450000,3.450000,718600
2020-04-13,3.590000,4.830000,3.400000,4.030000,4.030000,1376600
2020-04-20,4.030000,4.350000,3.710000,3.810000,3.810000,1026400
2020-04-27,3.980000,4.440000,3.700000,3.850000,3.850000,961100
2020-05-04,3.840000,5.320000,3.760000,4.810000,4.810000,2260400
2020-05-11,4.820000,5.140000,3.950000,4.250000,4.250000,1177100
2020-05-18,4.290000,4.790000,4.150000,4.440000,4.440000,836200
2020-05-25,4.590000,6.850000,4.350000,6.010000,6.010000,26489600
2020-06-01,6.030000,6.350000,4.500000,5.070000,5.070000,3841700
2020-06-08,5.150000,5.350000,4.730000,4.830000,4.830000,1953100
2020-06-15,4.670000,5.250000,4.650000,5.090000,5.090000,1506900
2020-06-22,5.040000,5.140000,4.600000,4.710000,4.710000,1672900
2020-06-29,4.680000,4.840000,4.370000,4.390000,4.390000,1220700
2020-07-06,4.500000,4.980000,4.170000,4.730000,4.730000,1493000
2020-07-13,4.710000,5.660000,4.300000,5.490000,5.490000,4878000
2020-07-20,5.380000,5.460000,4.650000,4.680000,4.680000,2410600
2020-07-27,4.650000,4.890000,3.940000,4.000000,4.000000,3619300
2020-08-03,4.010000,4.450000,3.810000,4.050000,4.050000,2537600
2020-08-10,4.150000,4.300000,3.740000,4.020000,4.020000,2537200
2020-08-17,4.030000,4.080000,3.730000,3.790000,3.790000,2055100
2020-08-24,3.750000,4.070000,3.510000,3.850000,3.850000,1646300
2020-08-31,3.830000,3.920000,3.180000,3.280000,3.280000,1456800
2020-09-07,3.290000,3.500000,3.090000,3.170000,3.170000,1336200
2020-09-14,3.250000,3.680000,3.250000,3.650000,3.650000,909000
