Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,21.140625,37.312500,19.125000,22.250000,20.942408,8800000
2000-01-08,23.750000,27.687500,22.250000,23.062500,21.707159,2423200
2000-01-15,23.390625,24.468750,20.250000,24.000000,22.589563,1201200
2000-01-22,24.375000,26.437500,21.500000,23.250000,21.883638,2182400
2000-01-29,22.812500,23.625000,21.625000,21.750000,20.471792,730400
2000-02-05,22.093750,24.093750,21.500000,21.750000,20.471792,1041200
2000-02-12,22.687500,23.187500,14.375000,15.343750,14.442025,2976000
2000-02-19,16.218750,17.625000,13.562500,16.750000,15.765633,1684800
2000-02-26,17.343750,23.687500,16.875000,19.218750,18.089298,2622400
2000-03-04,19.109375,27.750000,17.875000,26.750000,25.177950,2715800
2000-03-11,25.500000,29.968750,23.250000,24.500000,23.060179,1840400
2000-03-18,24.500000,24.875000,20.625000,21.093750,19.854109,1028400
2000-03-25,21.000000,21.062500,16.250000,16.562500,15.589151,2288600
2000-04-01,16.750000,18.562500,12.031250,16.250000,15.295016,1010800
2000-04-08,16.812500,17.125000,9.437500,9.500000,8.941702,1396200
2000-04-15,8.125000,14.750000,6.250000,13.625000,12.824283,2870400
2000-04-22,12.531250,13.468750,10.718750,11.750000,11.059473,755600
2000-04-29,12.187500,12.250000,10.250000,11.531250,10.853580,457000
2000-05-06,11.500000,11.875000,10.000000,11.500000,10.824165,512800
2000-05-13,11.718750,11.937500,10.312500,11.000000,10.353550,507600
2000-05-20,11.000000,11.000000,8.250000,9.437500,8.882875,487600
2000-05-27,9.625000,11.000000,9.312500,10.968750,10.324136,348400
2000-06-03,10.718750,14.437500,10.375000,13.750000,12.941937,1093000
2000-06-10,13.750000,13.750000,11.250000,12.312500,11.588917,280600
2000-06-17,12.437500,12.437500,11.625000,12.000000,11.294782,226800
2000-06-24,12.125000,15.937500,11.937500,13.218750,12.441908,784200
2000-07-01,12.375000,13.062500,11.500000,11.937500,11.235954,323800
2000-07-08,12.125000,14.843750,11.875000,14.437500,13.589034,452800
2000-07-15,14.515625,15.250000,13.500000,14.000000,13.177245,291000
2000-07-22,13.875000,13.875000,11.500000,11.812500,11.118300,256400
2000-07-29,11.750000,12.281250,11.500000,11.562500,10.882993,105800
2000-08-05,11.468750,12.625000,10.625000,10.968750,10.324136,304600
2000-08-12,10.562500,10.562500,9.250000,10.000000,9.412318,406000
2000-08-19,9.968750,10.031250,9.625000,9.875000,9.294663,173000
2000-08-26,9.812500,9.968750,9.187500,9.500000,8.941702,410600
2000-09-02,9.437500,9.531250,8.750000,8.812500,8.294605,292400
2000-09-09,8.906250,9.312500,8.000000,8.750000,8.235778,391600
2000-09-16,8.875000,9.343750,7.312500,7.781250,7.323960,505200
2000-09-23,7.812500,10.250000,7.531250,10.250000,9.647626,505800
2000-09-30,10.531250,11.812500,8.625000,9.250000,8.706394,233600
2000-10-07,9.367188,9.625000,7.593750,7.812500,7.353374,195800
2000-10-14,7.875000,8.312500,6.437500,7.531250,7.088652,202200
2000-10-21,7.531250,7.750000,6.875000,7.250000,6.823930,187000
2000-10-28,6.921875,7.687500,6.812500,7.281250,6.853344,206400
2000-11-04,7.296875,7.593750,6.750000,7.437500,7.000412,114600
2000-11-11,7.468750,7.468750,6.156250,6.375000,6.000353,300400
2000-11-18,6.375000,6.375000,4.781250,5.000000,4.706159,130000
2000-11-25,5.093750,6.750000,4.007813,4.718750,4.441438,426200
2000-12-02,4.531250,6.125000,4.531250,6.125000,5.765045,249600
2000-12-09,6.031250,6.562500,5.093750,5.125000,4.823813,223200
2000-12-16,5.062500,5.437500,4.125000,4.250000,4.000235,320600
2000-12-23,4.312500,7.250000,3.640625,5.687500,5.353256,1564000
2000-12-30,5.742188,6.468750,4.781250,6.000000,5.647391,516800
2001-01-06,5.937500,7.687500,5.875000,7.687500,7.235719,680200
2001-01-13,7.687500,8.875000,7.218750,7.812500,7.353374,333600
2001-01-20,7.968750,8.062500,6.531250,6.875000,6.470969,110800
2001-01-27,6.921875,7.312500,6.312500,6.718750,6.323901,185600
2001-02-03,6.656250,7.187500,6.125000,6.625000,6.235661,160000
2001-02-10,7.000000,7.781250,5.781250,6.000000,5.647391,241000
2001-02-17,5.875000,6.062500,5.625000,5.968750,5.617977,195000
