Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,12.500000,14.500000,10.062500,14.500000,14.500000,148900
2000-01-08,14.750000,14.875000,12.625000,14.687500,14.687500,61600
2000-01-15,14.625000,16.000000,13.500000,14.250000,14.250000,33400
2000-01-22,14.250000,16.500000,13.562500,16.000000,16.000000,129800
2000-01-29,16.375000,25.500000,15.625000,21.750000,21.750000,203600
2000-02-05,23.625000,25.500000,19.250000,25.500000,25.500000,260100
2000-02-12,25.250000,27.125000,23.000000,24.500000,24.500000,344100
2000-02-19,26.000000,26.125000,21.375000,22.250000,22.250000,75600
2000-02-26,22.000000,23.375000,20.750000,21.000000,21.000000,113400
2000-03-04,21.125000,22.750000,19.125000,22.000000,22.000000,80600
2000-03-11,19.500000,21.500000,19.000000,21.500000,21.500000,86300
2000-03-18,21.750000,23.750000,20.187500,23.000000,23.000000,51700
2000-03-25,22.812500,24.875000,19.875000,19.875000,19.875000,58600
2000-04-01,21.000000,21.000000,15.750000,20.250000,20.250000,48400
2000-04-08,19.812500,20.750000,12.000000,16.750000,16.750000,28600
2000-04-15,13.812500,19.000000,13.000000,18.437500,18.437500,47700
2000-04-22,17.750000,19.500000,16.000000,18.500000,18.500000,23800
2000-04-29,17.140625,18.750000,16.750000,16.875000,16.875000,38100
2000-05-06,16.500000,17.062500,14.750000,15.500000,15.500000,17800
2000-05-13,15.437500,16.000000,13.500000,14.500000,14.500000,51700
2000-05-20,14.062500,15.125000,12.125000,12.968750,12.968750,44400
2000-05-27,13.062500,14.000000,11.000000,14.000000,14.000000,67900
2000-06-03,13.625000,14.125000,13.375000,14.000000,14.000000,11500
2000-06-10,14.062500,14.750000,13.125000,13.875000,13.875000,6900
2000-06-17,13.500000,15.000000,13.187500,13.500000,13.500000,16000
2000-06-24,14.250000,14.750000,13.312500,14.000000,14.000000,23000
2000-07-01,14.125000,14.125000,13.500000,14.000000,14.000000,7900
2000-07-08,14.000000,14.000000,11.125000,12.500000,12.500000,23100
2000-07-15,12.500000,12.500000,10.750000,11.375000,11.375000,41100
2000-07-22,11.875000,11.875000,8.937500,11.312500,11.312500,44100
2000-07-29,9.562500,11.375000,9.375000,11.250000,11.250000,29800
2000-08-05,10.500000,13.000000,10.500000,12.125000,12.125000,12800
2000-08-12,12.500000,13.250000,12.250000,13.000000,13.000000,14400
2000-08-19,13.000000,13.000000,11.125000,12.625000,12.625000,148200
2000-08-26,12.500000,13.375000,11.875000,11.875000,11.875000,55700
2000-09-02,11.250000,13.000000,11.250000,11.812500,11.812500,24500
2000-09-09,11.500000,12.625000,11.250000,12.000000,12.000000,77300
2000-09-16,11.562500,12.125000,11.125000,12.125000,12.125000,63900
2000-09-23,12.125000,18.125000,11.375000,18.000000,18.000000,328800
2000-09-30,19.375000,19.375000,14.000000,15.000000,15.000000,50900
2000-10-07,14.062500,14.750000,12.750000,14.000000,14.000000,12500
2000-10-14,14.000000,14.562500,11.500000,14.000000,14.000000,41400
2000-10-21,13.250000,14.312500,12.000000,13.312500,13.312500,38200
2000-10-28,12.625000,14.625000,12.250000,13.375000,13.375000,57900
2000-11-04,13.375000,13.437500,10.875000,11.750000,11.750000,25900
2000-11-11,11.750000,12.250000,10.500000,12.000000,12.000000,13700
2000-11-18,11.062500,11.062500,7.000000,10.625000,10.625000,38300
