Date,Open,High,Low,Close,Adj Close,Volume
2016-11-14,39.750000,39.750000,34.750000,39.750000,39.750000,42000
2016-11-21,40.000000,41.000000,35.060001,41.000000,41.000000,7500
2016-11-28,37.000000,44.000000,37.000000,42.500000,42.500000,226800
2016-12-05,43.000000,47.500000,43.000000,47.000000,47.000000,81700
2016-12-12,46.500000,50.000000,44.009998,46.740002,46.740002,361800
2016-12-19,44.283001,46.750000,43.500000,45.250000,45.250000,498600
2016-12-26,45.250000,50.000000,43.509998,49.000000,49.000000,11000
2017-01-02,49.000000,61.970001,49.000000,52.250000,52.250000,15000
2017-01-09,52.000000,53.000000,50.250000,52.000000,52.000000,14800
2017-01-16,50.290001,52.700001,47.099998,51.730000,51.730000,21900
2017-01-23,51.900002,52.000000,48.176998,49.900002,49.900002,48200
2017-01-30,48.549999,51.000000,48.000000,49.000000,49.000000,48300
2017-02-06,49.200001,50.000000,46.009998,49.000000,49.000000,53700
2017-02-13,49.349998,49.720001,44.689999,49.720001,49.720001,30600
2017-02-20,49.160000,49.275002,46.230000,49.000000,49.000000,58700
2017-02-27,49.700001,49.990002,48.509998,49.080002,49.080002,46900
2017-03-06,49.950001,50.000000,44.139999,47.270000,47.270000,42500
2017-03-13,46.299999,48.480000,42.500000,44.799999,44.799999,218400
2017-03-20,45.000000,46.939999,41.400002,42.700001,42.700001,73900
2017-03-27,42.500000,46.000000,42.500000,45.250000,45.250000,63600
2017-04-03,45.250000,48.849998,44.169998,48.830002,48.830002,101500
2017-04-10,48.514999,49.999001,45.669998,46.959999,46.959999,79300
2017-04-17,45.450001,47.990002,41.869999,42.750000,42.750000,137300
2017-04-24,44.162998,46.400002,38.910000,39.590000,39.590000,544200
2017-05-01,40.080002,44.903999,37.803001,42.070000,42.070000,150300
2017-05-08,42.619999,45.000000,41.590000,43.799999,43.799999,184800
2017-05-15,45.000000,46.299999,41.840000,44.029999,44.029999,150700
2017-05-22,44.099998,47.196999,42.980000,43.430000,43.430000,160900
2017-05-29,43.000000,45.950001,39.509998,44.020000,44.020000,167600
2017-06-05,43.770000,46.000000,40.689999,43.570000,43.570000,185300
2017-06-12,44.049999,46.180000,38.639999,39.029999,39.029999,509800
2017-06-19,40.799999,40.799999,31.000000,33.000000,33.000000,2323100
2017-06-26,32.709999,38.610001,32.709999,36.750000,36.750000,383200
2017-07-03,38.118999,38.369999,33.439999,36.130001,36.130001,292600
