Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,0.170000,0.170000,0.160000,0.160000,0.160000,135900
2000-01-08,0.170000,0.180000,0.160000,0.180000,0.180000,29450
2000-01-15,0.160000,0.160000,0.160000,0.160000,0.160000,1800
2000-01-22,0.180000,0.220000,0.160000,0.220000,0.220000,66250
2000-01-29,0.200000,0.220000,0.200000,0.200000,0.200000,20800
2000-02-05,0.200000,0.220000,0.200000,0.200000,0.200000,37850
2000-02-12,0.400000,0.420000,0.220000,0.420000,0.420000,363350
2000-02-19,0.400000,0.500000,0.380000,0.500000,0.500000,174700
2000-02-26,0.780000,0.960000,0.580000,0.620000,0.620000,890500
2000-03-04,0.680000,1.100000,0.620000,0.800000,0.800000,767000
2000-03-11,0.780000,0.860000,0.700000,0.860000,0.860000,212300
2000-03-18,0.960000,0.980000,0.850000,0.900000,0.900000,188150
2000-03-25,0.900000,1.180000,0.880000,1.020000,1.020000,450250
2000-04-01,1.060000,1.100000,0.860000,0.920000,0.920000,274000
2000-04-08,0.840000,0.860000,0.640000,0.656000,0.656000,238900
2000-04-15,0.620000,0.780000,0.580000,0.720000,0.720000,172250
2000-04-22,0.670000,0.710000,0.620000,0.680000,0.680000,84050
2000-04-29,0.680000,0.680000,0.520000,0.580000,0.580000,201250
2000-05-06,0.660000,0.700000,0.600000,0.660000,0.660000,112600
2000-05-13,0.740000,0.840000,0.700000,0.840000,0.840000,82000
2000-05-20,0.860000,0.900000,0.840000,0.840000,0.840000,21150
2000-05-27,0.840000,0.860000,0.840000,0.860000,0.860000,9800
2000-06-03,0.860000,0.860000,0.670000,0.840000,0.840000,125250
2000-06-10,0.880000,1.560000,0.800000,1.400000,1.400000,360650
2000-06-17,1.080000,1.500000,0.770000,0.840000,0.840000,169450
2000-06-24,0.860000,1.020000,0.860000,0.860000,0.860000,78750
2000-07-01,0.860000,0.940000,0.860000,0.874000,0.874000,16800
2000-07-08,0.820000,1.380000,0.820000,1.240000,1.240000,164450
2000-07-15,1.320000,1.320000,1.020000,1.100000,1.100000,71150
2000-07-22,1.060000,1.100000,0.960000,1.002000,1.002000,23550
2000-07-29,1.020000,1.200000,0.840000,0.874000,0.874000,100550
2000-08-05,0.980000,1.000000,0.940000,0.940000,0.940000,19000
2000-08-12,0.940000,1.020000,0.940000,1.000000,1.000000,65700
2000-08-19,1.000000,1.000000,0.820000,0.980000,0.980000,82500
2000-08-26,0.960000,1.200000,0.920000,1.040000,1.040000,160250
2000-09-02,1.186000,1.260000,1.186000,1.200000,1.200000,192750
2000-09-09,1.250000,1.400000,1.100000,1.200000,1.200000,195150
2000-09-16,1.120000,1.200000,1.040000,1.120000,1.120000,40900
2000-09-23,1.080000,1.180000,1.020000,1.062000,1.062000,32250
2000-09-30,1.040000,1.040000,0.900000,1.000000,1.000000,60050
2000-10-07,0.880000,0.906000,0.720000,0.740000,0.740000,46400
2000-10-14,0.740000,1.180000,0.740000,1.180000,1.180000,81750
2000-10-21,1.100000,1.160000,0.900000,0.900000,0.900000,47750
2000-10-28,0.900000,0.920000,0.900000,0.920000,0.920000,9850
2000-11-04,0.800000,0.960000,0.800000,0.920000,0.920000,66650
2000-11-11,0.920000,0.920000,0.660000,0.680000,0.680000,319500
2000-11-18,0.700000,0.820000,0.700000,0.720000,0.720000,25450
2000-11-25,0.720000,0.800000,0.680000,0.680000,0.680000,32750
2000-12-02,0.680000,0.760000,0.620000,0.640000,0.640000,36150
2000-12-09,0.640000,0.840000,0.640000,0.750000,0.750000,41800
2000-12-16,0.840000,0.840000,0.600000,0.620000,0.620000,66600
2000-12-23,0.640000,0.680000,0.600000,0.620000,0.620000,105700
2000-12-30,0.620000,0.860000,0.620000,0.800000,0.800000,70250
2001-01-06,0.880000,0.880000,0.800000,0.860000,0.860000,43950
2001-01-13,0.820000,1.140000,0.820000,1.124000,1.124000,77900
2001-01-20,1.020000,1.020000,0.960000,0.960000,0.960000,50050
2001-01-27,0.960000,1.020000,0.960000,1.000000,1.000000,44000
2001-02-03,0.980000,1.020000,0.860000,0.940000,0.940000,39700
2001-02-10,0.940000,1.124000,0.940000,1.070000,1.070000,71300
2001-02-17,1.120000,1.260000,1.060000,1.200000,1.200000,105100
2001-02-24,1.220000,1.220000,0.900000,0.920000,0.920000,58450
2001-03-03,0.940000,0.980000,0.900000,0.920000,0.920000,39400
2001-03-10,0.900000,0.960000,0.760000,0.940000,0.940000,82400
2001-03-17,0.880000,1.000000,0.860000,0.900000,0.900000,30500
2001-03-24,0.900000,1.140000,0.840000,0.900000,0.900000,103250
2001-03-31,0.860000,0.980000,0.860000,0.960000,0.960000,10500
2001-04-07,0.860000,0.960000,0.860000,0.860000,0.860000,5450
2001-04-14,0.860000,0.960000,0.860000,0.860000,0.860000,5100
2001-04-21,0.860000,1.240000,0.860000,1.120000,1.120000,127200
2001-04-28,1.180000,1.240000,1.100000,1.100000,1.100000,96950
2001-05-05,1.180000,1.280000,1.100000,1.240000,1.240000,73400
2001-05-12,1.160000,1.320000,1.020000,1.100000,1.100000,123300
