Date,Open,High,Low,Close,Adj Close,Volume
2018-03-26,6.400000,7.000000,5.050000,6.100000,6.100000,389500
2018-04-02,6.100000,8.050000,5.670000,7.880000,7.880000,475900
2018-04-09,7.890000,9.770000,7.650000,7.850000,7.850000,451000
2018-04-16,7.860000,8.200000,6.935000,7.610000,7.610000,256100
2018-04-23,7.590000,7.820000,6.100000,6.300000,6.300000,219500
2018-04-30,6.140000,6.440000,5.330000,5.800000,5.800000,268800
2018-05-07,5.680000,5.840000,4.350000,5.250000,5.250000,1390100
2018-05-14,5.250000,10.050000,5.005000,7.710000,7.710000,5331800
2018-05-21,7.600000,8.380000,7.120000,7.510000,7.510000,1099700
2018-05-28,7.440000,7.940000,7.040000,7.910000,7.910000,369000
2018-06-04,8.000000,8.488000,7.465000,8.210000,8.210000,428800
2018-06-11,8.180000,8.900000,7.460000,7.520000,7.520000,634500
2018-06-18,7.770000,8.199000,7.280000,8.160000,8.160000,767300
2018-06-25,8.240000,9.700000,8.150000,8.600000,8.600000,863800
2018-07-02,8.650000,11.150000,8.490000,9.310000,9.310000,825900
2018-07-09,9.290000,9.584000,7.950000,8.040000,8.040000,390700
2018-07-16,8.060000,8.240000,7.460000,7.660000,7.660000,257200
2018-07-23,7.640000,7.960000,6.730000,7.600000,7.600000,225800
2018-07-30,7.550000,7.660000,7.110000,7.600000,7.600000,96800
2018-08-06,7.600000,8.000000,7.343000,7.760000,7.760000,195100
2018-08-13,7.630000,7.830000,7.280000,7.340000,7.340000,157400
2018-08-20,7.490000,7.740000,7.051000,7.420000,7.420000,111900
2018-08-27,7.380000,8.182000,7.380000,7.750000,7.750000,208900
2018-09-03,7.880000,7.954000,6.300000,6.320000,6.320000,303700
2018-09-10,6.400000,6.900000,4.760000,5.530000,5.530000,707100
2018-09-17,5.500000,6.560000,5.460000,6.085000,6.085000,444800
2018-09-24,6.080000,6.700000,5.900000,6.510000,6.510000,183900
2018-10-01,6.250000,6.650000,5.950000,6.150000,6.150000,165700
2018-10-08,6.250000,6.530000,5.451000,5.890000,5.890000,229900
2018-10-15,5.770000,6.400000,5.450000,5.600000,5.600000,114500
2018-10-22,5.670000,5.900000,5.190000,5.600000,5.600000,92900
2018-10-29,5.300000,6.240000,5.300000,5.960000,5.960000,115300
2018-11-05,5.910000,6.220000,5.690000,6.010000,6.010000,111200
2018-11-12,5.890000,7.050000,5.890000,6.780000,6.780000,168900
