Date,Open,High,Low,Close,Adj Close,Volume
2020-01-27,27.500000,29.459999,27.100000,28.549999,27.552492,26201800
2020-02-03,28.200001,31.430000,28.200001,30.200001,29.144842,12718900
2020-02-10,30.150000,31.990000,30.100000,31.000000,29.916889,1986600
2020-02-17,30.549999,31.219999,29.320000,30.760000,29.685278,1827800
2020-02-24,30.360001,30.850000,27.500000,28.850000,27.842010,3590500
2020-03-02,29.200001,30.340000,27.650000,30.139999,29.086939,3171100
2020-03-09,28.809999,29.818001,24.600000,25.700001,24.802071,5928200
2020-03-16,23.950001,29.735001,21.610001,27.980000,27.164940,7969800
2020-03-23,28.110001,28.490000,24.370001,26.469999,25.698929,4506100
2020-03-30,26.440001,30.299999,25.535999,29.990000,29.116392,3396300
2020-04-06,30.590000,31.000000,29.389999,29.900000,29.029013,2387200
2020-04-13,29.830000,33.220001,28.260000,30.500000,29.611534,4744100
2020-04-20,30.500000,32.647999,28.510000,31.230000,30.320269,3058600
2020-04-27,31.309999,35.500000,31.000000,32.889999,31.931915,3408400
2020-05-04,32.810001,35.180000,32.110001,33.570000,32.592106,4100100
2020-05-11,33.389999,35.389999,32.610001,34.470001,33.465889,2259900
2020-05-18,35.049999,35.919998,33.110001,33.630001,32.650356,2197600
2020-05-25,33.790001,34.480000,33.261002,33.389999,32.417351,1295900
2020-06-01,33.310001,36.000000,32.520000,32.939999,31.980457,3036600
2020-06-08,33.689999,33.695000,30.450001,31.410000,30.495026,3702900
2020-06-15,31.190001,35.470001,31.000000,34.150002,33.155212,6808400
2020-06-22,33.959999,34.980000,33.619999,33.799999,32.815407,3666100
2020-06-29,34.009998,35.730000,33.610001,34.889999,33.873650,1684900
2020-07-06,34.980000,35.680000,33.650002,34.279999,33.281422,2632000
2020-07-13,34.459999,34.959999,33.090000,33.759998,32.776569,2115700
2020-07-20,33.880001,34.009998,32.599998,33.000000,32.038708,1923600
2020-07-27,33.029999,35.695000,32.529999,34.060001,33.067829,3047600
2020-08-03,34.500000,35.415001,30.860001,32.509998,31.562984,6419900
2020-08-10,32.610001,33.980000,31.995001,33.450001,32.475601,2956800
2020-08-17,33.320000,33.990002,32.730000,33.970001,33.203568,2345500
2020-08-24,33.970001,34.400002,32.139999,33.230000,32.480267,1541600
2020-08-31,33.130001,33.610001,30.959999,31.639999,30.926138,2004000
2020-09-07,31.559999,33.650002,30.959999,32.549999,31.815601,1615200
2020-09-14,32.630001,32.740002,30.570000,30.770000,30.075768,2409300
2020-09-21,30.510000,32.110001,30.170000,31.639999,30.926138,2046500
2020-09-28,31.730000,32.090000,30.540001,30.990000,30.290802,2004300
2020-10-05,31.100000,31.950001,30.500000,31.850000,31.131401,1972900
2020-10-12,31.730000,32.055000,31.040001,31.240000,30.535162,1597100
2020-10-19,31.350000,31.549999,29.110001,30.360001,29.675016,2441000
2020-10-26,30.200001,30.549999,27.850000,28.240000,27.602848,2469200
2020-11-02,28.459999,30.410000,28.375000,30.120001,29.440432,1384500
2020-11-09,30.700001,30.980000,27.570000,29.639999,28.971260,4426800
2020-11-16,29.990000,31.440001,29.000000,30.610001,30.147295,2411600
2020-11-23,31.010000,31.770000,30.150000,30.850000,30.383667,1785000
2020-11-30,30.900000,31.010000,29.770000,30.480000,30.019258,2067000
2020-12-07,30.480000,31.139999,29.520000,29.930000,29.477573,2686000
2020-12-14,30.010000,31.049999,29.959999,30.430000,29.970015,3593800
2020-12-21,30.129999,30.750000,29.549999,30.500000,30.038956,1074200
2020-12-28,30.690001,30.690001,29.920000,30.020000,29.566214,650900
