Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,3.125000,3.375000,2.875000,3.312500,3.312500,583200
2000-01-08,3.437500,4.500000,3.312500,4.250000,4.250000,1770000
2000-01-15,3.937500,4.375000,3.812500,4.375000,4.375000,1123300
2000-01-22,4.500000,5.625000,4.375000,4.562500,4.562500,2569100
2000-01-29,4.562500,5.000000,4.125000,4.687500,4.687500,941400
2000-02-05,4.437500,7.875000,4.250000,6.125000,6.125000,3121300
2000-02-12,7.437500,14.062500,6.375000,13.437500,13.437500,13741700
2000-02-19,14.000000,14.250000,8.625000,10.750000,10.750000,6132400
2000-02-26,10.875000,18.000000,10.875000,16.625000,16.625000,7688800
2000-03-04,17.000000,17.000000,12.312500,14.437500,14.437500,4284700
2000-03-11,12.375000,13.125000,9.562500,11.500000,11.500000,4242100
2000-03-18,11.062500,12.125000,8.500000,10.937500,10.937500,2665000
2000-03-25,11.000000,12.000000,8.500000,9.625000,9.625000,1327700
2000-04-01,9.500000,9.687500,4.625000,8.562500,8.562500,1826800
2000-04-08,8.562500,8.687500,4.625000,4.843750,4.843750,1529900
2000-04-15,4.500000,5.625000,4.000000,5.375000,5.375000,1416500
2000-04-22,5.250000,6.500000,4.875000,6.000000,6.000000,1192100
2000-04-29,6.687500,6.937500,5.125000,6.250000,6.250000,588000
2000-05-06,6.500000,8.125000,5.687500,5.812500,5.812500,1065700
2000-05-13,5.937500,6.000000,5.500000,5.875000,5.875000,675300
2000-05-20,6.000000,6.000000,4.500000,5.031250,5.031250,656300
2000-05-27,5.125000,5.406250,4.375000,5.000000,5.000000,1013900
2000-06-03,5.250000,6.312500,5.062500,5.500000,5.500000,831800
2000-06-10,5.453125,5.812500,4.968750,5.125000,5.125000,526400
2000-06-17,5.203125,6.500000,4.875000,5.812500,5.812500,1058000
2000-06-24,5.625000,6.750000,5.437500,6.281250,6.281250,701600
2000-07-01,6.328125,6.812500,5.687500,6.437500,6.437500,549300
2000-07-08,6.562500,8.875000,6.375000,7.687500,7.687500,1884200
2000-07-15,7.656250,8.000000,6.625000,6.687500,6.687500,608100
2000-07-22,7.312500,7.312500,5.562500,5.750000,5.750000,650800
2000-07-29,5.515625,6.062500,5.312500,6.062500,6.062500,353200
2000-08-05,5.750000,6.812500,5.562500,6.156250,6.156250,347600
2000-08-12,6.156250,6.250000,5.500000,5.937500,5.937500,312300
2000-08-19,5.843750,6.625000,5.500000,6.375000,6.375000,345500
2000-08-26,6.359375,8.062500,6.062500,8.000000,8.000000,979000
2000-09-02,8.187500,8.500000,6.750000,7.765625,7.765625,820700
2000-09-09,7.531250,8.062500,7.250000,7.875000,7.875000,417600
2000-09-16,7.937500,7.937500,6.000000,7.000000,7.000000,894500
2000-09-23,7.093750,7.250000,6.562500,7.125000,7.125000,851000
2000-09-30,7.000000,7.062500,6.796875,6.937500,6.937500,638400
2000-10-07,7.000000,7.000000,5.687500,6.000000,6.000000,603200
2000-10-14,5.953125,7.000000,5.500000,6.750000,6.750000,587100
2000-10-21,6.500000,7.125000,6.031250,6.718750,6.718750,536500
2000-10-28,6.625000,8.687500,6.562500,8.218750,8.218750,882100
2000-11-04,8.250000,8.250000,6.031250,6.937500,6.937500,894700
2000-11-11,6.625000,6.937500,5.750000,5.812500,5.812500,537500
2000-11-18,5.750000,6.000000,4.375000,5.375000,5.375000,612500
2000-11-25,5.265625,5.500000,3.750000,4.250000,4.250000,662700
2000-12-02,3.875000,4.250000,3.375000,4.000000,4.000000,552400
2000-12-09,4.109375,4.125000,3.500000,3.687500,3.687500,498100
2000-12-16,3.828125,4.125000,3.125000,3.625000,3.625000,1304100
2000-12-23,3.968750,4.062500,3.000000,3.375000,3.375000,1056400
2000-12-30,3.500000,4.062500,3.125000,3.875000,3.875000,350300
2001-01-06,3.796875,4.750000,3.500000,4.625000,4.625000,309500
2001-01-13,4.828125,5.218750,4.343750,4.500000,4.500000,209400
2001-01-20,4.375000,5.750000,4.375000,5.250000,5.250000,511600
2001-01-27,5.250000,5.875000,4.562500,4.875000,4.875000,546500
2001-02-03,4.562500,4.937500,4.375000,4.375000,4.375000,402200
2001-02-10,4.500000,5.312500,4.312500,4.500000,4.500000,391300
2001-02-17,4.437500,4.562500,3.625000,4.437500,4.437500,261500
2001-02-24,4.484375,4.750000,3.500000,3.625000,3.625000,231600
2001-03-03,3.750000,3.937500,3.187500,3.312500,3.312500,258300
2001-03-10,3.250000,3.375000,2.375000,2.625000,2.625000,779600
2001-03-17,2.984375,3.000000,2.031250,2.281250,2.281250,1317600
2001-03-24,2.375000,3.062500,2.187500,2.875000,2.875000,1866600
2001-03-31,2.937500,3.093750,1.500000,1.656250,1.656250,950500
2001-04-07,1.710000,1.900000,1.400000,1.400000,1.400000,747100
2001-04-14,1.550000,2.430000,1.280000,2.280000,2.280000,1626500
2001-04-21,2.280000,2.520000,1.950000,2.160000,2.160000,593600
2001-04-28,2.140000,2.350000,1.420000,2.300000,2.300000,3140200
2001-05-05,2.430000,2.520000,2.110000,2.350000,2.350000,395700
2001-05-12,2.390000,2.640000,2.050000,2.550000,2.550000,417900
2001-05-19,2.750000,3.440000,2.640000,3.270000,3.270000,898300
2001-05-26,3.570000,3.570000,2.780000,2.860000,2.860000,721800
2001-06-02,2.950000,2.990000,2.750000,2.850000,2.850000,600900
2001-06-09,2.950000,2.950000,2.350000,2.650000,2.650000,479100
2001-06-16,2.400000,2.700000,2.150000,2.590000,2.590000,380900
2001-06-23,2.600000,2.630000,2.150000,2.400000,2.400000,284400
2001-06-30,2.480000,2.960000,2.480000,2.790000,2.790000,184900
2001-07-07,2.790000,3.040000,2.650000,2.850000,2.850000,363800
2001-07-14,2.900000,2.930000,2.300000,2.600000,2.600000,299600
2001-07-21,2.620000,2.730000,2.250000,2.570000,2.570000,716600
2001-07-28,2.550000,2.640000,2.430000,2.530000,2.530000,170500
2001-08-04,2.440000,2.490000,1.970000,2.100000,2.100000,343900
2001-08-11,2.050000,2.250000,2.000000,2.090000,2.090000,124400
2001-08-18,2.060000,2.380000,2.000000,2.280000,2.280000,202600
2001-08-25,2.330000,2.570000,2.200000,2.250000,2.250000,1874500
2001-09-01,2.350000,2.750000,2.260000,2.530000,2.530000,944300
2001-09-08,2.530000,2.530000,2.250000,2.250000,2.250000,34700
2001-09-15,2.260000,2.380000,1.810000,2.030000,2.030000,475300
2001-09-22,2.050000,2.300000,1.830000,1.940000,1.940000,199900
2001-09-29,1.980000,2.090000,1.850000,2.070000,2.070000,116600
2001-10-06,2.000000,2.750000,1.950000,2.550000,2.550000,381300
2001-10-13,2.300000,2.500000,2.060000,2.200000,2.200000,182600
2001-10-20,2.100000,2.480000,2.070000,2.480000,2.480000,309200
2001-10-27,2.500000,2.650000,2.200000,2.480000,2.480000,289700
2001-11-03,2.510000,3.130000,2.400000,2.920000,2.920000,1074100
2001-11-10,2.880000,2.950000,2.550000,2.700000,2.700000,658700
2001-11-17,2.510000,2.800000,2.510000,2.670000,2.670000,166200
2001-11-24,2.670000,2.750000,2.350000,2.410000,2.410000,282900
2001-12-01,2.410000,2.650000,2.350000,2.500000,2.500000,247600
2001-12-08,2.500000,2.900000,2.420000,2.700000,2.700000,278500
2001-12-15,2.650000,2.850000,2.370000,2.410000,2.410000,294200
2001-12-22,2.300000,2.600000,2.300000,2.450000,2.450000,302600
2001-12-29,2.450000,2.740000,2.260000,2.650000,2.650000,353500
2002-01-05,2.500000,2.700000,2.440000,2.510000,2.510000,131200
2002-01-12,2.510000,2.590000,2.350000,2.400000,2.400000,169400
2002-01-19,2.430000,2.550000,2.300000,2.300000,2.300000,159300
2002-01-26,2.290000,3.460000,2.290000,3.100000,3.100000,719600
2002-02-02,3.000000,3.270000,2.900000,3.060000,3.060000,417200
2002-02-09,3.090000,3.500000,3.000000,3.050000,3.050000,959800
2002-02-16,3.060000,3.200000,2.840000,2.900000,2.900000,341600
2002-02-23,2.850000,3.260000,2.710000,2.900000,2.900000,258900
2002-03-02,2.860000,3.150000,2.750000,3.010000,3.010000,227700
2002-03-09,3.000000,4.250000,2.950000,3.980000,3.980000,1103100
2002-03-16,4.000000,4.500000,3.570000,4.350000,4.350000,949000
2002-03-23,4.250000,4.490000,3.700000,3.750000,3.750000,881800
2002-03-30,3.700000,4.220000,3.600000,3.850000,3.850000,1452100
2002-04-06,3.890000,3.950000,3.000000,3.320000,3.320000,924900
2002-04-13,3.330000,3.450000,3.100000,3.100000,3.100000,374200
2002-04-20,3.150000,3.160000,2.750000,2.950000,2.950000,337600
2002-04-27,2.820000,3.010000,2.720000,2.950000,2.950000,241900
2002-05-04,2.930000,2.930000,2.360000,2.600000,2.600000,468700
2002-05-11,2.620000,2.750000,2.460000,2.670000,2.670000,186800
2002-05-18,2.650000,2.950000,2.400000,2.820000,2.820000,236300
2002-05-25,2.820000,3.140000,2.580000,3.120000,3.120000,315100
2002-06-01,2.970000,3.050000,2.450000,2.570000,2.570000,352600
2002-06-08,2.500000,2.690000,2.150000,2.150000,2.150000,299500
2002-06-15,2.170000,2.730000,2.120000,2.330000,2.330000,361000
2002-06-22,2.300000,2.380000,2.100000,2.260000,2.260000,386800
2002-06-29,2.320000,2.450000,2.100000,2.430000,2.430000,266200
2002-07-06,2.440000,2.600000,2.100000,2.170000,2.170000,229900
2002-07-13,2.160000,2.270000,2.050000,2.150000,2.150000,1447700
2002-07-20,2.120000,2.360000,2.050000,2.290000,2.290000,415900
2002-07-27,2.400000,2.950000,2.300000,2.400000,2.400000,442800
2002-08-03,2.410000,2.800000,2.400000,2.690000,2.690000,104300
2002-08-10,2.720000,2.720000,2.430000,2.600000,2.600000,78900
2002-08-17,2.540000,2.750000,2.500000,2.640000,2.640000,326400
2002-08-24,2.650000,2.750000,2.260000,2.630000,2.630000,240000
2002-08-31,2.610000,2.680000,2.300000,2.440000,2.440000,181600
2002-09-07,2.450000,2.550000,2.260000,2.520000,2.520000,140200
2002-09-14,2.520000,2.550000,2.210000,2.250000,2.250000,138100
2002-09-21,2.250000,2.520000,2.210000,2.310000,2.310000,216400
2002-09-28,2.310000,2.440000,2.220000,2.390000,2.390000,206400
2002-10-05,2.300000,2.500000,2.250000,2.440000,2.440000,221900
2002-10-12,2.370000,2.680000,2.350000,2.650000,2.650000,114900
2002-10-19,2.650000,3.070000,2.550000,3.000000,3.000000,372200
2002-10-26,3.090000,3.290000,2.850000,3.150000,3.150000,300300
2002-11-02,3.230000,3.730000,3.010000,3.480000,3.480000,787800
2002-11-09,3.490000,3.530000,3.170000,3.270000,3.270000,317000
2002-11-16,3.240000,3.320000,2.800000,3.160000,3.160000,200100
2002-11-23,3.150000,3.160000,2.850000,3.000000,3.000000,162000
2002-11-30,3.050000,3.050000,2.810000,2.830000,2.830000,119500
2002-12-07,2.810000,3.050000,2.750000,3.020000,3.020000,132000
2002-12-14,3.000000,3.100000,2.650000,2.860000,2.860000,99400
2002-12-21,2.770000,3.100000,2.650000,2.700000,2.700000,134800
2002-12-28,2.680000,3.100000,2.650000,2.780000,2.780000,244000
2003-01-04,2.730000,3.170000,2.730000,2.930000,2.930000,174900
2003-01-11,2.900000,3.120000,2.760000,2.760000,2.760000,219300
2003-01-18,2.860000,2.990000,2.760000,2.910000,2.910000,105500
2003-01-25,3.000000,3.050000,2.840000,3.000000,3.000000,347600
2003-02-01,3.030000,3.160000,2.870000,2.890000,2.890000,266500
2003-02-08,2.890000,3.250000,2.890000,3.200000,3.200000,383200
2003-02-15,3.200000,3.300000,2.920000,3.300000,3.300000,101700
2003-02-22,3.300000,3.470000,3.050000,3.470000,3.470000,140700
2003-03-01,3.350000,3.750000,3.100000,3.500000,3.500000,231100
2003-03-08,3.500000,3.590000,3.350000,3.450000,3.450000,113000
2003-03-15,3.450000,3.680000,3.380000,3.650000,3.650000,159300
2003-03-22,3.700000,4.720000,3.620000,4.590000,4.590000,728500
2003-03-29,4.590000,5.000000,3.910000,4.390000,4.390000,2731000
2003-04-05,4.350000,4.680000,4.230000,4.530000,4.530000,913400
2003-04-12,4.520000,5.500000,4.520000,5.470000,5.470000,1767800
2003-04-19,5.500000,6.120000,5.300000,5.680000,5.680000,1416600
2003-04-26,5.680000,6.500000,5.680000,6.220000,6.220000,1348200
2003-05-03,6.160000,6.240000,5.160000,5.890000,5.890000,1085500
2003-05-10,5.890000,6.120000,5.500000,5.530000,5.530000,2261100
2003-05-17,5.480000,6.440000,5.410000,6.340000,6.340000,2567000
2003-05-24,6.240000,6.960000,6.100000,6.420000,6.420000,1405000
2003-05-31,6.470000,6.800000,5.650000,6.010000,6.010000,1203100
2003-06-07,6.000000,6.700000,5.510000,6.430000,6.430000,1499400
2003-06-14,6.260000,6.490000,5.700000,5.900000,5.900000,988100
2003-06-21,5.750000,5.850000,4.750000,5.030000,5.030000,1573400
2003-06-28,5.080000,5.200000,4.560000,4.950000,4.950000,1804900
2003-07-05,5.100000,6.420000,4.900000,6.250000,6.250000,3013900
2003-07-12,6.290000,7.460000,5.950000,6.660000,6.660000,3548700
2003-07-19,6.530000,6.900000,6.320000,6.810000,6.810000,648600
2003-07-26,6.840000,7.700000,6.800000,7.060000,7.060000,2272600
2003-08-02,7.000000,7.320000,6.090000,6.750000,6.750000,918000
2003-08-09,6.600000,6.950000,6.500000,6.800000,6.800000,276400
2003-08-16,6.890000,6.970000,6.650000,6.880000,6.880000,416900
2003-08-23,7.280000,7.530000,6.910000,7.470000,7.470000,1060900
2003-08-30,7.470000,8.470000,7.200000,8.200000,8.200000,1633700
2003-09-06,8.350000,8.450000,7.450000,7.900000,7.900000,914500
2003-09-13,7.900000,8.290000,6.450000,6.520000,6.520000,8398900
2003-09-20,6.550000,6.630000,5.350000,5.460000,5.460000,2890100
2003-09-27,5.310000,5.940000,5.050000,5.600000,5.600000,2050400
2003-10-04,5.770000,6.080000,5.620000,5.940000,5.940000,1140900
2003-10-11,5.960000,6.100000,5.460000,5.520000,5.520000,611300
2003-10-18,5.500000,5.620000,4.900000,5.120000,5.120000,1536600
2003-10-25,5.000000,5.350000,4.900000,5.090000,5.090000,1228800
2003-11-01,5.010000,5.170000,4.450000,4.950000,4.950000,2695600
2003-11-08,4.950000,5.030000,4.330000,4.830000,4.830000,2587000
2003-11-15,4.990000,5.110000,4.670000,4.750000,4.750000,1292300
2003-11-22,4.750000,4.980000,4.550000,4.830000,4.830000,1116900
2003-11-29,4.850000,5.400000,4.710000,5.050000,5.050000,4410500
2003-12-06,5.060000,5.110000,4.580000,4.780000,4.780000,2471400
2003-12-13,4.880000,4.920000,3.840000,4.370000,4.370000,3434800
2003-12-20,4.210000,4.500000,3.970000,4.060000,4.060000,1828700
2003-12-27,4.100000,4.580000,3.980000,4.160000,4.160000,5685800
2004-01-03,2.360000,2.620000,2.150000,2.450000,2.450000,21768400
2004-01-10,2.430000,2.620000,2.370000,2.530000,2.530000,4885400
2004-01-17,2.530000,3.350000,2.490000,3.130000,3.130000,8288300
2004-01-24,3.190000,3.330000,2.850000,3.330000,3.330000,3731000
2004-01-31,3.250000,3.950000,3.020000,3.100000,3.100000,7871300
2004-02-07,3.100000,3.260000,2.910000,2.960000,2.960000,1737800
2004-02-14,3.000000,3.310000,2.850000,3.010000,3.010000,2048300
2004-02-21,3.030000,3.100000,2.850000,2.880000,2.880000,1094800
2004-02-28,2.900000,2.950000,2.690000,2.850000,2.850000,1018800
2004-03-06,2.800000,3.380000,2.800000,3.180000,3.180000,3307500
2004-03-13,3.190000,3.190000,2.760000,2.860000,2.860000,1029600
2004-03-20,2.800000,2.980000,2.690000,2.850000,2.850000,831500
2004-03-27,2.780000,3.130000,2.780000,3.120000,3.120000,1613700
2004-04-03,3.050000,3.520000,3.050000,3.400000,3.400000,2314200
2004-04-10,3.300000,3.500000,2.900000,2.990000,2.990000,1002000
2004-04-17,2.920000,3.190000,2.920000,3.150000,3.150000,963500
2004-04-24,3.100000,3.400000,2.900000,3.050000,3.050000,1626000
