Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,3.625000,3.750000,3.437500,3.750000,2.990338,125800
2000-01-08,3.750000,3.937500,3.375000,3.437500,2.741143,64700
2000-01-15,3.625000,3.875000,3.625000,3.625000,2.890660,24300
2000-01-22,3.671875,3.781250,3.500000,3.750000,2.990338,69600
2000-01-29,3.750000,4.062500,3.687500,4.000000,3.189693,130500
2000-02-05,4.125000,4.750000,4.078125,4.562500,3.638245,307800
2000-02-12,4.500000,4.500000,4.000000,4.156250,3.314291,48700
2000-02-19,4.375000,4.375000,4.000000,4.125000,3.289371,37200
2000-02-26,4.125000,4.250000,3.375000,3.937500,3.139855,41300
2000-03-04,3.843750,4.125000,3.812500,3.812500,3.040177,42300
2000-03-11,3.937500,3.937500,3.812500,3.812500,3.040177,30500
2000-03-18,3.875000,3.875000,3.562500,3.812500,3.040177,65200
2000-03-25,3.687500,3.875000,3.375000,3.437500,2.741143,87400
2000-04-01,3.375000,3.500000,3.375000,3.437500,2.741143,99700
2000-04-08,3.437500,3.468750,3.250000,3.343750,2.666384,98300
2000-04-15,3.250000,3.375000,3.000000,3.125000,2.491948,34700
2000-04-22,3.062500,3.187500,3.000000,3.125000,2.491948,34800
2000-04-29,3.250000,4.000000,3.187500,4.000000,3.189693,101600
2000-05-06,3.562500,4.000000,3.343750,3.343750,2.666384,23200
2000-05-13,3.375000,3.375000,2.906250,2.937500,2.342432,359000
2000-05-20,2.984375,2.984375,2.500000,2.750000,2.192914,95300
2000-05-27,2.750000,2.875000,2.562500,2.750000,2.192914,115800
2000-06-03,2.875000,3.062500,2.750000,2.875000,2.292592,199700
2000-06-10,2.875000,3.062500,2.812500,3.000000,2.392269,174600
2000-06-17,2.937500,3.000000,2.875000,2.875000,2.292592,33400
2000-06-24,3.000000,3.031250,2.750000,2.750000,2.192914,88000
2000-07-01,3.000000,3.000000,2.750000,2.750000,2.192914,60200
2000-07-08,2.875000,3.000000,2.750000,2.750000,2.233523,55300
2000-07-15,2.812500,2.875000,2.562500,2.687500,2.182762,44000
2000-07-22,2.687500,2.812500,2.562500,2.750000,2.233523,34800
2000-07-29,2.750000,2.875000,2.750000,2.875000,2.335047,14600
2000-08-05,2.812500,3.500000,2.687500,3.437500,2.791906,58800
2000-08-12,3.359375,3.875000,3.125000,3.250000,2.639619,103500
2000-08-19,3.375000,3.500000,3.125000,3.125000,2.538096,50700
2000-08-26,3.250000,3.750000,3.125000,3.500000,2.842667,56800
2000-09-02,3.437500,3.750000,3.375000,3.500000,2.842667,63200
2000-09-09,3.437500,3.500000,3.437500,3.500000,2.842667,83500
2000-09-16,3.437500,3.500000,3.437500,3.468750,2.817287,98700
2000-09-23,3.437500,3.500000,3.375000,3.500000,2.842667,124100
2000-09-30,3.375000,3.375000,3.000000,3.062500,2.487334,36500
2000-10-07,3.062500,3.250000,2.875000,2.875000,2.335047,61400
2000-10-14,2.875000,3.000000,2.875000,3.000000,2.436572,58300
2000-10-21,3.000000,3.000000,2.812500,2.875000,2.335047,23400
2000-10-28,3.000000,3.000000,2.812500,2.812500,2.284287,36200
2000-11-04,2.937500,3.000000,2.812500,3.000000,2.436572,52500
2000-11-11,2.812500,3.062500,2.750000,2.937500,2.385811,44900
2000-11-18,2.750000,2.937500,2.500000,2.562500,2.081238,204700
2000-11-25,2.625000,2.875000,2.312500,2.437500,1.979714,145800
2000-12-02,2.375000,2.750000,2.312500,2.687500,2.182762,85700
2000-12-09,2.687500,2.734375,2.500000,2.625000,2.132000,89400
2000-12-16,2.531250,2.750000,2.500000,2.750000,2.233523,330600
2000-12-23,2.812500,3.000000,2.437500,2.875000,2.335047,134100
2000-12-30,2.937500,3.062500,2.500000,2.875000,2.335047,65400
2001-01-06,2.750000,2.875000,2.500000,2.625000,2.132000,130500
2001-01-13,2.625000,2.750000,2.375000,2.500000,2.030477,144000
2001-01-20,2.500000,2.750000,2.500000,2.750000,2.233523,475500
2001-01-27,2.750000,2.875000,2.625000,2.750000,2.233523,109600
