Date,Open,High,Low,Close,Adj Close,Volume
2012-10-08,53.279999,53.279999,48.240002,50.880001,50.880001,9334
2012-10-15,51.119999,59.279999,49.200001,56.639999,56.639999,48875
2012-10-22,59.040001,64.680000,54.119999,61.320000,61.320000,14292
2012-10-29,62.400002,62.639999,51.840000,57.119999,57.119999,4809
2012-11-05,58.320000,62.279999,52.799999,58.919998,58.919998,10568
2012-11-12,55.799999,60.000000,52.680000,56.279999,56.279999,8841
2012-11-19,53.759998,57.480000,51.000000,57.480000,57.480000,7533
2012-11-26,56.279999,60.360001,49.799999,57.000000,57.000000,8984
2012-12-03,57.959999,58.200001,52.919998,53.639999,53.639999,9133
2012-12-10,56.759998,57.240002,50.880001,51.959999,51.959999,8550
2012-12-17,53.759998,62.639999,52.200001,62.400002,62.400002,134474
2012-12-24,66.239998,73.680000,59.759998,72.000000,72.000000,28491
2012-12-31,72.360001,78.000000,69.000000,71.519997,71.519997,22158
2013-01-07,71.639999,74.160004,60.000000,61.919998,61.919998,23608
2013-01-14,57.599998,65.879997,56.040001,64.680000,64.680000,13550
2013-01-21,64.919998,71.760002,61.680000,69.000000,69.000000,12216
2013-01-28,68.879997,77.040001,67.199997,71.879997,71.879997,22792
2013-02-04,70.680000,73.800003,66.239998,67.919998,67.919998,10692
2013-02-11,68.160004,70.919998,64.800003,64.800003,64.800003,8899
2013-02-18,65.400002,70.320000,57.720001,63.599998,63.599998,5341
2013-02-25,64.680000,64.919998,56.400002,59.520000,59.520000,14033
2013-03-04,59.400002,75.839996,59.400002,73.680000,73.680000,11558
2013-03-11,73.800003,83.879997,71.639999,81.239998,81.239998,46900
2013-03-18,80.760002,94.680000,78.720001,85.320000,85.320000,35591
2013-03-25,84.720001,93.000000,82.199997,93.000000,93.000000,7282
2013-04-01,93.000000,93.000000,77.639999,83.639999,83.639999,28059
2013-04-08,83.760002,84.000000,80.400002,83.279999,83.279999,33767
2013-04-15,83.160004,86.040001,81.360001,83.400002,83.400002,21574
2013-04-22,82.680000,86.400002,80.519997,81.959999,81.959999,20541
2013-04-29,82.440002,85.680000,77.279999,84.000000,84.000000,27292
2013-05-06,84.360001,85.199997,81.599998,84.720001,84.720001,10649
2013-05-13,84.360001,90.000000,84.000000,85.199997,85.199997,24683
2013-05-20,84.720001,89.639999,83.160004,88.680000,88.680000,15208
2013-05-27,89.760002,108.360001,88.919998,107.519997,107.519997,70633
2013-06-03,109.080002,113.519997,104.279999,110.519997,110.519997,59333
2013-06-10,110.519997,122.400002,104.519997,119.040001,119.040001,54384
2013-06-17,120.239998,124.800003,116.519997,123.480003,123.480003,70834
2013-06-24,122.160004,131.279999,106.320000,117.720001,117.720001,124166
2013-07-01,117.360001,131.399994,117.360001,130.800003,130.800003,14893
2013-07-08,132.000000,154.679993,130.559998,145.199997,145.199997,27742
2013-07-15,145.800003,149.039993,114.239998,120.959999,120.959999,228609
2013-07-22,120.959999,129.600006,120.000000,127.800003,127.800003,88084
2013-07-29,127.199997,128.880005,120.720001,125.879997,125.879997,67066
2013-08-05,125.160004,127.080002,103.559998,108.239998,108.239998,85283
2013-08-12,106.919998,110.160004,94.800003,104.400002,104.400002,51716
2013-08-19,103.919998,115.680000,102.360001,110.639999,110.639999,45875
2013-08-26,111.000000,118.800003,108.959999,113.400002,113.400002,38917
2013-09-02,115.440002,118.559998,108.480003,113.879997,113.879997,22875
2013-09-09,114.720001,122.639999,109.919998,111.959999,111.959999,32100
2013-09-16,112.680000,113.279999,103.199997,111.480003,111.480003,22541
2013-09-23,111.839996,114.360001,106.199997,109.680000,109.680000,39334
2013-09-30,109.080002,115.559998,108.239998,114.120003,114.120003,84182
2013-10-07,113.519997,117.839996,101.400002,102.000000,102.000000,42383
2013-10-14,101.760002,111.000000,100.680000,103.199997,103.199997,31017
2013-10-21,102.839996,105.239998,83.879997,86.879997,86.879997,91033
2013-10-28,86.519997,89.400002,80.279999,80.760002,80.760002,40609
2013-11-04,82.800003,85.680000,73.080002,74.519997,74.519997,44942
2013-11-11,74.160004,83.760002,69.959999,73.440002,73.440002,78400
2013-11-18,73.440002,79.199997,70.559998,73.919998,73.919998,70200
2013-11-25,74.400002,79.559998,73.800003,75.480003,75.480003,49474
2013-12-02,76.800003,76.800003,72.000000,75.480003,75.480003,45676
2013-12-09,75.599998,77.639999,71.400002,75.599998,75.599998,60642
2013-12-16,76.080002,84.599998,75.599998,81.839996,81.839996,154783
2013-12-23,85.440002,96.360001,81.839996,89.160004,89.160004,48216
2013-12-30,88.800003,90.959999,84.000000,85.440002,85.440002,45350
2014-01-06,85.320000,87.839996,81.120003,82.800003,82.800003,55974
2014-01-13,84.239998,101.279999,84.120003,94.680000,94.680000,191750
2014-01-20,96.000000,105.239998,92.760002,96.120003,96.120003,96275
2014-01-27,96.839996,112.800003,90.120003,109.199997,109.199997,92817
2014-02-03,109.320000,113.519997,96.120003,103.800003,103.800003,110008
2014-02-10,106.080002,119.519997,103.080002,109.919998,109.919998,96850
2014-02-17,110.760002,132.839996,110.760002,128.399994,128.399994,96950
2014-02-24,130.199997,142.559998,129.360001,134.759995,134.759995,99401
2014-03-03,132.000000,139.919998,118.919998,123.599998,123.599998,119050
2014-03-10,126.360001,135.240005,120.480003,122.639999,122.639999,54550
2014-03-17,126.839996,132.000000,112.320000,112.919998,112.919998,40192
2014-03-24,115.440002,119.879997,96.599998,97.680000,97.680000,74466
2014-03-31,96.000000,110.879997,84.120003,87.239998,87.239998,80125
2014-04-07,86.279999,99.360001,84.000000,88.680000,88.680000,78125
2014-04-14,89.400002,90.720001,73.199997,83.519997,83.519997,52667
2014-04-21,83.519997,90.360001,79.199997,80.639999,80.639999,46867
