Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,2.750000,3.000000,2.500000,2.937500,2.834724,56900
2000-01-08,2.937500,3.062500,2.500000,2.625000,2.533157,73300
2000-01-15,2.812500,2.812500,2.562500,2.625000,2.533157,20000
2000-01-22,2.625000,2.750000,2.562500,2.562500,2.472845,15600
2000-01-29,2.562500,2.625000,2.375000,2.500000,2.412531,29600
2000-02-05,2.500000,2.750000,2.500000,2.625000,2.533157,43800
2000-02-12,2.656250,3.062500,2.625000,2.875000,2.774410,39100
2000-02-19,2.812500,4.000000,2.812500,3.875000,3.739423,222900
2000-02-26,3.875000,5.375000,3.125000,5.375000,5.186943,366000
2000-03-04,5.500000,6.500000,4.562500,5.562500,5.367882,556800
2000-03-11,5.625000,6.437500,4.750000,5.812500,5.609134,292900
2000-03-18,5.625000,5.812500,5.125000,5.125000,4.945689,47200
2000-03-25,5.125000,5.187500,3.437500,4.437500,4.282241,75800
2000-04-01,4.406250,5.375000,3.375000,3.875000,3.739423,78600
2000-04-08,3.812500,3.812500,3.312500,3.375000,3.256917,94400
2000-04-15,3.250000,3.812500,3.000000,3.812500,3.679110,88900
2000-04-22,3.750000,3.750000,2.750000,2.812500,2.714097,66100
2000-04-29,3.281250,3.437500,2.875000,3.187500,3.075977,33800
2000-05-06,3.125000,3.125000,2.875000,2.875000,2.774410,7700
2000-05-13,2.875000,3.000000,2.125000,2.500000,2.412531,62900
2000-05-20,2.500000,2.625000,2.000000,2.250000,2.171278,23600
2000-05-27,2.312500,2.312500,2.000000,2.250000,2.171278,10900
2000-06-03,2.187500,2.250000,2.187500,2.187500,2.110964,8600
2000-06-10,2.187500,2.250000,2.125000,2.125000,2.050652,7300
2000-06-17,2.125000,2.218750,2.000000,2.125000,2.050652,13600
2000-06-24,2.125000,2.125000,2.000000,2.000000,1.930025,24700
2000-07-01,2.000000,2.125000,1.812500,1.812500,1.749085,6600
2000-07-08,1.875000,2.500000,1.875000,2.375000,2.291904,24200
2000-07-15,2.187500,2.375000,2.187500,2.187500,2.110964,10100
2000-07-22,2.125000,2.187500,1.875000,2.000000,1.930025,12400
2000-07-29,1.906250,2.000000,1.687500,1.687500,1.628458,7500
2000-08-05,1.968750,2.062500,1.750000,2.000000,1.930025,28400
2000-08-12,2.000000,2.468750,1.875000,2.250000,2.171278,16300
2000-08-19,2.343750,2.437500,2.000000,2.062500,1.990338,18800
2000-08-26,2.125000,2.156250,2.000000,2.000000,1.930025,11100
2000-09-02,2.000000,2.437500,1.562500,2.437500,2.352218,21900
2000-09-09,2.250000,2.250000,2.000000,2.062500,1.990338,35800
