Date,Open,High,Low,Close,Adj Close,Volume
2020-10-26,26.000000,29.480000,22.709999,23.969999,23.969999,26237900
2020-11-02,23.799999,24.790001,21.770000,22.740000,22.740000,9193800
2020-11-09,23.150000,23.820000,20.740000,21.000000,21.000000,4112700
2020-11-16,21.600000,21.600000,16.870001,19.000000,19.000000,8599400
2020-11-23,17.986000,18.280001,16.590000,17.230000,17.230000,6103300
2020-11-30,17.660000,17.850000,13.780000,14.260000,14.260000,13427300
2020-12-07,14.400000,15.610000,13.810000,14.100000,14.100000,9932000
2020-12-14,14.330000,15.150000,13.570000,14.050000,14.050000,10144800
2020-12-21,14.510000,19.799999,14.250000,17.170000,17.170000,17319800
2020-12-28,16.770000,18.459999,15.580000,16.549999,16.549999,7180000
