Date,Open,High,Low,Close,Adj Close,Volume
2010-11-15,1.890000,1.900000,1.850000,1.860000,1.860000,39300
2010-11-22,1.890000,2.050000,1.880000,2.000000,2.000000,121700
2010-11-29,2.000000,2.250000,2.000000,2.100000,2.100000,112100
2010-12-06,2.150000,2.150000,2.100000,2.100000,2.100000,98700
2010-12-13,2.100000,2.190000,2.000000,2.150000,2.150000,59300
2010-12-20,2.170000,2.400000,2.100000,2.400000,2.400000,315600
2010-12-27,2.360000,2.650000,2.360000,2.650000,2.650000,256700
2011-01-03,2.690000,3.050000,2.650000,2.950000,2.950000,137900
2011-01-10,2.950000,3.200000,2.950000,2.980000,2.980000,108400
2011-01-17,3.000000,3.250000,2.950000,3.100000,3.100000,102400
2011-01-24,3.050000,3.100000,2.800000,3.050000,3.050000,30700
2011-01-31,3.000000,3.000000,2.850000,2.900000,2.900000,38800
2011-02-07,3.000000,3.050000,2.840000,2.950000,2.950000,29900
2011-02-14,3.000000,3.500000,3.000000,3.500000,3.500000,45800
2011-02-21,3.500000,3.700000,3.500000,3.600000,3.600000,45200
2011-02-28,3.600000,3.850000,3.050000,3.700000,3.700000,78100
2011-03-07,3.690000,3.700000,3.600000,3.600000,3.600000,10700
2011-03-14,3.600000,3.700000,3.450000,3.600000,3.600000,31200
2011-03-21,3.600000,3.650000,3.400000,3.400000,3.400000,41600
2011-03-28,3.400000,3.600000,3.300000,3.500000,3.500000,35400
2011-04-04,3.400000,3.500000,3.400000,3.400000,3.400000,17000
2011-04-11,3.450000,3.500000,3.000000,3.250000,3.250000,38300
2011-04-18,3.200000,3.250000,2.950000,3.000000,3.000000,72700
2011-04-25,2.950000,3.400000,2.950000,3.400000,3.400000,45800
2011-05-02,3.010000,3.140000,2.900000,2.920000,2.920000,64900
2011-05-09,2.900000,3.000000,2.000000,2.550000,2.550000,32700
2011-05-16,2.610000,2.750000,2.600000,2.750000,2.750000,33500
2011-05-23,3.000000,3.000000,2.550000,2.630000,2.630000,43300
2011-05-30,2.450000,2.850000,2.450000,2.850000,2.850000,74000
2011-06-06,2.890000,2.990000,2.600000,2.900000,2.900000,130800
2011-06-13,3.000000,3.000000,2.800000,3.000000,3.000000,44800
2011-06-20,3.000000,3.300000,2.850000,3.300000,3.300000,59900
2011-06-27,3.300000,3.300000,3.100000,3.100000,3.100000,23600
2011-07-04,3.100000,3.150000,2.950000,2.950000,2.950000,25200
2011-07-11,3.010000,3.090000,2.950000,3.000000,3.000000,44200
2011-07-18,3.050000,3.050000,2.950000,2.950000,2.950000,15900
2011-07-25,2.950000,2.950000,2.500000,2.950000,2.950000,6100
2011-08-01,2.950000,2.950000,2.280000,2.500000,2.500000,77800
2011-08-08,2.300000,2.490000,1.500000,1.900000,1.900000,58000
2011-08-15,1.950000,1.990000,1.250000,1.500000,1.500000,67600
2011-08-22,1.490000,1.590000,1.300000,1.590000,1.590000,44700
2011-08-29,1.790000,1.790000,1.660000,1.750000,1.750000,7000
2011-09-05,1.750000,1.750000,1.650000,1.650000,1.650000,1600
2011-09-12,1.650000,1.700000,1.650000,1.700000,1.700000,13400
2011-09-19,1.700000,1.700000,1.550000,1.550000,1.550000,6500
2011-09-26,1.550000,1.590000,1.250000,1.590000,1.590000,14800
2011-10-03,1.400000,1.400000,1.300000,1.400000,1.400000,3000
2011-10-10,1.210000,1.350000,1.100000,1.300000,1.300000,9100
2011-10-17,1.160000,1.300000,1.160000,1.300000,1.300000,6600
2011-10-24,1.250000,1.450000,1.250000,1.450000,1.450000,18900
2011-10-31,1.450000,1.450000,1.250000,1.250000,1.250000,19500
2011-11-07,1.150000,1.300000,1.120000,1.300000,1.300000,28700
2011-11-14,1.150000,1.300000,1.020000,1.300000,1.300000,6900
2011-11-21,1.300000,1.300000,0.780000,1.040000,1.040000,15900
2011-11-28,0.780000,1.200000,0.770000,1.200000,1.200000,18100
2011-12-05,1.000000,1.190000,1.000000,1.180000,1.180000,6500
2011-12-12,1.180000,1.190000,1.010000,1.190000,1.190000,138900
2011-12-19,1.190000,1.190000,1.190000,1.190000,1.190000,0
2011-12-26,1.050000,1.150000,0.550000,1.100000,1.100000,18200
2012-01-02,1.100000,1.100000,1.100000,1.100000,1.100000,1000
2012-01-09,1.100000,1.100000,1.100000,1.100000,1.100000,1400
2012-01-16,1.030000,1.100000,1.030000,1.100000,1.100000,7800
2012-01-23,1.100000,1.100000,0.900000,1.100000,1.100000,1500
2012-01-30,1.100000,1.190000,1.080000,1.190000,1.190000,106400
2012-02-06,1.190000,1.200000,1.080000,1.200000,1.200000,4800
2012-02-13,1.170000,1.490000,1.150000,1.490000,1.490000,45000
2012-02-20,1.490000,1.490000,1.300000,1.480000,1.480000,12200
2012-02-27,1.480000,1.480000,1.300000,1.300000,1.300000,1700
2012-03-05,1.300000,1.300000,1.150000,1.200000,1.200000,6800
2012-03-12,1.150000,1.200000,1.150000,1.200000,1.200000,19600
2012-03-19,1.240000,1.250000,1.100000,1.210000,1.210000,24300
2012-03-26,1.100000,1.240000,1.010000,1.200000,1.200000,12800
2012-04-02,1.200000,1.350000,1.100000,1.350000,1.350000,43000
2012-04-09,1.250000,1.350000,1.060000,1.250000,1.250000,14800
2012-04-16,1.200000,1.300000,1.200000,1.200000,1.200000,55900
2012-04-23,1.300000,1.300000,1.150000,1.300000,1.300000,87800
2012-04-30,1.260000,1.320000,1.250000,1.320000,1.320000,18400
2012-05-07,1.320000,1.380000,1.320000,1.350000,1.350000,20500
2012-05-14,1.320000,1.390000,1.250000,1.330000,1.330000,18300
2012-05-21,1.150000,1.310000,1.150000,1.200000,1.200000,1900
2012-05-28,1.300000,1.310000,1.200000,1.310000,1.310000,19600
2012-06-04,1.310000,1.310000,1.200000,1.290000,1.290000,4200
2012-06-11,1.290000,1.330000,1.230000,1.330000,1.330000,43200
2012-06-18,1.280000,1.300000,1.200000,1.200000,1.200000,101000
2012-06-25,1.200000,1.340000,1.050000,1.340000,1.340000,158300
2012-07-02,1.340000,1.340000,1.300000,1.300000,1.300000,700
2012-07-09,1.340000,1.340000,1.340000,1.340000,1.340000,4200
2012-07-16,1.340000,1.340000,1.310000,1.330000,1.330000,27600
2012-07-23,1.250000,1.340000,1.250000,1.340000,1.340000,1100
2012-07-30,1.340000,1.340000,1.200000,1.330000,1.330000,3900
2012-08-06,1.330000,1.330000,1.330000,1.330000,1.330000,0
2012-08-13,1.330000,1.330000,1.060000,1.180000,1.180000,9000
2012-08-20,1.250000,1.250000,1.020000,1.250000,1.250000,3400
2012-08-27,1.250000,1.250000,1.020000,1.250000,1.250000,6500
2012-09-03,1.050000,1.330000,0.850000,1.150000,1.150000,37400
2012-09-10,1.150000,1.200000,0.880000,1.150000,1.150000,8300
2012-09-17,1.150000,1.250000,1.010000,1.250000,1.250000,6600
2012-09-24,1.250000,1.300000,1.040000,1.300000,1.300000,7400
2012-10-01,1.070000,1.250000,0.960000,1.130000,1.130000,39000
2012-10-08,1.070000,1.250000,0.960000,1.070000,1.070000,21800
