Date,Open,High,Low,Close,Adj Close,Volume
2003-10-06,2.831111,3.062222,2.831111,3.053333,2.937124,25650
2003-10-13,3.013333,3.457778,2.888889,3.444444,3.313349,74250
2003-10-20,3.355556,3.577778,3.026667,3.511111,3.377479,77400
2003-10-27,3.515556,3.991111,3.488889,3.991111,3.839211,83700
2003-11-03,3.968889,4.600000,3.555556,3.755556,3.612621,120150
2003-11-10,3.804444,3.866667,3.488889,3.600000,3.462985,54450
2003-11-17,3.577778,3.595556,3.271111,3.382222,3.253496,103275
2003-11-24,3.377778,3.475556,3.204444,3.444444,3.313349,6300
2003-12-01,3.444444,3.591111,3.377778,3.586667,3.450159,43200
2003-12-08,3.426667,4.333333,3.426667,4.173333,4.014497,112275
2003-12-15,4.271111,4.511111,3.871111,4.306667,4.142756,742725
2003-12-22,4.182222,4.377778,4.182222,4.208889,4.048700,37350
2003-12-29,4.200000,4.511111,4.200000,4.408889,4.241087,232425
2004-01-05,4.395556,4.528889,4.017778,4.137778,3.980295,207000
2004-01-12,4.395556,4.533333,4.164444,4.466667,4.296667,478575
2004-01-19,4.413333,4.817778,4.320000,4.595556,4.420650,85275
2004-01-26,4.382222,4.684444,4.382222,4.666667,4.489055,153225
2004-02-02,4.533333,4.835556,4.284444,4.711111,4.531807,132075
2004-02-09,4.333333,5.444444,4.333333,5.235556,5.036292,287775
2004-02-16,5.244444,5.333333,4.893333,5.333333,5.130347,41175
2004-02-23,5.342222,5.377778,5.106667,5.288889,5.087595,62550
2004-03-01,5.306667,5.466667,4.995556,5.333333,5.130347,378225
2004-03-08,5.377778,5.377778,5.120000,5.333333,5.130347,116325
2004-03-15,5.355556,5.355556,4.857778,5.280000,5.079045,52650
2004-03-22,5.111111,5.288889,4.888889,5.248889,5.049118,51075
2004-03-29,5.111111,5.288889,4.871111,5.155556,4.959338,146475
2004-04-05,5.155556,5.155556,4.902222,5.071111,4.878107,50625
2004-04-12,4.817778,5.222222,4.817778,5.155556,4.959338,245025
2004-04-19,5.053333,5.875556,4.786667,5.760000,5.540777,2768850
2004-04-26,5.777778,6.022222,5.662222,5.777778,5.557878,544275
2004-05-03,5.791111,6.128889,5.600000,5.755556,5.536501,487350
2004-05-10,5.644444,5.724444,5.275556,5.333333,5.130347,833625
2004-05-17,5.288889,5.444444,5.066667,5.217778,5.019191,420075
2004-05-24,5.342222,5.564444,5.062222,5.253333,5.053393,394650
2004-05-31,5.404444,5.715556,5.288889,5.555556,5.344113,92700
2004-06-07,5.266667,5.662222,5.266667,5.422222,5.215854,111375
2004-06-14,5.680000,6.004444,5.297778,5.746667,5.527950,980325
2004-06-21,5.751111,6.022222,5.506667,5.653333,5.438170,1102050
2004-06-28,5.733333,6.128889,5.666667,5.893333,5.669035,777150
2004-07-05,5.893333,5.946667,5.657778,5.791111,5.570703,313650
2004-07-12,5.733333,6.168889,5.711111,5.844444,5.622006,420750
2004-07-19,5.844444,6.257778,5.577778,5.773333,5.553602,250200
2004-07-26,5.800000,5.800000,5.417778,5.720000,5.502298,400500
2004-08-02,5.724444,5.786667,5.208889,5.377778,5.173102,298800
2004-08-09,5.231111,5.315556,4.644444,4.768889,4.587386,309600
2004-08-16,4.733333,5.311111,4.493333,4.911111,4.724196,510975
2004-08-23,4.911111,5.155556,4.800000,4.800000,4.617313,132975
2004-08-30,4.866667,4.911111,4.444444,4.617778,4.442026,164700
2004-09-06,4.768889,5.111111,4.760000,5.111111,4.916584,51750
2004-09-13,4.977778,5.200000,4.866667,5.048889,4.856730,96075
2004-09-20,5.106667,5.466667,4.626667,4.626667,4.450579,307800
2004-09-27,4.635556,5.000000,4.488889,4.977778,4.788325,70650
2004-10-04,4.977778,5.208889,4.893333,5.168889,4.972162,81000
2004-10-11,5.044444,5.480000,5.044444,5.391111,5.185926,170325
2004-10-18,5.377778,6.040000,5.377778,5.813333,5.592079,398250
2004-10-25,5.844444,6.475556,5.844444,6.413333,6.169243,417825
2004-11-01,6.222222,6.724444,6.168889,6.666667,6.412936,216900
2004-11-08,6.644444,6.880000,6.577778,6.648889,6.395834,1415475
2004-11-15,6.631111,6.720000,5.831111,6.346667,6.105115,7327575
2004-11-22,6.346667,6.804444,6.222222,6.804444,6.545469,1068975
2004-11-29,6.733333,7.333333,6.622222,7.177778,6.904594,1364175
2004-12-06,7.115556,7.284444,6.355556,6.520000,6.271852,718425
2004-12-13,6.577778,6.933333,6.337778,6.880000,6.618149,661275
2004-12-20,6.782222,7.111111,6.404444,6.906667,6.643801,1031400
2004-12-27,6.902222,7.213333,6.720000,7.213333,6.938796,776475
2005-01-03,7.217778,7.324444,6.666667,6.720000,6.464239,820575
2005-01-10,6.888889,7.355556,6.733333,7.088889,6.819088,596475
2005-01-17,7.235556,7.377778,6.542222,6.591111,6.340255,1312875
2005-01-24,6.488889,6.773333,6.222222,6.662222,6.408659,723375
2005-01-31,6.751111,6.844444,6.511111,6.711111,6.455688,479025
2005-02-07,6.777778,6.822222,6.453333,6.688889,6.434311,423450
2005-02-14,6.555556,7.080000,6.555556,6.906667,6.643801,1097550
2005-02-21,6.822222,7.053333,6.626667,6.955556,6.690828,739125
2005-02-28,7.057778,7.400000,6.942222,7.288889,7.011476,983025
2005-03-07,7.324444,7.324444,6.955556,7.026667,6.759235,680400
2005-03-14,7.222222,7.244444,6.924444,7.155556,6.883218,1262700
2005-03-21,7.066667,7.244444,6.897778,7.040000,6.772059,870525
2005-03-28,7.226667,7.226667,6.951111,7.048889,6.780611,604350
2005-04-04,7.124444,7.142222,6.742222,6.822222,6.562571,811125
2005-04-11,7.368889,7.368889,6.520000,6.542222,6.293227,462600
2005-04-18,6.480000,7.311111,6.471111,7.035556,6.767786,1119150
2005-04-25,7.128889,7.137778,6.471111,6.533333,6.284676,416250
2005-05-02,6.613333,6.773333,6.351111,6.444444,6.199171,1128375
2005-05-09,6.386667,6.573333,6.160000,6.297778,6.058086,998325
2005-05-16,6.133333,6.480000,5.706667,6.426667,6.182070,1697175
2005-05-23,6.320000,6.524444,6.182222,6.306667,6.066637,956925
2005-05-30,6.373333,6.457778,6.195556,6.226667,5.989682,834075
2005-06-06,6.173333,6.391111,5.911111,6.004444,5.775917,1075950
2005-06-13,6.093333,6.364444,5.968889,6.306667,6.066637,766800
2005-06-20,6.164444,6.355556,5.751111,6.128889,5.895625,3111975
2005-06-27,6.008889,6.222222,5.853333,5.991111,5.763092,1077525
2005-07-04,5.991111,6.320000,5.933333,6.302222,6.062362,1413225
2005-07-11,6.333333,6.608889,6.257778,6.480000,6.233374,1688400
