Date,Open,High,Low,Close,Adj Close,Volume
2017-11-13,16.950001,18.530001,14.800000,15.150000,15.150000,10327700
2017-11-20,15.550000,19.490000,14.480000,18.620001,18.620001,8677400
2017-11-27,19.250000,24.889999,19.010000,23.600000,23.600000,14197400
2017-12-04,22.750000,25.377001,21.180000,23.600000,23.600000,4726300
2017-12-11,23.350000,24.730000,23.027000,23.340000,23.340000,2459800
2017-12-18,23.200001,25.980000,20.500000,24.620001,24.620001,7760300
2017-12-25,24.290001,30.070000,24.048000,25.830000,25.830000,5837100
2018-01-01,25.850000,26.153999,23.639999,25.770000,25.770000,2791800
2018-01-08,25.790001,26.882000,24.315001,25.139999,25.139999,1928300
2018-01-15,25.370001,25.370001,20.100000,20.700001,20.700001,3074800
2018-01-22,20.799999,22.195000,20.209999,21.700001,21.700001,1988000
2018-01-29,22.209999,22.209999,19.280001,20.070000,20.070000,2131700
2018-02-05,19.830000,21.500000,18.000000,19.559999,19.559999,1270800
2018-02-12,19.860001,21.980000,19.570000,20.299999,20.299999,904700
2018-02-19,20.299999,20.423000,18.620001,19.490000,19.490000,802000
2018-02-26,19.600000,21.889999,19.500000,21.760000,21.760000,1588400
2018-03-05,22.000000,26.000000,21.540001,22.570000,22.570000,3640500
2018-03-12,22.860001,24.910000,19.850000,20.400000,20.400000,6885300
2018-03-19,20.490000,22.450001,18.760000,22.219999,22.219999,4898400
2018-03-26,22.219999,22.346001,19.691000,20.280001,20.280001,2286000
2018-04-02,19.910000,21.980000,19.900000,21.910000,21.910000,1752700
2018-04-09,22.000000,23.990000,21.170000,23.200001,23.200001,2312700
2018-04-16,23.240000,23.320000,20.042000,20.219999,20.219999,2224800
2018-04-23,20.360001,21.959999,19.940001,21.820000,21.820000,2436500
2018-04-30,22.000000,23.480000,20.980000,22.950001,22.950001,1945200
2018-05-07,23.000000,24.790001,21.780001,23.110001,23.110001,2394100
2018-05-14,23.160000,23.420000,19.959999,21.139999,21.139999,3953300
2018-05-21,21.070000,21.350000,19.000000,20.010000,20.010000,3744100
2018-05-28,20.000000,20.469999,18.600000,18.980000,18.980000,3426800
2018-06-04,19.200001,25.379999,18.020000,24.879999,24.879999,18725900
2018-06-11,24.740000,27.950001,23.610001,25.850000,25.850000,17957700
2018-06-18,25.650000,30.820000,24.799999,30.150000,30.150000,24806900
2018-06-25,29.469999,30.080000,26.030001,27.440001,27.440001,11842200
2018-07-02,26.570000,32.419998,26.330000,32.410000,32.410000,13091100
2018-07-09,33.480000,34.709999,30.660000,32.990002,32.990002,22235400
2018-07-16,33.230000,35.450001,31.879999,34.380001,34.380001,12181900
2018-07-23,34.580002,34.669998,28.549999,29.510000,29.510000,11527300
2018-07-30,29.660000,30.590000,27.726999,28.910000,28.910000,8381800
2018-08-06,29.010000,33.730000,28.820000,33.310001,33.310001,8621900
2018-08-13,33.750000,34.689999,31.889999,32.919998,32.919998,8979700
2018-08-20,33.110001,38.389999,32.279999,37.980000,37.980000,13412700
2018-08-27,38.500000,41.580002,36.150002,40.580002,40.580002,9104800
2018-09-03,40.580002,45.950001,40.119999,44.740002,44.740002,13693500
2018-09-10,45.000000,49.849998,43.042000,49.330002,49.330002,14395700
2018-09-17,49.480000,52.445000,40.139999,40.439999,40.439999,25199500
2018-09-24,39.750000,44.180000,38.680000,43.770000,43.770000,10092900
2018-10-01,45.000000,46.669998,25.799999,26.299999,26.299999,82259400
2018-10-08,26.129999,26.820000,22.340000,26.080000,26.080000,23317200
2018-10-15,25.709999,26.900000,24.049999,24.160000,24.160000,9594600
2018-10-22,24.340000,25.000000,22.825001,23.670000,23.670000,7944600
2018-10-29,23.760000,28.370001,23.600000,27.570000,27.570000,7830300
2018-11-05,27.250000,28.760000,25.510000,26.260000,26.260000,6666200
2018-11-12,26.340000,27.379999,24.500000,26.790001,26.790001,5231300
2018-11-19,26.639999,26.840000,22.510000,25.330000,25.330000,4366100
2018-11-26,25.750000,27.330000,24.670000,27.330000,27.330000,3783400
2018-12-03,28.010000,28.900000,25.230000,26.360001,26.360001,7883700
2018-12-10,26.459999,28.139999,18.400000,20.350000,20.350000,47938300
2018-12-17,20.000000,20.000000,16.450001,16.870001,16.870001,14134300
2018-12-24,16.250000,17.990000,16.049999,17.330000,17.330000,6295500
2018-12-31,17.459999,18.410000,16.549999,17.980000,17.980000,5611600
2019-01-07,18.240000,20.879999,18.150000,20.590000,20.590000,6422200
2019-01-14,20.580000,23.049999,20.049999,22.920000,22.920000,6239400
2019-01-21,22.660000,23.200001,21.049999,23.080000,23.080000,4039600
2019-01-28,22.950001,23.879999,22.080000,22.379999,22.379999,5007300
2019-02-04,22.379999,23.150000,21.299999,22.469999,22.469999,3694500
2019-02-11,22.620001,25.490000,22.150000,25.200001,25.200001,5019400
2019-02-18,25.290001,27.000000,24.760000,26.670000,26.670000,5330700
2019-02-25,27.070000,29.440001,26.270000,29.000000,29.000000,6776300
2019-03-04,29.350000,29.737000,24.350000,25.700001,25.700001,10027200
2019-03-11,25.879999,37.720001,24.820000,32.000000,32.000000,54212400
2019-03-18,31.840000,32.490002,27.330000,27.459999,27.459999,11497500
2019-03-25,27.330000,28.670000,26.825001,28.230000,28.230000,7401800
2019-04-01,28.480000,29.594999,27.350000,27.469999,27.469999,7543300
2019-04-08,27.299999,27.650000,26.209999,27.170000,27.170000,6230800
2019-04-15,26.559999,26.969999,24.350000,24.400000,24.400000,6566400
2019-04-22,24.209999,26.879999,24.209999,26.850000,26.850000,6285400
2019-04-29,26.820000,27.830000,26.260000,27.690001,27.690001,4875900
2019-05-06,27.420000,27.754999,25.000000,25.309999,25.309999,5326400
2019-05-13,24.830000,25.940001,22.030001,22.129999,22.129999,9087600
2019-05-20,22.000000,25.299999,21.709999,23.940001,23.940001,8878600
2019-05-27,24.010000,25.000000,22.500000,23.160000,23.160000,5744500
2019-06-03,23.020000,29.920000,22.414000,27.969999,27.969999,37923000
2019-06-10,28.400000,30.540001,27.540001,29.930000,29.930000,20181100
2019-06-17,29.889999,32.000000,29.620001,31.530001,31.530001,12763800
2019-06-24,31.320000,32.290001,30.350000,31.990000,31.990000,16148400
2019-07-01,31.830000,32.340000,30.020000,31.010000,31.010000,7628500
2019-07-08,30.980000,31.000000,27.559999,27.650000,27.650000,21000800
2019-07-15,27.559999,29.480000,26.879999,26.900000,26.900000,14979700
2019-07-22,27.760000,28.230000,26.260000,27.520000,27.520000,14260400
2019-07-29,27.500000,27.709999,24.410000,24.830000,24.830000,14800200
2019-08-05,24.000000,24.100000,22.020000,22.250000,22.250000,11325200
2019-08-12,22.160000,23.450001,20.020000,20.680000,20.680000,12251300
2019-08-19,21.010000,21.420000,18.680000,18.969999,18.969999,11955400
2019-08-26,19.490000,19.940001,18.270000,19.059999,19.059999,9279900
2019-09-02,19.000000,19.530001,17.980000,18.150000,18.150000,9875800
2019-09-09,18.510000,22.190001,18.475000,20.670000,20.670000,16600100
2019-09-16,20.629999,21.684999,19.330000,19.639999,19.639999,11349500
2019-09-23,19.590000,19.980000,17.700001,18.340000,18.340000,13224000
2019-09-30,18.610001,20.690001,16.990000,19.610001,19.610001,37337300
2019-10-07,19.530001,22.200001,19.200001,21.790001,21.790001,15340700
2019-10-14,21.629999,23.670000,20.690001,23.219999,23.219999,16110500
2019-10-21,23.280001,24.270000,22.190001,23.809999,23.809999,8209600
2019-10-28,24.450001,24.450001,22.830000,23.500000,23.500000,7287400
2019-11-04,23.650000,24.150000,21.770000,21.850000,21.850000,6510100
2019-11-11,21.580000,22.850000,20.520000,22.219999,22.219999,8811900
2019-11-18,22.250000,22.719999,20.969999,22.580000,22.580000,6039900
2019-11-25,22.549999,24.150000,22.389999,23.580000,23.580000,4556600
2019-12-02,23.730000,24.270000,22.660000,24.090000,24.090000,6535500
2019-12-09,24.059999,28.450001,24.000000,25.870001,25.870001,33443400
2019-12-16,26.100000,27.020000,25.010000,26.480000,26.480000,10616100
2019-12-23,26.360001,26.740000,24.950001,25.420000,25.420000,5160700
2019-12-30,25.370001,26.139999,24.650000,25.129999,25.129999,5621000
2020-01-06,24.799999,25.000000,23.100000,23.180000,23.180000,9639300
2020-01-13,23.180000,25.549999,23.180000,25.219999,25.219999,9654200
2020-01-20,25.080000,25.100000,22.410000,22.639999,22.639999,7525000
2020-01-27,21.950001,23.134001,21.379999,22.900000,22.900000,6915000
2020-02-03,23.000000,25.090000,22.990000,23.430000,23.430000,6879000
2020-02-10,23.600000,26.719999,23.389999,26.629999,26.629999,8609400
2020-02-17,26.510000,29.379999,26.450001,29.370001,29.370001,8592400
2020-02-24,27.730000,28.290001,22.520000,24.030001,24.030001,13356200
2020-03-02,24.450001,24.730000,21.570000,22.780001,22.780001,11824500
2020-03-09,21.030001,21.430000,12.120000,13.260000,13.260000,42006100
2020-03-16,12.550000,16.900000,10.900000,14.580000,14.580000,19543800
2020-03-23,14.730000,15.190000,12.645000,12.700000,12.700000,12603900
2020-03-30,12.830000,13.410000,11.130000,11.760000,11.760000,11819000
2020-04-06,12.400000,16.930000,12.300000,15.050000,15.050000,14470400
2020-04-13,15.370000,16.680000,14.530000,15.700000,15.700000,14008100
2020-04-20,15.500000,16.660000,15.000000,16.370001,16.370001,13413200
2020-04-27,16.740000,17.680000,15.130000,15.490000,15.490000,13171700
2020-05-04,15.150000,17.830000,15.010000,17.610001,17.610001,10593500
2020-05-11,17.590000,24.100000,17.049999,21.410000,21.410000,30758300
2020-05-18,22.049999,23.969999,19.950001,23.510000,23.510000,18199000
2020-05-25,24.360001,25.709999,22.250000,23.120001,23.120001,10970200
2020-06-01,23.020000,26.170000,22.719999,24.959999,24.959999,14731900
2020-06-08,24.930000,26.150000,22.667999,23.440001,23.440001,20538200
2020-06-15,22.650000,25.780001,22.600000,24.170000,24.170000,10941200
2020-06-22,24.190001,25.260000,22.549999,23.010000,23.010000,12157100
2020-06-29,23.219999,28.670000,23.209999,28.549999,28.549999,12403200
