Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,4.500000,4.687500,4.437500,4.500000,1.874686,18600
2000-01-08,4.500000,4.500000,4.187500,4.312500,1.796575,36400
2000-01-15,4.375000,4.437500,4.125000,4.156250,1.731481,13400
2000-01-22,4.187500,4.437500,4.187500,4.437500,1.848649,10000
2000-01-29,4.437500,4.437500,4.187500,4.187500,1.744499,54000
2000-02-05,4.250000,4.562500,4.250000,4.500000,1.874686,100000
2000-02-12,4.500000,4.625000,4.500000,4.500000,1.904063,108400
2000-02-19,4.500000,4.750000,4.437500,4.562500,1.930508,164400
2000-02-26,4.562500,5.375000,4.562500,5.250000,2.221408,348600
2000-03-04,5.375000,5.375000,4.937500,4.968750,2.102403,279600
2000-03-11,4.968750,5.000000,4.812500,4.812500,2.036290,144200
2000-03-18,4.812500,4.937500,4.562500,4.875000,2.062735,113600
2000-03-25,5.000000,5.062500,4.812500,4.906250,2.075958,155600
2000-04-01,4.937500,5.000000,4.437500,4.562500,1.930508,49000
2000-04-08,4.625000,4.750000,4.375000,4.562500,1.930508,57800
2000-04-15,4.562500,4.875000,4.562500,4.875000,2.062735,26400
2000-04-22,4.875000,4.937500,4.500000,4.625000,1.956953,23000
2000-04-29,4.625000,4.687500,4.312500,4.500000,1.904063,52200
2000-05-06,4.500000,4.562500,4.281250,4.281250,1.811505,34800
2000-05-13,4.312500,4.375000,4.312500,4.312500,1.853321,23200
2000-05-20,4.312500,4.312500,4.187500,4.250000,1.826462,36200
2000-05-27,4.312500,4.312500,4.250000,4.250000,1.826462,6600
2000-06-03,4.312500,4.312500,4.125000,4.250000,1.826462,29200
2000-06-10,4.250000,4.250000,4.187500,4.187500,1.799602,16200
2000-06-17,4.218750,4.250000,4.031250,4.062500,1.745883,60800
2000-06-24,4.125000,4.375000,3.750000,4.343750,1.866752,75000
2000-07-01,4.343750,4.343750,4.062500,4.062500,1.745883,6000
2000-07-08,4.125000,4.187500,4.125000,4.156250,1.786172,6600
2000-07-15,4.156250,4.250000,4.156250,4.250000,1.826462,24600
2000-07-22,4.250000,4.250000,4.062500,4.062500,1.745883,21200
2000-07-29,3.937500,4.125000,3.875000,4.000000,1.719023,23600
2000-08-05,3.937500,4.000000,3.812500,4.000000,1.747842,16600
2000-08-12,4.000000,4.000000,3.937500,4.000000,1.747842,5600
2000-08-19,4.000000,4.125000,3.843750,3.843750,1.679567,367200
2000-08-26,3.937500,4.000000,3.750000,3.843750,1.679567,93000
2000-09-02,3.843750,4.000000,3.781250,3.968750,1.734187,15800
2000-09-09,3.968750,4.312500,3.875000,4.312500,1.884392,45200
2000-09-16,4.312500,4.406250,3.968750,4.125000,1.802463,25400
2000-09-23,4.000000,4.062500,3.750000,3.781250,1.652257,145400
2000-09-30,3.781250,3.875000,3.625000,3.625000,1.583982,89800
2000-10-07,3.625000,3.843750,3.625000,3.843750,1.679567,48800
2000-10-14,3.812500,4.062500,3.812500,3.812500,1.665912,58400
2000-10-21,3.750000,3.812500,3.687500,3.750000,1.638602,98200
2000-10-28,3.937500,3.937500,3.687500,3.812500,1.665912,44400
2000-11-04,3.843750,3.875000,3.687500,3.687500,1.611292,46400
2000-11-11,3.687500,4.125000,3.687500,4.125000,1.834416,67600
2000-11-18,4.187500,4.187500,4.000000,4.031250,1.792726,28600
