Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,15.000000,15.625000,13.812500,14.625000,11.427269,423400
2000-01-08,15.062500,15.312500,13.500000,14.000000,10.938926,346300
2000-01-15,14.125000,14.687500,12.750000,13.000000,10.157575,344800
2000-01-22,13.000000,13.500000,11.875000,12.062500,9.425056,237100
2000-01-29,11.625000,12.000000,9.000000,10.437500,8.155359,1004800
2000-02-05,10.812500,11.000000,9.875000,10.125000,7.911188,253700
2000-02-12,9.812500,10.875000,9.625000,10.375000,8.106525,240000
2000-02-19,10.312500,13.250000,10.250000,11.562500,9.034381,353100
2000-02-26,12.000000,17.000000,11.625000,14.375000,11.231931,986700
2000-03-04,14.375000,15.375000,11.375000,13.875000,10.841257,294700
2000-03-11,14.187500,14.750000,11.500000,14.375000,11.231931,314900
2000-03-18,14.500000,15.750000,12.625000,15.437500,12.062119,491700
2000-03-25,16.187500,16.375000,12.750000,12.812500,10.011070,358600
2000-04-01,13.375000,14.000000,10.750000,12.000000,9.376222,298700
2000-04-08,12.250000,12.812500,8.625000,8.750000,6.836827,298000
2000-04-15,8.000000,10.000000,7.500000,9.625000,7.520511,199200
2000-04-22,9.375000,10.000000,8.500000,9.437500,7.374008,105700
2000-04-29,9.406250,10.125000,8.687500,8.875000,6.934497,93600
2000-05-06,8.875000,9.000000,8.000000,8.312500,6.494987,72700
2000-05-13,8.500000,10.437500,7.750000,8.250000,6.446153,180600
2000-05-20,8.343750,8.375000,7.000000,7.000000,5.469463,151600
2000-05-27,7.156250,8.625000,6.812500,8.625000,6.739159,186400
2000-06-03,8.625000,9.000000,8.000000,8.468750,6.617073,107100
2000-06-10,8.437500,9.000000,7.875000,7.875000,6.153146,135200
2000-06-17,8.250000,8.562500,7.875000,8.250000,6.446153,127100
2000-06-24,8.312500,8.500000,6.937500,7.000000,5.497386,301400
2000-07-01,7.062500,8.000000,7.000000,7.312500,5.742805,58800
2000-07-08,7.125000,9.531250,7.125000,8.843750,6.945359,243300
2000-07-15,8.625000,8.625000,7.531250,7.875000,6.184559,69200
2000-07-22,7.562500,7.937500,6.875000,6.875000,5.399219,137300
2000-07-29,6.875000,7.562500,6.812500,7.375000,5.791889,68400
2000-08-05,7.562500,7.625000,7.125000,7.250000,5.693722,53800
2000-08-12,7.062500,7.875000,7.000000,7.250000,5.693722,46800
2000-08-19,7.250000,8.500000,7.187500,8.062500,6.331811,193800
2000-08-26,8.250000,9.812500,7.875000,8.750000,6.871732,220200
2000-09-02,8.781250,9.937500,8.250000,8.312500,6.528146,239500
2000-09-09,8.250000,9.750000,8.250000,8.625000,6.773565,196100
2000-09-16,8.875000,8.875000,7.125000,8.000000,6.282727,96700
2000-09-23,8.000000,8.062500,7.062500,7.562500,5.939140,101000
2000-09-30,7.562500,8.000000,6.812500,6.812500,5.350134,118000
2000-10-07,6.968750,7.750000,5.921875,6.687500,5.251967,277000
2000-10-14,6.656250,6.875000,4.500000,6.500000,5.104716,201000
2000-10-21,6.562500,6.750000,5.437500,6.000000,4.712045,165300
2000-10-28,5.875000,6.625000,5.625000,6.500000,5.104716,117000
2000-11-04,6.140625,6.250000,5.750000,5.750000,4.515710,67600
2000-11-11,6.500000,6.625000,5.625000,5.812500,4.564794,74700
2000-11-18,5.625000,5.812500,4.750000,5.125000,4.024872,89000
2000-11-25,5.125000,5.375000,4.500000,4.656250,3.656743,157400
2000-12-02,4.656250,5.125000,4.593750,5.000000,3.926705,114600
2000-12-09,5.015625,5.250000,4.593750,4.625000,3.632201,119500
2000-12-16,4.625000,4.812500,3.453125,4.000000,3.141364,233800
2000-12-23,3.828125,4.375000,3.656250,4.125000,3.239531,330700
2000-12-30,4.156250,5.750000,4.125000,5.125000,4.024872,192800
2001-01-06,4.781250,6.000000,4.750000,5.750000,4.515710,117900
2001-01-13,5.968750,6.125000,4.625000,5.187500,4.073956,186300
2001-01-20,5.312500,6.000000,5.218750,5.812500,4.564794,97400
2001-01-27,5.687500,6.500000,5.687500,6.250000,4.908381,132500
2001-02-03,6.250000,6.375000,5.875000,5.875000,4.613877,50300
2001-02-10,5.890625,6.187500,5.718750,5.718750,4.491168,48500
2001-02-17,5.640625,5.812500,5.000000,5.000000,3.926705,31800
2001-02-24,5.062500,5.625000,4.750000,5.000000,3.926705,40200
2001-03-03,5.000000,5.218750,4.875000,4.875000,3.828537,44800
2001-03-10,5.046875,5.750000,4.156250,4.750000,3.730369,123400
2001-03-17,4.750000,5.062500,4.500000,4.625000,3.632201,60500
2001-03-24,4.640625,5.000000,4.562500,4.687500,3.681285,43000
2001-03-31,4.750000,5.250000,4.000000,4.781250,3.754911,87600
2001-04-07,4.770000,5.150000,4.670000,5.150000,4.044506,28900
2001-04-14,5.090000,5.250000,5.000000,5.090000,3.997385,52100
2001-04-21,5.020000,5.250000,4.960000,5.090000,3.997385,12000
2001-04-28,4.990000,5.320000,4.890000,5.100000,4.005239,26900
2001-05-05,5.200000,5.250000,5.060000,5.110000,4.013092,10500
2001-05-12,5.110000,5.250000,5.030000,5.040000,3.958118,17500
2001-05-19,5.030000,5.970000,5.030000,5.800000,4.554977,31100
2001-05-26,5.650000,5.800000,5.020000,5.220000,4.099479,12600
2001-06-02,5.280000,5.380000,5.010000,5.050000,3.965972,21600
2001-06-09,5.050000,5.140000,4.800000,4.810000,3.777490,28200
2001-06-16,4.800000,4.980000,4.600000,4.680000,3.675395,34300
2001-06-23,4.660000,5.050000,4.550000,4.660000,3.690249,28100
2001-06-30,4.920000,5.050000,4.710000,4.850000,3.840710,13400
2001-07-07,4.750000,4.850000,4.550000,4.550000,3.603141,25000
