Date,Open,High,Low,Close,Adj Close,Volume
2014-10-27,17.620001,18.840000,15.990000,17.799999,17.799999,4237300
2014-11-03,17.500000,18.440001,17.167999,18.000000,18.000000,558300
2014-11-10,18.000000,18.000000,16.559999,17.000000,17.000000,536700
2014-11-17,17.459999,22.000000,16.830000,17.639999,17.639999,363600
2014-11-24,17.500000,17.950001,17.000000,17.370001,17.370001,256700
2014-12-01,17.379999,17.870001,17.129999,17.370001,17.370001,277200
2014-12-08,17.430000,17.629999,12.530000,15.390000,15.390000,420300
2014-12-15,16.139999,17.760000,15.160000,17.260000,17.260000,1405700
2014-12-22,17.219999,18.049999,15.382000,16.330000,16.330000,214000
2014-12-29,16.240000,17.260000,15.625000,16.530001,16.530001,258500
2015-01-05,16.480000,16.799999,14.016000,16.010000,16.010000,320900
2015-01-12,15.980000,16.760000,15.170000,16.430000,16.430000,169100
2015-01-19,16.379999,16.549999,15.060000,15.550000,15.550000,123200
2015-01-26,15.540000,15.960000,14.588000,15.040000,15.040000,153100
2015-02-02,14.930000,15.570000,14.470000,15.040000,15.040000,431400
2015-02-09,15.090000,15.980000,14.760000,15.900000,15.900000,203500
2015-02-16,15.850000,17.670000,15.400000,17.559999,17.559999,316900
2015-02-23,17.700001,18.620001,17.129999,18.379999,18.379999,81800
2015-03-02,18.270000,20.930000,17.900000,19.750000,19.750000,148600
2015-03-09,19.621000,20.000000,17.850000,18.740000,18.740000,200600
2015-03-16,18.870001,19.780001,18.629999,19.480000,19.480000,128900
2015-03-23,19.459999,19.799999,17.410000,18.469999,18.469999,109100
2015-03-30,18.559999,19.610001,17.620001,18.290001,18.290001,96200
2015-04-06,18.059999,19.080000,16.850000,17.260000,17.260000,99700
2015-04-13,17.190001,17.978001,16.850000,16.870001,16.870001,163800
2015-04-20,17.059999,17.323999,15.930000,16.799999,16.799999,83800
2015-04-27,16.959999,18.330000,16.080000,17.379999,17.379999,138900
2015-05-04,17.530001,17.900000,16.070000,17.350000,17.350000,137900
2015-05-11,17.290001,20.750000,17.010000,19.840000,19.840000,171800
2015-05-18,19.889999,22.000000,19.080000,21.799999,21.799999,122300
2015-05-25,21.700001,22.730000,21.530001,22.530001,22.530001,55500
2015-06-01,22.709999,23.299999,22.500000,23.200001,23.200001,76900
2015-06-08,23.299999,24.790001,22.860001,23.730000,23.730000,83000
2015-06-15,23.490000,24.700001,23.469999,24.400000,24.400000,217400
2015-06-22,24.650000,26.670000,24.510000,25.180000,25.180000,315400
2015-06-29,25.129999,25.650000,24.280001,24.360001,24.360001,74500
2015-07-06,24.900000,25.459999,24.030001,25.379999,25.379999,93900
2015-07-13,25.639999,25.940001,24.940001,25.750000,25.750000,84000
2015-07-20,25.940001,25.940001,23.440001,23.770000,23.770000,223400
2015-07-27,23.600000,24.870001,22.195000,23.250000,23.250000,115300
2015-08-03,23.120001,24.969999,22.799999,23.530001,23.530001,290600
