Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,3.203125,3.218750,3.000000,3.000000,1.769639,7600
2000-01-08,3.000000,3.000000,3.000000,3.000000,1.769639,18000
2000-01-15,3.000000,3.250000,3.000000,3.125000,1.843375,24000
2000-01-22,3.125000,3.250000,3.125000,3.125000,1.843375,258000
2000-01-29,3.125000,3.281250,3.125000,3.281250,1.935544,34000
2000-02-05,3.125000,3.281250,2.906250,2.937500,1.732772,162800
2000-02-12,2.937500,2.968750,2.750000,2.750000,1.639612,52000
2000-02-19,2.750000,3.000000,2.718750,2.812500,1.676875,49200
2000-02-26,2.812500,3.031250,2.812500,3.031250,1.807300,10800
2000-03-04,2.906250,3.031250,2.718750,2.875000,1.714140,117600
2000-03-11,2.875000,2.984375,2.812500,2.937500,1.751405,57600
2000-03-18,2.890625,3.000000,2.890625,2.890625,1.723457,37600
2000-03-25,2.890625,2.906250,2.890625,2.890625,1.723457,54400
2000-04-01,2.890625,2.937500,2.648438,2.796875,1.667561,95200
2000-04-08,2.796875,3.000000,2.765625,3.000000,1.788668,149200
2000-04-15,3.000000,3.078125,3.000000,3.078125,1.835248,35600
2000-04-22,3.140625,3.281250,3.140625,3.187500,1.900460,109200
2000-04-29,3.187500,3.187500,3.156250,3.156250,1.881828,12000
2000-05-06,3.156250,3.156250,3.125000,3.125000,1.863196,0
2000-05-13,3.125000,3.156250,3.062500,3.062500,1.844190,16000
2000-05-20,3.062500,3.125000,3.062500,3.062500,1.844190,11600
2000-05-27,3.125000,3.218750,3.125000,3.171875,1.910055,39600
2000-06-03,3.125000,3.203125,3.093750,3.125000,1.881827,113200
2000-06-10,3.125000,3.156250,3.125000,3.125000,1.881827,34000
2000-06-17,3.203125,3.218750,3.125000,3.187500,1.919464,202400
2000-06-24,3.187500,3.234375,3.156250,3.187500,1.919464,10400
2000-07-01,3.171875,3.250000,3.171875,3.250000,1.957101,12000
2000-07-08,3.250000,3.250000,3.156250,3.203125,1.928873,25600
2000-07-15,3.203125,3.203125,3.093750,3.156250,1.900646,224000
2000-07-22,3.125000,3.125000,3.125000,3.125000,1.881827,12800
2000-07-29,3.125000,3.156250,3.125000,3.125000,1.881827,30400
2000-08-05,3.125000,3.250000,3.125000,3.156250,1.900646,22400
2000-08-12,3.125000,3.187500,3.125000,3.187500,1.938099,112800
2000-08-19,3.187500,3.203125,3.187500,3.187500,1.938099,29200
2000-08-26,3.187500,3.218750,3.187500,3.187500,1.938099,126400
2000-09-02,3.187500,3.281250,3.125000,3.281250,1.995103,220800
2000-09-09,3.281250,3.281250,3.218750,3.218750,1.957100,26000
2000-09-16,3.218750,3.312500,3.218750,3.312500,2.014104,400
2000-09-23,3.312500,3.312500,3.156250,3.156250,1.919098,25600
2000-09-30,3.156250,3.218750,3.156250,3.218750,1.957100,21600
2000-10-07,3.156250,3.187500,3.156250,3.187500,1.938099,44000
2000-10-14,3.187500,3.187500,3.062500,3.062500,1.862096,5200
2000-10-21,3.062500,3.062500,3.062500,3.062500,1.862096,800
2000-10-28,3.062500,3.125000,3.062500,3.125000,1.900098,10400
2000-11-04,3.125000,3.218750,3.125000,3.187500,1.938099,28000
2000-11-11,3.156250,3.250000,3.156250,3.187500,1.938099,8000
2000-11-18,3.187500,3.187500,3.187500,3.187500,1.957289,1600
2000-11-25,3.250000,3.281250,3.218750,3.222656,1.978878,126400
2000-12-02,3.222656,3.375000,3.222656,3.253906,1.998066,10400
2000-12-09,3.250000,3.265625,3.250000,3.265625,2.005262,20800
2000-12-16,3.250000,3.253906,3.250000,3.250000,1.995667,26400
2000-12-23,3.250000,3.406250,3.250000,3.406250,2.091613,15600
2000-12-30,3.406250,3.406250,3.250000,3.250000,1.995667,78800
2001-01-06,3.250000,3.312500,3.250000,3.250000,1.995667,76800
2001-01-13,3.296875,3.296875,3.250000,3.250000,1.995667,24800
2001-01-20,3.250000,3.375000,3.250000,3.281250,2.014857,50800
