Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,6.477273,6.931818,5.965909,6.363636,6.363636,70180
2000-01-08,6.619318,9.545455,6.477273,8.522727,8.522727,287760
2000-01-15,9.034091,17.897726,8.863636,16.818182,16.818182,844470
2000-01-22,24.545456,24.545456,10.000000,11.590909,11.590909,2011130
2000-01-29,11.818182,12.500000,8.863636,10.681818,10.681818,541530
2000-02-05,11.136364,12.727273,10.454545,11.363636,11.363636,246510
2000-02-12,11.363636,12.727273,8.750000,9.318182,9.318182,235510
2000-02-19,9.090909,9.318182,7.159091,9.034091,9.034091,240350
2000-02-26,8.863636,12.500000,7.840909,10.681818,10.681818,296230
2000-03-04,11.022727,11.750000,9.090909,11.625000,11.625000,151330
2000-03-11,10.687500,11.250000,8.187500,9.375000,9.375000,158000
2000-03-18,9.375000,9.375000,8.156250,9.000000,9.000000,84300
2000-03-25,9.500000,9.875000,7.500000,7.750000,7.750000,123400
2000-04-01,7.750000,7.750000,5.250000,6.625000,6.625000,140100
2000-04-08,6.750000,7.000000,4.062500,4.250000,4.250000,123900
2000-04-15,3.750000,6.312500,2.125000,5.625000,5.625000,229700
2000-04-22,5.625000,5.750000,5.031250,5.031250,5.031250,54500
2000-04-29,5.625000,7.687500,5.343750,6.750000,6.750000,136100
2000-05-06,6.812500,8.218750,6.125000,7.406250,7.406250,119900
2000-05-13,7.687500,7.687500,6.500000,6.500000,6.500000,31700
2000-05-20,6.312500,6.312500,4.875000,5.062500,5.062500,81300
2000-05-27,5.125000,5.187500,4.562500,4.937500,4.937500,32800
2000-06-03,5.250000,7.375000,5.250000,6.562500,6.562500,48000
2000-06-10,6.562500,7.875000,5.500000,5.875000,5.875000,94300
2000-06-17,5.875000,5.875000,5.125000,5.500000,5.500000,29400
2000-06-24,5.750000,5.937500,5.312500,5.500000,5.500000,16900
2000-07-01,5.500000,5.937500,5.312500,5.625000,5.625000,13400
2000-07-08,5.625000,6.000000,5.187500,5.500000,5.500000,32200
2000-07-15,5.375000,5.937500,5.312500,5.312500,5.312500,16900
2000-07-22,5.250000,5.437500,4.000000,4.375000,4.375000,35400
2000-07-29,4.000000,5.875000,4.000000,5.250000,5.250000,75400
2000-08-05,5.000000,5.000000,3.125000,4.250000,4.250000,41500
2000-08-12,4.250000,5.562500,3.937500,4.375000,4.375000,99100
2000-08-19,4.750000,4.937500,4.500000,4.937500,4.937500,26900
2000-08-26,4.750000,6.125000,4.500000,5.812500,5.812500,98800
2000-09-02,5.875000,5.875000,4.687500,4.875000,4.875000,36500
2000-09-09,5.000000,5.000000,4.562500,4.750000,4.750000,28900
2000-09-16,4.875000,5.250000,4.500000,4.875000,4.875000,43200
2000-09-23,4.875000,6.093750,4.875000,5.750000,5.750000,132700
2000-09-30,5.750000,6.125000,5.250000,5.375000,5.375000,45400
2000-10-07,5.250000,5.750000,4.875000,5.125000,5.125000,35700
2000-10-14,4.937500,5.125000,4.687500,5.125000,5.125000,38100
2000-10-21,5.000000,5.125000,4.500000,4.812500,4.812500,26400
2000-10-28,4.875000,5.250000,4.437500,5.250000,5.250000,65100
2000-11-04,5.125000,5.187500,4.375000,4.500000,4.500000,33500
2000-11-11,4.750000,5.250000,4.312500,5.000000,5.000000,27500
2000-11-18,4.687500,4.750000,4.250000,4.500000,4.500000,12900
2000-11-25,4.500000,4.718750,3.812500,4.125000,4.125000,29500
2000-12-02,3.812500,4.250000,3.625000,3.875000,3.875000,23300
2000-12-09,3.750000,4.000000,2.812500,3.812500,3.812500,56300
2000-12-16,3.781250,3.875000,1.500000,2.125000,2.125000,183800
2000-12-23,2.031250,3.312500,2.000000,2.781250,2.781250,151600
2000-12-30,2.812500,3.187500,2.750000,2.875000,2.875000,28800
2001-01-06,2.937500,3.125000,2.625000,3.000000,3.000000,15600
2001-01-13,2.937500,3.062500,2.750000,2.750000,2.750000,14800
2001-01-20,2.750000,4.625000,2.750000,4.562500,4.562500,48700
2001-01-27,4.343750,4.812500,4.125000,4.125000,4.125000,27300
2001-02-03,4.281250,4.281250,3.500000,3.812500,3.812500,9500
2001-02-10,3.937500,4.250000,3.750000,3.750000,3.750000,12900
2001-02-17,3.750000,4.125000,3.750000,3.937500,3.937500,9800
2001-02-24,3.937500,4.125000,3.500000,3.562500,3.562500,15900
2001-03-03,3.937500,3.937500,2.375000,3.125000,3.125000,38400
2001-03-10,3.000000,3.000000,2.062500,2.875000,2.875000,19800
2001-03-17,3.000000,3.125000,2.875000,3.125000,3.125000,6400
2001-03-24,3.125000,3.125000,2.687500,2.812500,2.812500,7000
2001-03-31,2.781250,2.781250,2.531250,2.781250,2.781250,8200
2001-04-07,2.750000,3.000000,2.750000,2.900000,2.900000,1700
