Date,Open,High,Low,Close,Adj Close,Volume
2010-04-19,7.000000,7.250000,6.605000,6.955000,6.955000,3762200
2010-04-26,6.980000,7.005000,6.625000,6.750000,6.750000,567800
2010-05-03,6.750000,6.875000,6.030000,6.430000,6.430000,577400
2010-05-10,6.570000,6.870000,6.135000,6.500000,6.500000,392000
2010-05-17,6.450000,6.675000,6.085000,6.250000,6.250000,511000
2010-05-24,6.490000,6.490000,5.975000,6.040000,6.040000,150800
2010-05-31,6.005000,6.250000,5.465000,5.785000,5.785000,261200
2010-06-07,5.760000,5.825000,5.450000,5.560000,5.560000,159600
2010-06-14,5.745000,6.435000,5.570000,6.090000,6.090000,488600
2010-06-21,6.345000,6.350000,5.660000,5.925000,5.925000,1123800
2010-06-28,5.925000,6.375000,5.625000,5.835000,5.835000,230200
2010-07-05,5.925000,6.100000,5.645000,5.800000,5.800000,154000
2010-07-12,5.775000,6.140000,5.150000,5.165000,5.165000,121600
2010-07-19,5.210000,5.215000,4.875000,5.045000,5.045000,292200
2010-07-26,5.025000,5.605000,4.910000,5.320000,5.320000,323600
2010-08-02,5.390000,5.475000,4.925000,4.930000,4.930000,81400
2010-08-09,4.980000,4.990000,4.630000,4.650000,4.650000,368400
2010-08-16,4.650000,4.660000,4.285000,4.315000,4.315000,345000
2010-08-23,4.275000,5.215000,4.225000,5.110000,5.110000,158600
2010-08-30,5.045000,5.440000,4.750000,5.390000,5.390000,131200
2010-09-06,5.355000,5.910000,5.105000,5.825000,5.825000,121200
2010-09-13,5.875000,6.000000,5.535000,5.765000,5.765000,136600
2010-09-20,5.755000,6.050000,5.560000,6.050000,6.050000,131000
2010-09-27,6.050000,6.500000,5.780000,6.435000,6.435000,96400
2010-10-04,6.305000,6.625000,6.300000,6.565000,6.565000,160000
2010-10-11,6.635000,6.930000,6.500000,6.660000,6.660000,171800
2010-10-18,6.600000,6.660000,6.330000,6.525000,6.525000,558200
2010-10-25,6.525000,6.680000,6.470000,6.600000,6.600000,332600
2010-11-01,6.600000,6.845000,6.385000,6.780000,6.780000,290600
2010-11-08,6.855000,7.200000,6.680000,6.680000,6.680000,886000
2010-11-15,6.680000,6.680000,5.905000,6.575000,6.575000,1203800
2010-11-22,6.495000,6.745000,6.130000,6.155000,6.155000,135000
2010-11-29,6.155000,6.795000,5.795000,6.725000,6.725000,2203400
2010-12-06,6.700000,7.320000,6.505000,7.315000,7.315000,842600
2010-12-13,7.475000,7.675000,7.050000,7.450000,7.450000,575800
2010-12-20,7.160000,7.770000,7.160000,7.600000,7.600000,254200
2010-12-27,7.585000,7.990000,7.495000,7.900000,7.900000,95800
2011-01-03,7.990000,7.990000,7.590000,7.685000,7.685000,371000
2011-01-10,7.645000,8.375000,7.435000,7.910000,7.910000,655800
2011-01-17,7.840000,8.150000,7.575000,7.745000,7.745000,296200
2011-01-24,7.770000,8.300000,7.730000,7.775000,7.775000,236000
2011-01-31,7.825000,8.165000,7.680000,7.890000,7.890000,102200
2011-02-07,7.885000,8.635000,7.780000,8.320000,8.320000,417800
2011-02-14,8.325000,8.650000,8.005000,8.365000,8.365000,300600
2011-02-21,8.300000,8.340000,7.725000,7.835000,7.835000,276200
2011-02-28,7.835000,7.930000,7.000000,7.590000,7.590000,692000
2011-03-07,7.620000,7.750000,7.360000,7.550000,7.550000,222400
2011-03-14,7.450000,7.540000,6.795000,6.890000,6.890000,408600
2011-03-21,6.980000,7.720000,6.840000,7.495000,7.495000,303200
2011-03-28,7.490000,7.795000,7.130000,7.435000,7.435000,192200
2011-04-04,7.490000,7.640000,6.905000,6.930000,6.930000,518800
2011-04-11,6.910000,7.225000,6.825000,7.180000,7.180000,277600
2011-04-18,7.060000,7.390000,6.975000,7.390000,7.390000,168200
2011-04-25,7.365000,8.500000,7.195000,8.205000,8.205000,245000
2011-05-02,8.210000,9.250000,8.210000,8.490000,8.490000,729200
2011-05-09,8.450000,8.775000,8.095000,8.380000,8.380000,278400
2011-05-16,8.305000,8.570000,8.270000,8.365000,8.365000,290400
2011-05-23,8.350000,8.485000,8.005000,8.275000,8.275000,253600
2011-05-30,8.360000,8.580000,8.035000,8.255000,8.255000,198200
2011-06-06,8.130000,9.075000,7.925000,8.000000,8.000000,1195000
2011-06-13,8.120000,8.250000,7.745000,8.055000,8.055000,444800
2011-06-20,8.055000,8.350000,7.875000,8.290000,8.290000,1621400
2011-06-27,8.320000,9.045000,8.295000,8.895000,8.895000,938400
2011-07-04,8.925000,9.230000,8.895000,9.165000,9.165000,357400
2011-07-11,9.110000,9.245000,8.890000,9.220000,9.220000,349200
2011-07-18,9.175000,9.390000,9.055000,9.305000,9.305000,350000
2011-07-25,9.245000,9.495000,8.425000,9.185000,9.185000,1115400
2011-08-01,9.200000,9.345000,8.885000,9.015000,9.015000,1516800
2011-08-08,8.875000,9.085000,8.295000,8.700000,8.700000,1518600
2011-08-15,8.750000,8.950000,8.290000,8.335000,8.335000,462600
2011-08-22,8.475000,8.850000,8.145000,8.830000,8.830000,546200
2011-08-29,8.900000,9.205000,8.675000,8.845000,8.845000,571400
2011-09-05,8.685000,9.390000,8.365000,8.560000,8.560000,556200
2011-09-12,8.455000,8.990000,8.195000,8.960000,8.960000,374200
2011-09-19,8.825000,8.985000,7.785000,7.990000,7.990000,401400
2011-09-26,8.000000,8.760000,7.740000,8.145000,8.145000,369400
2011-10-03,8.065000,8.685000,7.520000,8.460000,8.460000,499000
2011-10-10,8.590000,9.755000,8.270000,9.535000,9.535000,412600
2011-10-17,9.570000,9.815000,9.100000,9.450000,9.450000,248000
2011-10-24,9.505000,10.080000,9.105000,9.905000,9.905000,764000
2011-10-31,9.710000,10.300000,9.540000,10.145000,10.145000,552000
2011-11-07,10.155000,10.990000,10.110000,10.935000,10.935000,471400
2011-11-14,11.010000,11.555000,10.825000,11.345000,11.345000,1148600
2011-11-21,11.160000,11.465000,10.560000,10.695000,10.695000,425800
2011-11-28,10.950000,12.295000,10.710000,11.775000,11.775000,918600
2011-12-05,11.955000,12.545000,11.255000,12.490000,12.490000,778200
2011-12-12,12.630000,13.385000,12.310000,12.965000,12.965000,1466600
2011-12-19,12.990000,13.945000,12.850000,13.390000,13.390000,457600
2011-12-26,13.385000,13.535000,12.935000,12.975000,12.975000,257400
2012-01-02,13.235000,13.235000,11.920000,11.935000,11.935000,503400
2012-01-09,11.970000,12.595000,11.455000,12.505000,12.505000,391200
2012-01-16,12.545000,12.935000,12.205000,12.290000,12.290000,284400
2012-01-23,12.325000,12.480000,11.960000,12.450000,12.450000,344200
2012-01-30,12.395000,14.010000,12.355000,13.785000,13.785000,533400
2012-02-06,13.820000,14.050000,12.515000,12.660000,12.660000,527200
2012-02-13,12.735000,12.755000,12.050000,12.420000,12.420000,660000
2012-02-20,12.430000,13.000000,12.245000,12.775000,12.775000,771800
2012-02-27,12.660000,13.175000,12.245000,12.255000,12.255000,767200
2012-03-05,12.255000,13.380000,12.170000,13.185000,13.185000,439800
2012-03-12,13.235000,13.535000,12.680000,12.915000,12.915000,486200
2012-03-19,12.945000,13.455000,12.850000,13.280000,13.280000,643000
2012-03-26,13.395000,13.765000,13.160000,13.440000,13.440000,623000
2012-04-02,13.330000,13.400000,12.160000,12.260000,12.260000,466200
2012-04-09,12.055000,12.320000,11.545000,12.125000,12.125000,636800
2012-04-16,12.155000,12.585000,11.865000,12.500000,12.500000,277600
2012-04-23,12.315000,14.000000,12.285000,13.975000,13.975000,480000
2012-04-30,13.955000,14.050000,13.130000,13.960000,13.960000,652400
2012-05-07,13.875000,14.015000,13.250000,13.695000,13.695000,749600
2012-05-14,13.560000,14.030000,13.505000,13.585000,13.585000,962800
2012-05-21,13.650000,14.000000,13.415000,13.675000,13.675000,352000
2012-05-28,13.820000,13.975000,13.250000,13.345000,13.345000,596000
2012-06-04,13.445000,14.410000,13.130000,13.770000,13.770000,492800
2012-06-11,13.955000,14.190000,13.415000,13.610000,13.610000,536000
2012-06-18,13.550000,13.975000,13.140000,13.890000,13.890000,1238200
2012-06-25,13.660000,15.245000,13.265000,15.190000,15.190000,638000
2012-07-02,15.120000,15.820000,14.915000,15.585000,15.585000,422000
2012-07-09,15.640000,16.485001,15.325000,16.475000,16.475000,349200
2012-07-16,16.389999,16.475000,15.430000,15.710000,15.710000,426600
2012-07-23,15.530000,16.209999,14.160000,16.139999,16.139999,507200
2012-07-30,16.200001,16.754999,15.010000,16.530001,16.530001,954000
2012-08-06,16.514999,16.910000,15.285000,15.865000,15.865000,335000
2012-08-13,15.915000,16.725000,15.020000,16.525000,16.525000,390200
2012-08-20,16.445000,16.965000,15.920000,16.559999,16.559999,533600
2012-08-27,16.559999,17.600000,16.334999,17.475000,17.475000,724400
2012-09-03,17.389999,17.580000,16.809999,17.170000,17.170000,2030200
2012-09-10,17.139999,17.615000,16.799999,17.440001,17.440001,723800
2012-09-17,17.299999,18.469999,17.235001,18.264999,18.264999,771600
2012-09-24,18.254999,19.295000,17.860001,19.235001,19.235001,1114600
2012-10-01,19.315001,20.370001,19.094999,19.299999,19.299999,2025000
2012-10-08,19.355000,19.420000,18.075001,18.400000,18.400000,698400
2012-10-15,18.389999,19.660000,18.115000,18.985001,18.985001,685200
2012-10-22,19.695000,20.660000,18.139999,18.200001,18.200001,1121600
2012-10-29,17.930000,18.594999,17.410000,17.745001,17.745001,918400
2012-11-05,17.695000,18.650000,17.240000,18.155001,18.155001,433200
2012-11-12,18.155001,18.415001,16.135000,16.450001,16.450001,848000
2012-11-19,16.674999,17.875000,16.040001,17.379999,17.379999,566200
2012-11-26,17.325001,18.540001,17.325001,18.430000,18.430000,849600
2012-12-03,18.500000,18.500000,17.709999,18.129999,18.129999,669000
2012-12-10,18.145000,19.100000,17.805000,17.924999,17.924999,610400
2012-12-17,17.959999,18.360001,17.400000,18.025000,18.025000,1220600
2012-12-24,17.924999,18.330000,17.635000,18.080000,18.080000,338600
2012-12-31,18.209999,19.764999,18.150000,19.305000,19.305000,609400
2013-01-07,19.155001,20.270000,18.775000,18.850000,18.850000,684400
2013-01-14,18.775000,19.334999,18.400000,18.840000,18.840000,608800
2013-01-21,18.885000,19.415001,18.575001,18.895000,18.895000,261800
2013-01-28,18.865000,20.280001,18.280001,19.594999,19.594999,498800
2013-02-04,19.530001,20.250000,18.555000,19.504999,19.504999,851000
2013-02-11,19.495001,19.535000,18.334999,18.750000,18.750000,723200
2013-02-18,18.750000,18.775000,18.375000,18.750000,18.750000,261400
2013-02-25,18.820000,18.895000,18.250000,18.610001,18.610001,484400
2013-03-04,18.510000,19.860001,18.510000,19.830000,19.830000,900800
2013-03-11,19.780001,19.799999,18.760000,19.660000,19.660000,865200
2013-03-18,19.495001,20.110001,19.385000,19.955000,19.955000,1181200
2013-03-25,19.965000,21.420000,19.740000,21.334999,21.334999,666000
2013-04-01,21.245001,22.184999,20.389999,21.150000,21.150000,1007800
2013-04-08,21.230000,21.230000,20.405001,21.020000,21.020000,262400
2013-04-15,20.825001,20.870001,19.580000,20.514999,20.514999,328800
2013-04-22,20.590000,23.625000,20.110001,22.895000,22.895000,630600
2013-04-29,23.004999,24.260000,23.004999,23.410000,23.410000,801200
2013-05-06,23.434999,24.200001,22.370001,23.930000,23.930000,644000
2013-05-13,23.955000,25.555000,23.545000,25.430000,25.430000,608800
2013-05-20,25.270000,26.375000,25.230000,26.014999,26.014999,889000
2013-05-27,26.455000,27.570000,26.075001,26.985001,26.985001,599200
2013-06-03,27.025000,27.945000,26.025000,26.834999,26.834999,885200
2013-06-10,27.000000,27.160000,25.934999,26.150000,26.150000,566600
2013-06-17,26.445000,28.670000,25.684999,26.000000,26.000000,1160400
2013-06-24,25.735001,28.240000,24.650000,27.500000,27.500000,2244000
2013-07-01,27.674999,29.035000,27.375000,28.930000,28.930000,363200
2013-07-08,29.100000,29.799999,28.215000,29.250000,29.250000,1015400
2013-07-15,29.250000,29.495001,27.670000,28.510000,28.510000,1091000
2013-07-22,28.334999,33.875000,27.014999,32.985001,32.985001,806200
2013-07-29,32.840000,34.884998,31.620001,34.805000,34.805000,1140800
2013-08-05,34.665001,35.529999,32.555000,33.014999,33.014999,693200
2013-08-12,32.840000,33.270000,30.174999,31.020000,31.020000,632600
2013-08-19,30.815001,32.834999,30.415001,31.430000,31.430000,663800
2013-08-26,31.400000,32.424999,30.660000,31.170000,31.170000,449400
2013-09-02,31.650000,33.014999,30.695000,32.715000,32.715000,351800
2013-09-09,32.750000,34.900002,32.744999,33.810001,33.810001,407600
2013-09-16,34.345001,36.764999,33.540001,35.439999,35.439999,653800
2013-09-23,35.494999,36.115002,33.560001,33.650002,33.650002,571400
2013-09-30,33.330002,34.744999,32.270000,33.154999,33.154999,376800
2013-10-07,32.865002,35.685001,31.260000,34.994999,34.994999,406200
2013-10-14,34.950001,39.029999,34.775002,38.990002,38.990002,418200
2013-10-21,38.994999,39.990002,36.880001,38.939999,38.939999,752200
2013-10-28,38.845001,39.424999,32.474998,33.369999,33.369999,1050200
2013-11-04,33.500000,35.689999,33.119999,33.435001,33.435001,600600
2013-11-11,33.264999,37.924999,32.525002,36.605000,36.605000,721800
2013-11-18,36.919998,36.994999,30.184999,30.580000,30.580000,1675800
2013-11-25,30.584999,33.500000,30.490000,32.884998,32.884998,517800
2013-12-02,32.900002,33.299999,31.025000,32.830002,32.830002,760000
2013-12-09,32.959999,33.959999,31.930000,32.404999,32.404999,1068800
2013-12-16,32.680000,33.660000,31.514999,33.415001,33.415001,1200000
2013-12-23,33.685001,34.790001,32.669998,33.744999,33.744999,458800
2013-12-30,34.090000,34.090000,31.014999,31.520000,31.520000,821000
2014-01-06,31.725000,34.915001,31.270000,32.494999,32.494999,767000
2014-01-13,32.299999,34.500000,31.030001,33.735001,33.735001,941800
2014-01-20,33.915001,34.189999,33.075001,33.445000,33.445000,607400
2014-01-27,33.645000,33.834999,31.730000,32.310001,32.310001,851200
2014-02-03,32.485001,33.230000,30.625000,32.950001,32.950001,924000
2014-02-10,32.799999,33.314999,31.754999,32.650002,32.650002,834600
2014-02-17,32.695000,33.044998,31.350000,32.384998,32.384998,777000
2014-02-24,32.540001,34.525002,31.775000,33.900002,33.900002,806800
2014-03-03,33.465000,35.910000,32.825001,35.575001,35.575001,759600
2014-03-10,35.389999,35.500000,31.465000,32.255001,32.255001,599600
2014-03-17,32.785000,33.750000,31.725000,32.224998,32.224998,483400
2014-03-24,32.755001,32.755001,29.184999,29.799999,29.799999,1091200
2014-03-31,29.959999,31.540001,27.305000,28.254999,28.254999,1346600
2014-04-07,28.025000,29.080000,25.825001,26.530001,26.530001,1052000
2014-04-14,26.735001,27.504999,24.684999,26.514999,26.514999,1540000
2014-04-21,26.309999,27.719999,21.920000,24.200001,24.200001,4093000
2014-04-28,24.365000,27.264999,24.225000,27.174999,27.174999,1946600
2014-05-05,27.045000,27.549999,25.990000,26.655001,26.655001,1730200
2014-05-12,26.834999,27.725000,24.950001,25.570000,25.570000,1090400
2014-05-19,25.500000,27.840000,25.150000,27.764999,27.764999,908400
2014-05-26,28.020000,29.094999,27.840000,28.445000,28.445000,680000
2014-06-02,28.389999,30.000000,26.785000,29.809999,29.809999,987200
2014-06-09,29.674999,30.174999,27.000000,29.010000,29.010000,758200
2014-06-16,29.000000,31.040001,28.750000,30.375000,30.375000,615800
2014-06-23,30.510000,31.860001,29.959999,31.594999,31.594999,703200
2014-06-30,31.510000,32.494999,31.375000,32.474998,32.474998,502200
2014-07-07,32.209999,32.209999,27.834999,29.615000,29.615000,711200
2014-07-14,30.094999,30.469999,25.004999,27.190001,27.190001,556000
2014-07-21,26.900000,28.170000,24.990000,26.174999,26.174999,976400
2014-07-28,26.125000,27.570000,25.450001,26.719999,26.719999,839800
2014-08-04,26.924999,28.180000,26.575001,27.785000,27.785000,623400
2014-08-11,27.799999,28.660000,26.610001,26.805000,26.805000,605800
2014-08-18,27.205000,29.030001,26.700001,28.350000,28.350000,400600
2014-08-25,28.600000,28.639999,27.815001,27.969999,27.969999,290600
2014-09-01,28.190001,29.080000,27.254999,27.680000,27.680000,355800
2014-09-08,27.570000,28.450001,27.270000,27.594999,27.594999,238000
2014-09-15,27.504999,27.504999,25.165001,25.709999,25.709999,422800
2014-09-22,25.420000,26.490000,24.485001,26.200001,26.200001,641600
2014-09-29,25.790001,26.934999,25.309999,26.700001,26.700001,778600
2014-10-06,26.709999,27.004999,24.719999,25.270000,25.270000,537400
2014-10-13,25.200001,28.565001,24.915001,27.950001,27.950001,775600
2014-10-20,27.639999,28.830000,27.575001,27.750000,27.750000,527400
2014-10-27,27.700001,30.084999,27.510000,29.150000,29.150000,710400
2014-11-03,29.105000,31.465000,28.945000,31.155001,31.155001,751000
2014-11-10,31.174999,32.000000,30.555000,31.135000,31.135000,472000
2014-11-17,30.950001,31.100000,28.430000,28.959999,28.959999,483800
2014-11-24,29.000000,30.285000,28.735001,29.139999,29.139999,271400
2014-12-01,29.240000,29.365000,28.120001,29.055000,29.055000,1237400
2014-12-08,28.870001,29.674999,27.410000,28.445000,28.445000,489400
2014-12-15,28.455000,29.995001,27.875000,28.815001,28.815001,1565200
2014-12-22,28.750000,29.125000,28.000000,28.650000,28.650000,555000
2014-12-29,28.650000,28.920000,27.480000,27.805000,27.805000,471000
2015-01-05,27.605000,28.270000,26.415001,27.145000,27.145000,919800
2015-01-12,27.205000,28.995001,26.580000,28.870001,28.870001,1187400
2015-01-19,28.965000,29.590000,28.485001,29.165001,29.165001,478200
2015-01-26,29.235001,30.635000,28.790001,29.650000,29.650000,753200
2015-02-02,29.799999,34.520000,29.125000,34.330002,34.330002,1105600
2015-02-09,34.000000,34.750000,32.764999,34.195000,34.195000,1383400
2015-02-16,34.250000,34.480000,33.334999,33.700001,33.700001,536200
2015-02-23,33.695000,35.189999,33.029999,34.349998,34.349998,743800
2015-03-02,34.330002,35.119999,33.639999,33.770000,33.770000,807600
2015-03-09,33.720001,34.779999,32.674999,34.270000,34.270000,926600
2015-03-16,34.264999,34.994999,33.654999,34.419998,34.419998,1285800
2015-03-23,34.465000,34.869999,32.895000,33.250000,33.250000,1053200
2015-03-30,33.355000,34.505001,32.895000,34.384998,34.384998,955000
2015-04-06,34.474998,34.945000,33.205002,33.634998,33.634998,695200
2015-04-13,33.720001,35.185001,33.099998,33.349998,33.349998,632200
2015-04-20,33.450001,36.419998,31.975000,34.090000,34.090000,783000
2015-04-27,34.035000,34.900002,31.770000,32.750000,32.750000,1174200
2015-05-04,32.730000,33.230000,32.049999,32.779999,32.779999,684000
2015-05-11,33.014999,33.865002,32.689999,33.474998,33.474998,530000
2015-05-18,33.465000,34.685001,32.924999,33.005001,33.005001,563600
2015-05-25,32.950001,33.200001,32.230000,32.509998,32.509998,571400
2015-06-01,32.750000,33.410000,32.250000,33.180000,33.180000,519400
