Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,1.312500,1.312500,1.125000,1.156250,1.156250,21800
2000-01-08,1.156250,1.250000,1.156250,1.250000,1.250000,1500
2000-01-15,1.250000,1.250000,1.187500,1.187500,1.187500,900
2000-01-22,1.187500,1.187500,1.187500,1.187500,1.187500,0
2000-01-29,1.187500,1.250000,1.187500,1.250000,1.250000,8400
2000-02-05,1.250000,1.312500,1.187500,1.312500,1.312500,1400
2000-02-12,1.312500,1.312500,1.187500,1.250000,1.250000,39000
2000-02-19,1.250000,1.250000,1.218750,1.218750,1.218750,2000
2000-02-26,1.218750,1.218750,1.218750,1.218750,1.218750,21500
2000-03-04,1.218750,1.250000,1.218750,1.250000,1.250000,17000
2000-03-11,1.250000,1.250000,1.218750,1.218750,1.218750,3000
2000-03-18,1.250000,1.250000,1.250000,1.250000,1.250000,1000
2000-03-25,1.250000,1.250000,1.218750,1.218750,1.218750,100
2000-04-01,1.218750,1.250000,1.218750,1.250000,1.250000,49200
2000-04-08,1.218750,1.218750,1.125000,1.218750,1.218750,7700
2000-04-15,1.218750,1.218750,1.031250,1.031250,1.031250,19200
2000-04-22,1.031250,1.093750,1.031250,1.093750,1.093750,2000
2000-04-29,1.093750,1.093750,1.062500,1.093750,1.093750,15000
2000-05-06,1.093750,1.093750,1.031250,1.031250,1.031250,3000
2000-05-13,1.031250,1.093750,1.031250,1.093750,1.093750,6100
2000-05-20,1.031250,1.218750,1.000000,1.187500,1.187500,136800
2000-05-27,1.187500,1.187500,1.187500,1.187500,1.187500,0
2000-06-03,1.187500,1.187500,1.187500,1.187500,1.187500,200
2000-06-10,1.187500,1.218750,1.062500,1.156250,1.156250,35900
2000-06-17,1.125000,1.125000,1.000000,1.062500,1.062500,68200
2000-06-24,1.062500,1.062500,1.000000,1.000000,1.000000,8000
2000-07-01,1.000000,1.125000,1.000000,1.125000,1.125000,2000
2000-07-08,1.000000,1.187500,1.000000,1.187500,1.187500,16200
2000-07-15,1.187500,1.187500,1.046875,1.078125,1.078125,32000
2000-07-22,1.078125,1.078125,1.078125,1.078125,1.078125,0
2000-07-29,1.078125,1.078125,1.078125,1.078125,1.078125,0
2000-08-05,1.078125,1.078125,1.078125,1.078125,1.078125,0
2000-08-12,1.078125,1.312500,1.046875,1.125000,1.125000,70300
2000-08-19,1.125000,1.125000,1.125000,1.125000,1.125000,0
2000-08-26,1.125000,1.125000,1.125000,1.125000,1.125000,2000
2000-09-02,1.375000,1.375000,1.375000,1.375000,1.375000,6000
2000-09-09,1.375000,1.375000,1.375000,1.375000,1.375000,0
2000-09-16,1.375000,1.375000,1.125000,1.125000,1.125000,2800
2000-09-23,1.125000,1.125000,1.125000,1.125000,1.125000,0
2000-09-30,1.125000,1.250000,1.125000,1.250000,1.250000,9200
2000-10-07,1.250000,1.250000,1.250000,1.250000,1.250000,18000
2000-10-14,1.218750,1.234375,1.125000,1.187500,1.187500,92300
2000-10-21,1.156250,1.156250,1.156250,1.156250,1.156250,29000
2000-10-28,1.156250,1.156250,1.156250,1.156250,1.156250,0
2000-11-04,1.156250,1.187500,1.140625,1.187500,1.187500,18200
2000-11-11,1.187500,1.187500,1.140625,1.140625,1.140625,1800
2000-11-18,1.140625,1.140625,1.140625,1.140625,1.140625,500
