Date,Open,High,Low,Close,Adj Close,Volume
2020-10-05,22.000000,22.900000,17.510000,19.350000,19.350000,4536500
2020-10-12,18.610001,20.490000,18.510000,20.000000,20.000000,1367300
2020-10-19,20.000000,22.290001,19.799999,21.760000,21.760000,599100
2020-10-26,21.580000,25.889999,21.224001,25.850000,25.850000,941500
2020-11-02,25.920000,29.610001,24.770000,26.809999,26.809999,1191200
2020-11-09,26.889999,30.450001,21.799999,29.590000,29.590000,853900
2020-11-16,30.000000,34.430000,29.459999,32.580002,32.580002,922700
2020-11-23,32.889999,36.970001,31.010000,34.480000,34.480000,709400
2020-11-30,34.619999,39.029999,28.379999,33.000000,33.000000,1180600
2020-12-07,33.230000,41.490002,29.365000,40.299999,40.299999,1495500
2020-12-14,40.820000,42.910000,33.189999,40.720001,40.720001,3407700
2020-12-21,39.529999,60.515999,38.590000,57.610001,57.610001,1122500
2020-12-28,58.000000,58.490002,49.540001,53.000000,53.000000,406800
