Date,Open,High,Low,Close,Adj Close,Volume
2019-10-21,5.190000,5.240000,4.900000,5.070000,5.070000,467400
2019-10-28,5.010000,5.250000,5.000000,5.250000,5.250000,219100
2019-11-04,5.250000,5.550000,5.010000,5.400000,5.400000,195500
2019-11-11,5.440000,5.440000,5.030000,5.060000,5.060000,121500
2019-11-18,5.130000,5.140000,5.010000,5.140000,5.140000,59400
2019-11-25,5.085000,5.260000,5.050000,5.260000,5.260000,187300
2019-12-02,5.240000,5.270000,5.080000,5.170000,5.170000,242400
2019-12-09,5.200000,5.200000,5.030000,5.140000,5.140000,119800
2019-12-16,5.190000,5.350000,4.520000,4.710000,4.710000,548600
2019-12-23,5.000000,5.200000,5.000000,5.180000,5.180000,186600
2019-12-30,5.130000,5.500000,5.110000,5.200000,5.200000,287200
2020-01-06,5.250000,5.350000,5.030000,5.150000,5.150000,233600
2020-01-13,5.260000,5.300000,5.100000,5.200000,5.200000,71100
2020-01-20,5.200000,5.240000,5.072000,5.072000,5.072000,54400
2020-01-27,5.105000,5.600000,5.020000,5.250000,5.250000,221200
2020-02-03,5.210000,5.294000,4.901000,5.055000,5.055000,83000
2020-02-10,5.010000,5.100000,4.950000,5.000000,5.000000,52300
2020-02-17,5.090000,5.090000,4.955000,5.020000,5.020000,44400
2020-02-24,4.989000,5.000000,4.528000,4.870000,4.870000,48400
2020-03-02,4.812000,5.010000,4.640000,4.850000,4.850000,64500
2020-03-09,4.800000,4.800000,3.450000,4.010000,4.010000,120300
2020-03-16,3.450000,4.340000,3.450000,4.340000,4.340000,34100
2020-03-23,4.150000,4.340000,3.440000,3.600000,3.600000,90200
2020-03-30,3.650000,4.250000,3.500000,4.200000,4.200000,91300
2020-04-06,4.240000,5.378000,3.950000,4.850000,4.850000,187400
2020-04-13,4.780000,5.350000,4.280000,4.510000,4.510000,395900
2020-04-20,4.357000,4.880000,4.200000,4.770000,4.770000,239100
2020-04-27,4.940000,5.290000,4.620000,5.000000,5.000000,672300
2020-05-04,5.000000,5.177000,4.695000,4.800000,4.800000,233400
2020-05-11,4.700000,5.140000,4.315000,4.990000,4.990000,238100
2020-05-18,5.090000,5.280000,4.600000,4.860000,4.860000,399200
2020-05-25,5.000000,5.560000,4.860000,5.330000,5.330000,884200
2020-06-01,5.480000,6.140000,5.190000,5.460000,5.460000,491000
2020-06-08,5.350000,5.685000,5.150000,5.250000,5.250000,343100
2020-06-15,5.160000,6.240000,5.150000,5.680000,5.680000,872600
2020-06-22,5.720000,6.000000,5.380000,5.730000,5.730000,543200
2020-06-29,5.865000,6.250000,5.670000,6.190000,6.190000,333200
2020-07-06,6.250000,6.920000,6.000000,6.440000,6.440000,603800
2020-07-13,6.500000,7.200000,6.141000,6.800000,6.800000,1245500
2020-07-20,6.800000,7.500000,6.120000,6.740000,6.740000,1112600
2020-07-27,6.830000,10.250000,6.600000,9.090000,9.090000,6996400
2020-08-03,9.060000,9.500000,8.070000,9.150000,9.150000,1541300
2020-08-10,9.250000,13.180000,9.000000,11.550000,11.550000,7066400
2020-08-17,11.810000,14.530000,11.480000,13.860000,13.860000,4313100
2020-08-24,14.000000,16.260000,12.100000,16.020000,16.020000,3424800
2020-08-31,15.900000,15.900000,11.150000,12.660000,12.660000,1932700
2020-09-07,12.040000,14.480000,11.410000,13.980000,13.980000,1237600
2020-09-14,14.090000,16.510000,13.890000,16.510000,16.510000,1731800
2020-09-21,16.350000,18.820000,15.396000,17.530001,17.530001,1915800
2020-09-28,17.660000,18.700001,16.559999,17.770000,17.770000,1125300
2020-10-05,17.940001,19.000000,17.400000,18.340000,18.340000,724900
2020-10-12,18.520000,18.520000,14.300000,16.540001,16.540001,2125700
2020-10-19,16.639999,16.680000,14.152000,15.200000,15.200000,1008700
2020-10-26,15.150000,15.490000,12.530000,12.740000,12.740000,1374400
2020-11-02,12.850000,16.250000,12.850000,15.970000,15.970000,784000
2020-11-09,16.309999,18.750000,14.500000,16.830000,16.830000,1719500
2020-11-16,16.930000,17.250000,14.550000,15.500000,15.500000,1615500
2020-11-23,15.550000,16.190001,14.500000,15.960000,15.960000,1148500
2020-11-30,15.960000,16.832001,15.095000,15.800000,15.800000,1048100
2020-12-07,16.023001,16.379999,14.040000,14.350000,14.350000,1586800
2020-12-14,14.410000,14.870000,13.730000,14.550000,14.550000,1034800
2020-12-21,14.260000,16.350000,14.160000,15.470000,15.470000,1112400
2020-12-28,15.660000,15.700000,14.030000,14.930000,14.930000,699300
