Date,Open,High,Low,Close,Adj Close,Volume
2010-10-11,4.500000,4.830000,4.500000,4.830000,3.579854,1400
2010-10-18,4.250000,4.750000,4.210000,4.250000,3.149975,7300
2010-10-25,4.010000,4.800000,4.010000,4.800000,3.557619,13400
2010-11-01,4.750000,4.750000,4.310000,4.650000,3.446443,8200
2010-11-08,4.500000,4.600000,4.310000,4.600000,3.409385,4400
2010-11-15,4.500000,5.150000,4.500000,4.600000,3.409385,28600
2010-11-22,4.600000,4.950000,4.350000,4.940000,3.661383,10300
2010-11-29,4.410000,5.000000,4.250000,4.450000,3.298208,10900
2010-12-06,4.450000,4.450000,4.000000,4.350000,3.224092,22700
2010-12-13,4.100000,4.850000,4.100000,4.700000,3.483501,14000
2010-12-20,4.700000,4.800000,4.500000,4.540000,3.364915,21200
2010-12-27,4.540000,4.800000,4.540000,4.750000,3.520560,35600
2011-01-03,5.150000,5.200000,4.750000,4.850000,3.594676,20900
2011-01-10,4.850000,5.000000,4.850000,5.000000,3.705852,4400
2011-01-17,4.950000,5.600000,4.850000,5.000000,3.705852,16200
2011-01-24,5.250000,5.400000,5.010000,5.100000,3.779970,15600
2011-01-31,5.100000,5.350000,5.100000,5.100000,3.779970,8600
2011-02-07,5.100000,5.300000,5.100000,5.200000,3.854086,10800
2011-02-14,5.120000,5.120000,5.120000,5.120000,3.794793,1600
2011-02-21,5.200000,5.200000,5.200000,5.200000,3.854086,700
2011-02-28,5.120000,5.450000,5.120000,5.350000,3.965262,8500
2011-03-07,5.400000,5.600000,5.400000,5.500000,4.076438,2800
2011-03-14,5.350000,5.350000,5.350000,5.350000,3.965262,4400
2011-03-21,5.300000,5.300000,5.100000,5.100000,3.779970,12400
2011-03-28,5.150000,5.400000,5.150000,5.150000,3.817030,17700
2011-04-04,5.150000,5.250000,5.150000,5.200000,3.854086,4200
2011-04-11,5.250000,5.250000,5.150000,5.250000,3.891146,4100
2011-04-18,5.250000,5.850000,5.250000,5.850000,4.335847,17200
2011-04-25,6.100000,6.550000,6.000000,6.250000,4.632315,16200
2011-05-02,6.300000,6.750000,6.300000,6.600000,4.891726,28800
2011-05-09,6.600000,7.500000,6.150000,7.050000,5.225252,21700
2011-05-16,7.050000,7.200000,6.800000,7.200000,5.336428,9700
2011-05-23,6.850000,7.250000,6.850000,7.240000,5.470083,800
2011-05-30,7.240000,7.240000,7.140000,7.140000,5.394531,1100
2011-06-06,6.900000,7.200000,6.700000,6.750000,5.099871,9700
2011-06-13,6.750000,6.890000,6.650000,6.650000,5.024318,6400
2011-06-20,6.870000,7.250000,6.850000,7.250000,5.477639,800
2011-06-27,6.900000,7.150000,6.900000,7.100000,5.364309,5000
2011-07-04,6.900000,6.900000,6.760000,6.760000,5.107427,2400
2011-07-11,6.760000,6.770000,6.760000,6.770000,5.114980,2600
2011-07-18,6.770000,6.770000,6.770000,6.770000,5.114980,5300
2011-07-25,6.770000,7.250000,6.770000,7.250000,5.477639,6100
2011-08-01,7.250000,7.250000,6.450000,7.000000,5.288755,10800
2011-08-08,6.750000,7.000000,6.410000,6.700000,5.062095,7000
2011-08-15,6.700000,6.700000,6.400000,6.400000,4.835432,1000
2011-08-22,6.400000,6.880000,5.000000,6.880000,5.304982,4200
2011-08-29,6.880000,6.880000,6.700000,6.700000,5.166190,100
2011-09-05,6.700000,6.750000,6.250000,6.750000,5.204743,1100
2011-09-12,6.250000,6.770000,6.000000,6.750000,5.204743,6200
2011-09-19,6.750000,6.750000,5.500000,6.660000,5.135346,3900
2011-09-26,6.050000,6.660000,5.850000,6.660000,5.135346,1200
2011-10-03,6.490000,6.490000,5.550000,5.550000,4.279454,13500
2011-10-10,5.550000,6.000000,5.550000,6.000000,4.626437,5400
2011-10-17,6.000000,6.000000,5.550000,5.550000,4.279454,8200
2011-10-24,5.550000,5.550000,5.500000,5.500000,4.240901,1200
2011-10-31,5.500000,6.400000,5.500000,6.400000,4.934866,8400
2011-11-07,6.010000,6.250000,5.620000,6.250000,4.819205,7500
2011-11-14,6.250000,6.500000,6.250000,6.400000,4.934866,1400
2011-11-21,5.650000,5.650000,5.600000,5.600000,4.413336,1700
2011-11-28,5.600000,6.400000,5.600000,6.400000,5.043813,1800
2011-12-05,6.400000,6.750000,6.390000,6.750000,5.319648,3900
2011-12-12,6.750000,6.750000,6.750000,6.750000,5.319648,0
2011-12-19,6.750000,6.750000,6.250000,6.750000,5.319648,700
2011-12-26,6.750000,6.750000,6.050000,6.500000,5.122623,5600
2012-01-02,6.500000,6.500000,6.080000,6.180000,4.870432,3200
2012-01-09,6.180000,6.300000,6.180000,6.180000,4.870432,2600
2012-01-16,6.180000,6.900000,6.180000,6.500000,5.122623,2700
2012-01-23,6.600000,6.600000,6.500000,6.500000,5.122623,2300
2012-01-30,6.700000,6.950000,6.690000,6.950000,5.477266,23200
2012-02-06,6.910000,6.910000,6.600000,6.600000,5.201432,30800
2012-02-13,6.600000,6.950000,6.300000,6.950000,5.477266,12100
2012-02-20,6.950000,6.950000,6.500000,6.660000,5.248718,14100
2012-02-27,6.650000,6.950000,6.650000,6.950000,5.477266,2400
2012-03-05,6.950000,6.950000,6.300000,6.750000,5.319648,4600
2012-03-12,6.550000,7.000000,6.550000,6.930000,5.461503,17800
2012-03-19,6.950000,7.100000,6.530000,7.000000,5.516671,4600
2012-03-26,7.000000,7.050000,6.700000,7.050000,5.556075,3400
2012-04-02,7.050000,7.050000,6.600000,6.800000,5.359051,1300
2012-04-09,6.800000,7.050000,6.700000,6.700000,5.280243,17400
2012-04-16,6.700000,7.190000,6.700000,6.800000,5.463675,3900
2012-04-23,6.800000,7.250000,6.800000,6.950000,5.584197,3600
2012-04-30,6.950000,7.250000,6.850000,7.000000,5.624372,5200
2012-05-07,7.000000,7.500000,6.850000,6.850000,5.503849,1400
2012-05-14,6.850000,7.250000,6.850000,6.900000,5.544023,4800
2012-05-21,6.900000,7.000000,6.900000,7.000000,5.624372,100
2012-05-28,6.970000,6.970000,6.600000,6.750000,5.531732,1300
2012-06-04,6.750000,7.000000,6.750000,7.000000,5.736610,1000
2012-06-11,7.000000,7.200000,7.000000,7.200000,5.900512,1500
2012-06-18,7.200000,7.200000,7.150000,7.150000,5.859538,1700
2012-06-25,6.800000,6.990000,6.800000,6.990000,5.728414,700
2012-07-02,6.990000,6.990000,6.700000,6.700000,5.490755,3000
2012-07-09,6.700000,7.000000,5.380000,6.700000,5.490755,5000
2012-07-16,6.700000,6.700000,6.700000,6.700000,5.490755,5400
2012-07-23,6.700000,6.700000,6.700000,6.700000,5.490755,0
2012-07-30,6.700000,6.700000,6.700000,6.700000,5.490755,0
2012-08-06,6.800000,6.800000,6.800000,6.800000,5.572706,1200
2012-08-13,6.900000,7.200000,6.650000,6.800000,5.572706,5000
2012-08-20,6.800000,7.100000,6.750000,6.750000,5.531732,1600
2012-08-27,6.750000,7.100000,6.750000,7.100000,5.936416,100
2012-09-03,7.100000,7.100000,6.500000,6.680000,5.585247,8400
2012-09-10,6.750000,7.490000,6.700000,7.480000,6.254141,20300
2012-09-17,6.750000,7.490000,6.750000,7.250000,6.061834,2400
2012-09-24,7.250000,7.250000,7.000000,7.100000,5.936416,5600
2012-10-01,6.750000,7.050000,6.750000,7.000000,5.852806,7100
2012-10-08,7.000000,7.190000,6.820000,6.820000,5.702305,1700
2012-10-15,6.820000,6.820000,6.820000,6.820000,5.702305,900
2012-10-22,6.820000,7.190000,6.820000,7.180000,6.003304,3900
2012-10-29,7.180000,7.490000,7.180000,7.480000,6.254141,7300
2012-11-05,7.480000,7.480000,7.480000,7.480000,6.254141,0
2012-11-12,7.480000,7.480000,6.700000,7.000000,5.852806,1600
2012-11-19,6.800000,6.800000,6.700000,6.750000,5.643777,2100
2012-11-26,6.750000,6.990000,6.750000,6.990000,5.959375,1700
2012-12-03,6.760000,6.800000,6.600000,6.600000,5.626877,3400
2012-12-10,6.600000,7.390000,6.600000,7.380000,6.291873,7800
2012-12-17,7.380000,7.380000,6.760000,6.760000,5.763286,2300
2012-12-24,7.090000,7.200000,7.090000,7.200000,6.138412,300
2012-12-31,7.250000,7.500000,7.250000,7.500000,6.394180,12500
2013-01-07,7.600000,7.600000,6.800000,6.950000,5.925271,4900
2013-01-14,6.900000,7.200000,6.900000,7.200000,6.138412,9500
2013-01-21,7.200000,7.300000,6.850000,7.000000,5.967901,10000
2013-01-28,7.300000,7.500000,7.300000,7.400000,6.308923,8600
2013-02-04,7.400000,7.400000,7.300000,7.300000,6.223668,1700
2013-02-11,7.250000,7.400000,6.950000,7.110000,6.061682,3800
2013-02-18,7.250000,7.250000,6.960000,6.960000,5.933799,700
2013-02-25,6.960000,7.250000,6.960000,7.250000,6.181040,4000
2013-03-04,7.250000,7.250000,6.700000,7.250000,6.181040,11000
2013-03-11,7.000000,7.000000,5.800000,6.900000,5.882644,7500
2013-03-18,6.850000,7.000000,6.500000,6.850000,5.840015,5000
2013-03-25,6.850000,7.000000,6.300000,6.750000,5.754762,6100
2013-04-01,6.750000,7.250000,6.550000,7.000000,5.967901,16600
2013-04-08,6.750000,6.900000,6.200000,6.900000,5.998326,4100
2013-04-15,6.890000,6.890000,6.300000,6.300000,5.476734,6900
2013-04-22,6.750000,6.890000,6.060000,6.750000,5.867929,3600
2013-04-29,6.200000,6.900000,5.900000,6.690000,5.815769,18000
2013-05-06,6.690000,6.940000,6.690000,6.940000,6.033100,100
2013-05-13,6.500000,7.150000,6.200000,6.200000,5.389800,13800
2013-05-20,6.050000,6.850000,6.050000,6.400000,5.563666,9200
2013-05-27,6.500000,7.200000,6.250000,7.200000,6.279380,69700
2013-06-03,7.000000,7.200000,6.850000,6.850000,5.974132,3800
2013-06-10,6.850000,7.090000,6.850000,6.850000,5.974132,9700
2013-06-17,6.950000,7.100000,6.750000,7.000000,6.104952,17400
2013-06-24,6.850000,7.000000,6.270000,7.000000,6.104952,21300
2013-07-01,7.000000,7.250000,7.000000,7.240000,6.314265,11800
2013-07-08,7.240000,7.240000,7.240000,7.240000,6.314265,0
2013-07-15,7.240000,7.240000,7.240000,7.240000,6.314265,0
2013-07-22,7.240000,7.240000,6.750000,7.000000,6.104952,7000
2013-07-29,7.000000,7.100000,7.000000,7.100000,6.192165,500
2013-08-05,7.100000,7.100000,6.950000,7.000000,6.104952,3400
2013-08-12,7.100000,10.000000,6.520000,7.500000,6.541020,28600
2013-08-19,7.720000,7.770000,7.450000,7.550000,6.584626,15900
2013-08-26,7.750000,7.900000,7.550000,7.810000,6.829005,11200
2013-09-02,7.810000,8.000000,7.550000,7.750000,6.776541,21400
2013-09-09,7.470000,7.970000,5.000000,7.500000,6.557943,34100
2013-09-16,7.950000,7.950000,7.450000,7.600000,6.645383,11300
2013-09-23,7.500000,7.890000,7.000000,7.480000,6.540456,17400
2013-09-30,7.450000,7.550000,6.850000,7.490000,6.549200,1400
2013-10-07,7.300000,7.450000,6.710000,7.250000,6.339347,10800
2013-10-14,7.250000,7.600000,7.250000,7.470000,6.531712,9100
2013-10-21,7.440000,7.740000,6.850000,7.690000,6.724078,2700
2013-10-28,7.500000,7.900000,7.440000,7.440000,6.505482,22900
2013-11-04,7.440000,7.850000,7.440000,7.850000,6.863981,2100
2013-11-11,7.850000,7.880000,7.400000,7.750000,6.776541,8500
2013-11-18,7.750000,7.850000,7.400000,7.850000,6.863981,8600
2013-11-25,7.410000,7.870000,7.410000,7.870000,6.881468,500
2013-12-02,7.750000,8.000000,7.420000,7.700000,6.732822,29600
2013-12-09,7.700000,8.000000,7.400000,7.700000,6.732822,20900
2013-12-16,7.460000,8.000000,7.070000,7.930000,6.933933,24100
2013-12-23,7.650000,7.650000,7.320000,7.400000,6.470505,900
2013-12-30,7.500000,7.750000,7.300000,7.620000,6.662869,12800
2014-01-06,7.620000,7.750000,7.550000,7.610000,6.654127,5900
2014-01-13,7.350000,7.750000,7.350000,7.650000,6.689103,67600
2014-01-20,7.610000,8.240000,7.450000,7.730000,6.759054,62100
2014-01-27,7.200000,8.250000,7.200000,7.900000,6.907701,2300
2014-02-03,8.200000,8.200000,7.380000,7.700000,6.732822,33500
2014-02-10,7.410000,7.410000,6.480000,7.010000,6.129491,17300
2014-02-17,8.190000,8.190000,6.650000,6.980000,6.103260,11600
2014-02-24,6.990000,7.400000,6.770000,7.100000,6.208187,28200
2014-03-03,7.350000,7.530000,7.100000,7.500000,6.557943,18100
2014-03-10,7.520000,8.000000,7.140000,7.710000,6.741567,19900
2014-03-17,7.710000,7.750000,7.000000,7.150000,6.251906,12200
2014-03-24,7.000000,7.390000,7.000000,7.360000,6.435529,9100
2014-03-31,7.380000,13.980000,7.050000,8.540000,7.467311,930500
2014-04-07,8.350000,9.490000,8.030000,9.170000,8.018180,170200
2014-04-14,9.300000,9.700000,9.000000,9.700000,8.481606,99300
2014-04-21,9.780000,10.400000,9.300000,9.870000,8.630253,101300
2014-04-28,9.940000,9.990000,9.200000,9.530000,8.332964,94300
2014-05-05,9.230000,9.800000,7.560000,7.960000,6.960164,167200
2014-05-12,8.110000,9.500000,7.760000,8.300000,7.257457,127900
2014-05-19,8.650000,9.090000,8.200000,8.780000,7.677166,58400
2014-05-26,8.800000,9.500000,8.510000,9.440000,8.254268,46900
2014-06-02,9.500000,10.000000,9.500000,9.690000,8.472864,72000
2014-06-09,9.750000,10.250000,9.520000,9.700000,8.481606,165100
2014-06-16,9.700000,10.210000,9.370000,9.370000,8.193059,367600
2014-06-23,9.810000,10.180000,9.030000,9.470000,8.280498,1017900
2014-06-30,9.590000,9.680000,7.580000,7.690000,6.724078,255800
2014-07-07,7.650000,7.810000,7.130000,7.450000,6.514225,199100
2014-07-14,7.330000,7.600000,7.100000,7.470000,6.531712,72300
2014-07-21,7.220000,7.540000,6.760000,6.820000,5.963358,76700
2014-07-28,6.850000,7.300000,6.820000,6.990000,6.112004,93400
2014-08-04,6.970000,7.270000,6.670000,7.050000,6.164467,80900
2014-08-11,6.810000,7.320000,6.800000,7.090000,6.199444,53400
2014-08-18,7.110000,7.320000,6.960000,7.200000,6.295627,37600
