Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,5.419926,5.812675,5.380652,5.655575,3.874442,23552
2000-01-08,5.498476,5.734125,5.341377,5.537751,3.793725,56334
2000-01-15,5.498476,5.577026,5.341377,5.341377,3.659195,21005
2000-01-22,5.498476,5.498476,5.027178,5.262827,3.605383,22916
2000-01-29,5.262827,5.655575,5.262827,5.262827,3.605383,5092
2000-02-05,5.262827,5.498476,4.712980,5.105728,3.497760,47423
2000-02-12,5.105728,5.262827,4.712980,5.262827,3.605383,48696
2000-02-19,4.870079,5.027178,4.870079,5.027178,3.443950,12094
2000-02-26,4.712980,4.948629,4.634430,4.712980,3.228702,23552
2000-03-04,4.948629,4.948629,4.634430,4.712980,3.228702,29281
2000-03-11,4.712980,4.752254,4.398781,4.477331,3.067267,37556
2000-03-18,4.752254,4.870079,4.241682,4.438056,3.040360,56970
2000-03-25,4.438056,4.870079,4.438056,4.791529,3.282514,75430
2000-04-01,4.791529,5.577026,4.477331,4.948629,3.390138,110758
2000-04-08,5.184278,5.498476,4.870079,5.184278,3.551571,61107
2000-04-15,4.870079,6.283973,4.870079,5.419926,3.713006,42330
2000-04-22,5.419926,5.891224,5.027178,5.419926,3.713006,50605
2000-04-29,5.027178,5.380652,5.027178,5.262827,3.605383,19733
2000-05-06,5.262827,5.577026,5.184278,5.419926,3.713006,25780
2000-05-13,5.341377,5.655575,5.341377,5.655575,3.874442,12412
2000-05-20,5.812675,5.812675,5.184278,5.459201,3.739913,16232
2000-05-27,5.459201,5.459201,5.184278,5.184278,3.551571,26098
2000-06-03,5.498476,5.655575,5.498476,5.577026,3.820631,29281
2000-06-10,5.655575,6.126873,5.537751,5.812675,3.982067,25143
2000-06-17,5.812675,6.441072,5.812675,6.441072,4.412559,26098
2000-06-24,6.362522,6.362522,5.812675,6.283973,4.304936,21643
2000-07-01,6.283973,6.323248,5.891224,6.205423,4.251124,16550
2000-07-08,6.205423,6.283973,5.891224,6.205423,4.251124,56334
2000-07-15,5.891224,6.362522,5.891224,6.048324,4.143502,18459
2000-07-22,6.048324,6.048324,5.341377,5.419926,3.713006,88797
2000-07-29,5.419926,6.244698,5.419926,6.205423,4.251124,6046
2000-08-05,6.205423,6.205423,5.655575,6.126873,4.197312,6048
2000-08-12,6.283973,6.323248,5.969774,6.323248,4.331843,16869
2000-08-19,6.323248,6.323248,6.126873,6.205423,4.251124,3820
2000-08-26,6.126873,6.323248,6.009049,6.323248,4.331843,19096
2000-09-02,6.323248,6.323248,6.283973,6.283973,4.304936,637
2000-09-09,6.323248,6.362522,6.244698,6.362522,4.358748,36601
2000-09-16,6.323248,6.401797,6.205423,6.283973,4.304936,28644
2000-09-23,6.362522,6.362522,5.969774,5.969774,4.089688,44239
2000-09-30,6.283973,6.362522,6.048324,6.048324,4.143502,14004
2000-10-07,6.048324,6.323248,6.048324,6.205423,4.251124,12412
