Date,Open,High,Low,Close,Adj Close,Volume
2010-11-08,0.252500,0.252500,0.252500,0.252500,0.252500,2000
2010-11-15,0.252500,0.252500,0.252500,0.252500,0.252500,0
2010-11-22,0.252500,0.262500,0.252500,0.262500,0.262500,4000
2010-11-29,0.262500,0.262500,0.262500,0.262500,0.262500,4000
2010-12-06,0.262500,1.375000,0.262500,1.375000,1.375000,28000
2010-12-13,1.025000,3.050000,1.025000,3.000000,3.000000,45100
2010-12-20,2.950000,2.950000,2.500000,2.800000,2.800000,13000
2010-12-27,2.750000,2.850000,2.550000,2.850000,2.850000,2300
2011-01-03,2.650000,2.950000,2.000000,2.950000,2.950000,53800
2011-01-10,2.900000,3.300000,2.800000,2.950000,2.950000,15600
2011-01-17,3.000000,3.100000,2.810000,2.850000,2.850000,14100
2011-01-24,2.950000,2.950000,2.800000,2.800000,2.800000,3600
2011-01-31,2.800000,2.800000,2.490000,2.500000,2.500000,4100
2011-02-07,2.500000,2.880000,2.500000,2.850000,2.850000,11000
2011-02-14,2.800000,3.050000,2.800000,2.850000,2.850000,12200
2011-02-21,2.850000,3.550000,2.800000,3.400000,3.400000,29300
2011-02-28,3.550000,3.550000,3.110000,3.400000,3.400000,25700
2011-03-07,3.300000,3.500000,3.300000,3.500000,3.500000,5000
2011-03-14,3.310000,3.450000,3.310000,3.330000,3.330000,5500
2011-03-21,3.330000,3.330000,3.150000,3.300000,3.300000,6300
2011-03-28,3.200000,3.750000,3.200000,3.500000,3.500000,23300
2011-04-04,3.490000,3.700000,3.000000,3.700000,3.700000,11500
2011-04-11,3.300000,3.990000,3.010000,3.680000,3.680000,17900
2011-04-18,3.680000,3.750000,3.680000,3.680000,3.680000,2600
2011-04-25,3.680000,4.000000,3.680000,4.000000,4.000000,36300
2011-05-02,4.000000,4.000000,3.700000,3.700000,3.700000,2200
2011-05-09,3.700000,3.900000,3.530000,3.650000,3.650000,13600
2011-05-16,3.750000,3.850000,3.550000,3.600000,3.600000,21200
2011-05-23,3.850000,4.000000,3.850000,4.000000,4.000000,4000
2011-05-30,3.900000,4.000000,3.500000,3.950000,3.950000,15900
2011-06-06,3.700000,4.000000,2.000000,3.750000,3.750000,42100
2011-06-13,3.750000,3.800000,3.500000,3.500000,3.500000,10000
2011-06-20,3.820000,3.900000,3.450000,3.450000,3.450000,16700
2011-06-27,3.450000,3.500000,3.100000,3.500000,3.500000,6700
2011-07-04,3.500000,3.500000,3.500000,3.500000,3.500000,0
2011-07-11,3.500000,3.580000,3.400000,3.580000,3.580000,5700
2011-07-18,3.500000,3.550000,3.250000,3.400000,3.400000,8500
2011-07-25,3.400000,3.500000,3.300000,3.300000,3.300000,2400
2011-08-01,3.390000,3.550000,3.350000,3.400000,3.400000,3500
2011-08-08,3.200000,3.450000,3.050000,3.050000,3.050000,2300
2011-08-15,3.050000,3.450000,3.050000,3.420000,3.420000,6100
2011-08-22,3.420000,3.500000,3.300000,3.500000,3.500000,4000
2011-08-29,3.500000,3.550000,3.500000,3.500000,3.500000,2600
2011-09-05,3.500000,3.500000,3.500000,3.500000,3.500000,0
2011-09-12,3.500000,3.500000,3.250000,3.250000,3.250000,5500
2011-09-19,3.250000,3.300000,3.250000,3.300000,3.300000,500
2011-09-26,3.300000,3.400000,3.100000,3.400000,3.400000,4500
2011-10-03,3.400000,3.550000,3.100000,3.450000,3.450000,10700
2011-10-10,3.450000,3.500000,3.000000,3.150000,3.150000,7200
2011-10-17,3.400000,3.450000,3.400000,3.400000,3.400000,11000
2011-10-24,3.000000,3.400000,3.000000,3.400000,3.400000,4000
2011-10-31,3.250000,3.500000,3.250000,3.400000,3.400000,46500
2011-11-07,3.300000,3.300000,2.750000,3.100000,3.100000,24200
2011-11-14,3.100000,3.100000,2.430000,2.690000,2.690000,26700
2011-11-21,2.690000,2.750000,2.550000,2.600000,2.600000,6700
2011-11-28,2.530000,2.530000,1.600000,1.750000,1.750000,60400
2011-12-05,1.750000,1.750000,0.800000,1.450000,1.450000,58300
2011-12-12,1.260000,1.400000,0.800000,1.100000,1.100000,60300
2011-12-19,1.010000,1.090000,0.810000,0.990000,0.990000,144800
2011-12-26,0.900000,1.330000,0.900000,1.300000,1.300000,91300
2012-01-02,1.290000,1.300000,0.930000,1.000000,1.000000,84200
2012-01-09,0.980000,1.050000,0.890000,0.900000,0.900000,73700
2012-01-16,0.870000,0.950000,0.840000,0.950000,0.950000,36000
2012-01-23,0.900000,1.010000,0.790000,0.960000,0.960000,148500
2012-01-30,1.010000,2.050000,1.010000,2.050000,2.050000,109500
2012-02-06,1.850000,1.850000,1.350000,1.550000,1.550000,51200
2012-02-13,1.400000,1.600000,0.850000,1.600000,1.600000,57000
2012-02-20,1.600000,1.750000,1.400000,1.550000,1.550000,34800
2012-02-27,1.600000,1.650000,1.450000,1.600000,1.600000,10300
2012-03-05,1.450000,1.450000,1.100000,1.400000,1.400000,13200
2012-03-12,1.250000,1.350000,1.200000,1.250000,1.250000,13700
2012-03-19,1.250000,1.250000,0.950000,1.050000,1.050000,18000
2012-03-26,1.050000,1.150000,1.020000,1.150000,1.150000,18900
2012-04-02,1.150000,1.300000,1.150000,1.250000,1.250000,15700
2012-04-09,1.250000,1.300000,1.200000,1.200000,1.200000,1500
2012-04-16,1.200000,1.250000,1.200000,1.250000,1.250000,1000
2012-04-23,1.250000,1.450000,1.100000,1.450000,1.450000,12500
2012-04-30,1.400000,1.400000,1.300000,1.300000,1.300000,800
2012-05-07,1.300000,1.300000,1.200000,1.200000,1.200000,1500
2012-05-14,1.200000,1.200000,1.200000,1.200000,1.200000,0
2012-05-21,1.100000,1.100000,0.900000,1.050000,1.050000,45400
2012-05-28,1.050000,1.050000,0.930000,1.030000,1.030000,16100
2012-06-04,1.030000,1.030000,1.030000,1.030000,1.030000,2200
2012-06-11,0.910000,1.050000,0.800000,1.000000,1.000000,76100
2012-06-18,1.000000,1.500000,0.730000,1.450000,1.450000,15300
2012-06-25,1.450000,1.600000,1.390000,1.590000,1.590000,53300
2012-07-02,1.640000,2.050000,1.460000,2.050000,2.050000,81100
2012-07-09,2.050000,2.220000,1.750000,2.150000,2.150000,186400
2012-07-16,1.970000,2.450000,1.970000,2.200000,2.200000,50700
2012-07-23,2.000000,2.270000,1.600000,2.200000,2.200000,66200
2012-07-30,2.200000,2.380000,2.100000,2.350000,2.350000,30900
2012-08-06,2.250000,2.350000,2.150000,2.260000,2.260000,95600
2012-08-13,2.250000,2.250000,2.050000,2.050000,2.050000,69800
2012-08-20,2.050000,2.100000,1.140000,2.100000,2.100000,34600
2012-08-27,1.990000,2.100000,1.850000,1.900000,1.900000,22300
2012-09-03,1.900000,2.000000,1.700000,2.000000,2.000000,23200
2012-09-10,2.000000,2.090000,1.900000,1.990000,1.990000,43200
2012-09-17,2.000000,2.000000,1.850000,1.950000,1.950000,12300
2012-09-24,1.950000,2.100000,1.900000,2.070000,2.070000,88000
2012-10-01,2.060000,2.070000,1.900000,1.900000,1.900000,15700
2012-10-08,1.900000,2.100000,1.900000,2.090000,2.090000,49000
2012-10-15,2.080000,2.080000,1.820000,2.000000,2.000000,27200
2012-10-22,1.990000,1.990000,1.750000,1.900000,1.900000,13300
2012-10-29,1.900000,2.000000,1.700000,1.910000,1.910000,19400
2012-11-05,1.950000,1.950000,1.600000,1.750000,1.750000,7500
2012-11-12,1.650000,1.850000,1.650000,1.840000,1.840000,73800
2012-11-19,1.850000,2.290000,1.850000,2.230000,2.230000,218400
2012-11-26,2.220000,2.300000,2.000000,2.290000,2.290000,82800
