Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,2.406250,3.125000,2.281250,3.125000,3.125000,90900
2000-01-08,3.218750,4.000000,3.125000,3.125000,3.125000,120800
2000-01-15,3.250000,3.437500,3.093750,3.375000,3.375000,35800
2000-01-22,3.468750,3.812500,3.281250,3.656250,3.656250,40200
2000-01-29,3.640625,3.750000,3.000000,3.125000,3.125000,78300
2000-02-05,3.156250,3.156250,2.250000,2.750000,2.750000,51900
2000-02-12,2.750000,2.937500,2.750000,2.781250,2.781250,31600
2000-02-19,2.781250,2.781250,2.625000,2.625000,2.625000,7900
2000-02-26,2.734375,2.812500,2.500000,2.500000,2.500000,72100
2000-03-04,2.625000,3.125000,2.625000,2.937500,2.937500,81900
2000-03-11,2.875000,3.125000,2.500000,3.000000,3.000000,73900
2000-03-18,3.000000,3.375000,2.750000,3.000000,3.000000,100100
2000-03-25,3.000000,3.031250,2.750000,3.000000,3.000000,17800
2000-04-01,3.015625,3.078125,2.750000,2.750000,2.750000,27400
2000-04-08,3.000000,3.125000,2.250000,2.312500,2.312500,16000
2000-04-15,2.375000,2.750000,2.312500,2.500000,2.500000,28600
2000-04-22,2.640625,2.750000,2.562500,2.750000,2.750000,10500
2000-04-29,2.687500,2.750000,2.656250,2.750000,2.750000,6900
2000-05-06,2.750000,2.750000,2.625000,2.687500,2.687500,13100
2000-05-13,2.687500,2.687500,2.562500,2.687500,2.687500,10900
2000-05-20,2.687500,2.687500,2.406250,2.406250,2.406250,40800
2000-05-27,2.406250,2.437500,2.406250,2.406250,2.406250,2200
2000-06-03,2.406250,2.406250,2.375000,2.375000,2.375000,2500
2000-06-10,2.437500,2.437500,2.000000,2.093750,2.093750,42100
2000-06-17,2.125000,2.218750,2.125000,2.187500,2.187500,15500
2000-06-24,2.312500,2.312500,2.187500,2.250000,2.250000,39800
2000-07-01,2.250000,2.250000,1.812500,1.875000,1.875000,24300
2000-07-08,1.875000,1.937500,1.875000,1.937500,1.937500,11000
2000-07-15,1.968750,2.750000,1.750000,2.687500,2.687500,97400
2000-07-22,2.500000,2.875000,1.781250,1.875000,1.875000,216900
2000-07-29,2.000000,2.000000,1.687500,2.000000,2.000000,26000
2000-08-05,1.781250,2.500000,1.781250,2.281250,2.281250,33300
2000-08-12,2.281250,3.281250,2.000000,2.750000,2.750000,92600
2000-08-19,2.500000,2.937500,2.156250,2.437500,2.437500,40800
2000-08-26,2.375000,3.750000,2.375000,3.125000,3.125000,111800
2000-09-02,3.031250,3.062500,3.000000,3.000000,3.000000,24500
2000-09-09,3.062500,3.218750,2.343750,2.406250,2.406250,36300
2000-09-16,2.437500,2.437500,2.000000,2.375000,2.375000,74900
2000-09-23,2.125000,2.750000,2.125000,2.750000,2.750000,22900
2000-09-30,2.312500,2.375000,2.218750,2.218750,2.218750,8500
2000-10-07,2.125000,2.250000,2.000000,2.250000,2.250000,10600
2000-10-14,2.000000,2.125000,2.000000,2.125000,2.125000,11700
2000-10-21,2.250000,2.250000,2.000000,2.250000,2.250000,27400
2000-10-28,2.062500,2.156250,1.406250,1.906250,1.906250,99600
2000-11-04,1.906250,2.062500,1.906250,1.937500,1.937500,57300
2000-11-11,2.000000,2.000000,1.781250,1.781250,1.781250,22000
2000-11-18,1.781250,1.781250,1.187500,1.406250,1.406250,152800
2000-11-25,1.750000,1.843750,1.187500,1.250000,1.250000,94900
2000-12-02,1.250000,1.531250,0.781250,1.156250,1.156250,69700
2000-12-09,1.156250,1.281250,0.937500,1.125000,1.125000,97500
2000-12-16,1.093750,1.093750,0.875000,1.000000,1.000000,230600
2000-12-23,1.000000,1.093750,0.656250,1.000000,1.000000,189500
2000-12-30,0.984375,1.125000,0.937500,1.125000,1.125000,19500
2001-01-06,1.218750,1.562500,1.203125,1.312500,1.312500,11900
2001-01-13,1.312500,1.437500,1.312500,1.375000,1.375000,1700
2001-01-20,1.375000,1.500000,1.375000,1.437500,1.437500,18900
2001-01-27,1.500000,1.843750,1.500000,1.687500,1.687500,20600
2001-02-03,1.562500,1.781250,1.562500,1.781250,1.781250,2100
2001-02-10,1.656250,2.062500,1.406250,1.687500,1.687500,41700
2001-02-17,1.781250,1.781250,1.531250,1.625000,1.625000,10800
2001-02-24,1.625000,2.312500,1.625000,2.218750,2.218750,44900
2001-03-03,2.062500,2.656250,2.062500,2.656250,2.656250,12000
2001-03-10,2.437500,2.437500,2.125000,2.125000,2.125000,5300
2001-03-17,2.125000,2.125000,1.906250,1.906250,1.906250,2000
2001-03-24,1.984375,1.984375,1.500000,1.625000,1.625000,20100
2001-03-31,1.625000,1.625000,1.625000,1.625000,1.625000,1600
2001-04-07,1.700000,1.700000,1.500000,1.600000,1.600000,22700
2001-04-14,1.550000,2.200000,1.550000,1.820000,1.820000,24700
2001-04-21,1.800000,2.080000,1.600000,2.040000,2.040000,49800
2001-04-28,2.180000,2.490000,2.100000,2.250000,2.250000,12900
2001-05-05,2.250000,2.450000,1.600000,1.800000,1.800000,33400
2001-05-12,1.800000,3.000000,1.800000,2.900000,2.900000,68900
2001-05-19,2.450000,2.750000,2.400000,2.400000,2.400000,16500
2001-05-26,2.400000,2.500000,2.400000,2.500000,2.500000,5200
2001-06-02,2.420000,2.420000,2.200000,2.200000,2.200000,11700
2001-06-09,2.200000,2.350000,2.160000,2.160000,2.160000,6800
2001-06-16,2.160000,2.250000,1.750000,2.150000,2.150000,10500
2001-06-23,2.160000,2.200000,1.950000,1.950000,1.950000,6100
2001-06-30,1.950000,2.000000,1.950000,2.000000,2.000000,300
2001-07-07,2.000000,2.200000,1.850000,1.900000,1.900000,11200
2001-07-14,1.950000,2.300000,1.700000,2.280000,2.280000,17600
2001-07-21,2.280000,2.800000,2.150000,2.500000,2.500000,43400
2001-07-28,2.500000,3.110000,2.500000,2.640000,2.640000,104000
2001-08-04,2.640000,2.700000,2.300000,2.300000,2.300000,5200
2001-08-11,2.310000,2.410000,1.800000,2.100000,2.100000,14300
2001-08-18,2.010000,2.250000,1.930000,2.000000,2.000000,32400
2001-08-25,2.000000,2.250000,2.000000,2.250000,2.250000,23700
2001-09-01,2.250000,2.250000,1.900000,1.900000,1.900000,1800
2001-09-08,1.900000,1.900000,1.900000,1.900000,1.900000,0
2001-09-15,1.900000,2.100000,1.650000,1.650000,1.650000,6600
2001-09-22,1.650000,1.650000,0.980000,1.100000,1.100000,25300
2001-09-29,1.100000,1.540000,1.100000,1.330000,1.330000,23800
2001-10-06,1.330000,1.770000,1.330000,1.770000,1.770000,10100
2001-10-13,1.770000,1.770000,1.550000,1.550000,1.550000,5400
2001-10-20,1.550000,1.700000,1.400000,1.400000,1.400000,800
2001-10-27,1.410000,1.820000,1.410000,1.820000,1.820000,1700
2001-11-03,1.820000,1.820000,1.500000,1.500000,1.500000,1400
2001-11-10,1.500000,1.700000,1.500000,1.500000,1.500000,2200
2001-11-17,1.500000,1.600000,1.300000,1.600000,1.600000,9300
2001-11-24,1.600000,1.620000,1.500000,1.510000,1.510000,6300
2001-12-01,1.650000,1.650000,1.170000,1.610000,1.610000,48300
2001-12-08,1.510000,1.510000,1.070000,1.070000,1.070000,12000
2001-12-15,1.150000,1.290000,1.110000,1.290000,1.290000,47200
2001-12-22,1.150000,1.350000,1.150000,1.350000,1.350000,66400
2001-12-29,1.370000,1.900000,1.370000,1.500000,1.500000,67300
2002-01-05,1.500000,1.690000,1.450000,1.450000,1.450000,36400
2002-01-12,1.720000,1.750000,1.550000,1.550000,1.550000,3700
2002-01-19,1.550000,1.800000,1.500000,1.800000,1.800000,4600
2002-01-26,1.750000,1.750000,1.750000,1.750000,1.750000,1600
2002-02-02,1.650000,1.750000,1.450000,1.550000,1.550000,18200
2002-02-09,1.410000,1.550000,1.130000,1.450000,1.450000,12100
2002-02-16,1.310000,1.310000,0.950000,1.150000,1.150000,19500
2002-02-23,1.150000,1.160000,1.060000,1.120000,1.120000,12500
2002-03-02,1.190000,1.400000,1.100000,1.200000,1.200000,17200
2002-03-09,1.100000,1.210000,1.100000,1.100000,1.100000,9100
2002-03-16,1.200000,1.200000,1.030000,1.100000,1.100000,13500
2002-03-23,1.100000,1.150000,1.100000,1.150000,1.150000,2000
2002-03-30,1.130000,1.130000,1.100000,1.100000,1.100000,15500
2002-04-06,1.100000,1.100000,1.000000,1.030000,1.030000,8100
2002-04-13,1.040000,1.150000,1.010000,1.010000,1.010000,7400
2002-04-20,1.050000,1.150000,1.000000,1.000000,1.000000,22200
2002-04-27,1.000000,1.000000,1.000000,1.000000,1.000000,17800
2002-05-04,1.000000,1.150000,1.000000,1.150000,1.150000,6100
2002-05-11,1.150000,1.180000,1.050000,1.060000,1.060000,29800
2002-05-18,1.060000,1.060000,0.820000,1.050000,1.050000,6100
2002-05-25,1.080000,1.080000,1.000000,1.000000,1.000000,3400
2002-06-01,0.940000,1.050000,0.930000,0.930000,0.930000,4700
2002-06-08,0.930000,0.930000,0.820000,0.900000,0.900000,17100
2002-06-15,0.900000,1.080000,0.820000,0.820000,0.820000,8700
2002-06-22,0.850000,0.990000,0.850000,0.900000,0.900000,23000
2002-06-29,0.900000,1.000000,0.900000,0.900000,0.900000,1800
2002-07-06,0.900000,0.900000,0.840000,0.840000,0.840000,4000
2002-07-13,0.840000,0.890000,0.820000,0.890000,0.890000,11000
2002-07-20,0.770000,0.800000,0.500000,0.650000,0.650000,11100
2002-07-27,0.650000,0.880000,0.650000,0.860000,0.860000,7700
2002-08-03,0.800000,0.870000,0.800000,0.860000,0.860000,26700
2002-08-10,0.860000,1.000000,0.750000,0.950000,0.950000,47000
2002-08-17,1.000000,1.100000,0.940000,1.000000,1.000000,172200
2002-08-24,1.000000,1.240000,0.950000,1.240000,1.240000,35200
2002-08-31,1.140000,1.300000,1.050000,1.110000,1.110000,6600
2002-09-07,1.110000,1.150000,0.990000,1.010000,1.010000,14800
2002-09-14,1.110000,1.300000,0.870000,1.300000,1.300000,44100
2002-09-21,1.200000,1.200000,1.200000,1.200000,1.200000,1300
2002-09-28,1.190000,1.210000,1.020000,1.020000,1.020000,4200
2002-10-05,0.970000,1.250000,0.950000,0.950000,0.950000,24100
2002-10-12,0.950000,1.250000,0.650000,1.050000,1.050000,31800
2002-10-19,1.050000,1.650000,1.050000,1.500000,1.500000,53900
2002-10-26,1.500000,1.600000,1.300000,1.500000,1.500000,24000
2002-11-02,1.500000,1.550000,1.450000,1.540000,1.540000,19700
2002-11-09,1.500000,1.800000,1.500000,1.800000,1.800000,47400
2002-11-16,1.800000,2.140000,1.740000,1.790000,1.790000,25000
2002-11-23,1.820000,2.200000,1.800000,2.200000,2.200000,26900
2002-11-30,2.200000,2.200000,1.600000,2.150000,2.150000,4600
2002-12-07,2.100000,2.490000,1.830000,2.010000,2.010000,51300
2002-12-14,2.090000,2.320000,1.850000,2.010000,2.010000,11700
2002-12-21,2.010000,2.040000,1.900000,2.040000,2.040000,5800
2002-12-28,2.000000,2.120000,1.880000,2.120000,2.120000,6300
2003-01-04,2.120000,2.120000,1.950000,2.000000,2.000000,3000
2003-01-11,2.120000,2.230000,1.720000,2.020000,2.020000,35200
2003-01-18,1.950000,1.970000,1.450000,1.700000,1.700000,25100
2003-01-25,1.700000,2.300000,1.700000,2.280000,2.280000,15700
2003-02-01,2.000000,2.000000,2.000000,2.000000,2.000000,300
2003-02-08,1.900000,1.960000,1.900000,1.950000,1.950000,1400
2003-02-15,1.950000,1.950000,1.300000,1.350000,1.350000,20000
2003-02-22,1.700000,2.090000,1.300000,1.410000,1.410000,83400
2003-03-01,1.460000,1.790000,1.350000,1.500000,1.500000,27100
2003-03-08,1.480000,1.600000,1.360000,1.430000,1.430000,26500
2003-03-15,1.420000,1.420000,1.380000,1.380000,1.380000,1200
2003-03-22,1.380000,1.380000,1.250000,1.250000,1.250000,4700
2003-03-29,1.390000,1.400000,1.230000,1.230000,1.230000,4500
2003-04-05,1.230000,1.530000,1.120000,1.500000,1.500000,32000
2003-04-12,1.500000,1.580000,1.120000,1.560000,1.560000,49100
2003-04-19,1.540000,1.540000,1.310000,1.310000,1.310000,1100
2003-04-26,1.310000,1.690000,1.310000,1.370000,1.370000,8200
2003-05-03,1.370000,1.610000,1.200000,1.500000,1.500000,11400
2003-05-10,1.500000,1.500000,1.500000,1.500000,1.500000,0
2003-05-17,1.450000,1.740000,1.450000,1.530000,1.530000,1900
2003-05-24,1.530000,1.530000,1.400000,1.400000,1.400000,6500
2003-05-31,1.400000,1.640000,1.400000,1.500000,1.500000,11000
2003-06-07,1.500000,1.670000,1.300000,1.600000,1.600000,38000
2003-06-14,1.600000,1.620000,1.160000,1.620000,1.620000,9500
2003-06-21,1.320000,1.600000,1.030000,1.300000,1.300000,24200
2003-06-28,1.300000,1.710000,1.300000,1.700000,1.700000,6400
2003-07-05,1.700000,1.710000,1.600000,1.700000,1.700000,8100
2003-07-12,1.700000,1.740000,1.400000,1.740000,1.740000,26400
2003-07-19,1.790000,2.350000,1.550000,2.350000,2.350000,81500
2003-07-26,2.350000,2.400000,1.800000,2.200000,2.200000,41300
2003-08-02,2.100000,2.310000,2.100000,2.250000,2.250000,8200
2003-08-09,2.350000,2.400000,2.030000,2.070000,2.070000,14300
2003-08-16,2.070000,2.900000,1.910000,2.470000,2.470000,91800
2003-08-23,2.550000,2.600000,2.150000,2.310000,2.310000,24100
2003-08-30,2.300000,2.400000,2.030000,2.110000,2.110000,15900
2003-09-06,2.380000,2.400000,2.070000,2.210000,2.210000,16300
2003-09-13,2.260000,2.900000,2.250000,2.900000,2.900000,127200
2003-09-20,2.950000,2.950000,2.560000,2.760000,2.760000,8700
2003-09-27,2.830000,3.180000,2.650000,2.990000,2.990000,41500
2003-10-04,2.700000,3.100000,2.700000,3.040000,3.040000,4600
2003-10-11,3.030000,3.030000,2.590000,2.600000,2.600000,12600
2003-10-18,2.940000,2.940000,2.350000,2.380000,2.380000,36700
2003-10-25,2.340000,3.150000,2.200000,2.900000,2.900000,49200
2003-11-01,3.190000,3.200000,2.640000,2.950000,2.950000,68700
2003-11-08,2.800000,3.050000,2.800000,2.800000,2.800000,27200
2003-11-15,2.850000,3.530000,2.810000,3.300000,3.300000,193400
2003-11-22,3.430000,3.810000,3.210000,3.350000,3.350000,37900
2003-11-29,3.350000,3.550000,3.170000,3.210000,3.210000,125400
2003-12-06,3.180000,3.190000,2.600000,2.750000,2.750000,14900
2003-12-13,2.650000,2.740000,2.470000,2.610000,2.610000,17800
2003-12-20,2.600000,3.400000,2.600000,3.150000,3.150000,32000
2003-12-27,2.930000,3.150000,2.800000,2.920000,2.920000,8500
