Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,50.330814,50.567108,43.478260,47.022682,17.842047,122146
2000-01-08,45.841209,51.984879,42.769375,46.313801,17.573069,113285
2000-01-15,47.495274,49.385632,44.187145,47.258980,17.931711,84958
2000-01-22,47.613422,49.149338,43.478260,45.486767,17.259277,78214
2000-01-29,47.022682,47.258980,44.423439,46.077503,17.483412,78530
2000-02-05,46.077503,46.786388,44.423439,45.604916,17.304104,69907
2000-02-12,45.604916,46.077503,42.296787,43.714558,16.586840,88317
2000-02-19,41.824196,43.478260,39.697544,41.351608,15.690250,72024
2000-02-26,40.642723,44.187145,39.933838,42.769375,16.228193,104530
2000-03-04,42.060490,47.258980,41.587902,42.533081,16.138535,110878
2000-03-11,43.478260,46.550095,38.752361,45.368622,17.427853,103525
2000-03-18,46.313801,48.676750,43.005672,46.077503,17.700153,53482
2000-03-25,44.896030,47.258980,43.005672,44.187145,16.973986,80223
2000-04-01,45.841209,47.258980,43.478260,45.132324,17.337070,88899
2000-04-08,45.250473,45.841209,43.478260,45.132324,17.337070,76123
2000-04-15,44.659737,45.368622,41.587902,42.060490,16.157057,58508
2000-04-22,42.296787,45.132324,39.461246,45.132324,17.337070,90962
2000-04-29,43.478260,45.841209,42.533081,45.368622,17.427853,59487
2000-05-06,44.187145,47.731567,44.187145,46.550095,17.881706,94770
2000-05-13,46.550095,46.786388,43.005672,43.241966,16.610905,55253
2000-05-20,42.769375,46.550095,41.587902,43.478260,16.701675,77631
2000-05-27,42.887524,47.258980,42.533081,45.604916,17.518614,67580
2000-06-03,45.132324,48.204159,42.769375,43.241966,16.610905,54646
2000-06-10,43.360111,44.896030,40.642723,40.642723,15.816524,93739
2000-06-17,42.060490,43.950851,40.642723,41.115311,16.000431,75040
2000-06-24,40.642723,48.204159,39.697544,47.258980,18.391310,133731
2000-07-01,45.841209,49.149338,42.060490,49.149338,19.126955,80779
2000-07-08,49.149338,49.385632,44.896030,47.731567,18.575228,66654
2000-07-15,45.841209,49.149338,45.368622,47.022682,18.299351,51552
2000-07-22,46.786388,48.913044,44.423439,44.423439,17.287830,54198
2000-07-29,44.423439,48.204159,43.714558,46.786388,18.207392,46632
2000-08-05,46.077503,48.204159,45.368622,45.841209,17.839571,81572
2000-08-12,46.195652,47.967865,44.423439,45.368622,17.655661,99346
2000-08-19,46.313801,47.731567,45.368622,47.258980,18.391310,41210
2000-08-26,46.786388,49.149338,45.841209,47.967865,18.667171,39198
2000-09-02,47.967865,48.676750,45.368622,47.022682,18.299351,57951
2000-09-09,46.550095,47.731567,45.486767,46.786388,18.424152,62370
2000-09-16,46.550095,47.731567,46.313801,46.786388,18.424152,71151
2000-09-23,47.258980,48.204159,45.841209,46.550095,18.331114,84931
2000-09-30,47.258980,48.204159,45.841209,46.786388,18.424152,54275
2000-10-07,46.609169,46.609169,45.132324,46.313801,18.238041,76097
2000-10-14,46.550095,51.358696,42.391304,49.728260,19.582636,99004
2000-10-21,49.728260,50.000000,47.282608,47.826088,18.833574,39767
2000-10-28,49.728260,52.717392,47.078804,51.630436,20.331697,126178
2000-11-04,51.630436,52.173912,48.369564,50.815216,20.010675,65251
2000-11-11,50.815216,52.173912,47.282608,49.456524,19.475641,47518
2000-11-18,49.388588,50.000000,46.739128,49.728260,19.582636,23851
2000-11-25,49.660324,49.728260,44.565216,47.282608,18.619564,65941
2000-12-02,45.652176,51.086956,45.380436,51.086956,20.117691,96002
2000-12-09,50.271740,52.445652,48.913044,52.173912,20.823364,271101
2000-12-16,52.173912,54.347824,50.815216,54.347824,21.691004,173604
2000-12-23,52.717392,56.793476,51.630436,52.989128,21.148726,103201
2000-12-30,55.978260,56.521740,50.135872,51.358696,20.497992,121164
2001-01-06,50.815216,53.260872,49.184784,52.445652,20.931816,84709
2001-01-13,52.445652,57.608696,51.086956,55.434784,22.124832,238717
2001-01-20,55.434784,58.967392,54.076088,54.619564,21.799456,214567
2001-01-27,55.434784,56.521740,53.532608,54.347824,21.691004,67873
2001-02-03,53.804348,58.695652,53.532608,54.891304,21.907917,61088
2001-02-10,55.706524,60.597824,54.619564,57.336956,22.884012,119347
2001-02-17,57.336956,59.239128,50.543476,56.521740,22.558649,48392
2001-02-24,56.861412,57.065216,52.173912,54.483696,21.745230,41883
2001-03-03,54.619564,55.434784,50.271740,51.630436,20.606449,42228
2001-03-10,53.260872,53.260872,48.097824,48.097824,19.432081,67229
2001-03-17,48.913044,52.445652,48.641304,51.086956,20.639727,86365
2001-03-24,50.271740,58.152176,47.826088,55.978260,22.615864,120612
2001-03-31,55.978260,58.695652,52.173912,54.347824,21.957144,67367
2001-04-07,55.347824,57.608696,52.608696,55.217392,22.308460,36156
2001-04-14,55.217392,55.869564,51.304348,52.434784,21.184261,34983
2001-04-21,53.521740,53.521740,50.478260,53.260872,21.518009,53567
2001-04-28,52.652176,53.347824,51.565216,53.217392,21.500443,64193
2001-05-05,53.086956,53.260872,51.739128,53.086956,21.447748,61226
2001-05-12,53.347824,53.826088,51.826088,52.608696,21.254524,73071
2001-05-19,52.434784,53.695652,52.173912,52.521740,21.219395,67528
2001-05-26,53.000000,53.173912,51.000000,51.739128,20.903206,97704
2001-06-02,51.478260,53.434784,50.869564,50.869564,20.551903,71714
2001-06-09,51.043476,51.478260,48.913044,50.434784,20.628414,70702
2001-06-16,50.000000,51.608696,49.173912,51.086956,20.895168,73899
2001-06-23,51.217392,58.695652,48.521740,58.043476,23.740463,84893
2001-06-30,56.956524,57.260872,51.869564,52.608696,21.517576,70610
2001-07-07,52.695652,55.391304,52.391304,54.826088,22.424519,70219
2001-07-14,55.391304,56.521740,53.695652,56.521740,23.118055,47058
2001-07-21,56.260872,56.739128,52.434784,56.304348,23.029139,77717
2001-07-28,56.130436,61.695652,55.652176,60.086956,24.576275,72611
2001-08-04,59.608696,61.956524,56.782608,58.869564,24.078344,62583
2001-08-11,60.130436,60.130436,57.652176,58.347824,23.864939,84640
2001-08-18,59.000000,59.913044,56.521740,57.391304,23.473722,77786
2001-08-25,57.173912,60.695652,56.739128,59.565216,24.362873,82018
2001-09-01,60.434784,60.956524,57.608696,58.608696,23.971636,107755
2001-09-08,58.913044,58.913044,57.173912,57.608696,23.820620,11845
2001-09-15,57.739128,60.434784,54.739128,56.086956,23.191393,84433
2001-09-22,58.000000,60.869564,56.304348,59.739128,24.701527,75509
2001-09-29,61.043476,65.869568,57.652176,61.956524,25.618412,102258
2001-10-06,62.043476,62.695652,57.608696,57.869564,23.928484,79879
2001-10-13,58.913044,64.250000,57.347824,61.250000,25.326263,178181
2001-10-20,62.250000,62.250000,60.000000,60.250000,24.912767,114720
2001-10-27,59.799999,60.950001,58.250000,59.299999,24.519955,57540
2001-11-03,59.700001,60.250000,56.549999,58.299999,24.106468,67600
2001-11-10,58.549999,60.200001,56.299999,57.799999,23.899721,90480
2001-11-17,57.849998,60.000000,57.250000,59.549999,24.623318,47920
2001-11-24,59.750000,60.849998,58.099998,60.799999,25.140188,75960
2001-12-01,60.250000,62.500000,59.349998,61.150002,25.284922,69420
2001-12-08,61.500000,61.950001,59.299999,60.250000,25.224960,74620
2001-12-15,59.750000,64.000000,59.750000,64.000000,26.794983,193000
2001-12-22,63.750000,67.500000,62.549999,65.400002,27.381117,62900
2001-12-29,65.750000,67.000000,62.599998,65.050003,27.234585,117800
2002-01-05,66.500000,66.750000,63.700001,63.950001,26.774052,66460
2002-01-12,64.000000,67.500000,63.700001,65.050003,27.234585,134000
2002-01-19,65.250000,66.250000,63.700001,65.000000,27.213650,93460
2002-01-26,66.449997,66.500000,62.000000,62.650002,26.229778,103180
2002-02-02,62.549999,63.049999,57.500000,60.799999,25.455236,142580
2002-02-09,60.650002,64.449997,59.250000,62.750000,26.271641,96580
2002-02-16,63.450001,64.250000,60.750000,63.549999,26.606569,87520
2002-02-23,63.700001,65.000000,61.549999,65.000000,27.213650,77520
2002-03-02,64.699997,66.150002,63.799999,64.300003,26.920597,104120
2002-03-09,65.050003,65.699997,62.250000,64.650002,27.379192,140420
2002-03-16,64.699997,66.750000,63.700001,65.199997,27.612125,71400
2002-03-23,65.250000,66.349998,64.250000,64.550003,27.336840,55900
2002-03-30,65.000000,66.400002,63.750000,64.000000,27.103912,83500
2002-04-06,64.199997,66.500000,62.750000,65.750000,27.845036,106020
2002-04-13,65.750000,67.000000,64.500000,64.550003,27.336840,88920
2002-04-20,64.750000,66.250000,63.950001,64.199997,27.188610,98720
2002-04-27,64.400002,67.250000,63.950001,65.349998,27.675642,160680
2002-05-04,65.900002,67.000000,64.300003,64.599998,27.358015,146960
2002-05-11,64.750000,65.900002,64.500000,65.349998,27.675642,136660
2002-05-18,64.949997,66.500000,63.849998,65.250000,27.633293,133640
2002-05-25,65.050003,65.250000,63.250000,64.099998,27.146275,82320
2002-06-01,63.900002,64.650002,59.000000,61.599998,26.087526,130720
2002-06-08,61.000000,61.950001,54.250000,59.950001,25.702961,137200
2002-06-15,60.549999,62.450001,58.200001,60.200001,25.810150,124220
2002-06-22,59.650002,66.000000,58.750000,65.849998,28.232527,209660
2002-06-29,66.449997,66.750000,60.049999,63.950001,27.417933,101960
2002-07-06,63.849998,64.250000,60.849998,60.849998,26.088829,82160
2002-07-13,60.900002,61.950001,58.750000,59.250000,25.402857,105200
2002-07-20,60.000000,61.950001,54.099998,61.950001,26.560438,199960
2002-07-27,61.950001,65.500000,61.000000,61.200001,26.238886,162060
2002-08-03,61.200001,63.250000,60.299999,62.250000,26.689068,84540
2002-08-10,62.150002,62.500000,60.000000,61.450001,26.346073,87340
2002-08-17,61.500000,62.450001,60.200001,60.200001,25.810150,114420
2002-08-24,60.900002,62.000000,60.000000,60.000000,25.724405,143740
2002-08-31,60.400002,61.049999,57.900002,59.250000,25.402857,108420
2002-09-07,59.200001,60.599998,56.200001,58.750000,25.519020,130160
2002-09-14,58.750000,59.099998,48.250000,48.349998,21.001621,291100
2002-09-21,46.400002,52.200001,43.750000,51.299999,22.283003,314500
2002-09-28,51.250000,55.950001,48.450001,49.099998,21.327391,248780
2002-10-05,48.900002,53.000000,47.500000,50.450001,21.913780,218180
2002-10-12,49.799999,54.750000,48.500000,53.950001,23.434067,140980
2002-10-19,52.799999,56.450001,52.799999,55.650002,24.172501,115780
2002-10-26,55.450001,56.250000,52.750000,56.000000,24.324526,114900
2002-11-02,55.000000,56.750000,52.900002,54.250000,23.564381,114180
2002-11-09,54.500000,55.950001,52.299999,55.250000,23.998747,84560
2002-11-16,55.250000,56.650002,53.000000,55.599998,24.150776,88180
2002-11-23,55.950001,57.500000,54.349998,55.099998,23.933596,93220
2002-11-30,55.049999,57.250000,52.849998,54.700001,23.759855,95460
2002-12-07,55.000000,57.000000,52.750000,55.299999,24.348923,163580
2002-12-14,55.000000,57.500000,52.500000,56.500000,24.877283,194280
2002-12-21,56.200001,57.650002,54.599998,54.750000,24.106739,73520
2002-12-28,55.000000,56.650002,53.599998,56.000000,24.657129,143960
2003-01-04,56.900002,57.000000,54.799999,55.099998,24.260849,136420
2003-01-11,55.299999,56.799999,53.299999,53.799999,23.688459,95260
2003-01-18,54.500000,54.950001,52.150002,52.349998,23.050005,133100
2003-01-25,52.700001,53.150002,51.000000,51.599998,22.719788,143980
2003-02-01,51.450001,52.400002,49.650002,49.700001,21.883202,168540
2003-02-08,50.500000,51.900002,48.650002,51.799999,22.807858,191040
2003-02-15,51.450001,52.650002,49.099998,52.500000,23.116062,85240
2003-02-22,52.200001,52.200001,49.450001,50.099998,22.059322,111680
2003-03-01,50.150002,51.500000,48.799999,50.000000,22.015301,105500
2003-03-08,50.250000,50.500000,47.500000,49.200001,21.986700,169580
2003-03-15,48.750000,53.500000,48.500000,51.500000,23.014532,145780
2003-03-22,51.000000,51.250000,49.250000,49.299999,22.031393,71700
2003-03-29,49.849998,52.049999,48.150002,50.799999,22.701717,149840
2003-04-05,51.799999,52.500000,50.500000,50.500000,22.567656,96720
2003-04-12,51.049999,51.299999,49.950001,50.450001,22.545303,69240
2003-04-19,50.450001,51.599998,50.000000,51.049999,22.813438,161260
2003-04-26,51.450001,53.500000,51.049999,52.650002,23.528450,150720
2003-05-03,52.250000,54.000000,52.250000,54.000000,24.131744,170960
2003-05-10,54.000000,54.799999,52.349998,53.549999,23.930641,176460
2003-05-17,53.250000,55.349998,52.750000,54.900002,24.533945,160880
2003-05-24,55.450001,57.500000,54.049999,57.299999,25.606457,223460
2003-05-31,57.400002,58.750000,56.500000,56.700001,25.338335,214200
2003-06-07,56.700001,58.450001,56.200001,57.099998,25.852251,146100
2003-06-14,57.400002,58.400002,56.750000,57.750000,26.146538,146860
2003-06-21,58.450001,58.650002,55.700001,56.900002,25.761702,127160
2003-06-28,57.049999,57.500000,54.049999,56.599998,25.625874,162820
2003-07-05,57.099998,59.000000,56.500000,58.700001,26.576649,136460
2003-07-12,58.799999,59.250000,57.549999,58.900002,26.667204,117700
2003-07-19,59.349998,61.700001,58.000000,58.799999,26.621933,154900
2003-07-26,58.950001,62.450001,58.500000,59.950001,27.142597,244060
2003-08-02,60.500000,60.849998,58.799999,59.599998,26.984137,145500
2003-08-09,59.900002,63.000000,59.000000,61.500000,27.844362,166080
2003-08-16,61.750000,66.199997,61.750000,63.700001,28.840427,227840
2003-08-23,63.700001,65.650002,63.099998,64.400002,29.157351,167380
2003-08-30,64.900002,67.349998,64.599998,64.900002,29.383736,300840
2003-09-06,64.750000,66.300003,63.000000,64.400002,29.488688,155900
2003-09-13,64.599998,66.750000,64.000000,66.750000,30.564751,142920
2003-09-20,66.449997,66.449997,60.750000,61.599998,28.206572,158360
2003-09-27,61.799999,65.000000,60.500000,64.599998,29.580257,184320
2003-10-04,64.849998,65.500000,63.450001,64.449997,29.511580,126180
2003-10-11,64.699997,65.949997,63.650002,63.799999,29.213943,144880
2003-10-18,65.099998,65.150002,61.250000,61.250000,28.046299,125420
2003-10-25,61.900002,66.250000,61.299999,65.250000,29.877897,181860
2003-11-01,65.250000,67.500000,64.800003,66.750000,30.564751,279880
2003-11-08,66.750000,67.449997,65.000000,66.199997,30.312910,156720
2003-11-15,66.500000,68.150002,64.949997,67.900002,31.091324,190060
2003-11-22,67.650002,71.099998,67.300003,69.750000,31.938454,134760
2003-11-29,69.949997,71.250000,65.000000,65.199997,29.855013,294980
2003-12-06,64.849998,67.449997,63.700001,66.199997,30.639324,195120
2003-12-13,67.500000,67.500000,64.500000,66.650002,30.847589,133140
2003-12-20,66.550003,68.349998,65.449997,67.500000,31.240993,68880
2003-12-27,67.199997,68.949997,65.750000,66.849998,30.940157,122440
2004-01-03,68.199997,68.650002,66.000000,66.599998,30.824430,149760
2004-01-10,67.050003,68.750000,66.050003,67.150002,31.079000,139920
2004-01-17,67.949997,70.000000,67.050003,69.949997,32.374916,131820
2004-01-24,69.449997,70.500000,67.000000,67.449997,31.217842,169860
2004-01-31,67.750000,69.099998,65.050003,69.000000,31.935234,157060
2004-02-07,69.449997,70.000000,67.650002,67.849998,31.402994,156580
2004-02-14,67.599998,69.449997,67.599998,67.800003,31.379827,327580
2004-02-21,68.500000,68.800003,67.349998,67.599998,31.287270,223560
2004-02-28,68.150002,68.599998,66.750000,68.199997,31.564974,201600
2004-03-06,67.550003,68.099998,65.050003,66.949997,31.335394,169040
2004-03-13,65.599998,67.500000,64.550003,64.900002,30.375902,170980
2004-03-20,65.199997,65.699997,63.200001,65.050003,30.446106,172400
2004-03-27,65.699997,69.000000,65.000000,68.949997,32.271461,200200
2004-04-03,68.150002,69.000000,66.900002,66.900002,31.311974,143480
2004-04-10,67.050003,68.300003,64.349998,65.050003,30.446106,196020
2004-04-17,65.500000,66.500000,63.599998,64.550003,30.212093,210760
2004-04-24,64.849998,65.250000,62.099998,63.049999,29.510017,219180
2004-05-01,62.549999,65.849998,59.500000,59.950001,28.059095,223880
2004-05-08,59.250000,62.950001,59.000000,61.950001,28.995174,181180
2004-05-15,61.400002,63.200001,60.000000,62.250000,29.135592,163420
2004-05-22,62.250000,65.500000,61.599998,64.400002,30.141878,149300
2004-05-29,65.199997,65.250000,62.400002,63.450001,29.697233,119800
2004-06-05,65.250000,65.500000,63.650002,63.650002,30.142984,128940
2004-06-12,63.599998,64.500000,61.549999,62.849998,29.764133,213980
2004-06-19,62.500000,65.000000,62.049999,63.200001,29.929882,202740
2004-06-26,64.250000,66.000000,62.950001,65.199997,30.877031,167560
2004-07-03,64.750000,65.199997,63.099998,63.849998,30.237700,107300
2004-07-10,64.550003,65.099998,62.299999,64.199997,30.403456,116220
2004-07-17,63.750000,64.949997,61.900002,62.549999,29.622053,137200
2004-07-24,62.900002,64.150002,61.599998,63.200001,29.929882,142260
2004-07-31,62.450001,63.549999,60.849998,60.849998,28.816977,148820
2004-08-07,60.549999,62.250000,60.549999,61.750000,29.243195,146540
2004-08-14,62.200001,64.349998,61.849998,64.349998,30.474485,180340
2004-08-21,64.900002,65.250000,63.700001,64.449997,30.521841,155280
2004-08-28,64.349998,67.400002,63.599998,64.500000,30.545530,186160
2004-09-04,64.800003,65.650002,63.750000,65.349998,31.309320,145260
2004-09-11,65.900002,66.900002,64.800003,65.300003,31.285372,194960
2004-09-18,66.150002,66.150002,63.250000,63.349998,30.351120,117220
2004-09-25,64.400002,65.550003,62.599998,65.500000,31.381191,167600
2004-10-02,65.500000,66.250000,64.099998,64.150002,30.734400,129240
2004-10-09,63.750000,66.199997,63.650002,65.000000,31.141632,142060
2004-10-16,66.000000,66.449997,64.500000,64.599998,30.950003,135680
2004-10-23,64.199997,67.900002,64.199997,66.949997,32.075882,266040
2004-10-30,66.599998,68.750000,66.000000,68.300003,32.722668,209600
2004-11-06,67.650002,70.699997,67.650002,70.199997,33.632973,220020
2004-11-13,69.550003,70.650002,67.750000,67.750000,32.459167,124480
2004-11-20,68.199997,70.650002,67.949997,69.949997,33.513184,121940
2004-11-27,70.699997,70.949997,68.599998,68.599998,32.866394,285100
2004-12-04,69.599998,69.699997,65.900002,67.750000,32.808189,174440
2004-12-11,68.199997,70.000000,67.800003,68.400002,33.122963,156520
2004-12-18,68.949997,69.949997,67.900002,69.500000,33.655632,87700
2004-12-25,70.000000,70.400002,68.300003,68.949997,33.389290,110680
2005-01-01,69.849998,69.849998,63.250000,63.900002,30.943811,245060
2005-01-08,63.799999,65.150002,62.500000,63.000000,30.507986,179780
2005-01-15,63.000000,64.650002,60.049999,60.750000,29.418419,253000
