Date,Open,High,Low,Close,Adj Close,Volume
2018-09-10,9.580000,9.620000,9.550000,9.580000,9.580000,2763800
2018-09-17,9.570000,9.580000,9.520000,9.570000,9.570000,78700
2018-09-24,9.570000,9.830000,9.530000,9.550000,9.550000,1794000
2018-10-01,9.540000,9.570000,9.520000,9.560000,9.560000,293000
2018-10-08,9.550000,9.560000,9.530000,9.550000,9.550000,227500
2018-10-15,9.550000,9.550000,9.530000,9.550000,9.550000,27100
2018-10-22,9.550000,9.730000,9.540000,9.730000,9.730000,301500
2018-10-29,9.630000,9.630000,9.630000,9.630000,9.630000,400
2018-11-05,9.630000,9.680000,9.600000,9.630000,9.630000,741600
2018-11-12,9.630000,9.650000,9.520000,9.640000,9.640000,726300
2018-11-19,9.630000,9.700000,9.620000,9.620000,9.620000,469900
2018-11-26,9.620000,9.690000,9.620000,9.660000,9.660000,404200
2018-12-03,9.670000,9.700000,9.670000,9.690000,9.690000,50800
2018-12-10,9.680000,9.690000,9.630000,9.650000,9.650000,247000
2018-12-17,9.670000,9.700000,9.640000,9.650000,9.650000,1571100
2018-12-24,9.680000,9.700000,9.630000,9.650000,9.650000,65000
2018-12-31,9.650000,9.680000,9.650000,9.680000,9.680000,23600
2019-01-07,9.700000,9.800000,9.700000,9.740000,9.740000,758500
2019-01-14,9.740000,9.850000,9.710000,9.790000,9.790000,43500
2019-01-21,9.800000,9.800000,9.770000,9.780000,9.780000,67500
2019-01-28,9.780000,9.870000,9.780000,9.870000,9.870000,289200
2019-02-04,9.850000,9.870000,9.850000,9.860000,9.860000,117200
2019-02-11,9.870000,9.950000,9.850000,9.850000,9.850000,553700
2019-02-18,9.850000,9.880000,9.800000,9.870000,9.870000,225700
2019-02-25,9.870000,9.890000,9.850000,9.870000,9.870000,94000
2019-03-04,9.860000,9.860000,9.860000,9.860000,9.860000,100500
2019-03-11,9.890000,9.900000,9.800000,9.890000,9.890000,64000
2019-03-18,9.890000,9.910000,9.880000,9.910000,9.910000,141300
2019-03-25,9.920000,9.920000,9.840000,9.910000,9.910000,14000
2019-04-01,9.920000,9.950000,9.900000,9.950000,9.950000,1678000
2019-04-08,9.950000,9.980000,9.920000,9.930000,9.930000,56600
2019-04-15,9.940000,9.970000,9.940000,9.950000,9.950000,106500
2019-04-22,9.950000,9.960000,9.940000,9.950000,9.950000,791900
2019-04-29,9.950000,9.980000,9.950000,9.970000,9.970000,46900
2019-05-06,9.970000,9.980000,9.970000,9.980000,9.980000,2700
2019-05-13,9.980000,10.000000,9.970000,9.970000,9.970000,52200
2019-05-20,9.970000,10.010000,9.970000,10.000000,10.000000,35000
2019-05-27,10.020000,10.030000,10.000000,10.000000,10.000000,301900
2019-06-03,10.000000,10.030000,10.000000,10.010000,10.010000,6000
2019-06-10,10.010000,10.050000,10.010000,10.020000,10.020000,304800
2019-06-17,10.020000,10.030000,10.010000,10.020000,10.020000,11800
2019-06-24,10.020000,10.080000,10.020000,10.060000,10.060000,2890800
2019-07-01,10.060000,10.060000,10.060000,10.060000,10.060000,1100
2019-07-08,10.060000,10.060000,10.040000,10.050000,10.050000,99500
2019-07-15,10.060000,10.090000,10.060000,10.060000,10.060000,413600
2019-07-22,10.100000,10.130000,10.060000,10.130000,10.130000,636400
2019-07-29,10.110000,10.130000,10.090000,10.100000,10.100000,578000
2019-08-05,10.100000,10.100000,10.080000,10.100000,10.100000,123000
2019-08-12,10.080000,10.140000,10.080000,10.080000,10.080000,122900
2019-08-19,10.100000,10.130000,10.090000,10.090000,10.090000,195400
2019-08-26,10.130000,10.130000,10.090000,10.100000,10.100000,101200
2019-09-02,10.100000,10.110000,10.100000,10.110000,10.110000,2000
2019-09-09,10.120000,10.120000,10.120000,10.120000,10.120000,11200
2019-09-16,10.120000,10.120000,10.100000,10.100000,10.100000,20400
2019-09-23,10.100000,10.130000,10.100000,10.110000,10.110000,2300
2019-09-30,10.110000,10.130000,10.110000,10.110000,10.110000,3200
2019-10-07,10.110000,10.150000,10.110000,10.130000,10.130000,730000
2019-10-14,10.130000,10.140000,10.120000,10.120000,10.120000,35200
2019-10-21,10.120000,10.150000,10.120000,10.150000,10.150000,1456200
2019-10-28,10.150000,10.160000,10.120000,10.160000,10.160000,9100
2019-11-04,10.160000,10.160000,10.130000,10.160000,10.160000,310500
2019-11-11,10.160000,10.160000,10.130000,10.150000,10.150000,268400
2019-11-18,10.190000,10.220000,10.190000,10.200000,10.200000,538200
2019-11-25,10.190000,10.220000,10.190000,10.190000,10.190000,533000
2019-12-02,10.230000,10.250000,10.200000,10.230000,10.230000,64800
2019-12-09,10.230000,10.240000,10.200000,10.220000,10.220000,285300
2019-12-16,10.220000,10.230000,10.220000,10.230000,10.230000,143100
2019-12-23,10.230000,10.230000,10.190000,10.230000,10.230000,1700
2019-12-30,10.230000,10.280000,10.200000,10.210000,10.210000,25700
2020-01-06,10.240000,10.250000,10.240000,10.240000,10.240000,227000
2020-01-13,10.240000,10.400000,10.240000,10.300000,10.300000,3265500
2020-01-20,10.310000,10.350000,10.140000,10.310000,10.310000,931800
2020-01-27,10.300000,10.360000,10.280000,10.340000,10.340000,311200
2020-02-03,10.340000,10.400000,10.300000,10.340000,10.340000,701000
2020-02-10,10.350000,10.400000,10.330000,10.330000,10.330000,720000
2020-02-17,10.300000,10.380000,10.300000,10.350000,10.350000,1951400
2020-02-24,10.380000,10.400000,10.350000,10.400000,10.400000,762600
2020-03-02,10.400000,10.550000,10.300000,10.340000,10.340000,38500
2020-03-09,10.300000,10.390000,9.760000,10.280000,10.280000,303100
2020-03-16,10.190000,10.200000,10.010000,10.110000,10.110000,3516500
2020-03-23,10.110000,10.360000,10.110000,10.270000,10.270000,1010500
2020-03-30,10.270000,10.320000,10.260000,10.320000,10.320000,1283000
2020-04-06,10.310000,10.520000,10.310000,10.340000,10.340000,736900
2020-04-13,10.330000,10.950000,10.330000,10.380000,10.380000,1170200
2020-04-20,10.390000,10.830000,10.360000,10.370000,10.370000,97700
