Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,196.875000,240.000000,187.500000,206.250000,202.606003,2336
2000-01-08,217.500000,236.250000,195.000000,200.625000,197.080399,3040
2000-01-15,210.000000,232.500000,191.250000,210.000000,206.289749,4018
2000-01-22,225.000000,225.000000,198.750000,198.750000,195.238525,2750
2000-01-29,213.750000,221.250000,202.500000,206.250000,202.606003,866
2000-02-05,202.500000,206.250000,183.750000,198.750000,195.238525,2568
2000-02-12,195.000000,210.000000,187.500000,202.500000,198.922272,2137
2000-02-19,206.250000,210.000000,183.750000,206.250000,202.606003,4172
2000-02-26,202.500000,232.500000,187.500000,191.250000,187.871033,2707
2000-03-04,195.000000,217.500000,191.250000,198.750000,195.238525,1613
2000-03-11,206.250000,206.250000,195.000000,195.000000,191.554779,1435
2000-03-18,195.000000,206.250000,193.125000,206.250000,202.606003,1780
2000-03-25,195.000000,206.250000,172.500000,180.000000,176.819794,2019
2000-04-01,195.000000,195.000000,135.000000,183.750000,180.503540,2225
2000-04-08,183.750000,191.250000,138.750000,138.750000,136.298584,3233
2000-04-15,135.000000,180.000000,127.500000,157.500000,154.717316,1765
2000-04-22,165.000000,168.750000,127.500000,153.750000,151.033569,1069
2000-04-29,146.250000,146.250000,112.500000,135.000000,132.614838,2048
2000-05-06,135.000000,142.500000,127.500000,138.750000,136.298584,1357
2000-05-13,123.750000,161.250000,120.000000,131.250000,128.931091,2480
2000-05-20,138.750000,172.500000,120.000000,161.250000,158.401062,2626
2000-05-27,165.000000,210.000000,142.500000,150.000000,147.349823,1218
2000-06-03,157.500000,180.000000,142.500000,161.250000,158.401062,1654
2000-06-10,150.000000,165.000000,127.500000,131.250000,128.931091,1438
2000-06-17,138.750000,142.500000,127.500000,138.750000,136.298584,982
2000-06-24,138.750000,150.000000,135.000000,150.000000,147.349823,1049
2000-07-01,127.500000,157.500000,127.500000,142.500000,139.982330,292
2000-07-08,142.500000,146.250000,135.000000,138.750000,136.298584,1423
2000-07-15,138.750000,150.000000,135.000000,138.750000,136.298584,1841
2000-07-22,146.250000,146.250000,129.375000,142.500000,139.982330,1239
2000-07-29,135.000000,153.750000,120.000000,125.625000,123.405479,1098
2000-08-05,125.625000,135.000000,120.000000,121.875000,119.721733,332
2000-08-12,121.875000,142.500000,105.000000,105.000000,103.144875,1360
2000-08-19,120.000000,150.000000,106.875000,127.500000,125.247353,1612
2000-08-26,116.250000,142.500000,116.250000,142.500000,139.982330,763
2000-09-02,142.500000,142.500000,116.250000,131.250000,128.931091,846
2000-09-09,121.875000,138.750000,118.125000,123.750000,121.563606,1821
2000-09-16,123.750000,127.500000,108.750000,123.750000,121.563606,1697
2000-09-23,138.750000,138.750000,108.750000,121.875000,119.721733,1115
2000-09-30,108.750000,123.750000,105.000000,116.250000,114.196114,2344
2000-10-07,106.875000,127.500000,105.000000,123.750000,121.563606,1862
